Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,New Jersey Devils,Nico Hischier,CH,C,18,2017,2022,Halifax (QMJHL),300,78,128,206,-16,83,,,,,,,19.8,
2,Philadelphia Flyers,Nolan Patrick,CA,C,18,2017,2022,Brandon (WHL),222,32,45,77,-36,83,,,,,,,4.1,
3,Dallas Stars,Miro Heiskanen,FI,D,18,2017,2022,HIFK (Finland),275,33,98,131,-6,64,,,,,,,25.5,
4,Colorado Avalanche,Cale Makar,CA,D,18,2017,2022,Brooks (AJHL),178,48,132,180,77,50,,,,,,,30.2,
5,Vancouver Canucks,Elias Pettersson,SE,C,18,2017,2022,Timra (Sweden-2),245,97,124,221,20,48,,,,,,,25.4,
6,Vegas Golden Knights,Cody Glass,CA,C,18,2017,2022,Portland (WHL),74,9,14,23,-1,14,,,,,,,1.5,
7,New York Rangers,Lias Andersson,SE,C,18,2017,2022,HV 71 (Sweden),109,7,10,17,-31,57,,,,,,,-0.6,
8,Buffalo Sabres,Casey Mittelstadt,US,C,18,2017,2022,Eden Prairie (High-MN),195,33,47,80,-47,28,,,,,,,5.5,
9,Detroit Red Wings,Michael Rasmussen,CA,C,18,2017,2022,Tri-City (WHL),182,26,31,57,-38,121,,,,,,,2.8,
10,Florida Panthers,Owen Tippett,CA,RW,18,2017,2022,Mississauga (OHL),115,18,22,40,-13,18,,,,,,,2.7,
11,Los Angeles Kings,Gabriel Vilardi,CA,C,18,2017,2022,Windsor (OHL),89,18,19,37,-13,18,,,,,,,3.4,
12,Carolina Hurricanes,Martin Necas,CZ,C,18,2017,2022,Brno (Czech),203,45,74,119,24,64,,,,,,,12.1,
13,Vegas Golden Knights,Nick Suzuki,CA,C,18,2017,2022,Owen Sound (OHL),209,49,94,143,-49,62,,,,,,,11.3,
14,Tampa Bay Lightning,Callan Foote,US,D,18,2017,2022,Kelowna (WHL),91,3,9,12,15,58,,,,,,,3.6,
15,Vegas Golden Knights,Erik Brannstrom,SE,D,18,2017,2022,HV 71 (Sweden),116,2,29,31,-23,71,,,,,,,3.8,
16,Calgary Flames,Juuso Valimaki,FI,D,18,2017,2022,Tri-City (WHL),82,3,13,16,-4,48,,,,,,,2.6,
17,Toronto Maple Leafs,Timothy Liljegren,SE,D,18,2017,2022,Rogle (Sweden),74,5,19,24,11,18,,,,,,,4,
18,Boston Bruins,Urho Vaakanainen,FI,D,18,2017,2022,JYP (Finland),45,0,8,8,-7,12,,,,,,,1.3,
19,San Jose Sharks,Joshua Norris,US,C,18,2017,2022,USA U-18 (USNTDP),125,52,38,90,-17,29,,,,,,,10.3,
20,St. Louis Blues,Robert Thomas,CA,C,18,2017,2022,London (OHL),241,42,122,164,25,58,,,,,,,14.9,
21,New York Rangers,Filip Chytil,CZ,C,18,2017,2022,Zlin (Czech),253,42,51,93,-26,46,,,,,,,6.7,
22,Edmonton Oilers,Kailer Yamamoto,US,RW,18,2017,2022,Spokane (WHL),186,40,53,93,17,82,,,,,,,8.7,
23,Arizona Coyotes,Pierre-Olivier Joseph,CA,D,18,2017,2022,Charlottetown (QMJHL),20,1,4,5,-1,8,,,,,,,0.7,
24,Winnipeg Jets,Kristian Vesalainen,FI,W,18,2017,2022,Frolunda (Sweden),70,2,3,5,-8,6,,,,,,,-0.6,
25,Montreal Canadiens,Ryan Poehling,US,C,18,2017,2022,St. Cloud State (NCHC),85,13,9,22,-22,10,,,,,,,1,
26,Dallas Stars,Jake Oettinger,US,G,18,2017,2022,Boston University (H-East),77,0,3,3,0,4,77,41,23,8,0.913,2.46,12.7,
27,Philadelphia Flyers,Morgan Frost,CA,C,18,2017,2022,Sault Ste. Marie (OHL),77,7,16,23,-14,18,,,,,,,0.8,
28,Ottawa Senators,Shane Bowers,CA,C,18,2017,,Waterloo (USHL),,,,,,,,,,,,,,
29,Chicago Blackhawks,Henri Jokiharju,FI,D,18,2017,2022,Portland (WHL),213,10,44,54,-32,72,,,,,,,8.2,
30,Nashville Predators,Eeli Tolvanen,FI,RW,18,2017,2022,Sioux City (USHL),122,23,24,47,-15,20,,,,,,,3.7,
31,St. Louis Blues,Klim Kostin,RU,C; LW,18,2017,2022,Dynamo Moscow (Russia),46,5,6,11,-3,23,,,,,,,0.7,
32,Colorado Avalanche,Conor Timmins,CA,D,18,2017,2022,Sault Ste. Marie (OHL),39,0,7,7,2,8,,,,,,,1.3,
33,Vancouver Canucks,Kole Lind,CA,RW,18,2017,2022,Kelowna (WHL),30,2,6,8,-5,12,,,,,,,0.2,
34,Vegas Golden Knights,Nicolas Hague,CA,D,18,2017,2022,Mississauga (OHL),142,10,32,42,20,101,,,,,,,8.6,
35,Philadelphia Flyers,Isaac Ratcliffe,CA,LW,18,2017,2022,Guelph (OHL),10,1,3,4,-1,10,,,,,,,0.3,
36,New Jersey Devils,Jesper Boqvist,SE,C,18,2017,2022,Brynas (Sweden),119,18,16,34,-25,20,,,,,,,1.9,
37,Buffalo Sabres,Marcus Davidsson,SE,C,18,2017,,Djurgarden (Sweden),,,,,,,,,,,,,,
38,Detroit Red Wings,Gustav Lindstrom,SE,D,18,2017,2022,Almtuna (Sweden-2),92,1,16,17,-17,36,,,,,,,2.2,
39,Dallas Stars,Jason Robertson,US,LW,18,2017,2022,Kingston (OHL),128,58,67,125,29,38,,,,,,,15.7,
40,Florida Panthers,Aleksi Heponiemi,FI,C,18,2017,2022,Swift Current (WHL),15,1,2,3,-5,4,,,,,,,-0.1,
41,Los Angeles Kings,Jaret Anderson-Dolan,CA,C,18,2017,2022,Spokane (WHL),50,7,5,12,-15,10,,,,,,,0.5,
42,Carolina Hurricanes,Eetu Luostarinen,FI,C,19,2017,2022,Kalpa (Finland),130,12,23,35,-12,24,,,,,,,0.8,
43,Winnipeg Jets,Dylan Samberg,US,D,18,2017,2022,Hermantown (High-MN),15,0,5,5,3,4,,,,,,,0.9,
44,Arizona Coyotes,Filip Westerlund,SE,D,18,2017,,Frolunda (Sweden),,,,,,,,,,,,,,
45,Columbus Blue Jackets,Alexandre Texier,FR,C,18,2017,2022,Grenoble (FRANCE),123,22,27,49,-7,44,,,,,,,4,
46,New York Islanders,Robin Salo,FI,D,18,2017,2022,Sport (Finland),21,1,4,5,-6,4,,,,,,,0.6,
47,Ottawa Senators,Alex Formenton,CA,LW,18,2017,2022,London (OHL),109,23,16,39,-9,71,,,,,,,3.5,
48,Tampa Bay Lightning,Alexander Volkov,RU,RW,20,2017,2021,SKA St. Petersburg 2 (Russia-Jr.),46,7,7,14,-5,12,,,,,,,1.2,
49,San Jose Sharks,Mario Ferraro,CA,D,18,2017,2022,Des Moines (USHL),180,5,37,42,-26,68,,,,,,,7.7,
50,Anaheim Ducks,Maxime Comtois,CA,LW,18,2017,2022,Victoriaville (QMJHL),146,29,38,67,-15,117,,,,,,,6.2,
51,Pittsburgh Penguins,Zachary Lauzon,CA,D,18,2017,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,,,
52,Carolina Hurricanes,Luke Martin,US,D,18,2017,,Michigan (Big Ten),,,,,,,,,,,,,,
53,Boston Bruins,Jack Studnicka,CA,C,18,2017,2022,Oshawa (OHL),37,1,6,7,-6,6,,,,,,,-0.1,
54,Buffalo Sabres,Ukko-Pekka Luukkonen,FI,G,18,2017,2022,HPK Jr. (Finland-Jr.),13,0,0,0,0,0,13,3,8,2,0.913,3.08,2.6,
55,Vancouver Canucks,Jonah Gadjovich,CA,LW,18,2017,2022,Owen Sound (OHL),44,1,2,3,-10,91,,,,,,,-0.4,
56,Montreal Canadiens,Josh Brook,CA,D,18,2017,,Moose Jaw (WHL),,,,,,,,,,,,,,
57,Chicago Blackhawks,Ian Mitchell,CA,D,18,2017,2022,Spruce Grove (AJHL),47,3,5,8,-13,14,,,,,,,0.8,
58,Montreal Canadiens,Joni Ikonen,FI,C,18,2017,,Frolunda (Sweden-Jr.),,,,,,,,,,,,,,
59,Toronto Maple Leafs,Eemeli Rasanen,FI,D,18,2017,,Kingston (OHL),,,,,,,,,,,,,,
60,Anaheim Ducks,Antoine Morand,CA,C,18,2017,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,,,
61,Nashville Predators,Grant Mismash,US,LW,18,2017,,USA U-18 (USNTDP),,,,,,,,,,,,,,
62,Vegas Golden Knights,Jake Leschyshyn,US,C,18,2017,2022,Regina (WHL),41,2,4,6,-2,8,,,,,,,-0.1,
63,New Jersey Devils,Fabian Zetterlund,SE,W,18,2017,2022,Farjestad Jr. (Sweden-Jr.),14,3,5,8,5,0,,,,,,,0.9,
64,Vancouver Canucks,Michael Dipietro,CA,G,18,2017,2022,Windsor (OHL),3,0,0,0,0,0,3,0,2,0,0.771,5.25,-0.4,
65,Vegas Golden Knights,Jonas Rondbjerg,DK,RW,18,2017,2022,Vaxjo Jr. (Sweden-Jr.),30,2,4,6,0,4,,,,,,,0.3,
66,Florida Panthers,Maxwell Gildon,US,D,18,2017,,USA U-18 (USNTDP),,,,,,,,,,,,,,
67,Carolina Hurricanes,Morgan Geekie,CA,C,19,2017,2022,Tri-City (WHL),111,13,22,35,-12,30,,,,,,,2.4,
68,Montreal Canadiens,Scott Walford,CA,D,18,2017,,Victoria (WHL),,,,,,,,,,,,,,
69,Arizona Coyotes,Mackenzie Entwistle,CA,RW,18,2017,2022,Hamilton (OHL),60,6,8,14,-15,25,,,,,,,0.5,
70,Chicago Blackhawks,Andrel Altybarmakyan,RU,RW,19,2017,,LVY St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,,
