Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Pittsburgh Penguins,Sidney Crosby,CA,C,18,2005,2022,Rimouski (QMJHL),1108,517,892,1409,202,731,,,,,,,170.2,
2,Anaheim Ducks,Bobby Ryan,US,LW,18,2005,2021,Owen Sound (OHL),866,261,308,569,-12,470,,,,,,,64.7,
3,Carolina Hurricanes,Jack Johnson,US,D,18,2005,2022,U.S. National U-18 (USNTDP),1024,72,240,312,-114,571,,,,,,,53.8,
4,Minnesota Wild,Benoit Pouliot,CA,LW,18,2005,2018,Sudbury (OHL),625,130,133,263,25,371,,,,,,,30.9,
5,Montreal Canadiens,Carey Price,CA,G,18,2005,2022,Tri-City (WHL),712,0,13,13,0,51,712,361,261,79,0.917,2.51,136.8,
6,Columbus Blue Jackets,Gilbert Brule,CA,C,18,2005,2014,Vancouver (WCHL),299,43,52,95,-39,156,,,,,,,7.3,
7,Chicago Blackhawks,Jack Skille,US,RW,18,2005,2017,U.S. National U-18 (USNTDP),368,43,41,84,-52,118,,,,,,,5.3,
8,San Jose Sharks,Devin Setoguchi,CA,RW,18,2005,2017,Saskatoon (WHL),516,131,130,261,-11,177,,,,,,,29.2,
9,Ottawa Senators,Brian Lee,US,D,18,2005,2013,Moorhead (High-MN),209,5,31,36,-37,124,,,,,,,4.8,
10,Vancouver Canucks,Luc Bourdon,CA,D,18,2005,2008,Val d'Or (QMJHL),36,2,0,2,6,24,,,,,,,1.5,
11,Los Angeles Kings,Anze Kopitar,SI,C,18,2005,2022,Sodertalje Jr. (Sweden-Jr.),1210,365,702,1067,63,318,,,,,,,116.9,
12,New York Rangers,Marc Staal,CA,D,18,2005,2022,Sudbury (OHL),1019,49,165,214,40,480,,,,,,,52.3,
13,Buffalo Sabres,Marek Zagrapan,SK,C,18,2005,,Chicoutimi (QMJHL),,,,,,,,,,,,,,
14,Washington Capitals,Sasha Pokulok,CA,D,19,2005,,Cornell (ECAC),,,,,,,,,,,,,,
15,New York Islanders,Ryan O'Marra,JP,C,18,2005,2012,Erie (OHL),33,1,6,7,-3,17,,,,,,,0.2,
16,Atlanta Thrashers,Alex Bourret,CA,RW,18,2005,,Lewiston (QMJHL),,,,,,,,,,,,,,
17,Phoenix Coyotes,Martin Hanzal,CZ,C,18,2005,2019,Ceske Budejovice (Czech-2),673,127,211,338,-43,574,,,,,,,29.2,
18,Nashville Predators,Ryan Parent,CA,D,18,2005,2011,Guelph (OHL),106,1,6,7,-18,36,,,,,,,0.9,
19,Detroit Red Wings,Jakub Kindl,CZ,D,18,2005,2017,Kitchener (OHL),331,16,58,74,14,181,,,,,,,15.9,
20,Florida Panthers,Kenndal McArdle,CA,LW,18,2005,2012,Moose Jaw (WHL),42,1,2,3,-11,51,,,,,,,-0.6,
21,Toronto Maple Leafs,Tuukka Rask,FI,G,18,2005,2022,Ilves Tampere Jr. (Finland-Jr.),564,0,17,17,0,26,564,308,165,66,0.921,2.28,107.1,
22,Boston Bruins,Matt Lashoff,US,D,18,2005,2011,Kitchener (OHL),74,1,15,16,-15,59,,,,,,,1.6,
23,New Jersey Devils,Niclas Bergfors,SE,RW,18,2005,2012,Sodertalje (Sweden-2),173,35,48,83,-23,20,,,,,,,7.7,
24,St. Louis Blues,T.J. Oshie,US,C,18,2005,2022,Warroad (High-MN),900,271,364,635,111,438,,,,,,,73.8,
25,Edmonton Oilers,Andrew Cogliano,CA,C,18,2005,2022,St. Michael's Jr. B (OJHL),1140,174,252,426,14,389,,,,,,,38.2,
26,Calgary Flames,Matt Pelech,CA,RW,18,2005,2014,Sarnia (OHL),13,1,3,4,2,38,,,,,,,0.7,
27,Washington Capitals,Joe Finley,US,D,18,2005,2013,Sioux Falls (USHL),21,0,1,1,-8,32,,,,,,,-0.4,
28,Dallas Stars,Matt Niskanen,US,D,18,2005,2020,Virginia (High-MN),949,72,284,356,112,489,,,,,,,69.8,
29,Philadelphia Flyers,Steve Downie,CA,RW,18,2005,2016,Windsor (OHL),434,76,120,196,21,1057,,,,,,,20.9,
30,Tampa Bay Lightning,Vladimir Mihalik,SK,D,18,2005,2010,Presov,15,0,3,3,-7,8,,,,,,,-0.1,
31,Anaheim Ducks,Brendan Mikkelson,CA,D,18,2005,2013,Portland (WHL),131,1,9,10,-14,59,,,,,,,1.2,
32,Florida Panthers,Tyler Plante,US,G,18,2005,,Brandon (WHL),,,,,,,,,,,,,,
33,Dallas Stars,James Neal,CA,LW,18,2005,2022,Plymouth (OHL),869,296,263,559,7,581,,,,,,,67.6,
34,Colorado Avalanche,Ryan Stoa,US,C,18,2005,2014,U.S. National U-18 (USNTDP),40,4,3,7,-8,20,,,,,,,-0.1,
35,San Jose Sharks,Marc-Edouard Vlasic,CA,D,18,2005,2022,Quebec (QMJHL),1161,76,270,346,93,428,,,,,,,81,
36,Edmonton Oilers,Taylor Chorney,CA,D,18,2005,2018,Shattuck-St. Mary's (High-MN),166,4,18,22,-6,56,,,,,,,4.3,
37,St. Louis Blues,Scott Jackson,CA,D,18,2005,2010,Seattle (WHL),1,0,0,0,0,0,,,,,,,0,
38,New Jersey Devils,Jeff Frazee,US,G,18,2005,2013,U.S. National U-18 (USNTDP),1,0,0,0,0,0,1,0,0,0,1,0,0.1,
39,Boston Bruins,Petr Kalus,CZ,LW,18,2005,2010,Vitkovice Jr. (Czech-Jr.),11,4,1,5,0,6,,,,,,,0.7,
40,New York Rangers,Michael Sauer,US,D,18,2005,2012,Portland (WHL),98,4,14,18,28,96,,,,,,,6.8,
41,Atlanta Thrashers,Ondrej Pavelec,CZ,G,18,2005,2018,Poldi Kladno Jr. (Czech-Jr.),398,0,6,6,0,12,398,156,167,48,0.907,2.88,60.9,
42,Detroit Red Wings,Justin Abdelkader,US,LW,18,2005,2020,Cedar Rapids (USHL),739,106,146,252,-56,608,,,,,,,18.9,
43,Chicago Blackhawks,Mike Blunden,CA,RW,18,2005,2018,Erie (OHL),127,7,6,13,-6,145,,,,,,,0.1,
44,Colorado Avalanche,Paul Stastny,CA,C,19,2005,2022,Denver (WCHA),1072,284,516,800,50,484,,,,,,,82.7,
45,Montreal Canadiens,Guillaume Latendresse,CA,LW,18,2005,2013,Drummondville (QMJHL),341,87,60,147,-15,185,,,,,,,17,
46,New York Islanders,Dustin Kohn,CA,D,18,2005,2010,Calgary (WHL),22,0,4,4,-2,4,,,,,,,0.5,
47,Colorado Avalanche,Tom Fritsche,US,LW,18,2005,,Ohio State (CCHA),,,,,,,,,,,,,,
48,Buffalo Sabres,Philip Gogulla,DE,RW,18,2005,,Koln (Germany),,,,,,,,,,,,,,
49,Atlanta Thrashers,Chad Denny,CA,D,18,2005,,Lewiston (QMJHL),,,,,,,,,,,,,,
50,Los Angeles Kings,Dany Roussin,CA,C,20,2005,,Rimouski (QMJHL),,,,,,,,,,,,,,
51,Vancouver Canucks,Mason Raymond,CA,LW,19,2005,2017,Camrose (AJHL),546,115,136,251,-2,156,,,,,,,25,
52,Colorado Avalanche,Chris Durand,CA,C,18,2005,,Seattle (WHL),,,,,,,,,,,,,,
53,Atlanta Thrashers,Andrew Kozek,CA,LW,19,2005,,South Surrey (BCHL),,,,,,,,,,,,,,
54,Chicago Blackhawks,Dan Bertram,CA,RW,18,2005,,Boston College (H-East),,,,,,,,,,,,,,
55,Columbus Blue Jackets,Adam McQuaid,CA,D,18,2005,2019,Sudbury (OHL),512,16,57,73,62,694,,,,,,,21.3,
56,New York Rangers,Marc-Andre Cliche,CA,C,18,2005,2015,Lewiston (QMJHL),151,3,11,14,-12,34,,,,,,,-1.5,
57,Minnesota Wild,Matt Kassian,CA,LW,18,2005,2014,Kamloops (WHL),76,4,1,5,-4,177,,,,,,,0.2,
58,Carolina Hurricanes,Nate Hagemo,US,D,18,2005,,Minnesota (WCHA),,,,,,,,,,,,,,
59,Phoenix Coyotes,Pier-Olivier Pelletier,CA,G,18,2005,,Drummondville (QMJHL),,,,,,,,,,,,,,
60,Los Angeles Kings,T.J. Fast,CA,D,18,2005,,Camrose (AJHL),,,,,,,,,,,,,,
61,Pittsburgh Penguins,Michael Gergen,US,LW,18,2005,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,,
62,Pittsburgh Penguins,Kris Letang,CA,D,18,2005,2022,Val d'Or (QMJHL),941,144,506,650,100,661,,,,,,,108.2,
63,Anaheim Ducks,Jason Bailey,CA,RW,18,2005,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
64,Carolina Hurricanes,Joe Barnes,CA,C,19,2005,,Saskatoon (WHL),,,,,,,,,,,,,,
65,Minnesota Wild,Kristofer Westblom,CA,G,18,2005,,Kelowna (WHL),,,,,,,,,,,,,,
66,New York Rangers,Brodie Dupont,CA,C,18,2005,2011,Calgary (WHL),1,0,0,0,0,0,,,,,,,0,
67,Columbus Blue Jackets,Kris Russell,CA,D,18,2005,2022,Medicine Hat (WHL),912,48,206,254,2,271,,,,,,,49.1,
68,Chicago Blackhawks,Evan Brophey,CA,C,18,2005,2012,Belleville (OHL),4,0,0,0,0,0,,,,,,,0,
69,Calgary Flames,Gord Baldwin,CA,D,18,2005,,Medicine Hat (WHL),,,,,,,,,,,,,,
70,Ottawa Senators,Vitali Anikeyenko,RU,D,18,2005,,Lokomotiv Yaroslavl 2 (Russia-3),,,,,,,,,,,,,,
71,Dallas Stars,Rich Clune,CA,LW,18,2005,2016,Sarnia (OHL),139,7,15,22,-2,327,,,,,,,1.1,
72,Los Angeles Kings,Jonathan Quick,US,G,19,2005,2022,Avon Old Farms (High-CT),712,0,20,20,0,64,712,359,262,78,0.913,2.42,114.7,
73,Tampa Bay Lightning,Radek Smolenak,CZ,LW,18,2005,2010,Kingston (OHL),7,0,1,1,1,15,,,,,,,0,
74,Calgary Flames,Dan Ryder,CA,C,18,2005,,Peterborough (OHL),,,,,,,,,,,,,,
75,Dallas Stars,Perttu Lindgren,FI,C,18,2005,2010,Ilves Tampere Jr. (Finland-Jr.),1,0,0,0,0,0,,,,,,,0,
76,New York Islanders,Shea Guthrie,CA,W,18,2005,,St. George's (High-RI),,,,,,,,,,,,,,
77,New York Rangers,Dalyn Flatt,CA,D,18,2005,,Saskatoon (WHL),,,,,,,,,,,,,,
78,Nashville Predators,Teemu Laakso,FI,D,18,2005,2012,HIFK Helsinki (Finland),17,0,0,0,-3,10,,,,,,,-0.1,
79,Nashville Predators,Cody Franson,CA,D,18,2005,2018,Vancouver (WCHL),550,43,169,212,-10,202,,,,,,,37,
