Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Ottawa Senators,Bryan Berard,US,D,18,1995,2008,Detroit (OHL),619,76,247,323,-98,500,,,,,,,45.4,
2,New York Islanders,Wade Redden,CA,D,18,1995,2013,Brandon (WHL),1023,109,348,457,160,665,,,,,,,95,
3,Los Angeles Kings,Aki Berg,FI,D,18,1995,2006,Kiekko-67 Turku FIN (Finland-Jr.),606,15,70,85,-12,374,,,,,,,19.3,
4,Anaheim Ducks,Chad Kilger,CA,LW,18,1995,2008,Kingston (OHL),714,107,111,218,-44,363,,,,,,,15.3,
5,Tampa Bay Lightning,Daymond Langkow,CA,C,18,1995,2012,Tri-City (WHL),1090,270,402,672,81,547,,,,,,,69.4,
6,Edmonton Oilers,Steve Kelly,CA,C,18,1995,2008,Prince Albert (WHL),149,9,12,21,-36,83,,,,,,,-1.1,
7,Winnipeg Jets,Shane Doan,CA,RW,18,1995,2017,Kamloops (WHL),1540,402,570,972,-54,1353,,,,,,,96.3,
8,Montreal Canadiens,Terry Ryan,CA,LW,18,1995,1999,Tri-City (WHL),8,0,0,0,0,36,,,,,,,-0.2,
9,Boston Bruins,Kyle McLaren,CA,D,18,1995,2008,Tacoma (WHL),719,46,161,207,27,671,,,,,,,47.4,
10,Florida Panthers,Radek Dvorak,CZ,RW,18,1995,2014,Ceske Budejovice (Czech-2),1260,227,363,590,-10,449,,,,,,,48.5,
11,Dallas Stars,Jarome Iginla,CA,RW,18,1995,2017,Kamloops (WHL),1554,625,675,1300,30,1040,,,,,,,157.9,
12,San Jose Sharks,Teemu Riihijarvi,FI,RW,,1995,,Kiekko-Espoo (Finland),,,,,,,,,,,,,,
13,Hartford Whalers,Jean-Sebastien Giguere,CA,G,18,1995,2014,Halifax (QMJHL),597,0,7,7,0,98,597,262,216,75,0.913,2.53,107.6,
14,Buffalo Sabres,Jay McKee,CA,D,18,1995,2010,Niagara Falls (OHL),802,21,104,125,55,622,,,,,,,37.3,
15,Toronto Maple Leafs,Jeff Ware,CA,D,18,1995,1999,Oshawa (OHL),21,0,1,1,-3,12,,,,,,,0.3,
16,Buffalo Sabres,Martin Biron,CA,G,18,1995,2014,Beauport (QMJHL),508,0,14,14,0,81,508,230,191,52,0.91,2.61,88,
