Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Minnesota North Stars,Mike Modano\modanmi01,US,C,18,1988,2011,Prince Albert (WHL),1499,561,813,1374,114,926,,,,,,,144.9,
2,Vancouver Canucks,Trevor Linden\lindetr01,CA,RW,18,1988,2008,Medicine Hat (WHL),1382,375,492,867,-64,895,,,,,,,73.3,
3,Quebec Nordiques,Curtis Leschyshyn\leschcu01,CA,D,18,1988,2004,Saskatoon (WHL),1033,47,165,212,-52,669,,,,,,,43.2,
4,Pittsburgh Penguins,Darrin Shannon\shannda02,CA,LW,18,1988,1998,Windsor (OHL),506,87,163,250,-26,344,,,,,,,14.3,
5,Quebec Nordiques,Daniel Dore\doreda01,CA,RW,18,1988,1991,Drummondville (QMJHL),17,2,3,5,-7,59,,,,,,,-0.1,
6,Toronto Maple Leafs,Scott Pearson\pearssc01,CA,LW,18,1988,2000,Kingston (OHL),292,56,42,98,-39,615,,,,,,,3.7,
7,Los Angeles Kings,Martin Gelinas\gelinma01,CA,LW,18,1988,2008,Hull (QMJHL),1273,309,351,660,52,820,,,,,,,61.5,
8,Chicago Blackhawks,Jeremy Roenick\roenije01,US,C,18,1988,2009,Thayer Academy (High-MA),1363,513,703,1216,153,1463,,,,,,,125.8,
9,St. Louis Blues,Rod Brind'Amour\brindro01,CA,C,18,1988,2010,Notre Dame (SJHL),1484,452,732,1184,-39,1100,,,,,,,105.7,
10,Winnipeg Jets,Teemu Selanne\selante01,FI,RW,18,1988,2014,Jokerit Helsinki (KHL),1451,684,773,1457,95,660,,,,,,,172.3,
11,Hartford Whalers,Chris Govedaris\govedch01,CA,LW,18,1988,1994,Toronto (OHL),45,4,6,10,-2,24,,,,,,,0,
12,New Jersey Devils,Corey Foster\fosteco01,CA,D,18,1988,1997,Peterborough (OHL),45,5,6,11,-20,24,,,,,,,1.2,
13,Buffalo Sabres,Joel Savage\savagjo01,CA,RW,18,1988,1991,Victoria (WHL),3,0,1,1,-2,0,,,,,,,-0.1,
14,Philadelphia Flyers,Claude Boivin\boivicl01,CA,LW,18,1988,1995,Drummondville (QMJHL),132,12,19,31,-25,364,,,,,,,-0.7,
15,Washington Capitals,Reggie Savage\savagre01,CA,C,18,1988,1994,Victoriaville (QMJHL),34,5,7,12,-2,28,,,,,,,0.4,
16,New York Islanders,Kevin Cheveldayoff,CA,D,,1988,,Brandon (WHL),,,,,,,,,,,,,,
17,Detroit Red Wings,Kory Kocur,CA,RW,,1988,,Saskatoon (WHL),,,,,,,,,,,,,,
18,Boston Bruins,Rob Cimetta\cimetro01,CA,W,18,1988,1992,Toronto (OHL),103,16,16,32,0,66,,,,,,,1.3,
19,Edmonton Oilers,Francois Leroux\leroufr01,CA,D,18,1988,1998,St. Jean (QMJHL),249,3,20,23,-2,577,,,,,,,3.2,
20,Montreal Canadiens,Eric Charron\charrer01,CA,D,18,1988,2000,Trois-Rivieres (QMJHL),130,2,7,9,-10,127,,,,,,,4.2,
21,Calgary Flames,Jason Muzzatti\muzzaja01,CA,G,18,1988,1998,Michigan State (CCHA),62,0,1,1,0,61,62,13,25,10,0.894,3.33,7.3,
22,New York Rangers,Troy Mallette\malletr01,CA,LW,18,1988,1998,Sault Ste. Marie (OHL),456,51,68,119,-49,1226,,,,,,,1.5,
