Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Quebec Nordiques,Eric Lindros,CA,C,18,1991,2007,Oshawa (OHL),760,372,493,865,215,1398,,,,,,,101.6,
2,San Jose Sharks,Pat Falloon,CA,RW,18,1991,2000,Spokane (WHL),575,143,179,322,-66,141,,,,,,,25.3,
3,New Jersey Devils,Scott Niedermayer,CA,D,18,1991,2010,Kamloops (WHL),1263,172,568,740,167,784,,,,,,,141,
4,New York Islanders,Scott Lachance,US,D,18,1991,2004,Boston University (H-East),819,31,112,143,-76,567,,,,,,,30.8,
5,Winnipeg Jets,Aaron Ward,CA,D,18,1991,2010,Michigan (CCHA),839,44,107,151,-41,736,,,,,,,34,
6,Philadelphia Flyers,Peter Forsberg,SE,C,18,1991,2011,MoDo Ornskoldsvik (Sweden),708,249,636,885,238,690,,,,,,,97.9,
7,Vancouver Canucks,Alek Stojanov,CA,RW,18,1991,1997,Hamilton (OHL),107,2,5,7,-12,222,,,,,,,-2.7,
8,Minnesota North Stars,Richard Matvichuk,CA,D,18,1991,2007,Saskatoon (WHL),796,39,139,178,46,624,,,,,,,50.7,
9,Hartford Whalers,Patrick Poulin,CA,C,18,1991,2002,St. Hyacinthe (QMJHL),634,101,134,235,-30,299,,,,,,,15.7,
10,Detroit Red Wings,Martin Lapointe,CA,RW,18,1991,2008,Laval (QMJHL),991,181,200,381,-40,1417,,,,,,,29.5,
11,New Jersey Devils,Brian Rolston,US,C,18,1991,2012,Detroit Compuware (NAHL),1256,342,419,761,65,472,,,,,,,80.4,
12,Edmonton Oilers,Tyler Wright,CA,C,18,1991,2006,Swift Current (WHL),613,79,70,149,-115,854,,,,,,,5.8,
13,Buffalo Sabres,Philippe Boucher,CA,D,18,1991,2009,Granby (QMJHL),748,94,206,300,57,702,,,,,,,65.7,
14,Washington Capitals,Pat Peake,US,C,18,1991,1998,Detroit (OHL),134,28,41,69,3,105,,,,,,,5.1,
15,New York Rangers,Alex Kovalev,RU,RW,18,1991,2013,Dynamo Moscow (Russia),1316,430,599,1029,-31,1304,,,,,,,103.1,
16,Pittsburgh Penguins,Markus Naslund,SE,LW,18,1991,2009,MoDo Ornskoldsvik (Sweden),1117,395,474,869,6,736,,,,,,,95.5,
17,Montreal Canadiens,Brent Bilodeau,US,D,,1991,,Seattle (WHL),,,,,,,,,,,,,,
18,Boston Bruins,Glen Murray,CA,RW,18,1991,2008,Sudbury (OHL),1009,337,314,651,14,679,,,,,,,69.9,
19,Calgary Flames,Niklas Sundblad,SE,RW,18,1991,1996,AIK Solna (Sweden),2,0,0,0,0,0,,,,,,,-0.1,
20,Edmonton Oilers,Martin Rucinsky,CZ,LW,20,1991,2008,Litvinov (Czech),961,241,371,612,46,821,,,,,,,57.3,
21,Washington Capitals,Trevor Halverson,CA,LW,20,1991,1999,North Bay (OHL),17,0,4,4,-5,28,,,,,,,-0.1,
22,Chicago Blackhawks,Dean McAmmond,CA,C,18,1991,2010,Prince Albert (WHL),996,186,262,448,36,490,,,,,,,41.6,
23,San Jose Sharks,Ray Whitney,CA,LW,19,1991,2014,Spokane (WHL),1330,385,679,1064,-79,465,,,,,,,108,
24,Quebec Nordiques,Rene Corbet,CA,LW,18,1991,2001,Drummondville (QMJHL),362,58,74,132,23,420,,,,,,,10.5,
25,Washington Capitals,Eric Lavigne,CA,D,18,1991,1995,Hull (QMJHL),1,0,0,0,-1,0,,,,,,,0,
26,New York Islanders,Ziggy Palffy,SK,RW,19,1991,2006,AC Nitra (Slovakia),684,329,384,713,83,322,,,,,,,88,
27,St. Louis Blues,Steve Staios,CA,D,18,1991,2012,Niagara Falls (OHL),1001,56,164,220,-86,1322,,,,,,,37,
28,Montreal Canadiens,Jim Campbell,US,RW,18,1991,2006,Lawrence Academy (High-MA),285,61,75,136,-11,268,,,,,,,12.5,
29,Vancouver Canucks,Jassen Cullimore,CA,D,18,1991,2011,Peterborough (OHL),812,26,85,111,-45,704,,,,,,,27.1,
30,San Jose Sharks,Sandis Ozolinsh,LV,D,19,1991,2008,Dynamo Riga (KHL),875,167,397,564,-44,638,,,,,,,91.8,
31,Hartford Whalers,Martin Hamrlik,CZ,D,,1991,,TJ Zlin (Czech),,,,,,,,,,,,,,
32,Detroit Red Wings,Jamie Pushor,CA,D,18,1991,2006,Lethbridge (WHL),521,14,46,60,-52,648,,,,,,,17.4,
33,New Jersey Devils,Donevan Hextall,CA,LW,,1991,,Prince Albert (WHL),,,,,,,,,,,,,,
34,Edmonton Oilers,Andrew Verner,CA,G,,1991,,Peterborough (OHL),,,,,,,,,,,,,,
35,Buffalo Sabres,Jason Dawe,CA,RW,18,1991,2002,Peterborough (OHL),366,86,90,176,8,162,,,,,,,16.1,
36,Washington Capitals,Jeff Nelson,CA,C,18,1991,1999,Prince Albert (WHL),52,3,8,11,0,20,,,,,,,0,
37,New York Rangers,Darcy Werenka,CA,D,,1991,,Lethbridge (WHL),,,,,,,,,,,,,,
38,Pittsburgh Penguins,Rusty Fitzgerald,US,C,18,1991,1996,Duluth East (High-MN),25,2,2,4,9,12,,,,,,,0,
39,Chicago Blackhawks,Michael Pomichter,US,C,,1991,,Springfield Jr. B,,,,,,,,,,,,,,
40,Boston Bruins,Jozef Stumpel,SK,C,19,1991,2008,AC Nitra (Slovakia),957,196,481,677,47,245,,,,,,,60.2,
41,Calgary Flames,Francois Groleau,CA,D,18,1991,1998,Shawinigan (QMJHL),8,0,1,1,3,6,,,,,,,0.5,
42,Los Angeles Kings,Guy Leveque,CA,C,18,1991,1994,Cornwall (OHL),17,2,2,4,-3,21,,,,,,,-0.1,
43,Montreal Canadiens,Craig Darby,US,C,18,1991,2004,Albany Academy,196,21,35,56,-38,32,,,,,,,2.2,
44,Chicago Blackhawks,Jamie Matthews,CA,C,,1991,,Sudbury (OHL),,,,,,,,,,,,,,
45,San Jose Sharks,Dody Wood,CA,C,19,1991,1998,Seattle (WHL),106,8,10,18,-11,471,,,,,,,-0.7,
46,Quebec Nordiques,Rich Brennan,US,D,18,1991,2003,Tabor Academy (High-MA),50,2,6,8,-8,33,,,,,,,1.4,
47,Toronto Maple Leafs,Yanic Perreault,CA,C,20,1991,2008,Trois-Rivieres (QMJHL),859,247,269,516,-20,402,,,,,,,54.9,
48,New York Islanders,Jamie McLennan,CA,G,20,1991,2007,Lethbridge (WHL),254,0,3,3,0,54,254,80,109,36,0.898,2.67,31.5,
49,Winnipeg Jets,Dmitri Filimonov,RU,D,19,1991,1994,Dynamo Moscow (Russia),30,1,4,5,-10,18,,,,,,,0.6,
50,Philadelphia Flyers,Yanick Dupre,CA,LW,18,1991,1996,Drummondville (QMJHL),35,2,0,2,-7,16,,,,,,,-0.8,
51,Vancouver Canucks,Sean Pronger,CA,C,18,1991,2004,Bowling Green (CCHA),260,23,36,59,-40,159,,,,,,,1.4,
52,Calgary Flames,Sandy McCarthy,CA,RW,19,1991,2004,Laval (QMJHL),736,72,76,148,-81,1534,,,,,,,4.3,
53,Hartford Whalers,Todd Hall,US,LW,,1991,,Hamden (High-CT),,,,,,,,,,,,,,
54,Detroit Red Wings,Chris Osgood,CA,G,18,1991,2011,Medicine Hat (WHL),744,1,19,20,0,137,744,401,216,95,0.905,2.49,108.3,
55,New Jersey Devils,Fredrik Bremberg,SE,C,18,1991,1999,Djurgarden (Sweden),8,0,0,0,-2,2,,,,,,,-0.2,
56,Edmonton Oilers,George Breen,US,RW,,1991,,Cushing Academy (High-MA),,,,,,,,,,,,,,
57,Buffalo Sabres,Jason Young,CA,LW,,1991,,Sudbury (OHL),,,,,,,,,,,,,,
58,Washington Capitals,Steve Konowalchuk,US,LW,18,1991,2006,Portland (WHL),790,171,225,396,69,703,,,,,,,36.8,
59,Hartford Whalers,Michael Nylander,SE,C,18,1991,2009,HPK Hameenlinna Jr. (Finland-Jr.),920,209,470,679,75,468,,,,,,,65,
60,Pittsburgh Penguins,Shane Peacock,CA,D,,1991,,Lethbridge (WHL),,,,,,,,,,,,,,
61,Montreal Canadiens,Yves Sarault,CA,LW,18,1991,2002,St. Jean (QMJHL),106,10,10,20,-20,51,,,,,,,-0.2,
62,Boston Bruins,Marcel Cousineau,CA,G,18,1991,2000,Beauport (QMJHL),26,0,1,1,0,0,26,4,10,1,0.9,2.93,2.6,
63,Calgary Flames,Brian Caruso,CA,LW,,1991,,Minnesota-Duluth (WCHA),,,,,,,,,,,,,,
64,St. Louis Blues,Kyle Reeves,CA,RW,,1991,,Tri-City (WHL),,,,,,,,,,,,,,
65,St. Louis Blues,Nathan LaFayette,CA,C,18,1991,1999,Cornwall (OHL),187,17,20,37,-14,103,,,,,,,0.1,
66,Chicago Blackhawks,Bobby House,CA,RW,,1991,,Brandon (WHL),,,,,,,,,,,,,,
67,San Jose Sharks,Kerry Toporowski,CA,D,,1991,,Spokane (WHL),,,,,,,,,,,,,,
68,Quebec Nordiques,Dave Karpa,CA,D,20,1991,2003,Ferris State (CCHA),557,18,80,98,-19,1374,,,,,,,21.4,
69,Toronto Maple Leafs,Terry Chitaroni,CA,C,,1991,,Sudbury (OHL),,,,,,,,,,,,,,
70,New York Islanders,Milan Hnilicka,CZ,G,18,1991,2004,Poldi Kladno (Czech),121,0,2,2,0,14,121,29,67,13,0.9,3.31,19.5,
71,Chicago Blackhawks,Igor Kravchuk,RU,D,25,1991,2003,CSKA Moscow (Russia),699,64,210,274,-57,251,,,,,,,48.2,
72,Buffalo Sabres,Peter Ambroziak,CA,LW,20,1991,1995,Ottawa (OHL),12,0,1,1,-1,0,,,,,,,-0.2,
73,Montreal Canadiens,Vladimir Vujtek,CZ,LW,19,1991,2003,Tri-City (WHL),110,7,30,37,-15,38,,,,,,,0.8,
74,Minnesota North Stars,Mike Torchia,CA,G,19,1991,1995,Kitchener (OHL),6,0,0,0,0,0,6,3,2,1,0.895,3.3,0.9,
75,Hartford Whalers,Jim Storm,US,LW,20,1991,1996,Michigan Tech (WCHA),84,7,15,22,5,44,,,,,,,0.6,
76,Detroit Red Wings,Mike Knuble,CA,RW,19,1991,2013,Kalamazoo (NAHL),1068,278,270,548,76,641,,,,,,,60.4,
77,New Jersey Devils,Bradley Willner,US,D,,1991,,Richfield (High-MN),,,,,,,,,,,,,,
78,Edmonton Oilers,Mario Nobili,CA,LW,,1991,,Longueuil (QMJHL),,,,,,,,,,,,,,
79,Los Angeles Kings,Keith Redmond,CA,LW,18,1991,1994,Bowling Green (CCHA),12,1,0,1,-3,20,,,,,,,-0.3,
80,Washington Capitals,Justin Morrison,CA,C,,1991,,Kingston (OHL),,,,,,,,,,,,,,
81,Los Angeles Kings,Alexei Zhitnik,UA,D,18,1991,2008,Sokol Kiev (Russia),1085,96,375,471,-53,1268,,,,,,,79,
82,Pittsburgh Penguins,Joe Tamminen,US,C,,1991,,Virginia (High-MN),,,,,,,,,,,,,,
