Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Ottawa Senators,Chris Phillips\phillch02,CA,D,18,1996,2015,Prince Albert (WHL),1179,71,217,288,68,756,,,,,,,64.6
2,San Jose Sharks,Andrei Zyuzin\zyuzian01,RU,D,18,1996,2008,Salavat Yulayev Ufa (KHL),496,38,82,120,-40,446,,,,,,,25.8
3,New York Islanders,J.P. Dumont\dumonjp01,CA,RW,18,1996,2011,Val d'Or (QMJHL),822,214,309,523,-2,364,,,,,,,56.6
4,Washington Capitals,Alexandre Volchkov\volchal01,RU,C,18,1996,2000,Barrie (OHL),3,0,0,0,-2,0,,,,,,,-0.1
5,Dallas Stars,Ric Jackman\jackmri01,CA,D,18,1996,2007,Sault Ste. Marie (OHL),231,19,58,77,-54,166,,,,,,,8.8
6,Edmonton Oilers,Boyd Devereaux\deverbo01,CA,C,18,1996,2009,Kitchener (OHL),627,67,112,179,5,205,,,,,,,12.5
7,Buffalo Sabres,Erik Rasmussen\rasmuer01,US,LW/C,19,1996,2007,Minnesota (WCHA),545,52,76,128,5,305,,,,,,,9.2
8,Boston Bruins,Johnathan Aitken\aitkejo01,CA,D,18,1996,2004,Medicine Hat (WHL),44,0,1,1,-12,70,,,,,,,0
9,Anaheim Ducks,Ruslan Salei\saleiru01,BY,D,21,1996,2011,Las Vegas (IHL),917,45,159,204,-25,1065,,,,,,,47
10,New Jersey Devils,Lance Ward\wardla01,CA,D,18,1996,2004,Red Deer (WHL),209,4,12,16,-30,391,,,,,,,2.7
11,Phoenix Coyotes,Dan Focht\fochtda01,CA,D,18,1996,2004,Tri-City (WHL),82,2,6,8,-32,145,,,,,,,-0.3
12,Vancouver Canucks,Josh Holden\holdejo01,CA,C,18,1996,2004,Regina (WHL),60,5,9,14,-10,16,,,,,,,0.6
13,Calgary Flames,Derek Morris\morride01,CA,D,18,1996,2014,Regina (WHL),1107,92,332,424,-44,1004,,,,,,,74.6
14,St. Louis Blues,Marty Reasoner\reasoma01,US,C,19,1996,2013,Boston College (H-East),798,97,169,266,-34,379,,,,,,,17.7
15,Philadelphia Flyers,Dainius Zubrus\zubruda01,LT,RW,18,1996,2016,Pembroke (CCHL),1293,228,363,591,1,791,,,,,,,52
16,Tampa Bay Lightning,Mario Larocque\larocma01,CA,D,18,1996,1999,Hull (QMJHL),5,0,0,0,-4,16,,,,,,,-0.2
17,Washington Capitals,Jaroslav Svejkovsky\svejkja01,CZ,RW,19,1996,2000,Tri-City (WHL),113,23,19,42,-22,56,,,,,,,3.5
18,Montreal Canadiens,Matt Higgins\higgima01,CA,C,18,1996,2001,Moose Jaw (WHL),57,1,2,3,-11,6,,,,,,,-0.6
19,Edmonton Oilers,Matthieu Descoteaux\descoma01,CA,D,18,1996,2001,Shawinigan (QMJHL),5,1,1,2,-2,4,,,,,,,0.3
20,Florida Panthers,Marcus Nilson\nilsoma01,SE,LW,18,1996,2008,Djurgarden (Sweden),521,67,101,168,5,270,,,,,,,12.8
21,San Jose Sharks,Marco Sturm\sturmma01,DE,LW,18,1996,2012,Landshut (Germany),938,242,245,487,59,446,,,,,,,54
22,New York Rangers,Jeff Brown,CA,D,,1996,,Sarnia (OHL),,,,,,,,,,,,,
23,Pittsburgh Penguins,Craig Hillier,CA,G,,1996,,Ottawa (OHL),,,,,,,,,,,,,
24,Phoenix Coyotes,Daniel Briere\brierda01,CA,C,18,1996,2015,Drummondville (QMJHL),973,307,389,696,-24,744,,,,,,,78.5
25,Colorado Avalanche,Peter Ratchuk\ratchpe01,US,D,19,1996,2001,Shattuck-St. Mary's (High-MN),32,1,1,2,-2,10,,,,,,,0.6
