Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS, Group
43,Phoenix Coyotes,Ossi Vaananen\vaanaos01,FI,D,18,1998,2009,Jokerit Helsinki Jr. (Finland-Jr.),479,13,55,68,26,482,,,,,,,17.7,
44,Ottawa Senators,Mike Fisher\fishemi01,CA,C,18,1998,2018,Sudbury (OHL),1104,278,311,589,27,815,,,,,,,61.1,
45,Montreal Canadiens,Mike Ribeiro\ribeimi01,CA,C,18,1998,2017,Rouyn-Noranda (QMJHL),1074,228,565,793,5,577,,,,,,,79,
46,Los Angeles Kings,Justin Papineau\papinju01,CA,C,18,1998,2004,Belleville (OHL),81,11,8,19,2,12,,,,,,,2.2,
47,Buffalo Sabres,Norm Milley\milleno01,CA,RW,18,1998,2006,Laval (QMJHL),29,2,4,6,-4,12,,,,,,,0.2,
48,Boston Bruins,Jonathan Girard\girarjo01,CA,D,18,1998,2003,Laval (QMJHL),150,10,34,44,6,46,,,,,,,7.9,
49,Washington Capitals,Jomar Cruz,CA,G,,1998,,Brandon (WHL),,,,,,,,,,,,,,
50,Buffalo Sabres,Jaroslav Kristek\kristja01,CZ,RW,18,1998,2003,ZPS Zlin (Czech),6,0,0,0,-2,4,,,,,,,-0.2,
51,Philadelphia Flyers,Ian Forbes,CA,D,,1998,,Guelph (OHL),,,,,,,,,,,,,,
52,Boston Bruins,Bobby Allen\allenbo01,US,D,19,1998,2008,Boston College (H-East),51,0,3,3,-3,12,,,,,,,0.7,
53,Colorado Avalanche,Steve Moore\moorest01,CA,C,19,1998,2004,Harvard (ECAC),69,5,7,12,-9,41,,,,,,,0.1,
54,Pittsburgh Penguins,Alexander Zevakhin,RU,LW,,1998,,CSKA Moscow (Russia),,,,,,,,,,,,,,
55,Detroit Red Wings,Ryan Barnes\barnery01,CA,LW,18,1998,2004,Sudbury (OHL),2,0,0,0,0,0,,,,,,,0,
56,Detroit Red Wings,Tomek Valtonen,PL,LW,,1998,,Ilves Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,,
57,Dallas Stars,Tyler Bouck\bouckty01,CA,C,18,1998,2007,Prince George (WHL),91,4,8,12,-9,93,,,,,,,0,
58,Ottawa Senators,Chris Bala\balach01,US,LW,19,1998,2002,Harvard (ECAC),6,0,1,1,1,0,,,,,,,0.1,
59,Washington Capitals,Todd Hornung,CA,C,,1998,,Portland (WHL),,,,,,,,,,,,,,
