Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Ottawa Senators,Alexandre Daigle,CA,C,18,1993,2006,Victoriaville (QMJHL),616,129,198,327,-176,186,,,,,,,25.8,
2,Hartford Whalers,Chris Pronger,CA,D,18,1993,2012,Peterborough (OHL),1167,157,541,698,183,1590,,,,,,,139.4,
3,Tampa Bay Lightning,Chris Gratton,CA,C,18,1993,2009,Kingston (OHL),1092,214,354,568,-143,1638,,,,,,,46.5,
4,Anaheim Ducks,Paul Kariya,CA,LW,18,1993,2010,U. of Maine (H-East),989,402,587,989,31,399,,,,,,,109.3,
5,Florida Panthers,Rob Niedermayer,CA,C,18,1993,2011,Medicine Hat (WHL),1153,186,283,469,-123,904,,,,,,,28.4,
6,San Jose Sharks,Viktor Kozlov,RU,C,18,1993,2009,Dynamo Moscow (Russia),897,198,339,537,-3,248,,,,,,,50.2,
7,Edmonton Oilers,Jason Arnott,CA,C,18,1993,2012,Oshawa (OHL),1244,417,521,938,81,1242,,,,,,,106.6,
8,New York Rangers,Niklas Sundstrom,SE,RW,18,1993,2006,MoDo Ornskoldsvik (Sweden),750,117,232,349,45,256,,,,,,,29,
9,Dallas Stars,Todd Harvey,CA,RW/C,18,1993,2006,Detroit (OHL),671,91,132,223,19,950,,,,,,,18.3,
10,Quebec Nordiques,Jocelyn Thibault,CA,G,18,1993,2008,Sherbrooke (QMJHL),586,0,6,6,0,18,586,238,238,75,0.904,2.75,90.7,
11,Washington Capitals,Brendan Witt,CA,D,18,1993,2010,Seattle (WHL),890,25,96,121,-91,1424,,,,,,,27.9,
12,Toronto Maple Leafs,Kenny Jonsson,SE,D,18,1993,2004,Rogle Angelholm (Sweden),686,63,204,267,-16,298,,,,,,,50.4,
13,New Jersey Devils,Denis Pederson,CA,C/RW,18,1993,2003,Prince Albert (WHL),435,57,71,128,-18,398,,,,,,,8.3,
14,Quebec Nordiques,Adam Deadmarsh,CA,RW,18,1993,2003,Portland (WHL),567,184,189,373,43,819,,,,,,,39.5,
15,Winnipeg Jets,Mats Lindgren,SE,C/LW,18,1993,2003,Skelleftea (Sweden),387,54,74,128,1,146,,,,,,,9.7,
16,Edmonton Oilers,Nick Stajduhar,CA,D,18,1993,1996,London (OHL),2,0,0,0,2,4,,,,,,,0.2,
17,Washington Capitals,Jason Allison,CA,C,18,1993,2006,London (OHL),552,154,331,485,17,441,,,,,,,49.5,
18,Calgary Flames,Jesper Mattsson,SE,C,,1993,,Malmo (Sweden),,,,,,,,,,,,,,
19,Toronto Maple Leafs,Landon Wilson,US,RW,18,1993,2009,Dubuque (USHL),375,53,66,119,5,352,,,,,,,10.4,
20,Vancouver Canucks,Mike Wilson,CA,D,18,1993,2003,Sudbury (OHL),336,16,41,57,43,264,,,,,,,17.7,
21,Montreal Canadiens,Saku Koivu,FI,C,18,1993,2014,TPS Turku (Finland),1124,255,577,832,10,809,,,,,,,79.6,
22,Detroit Red Wings,Anders Eriksson,SE,D,18,1993,2010,MoDo Ornskoldsvik (Sweden),572,22,154,176,43,242,,,,,,,36.6,
23,New York Islanders,Todd Bertuzzi,CA,RW,18,1993,2014,Guelph (OHL),1159,314,456,770,-44,1478,,,,,,,77.4,
24,Chicago Blackhawks,Eric Lecompte,CA,LW,,1993,,Hull (QMJHL),,,,,,,,,,,,,,
25,Boston Bruins,Kevyn Adams,US,C,18,1993,2008,Miami (Ohio) (CCHA),540,59,77,136,-38,317,,,,,,,7.6,
26,Pittsburgh Penguins,Stefan Bergkvist,SE,D,18,1993,1997,Leksand (Sweden),7,0,0,0,-1,9,,,,,,,0,
27,Ottawa Senators,Radim Bicanek,CZ,D,18,1993,2002,Dukla Jihlava (Czech-2),122,1,11,12,-12,62,,,,,,,3.4,
28,San Jose Sharks,Shean Donovan,CA,RW,18,1993,2010,Ottawa (OHL),951,112,129,241,-90,705,,,,,,,13.3,
29,Tampa Bay Lightning,Tyler Moss,CA,G,18,1993,2003,Kingston (OHL),30,0,1,1,0,0,30,6,16,1,0.891,3.25,3.3,
30,Anaheim Ducks,Nikolai Tsulygin,RU,D,18,1993,1997,Salavat Yulayev Ufa (KHL),22,0,1,1,-5,8,,,,,,,0.3,
31,Winnipeg Jets,Scott Langkow,CA,G,18,1993,2000,Portland (WHL),20,0,0,0,0,0,20,3,12,1,0.857,4.32,0.4,
32,New Jersey Devils,Jay Pandolfo,US,LW,18,1993,2013,Boston University (H-East),899,100,126,226,-1,164,,,,,,,11.8,
33,Edmonton Oilers,David Vyborny,CZ,RW,18,1993,2008,Sparta Praha (Czech),543,113,204,317,-48,228,,,,,,,28.9,
34,New York Rangers,Lee Sorochan,CA,D,18,1993,2000,Lethbridge (WHL),3,0,0,0,-3,0,,,,,,,-0.2,
35,Dallas Stars,Jamie Langenbrunner,US,RW,18,1993,2013,Cloquet (High-MN),1109,243,420,663,62,837,,,,,,,67.3,
36,Philadelphia Flyers,Janne Niinimaa,FI,D,18,1993,2007,Karpat Oulu (Finland),741,54,265,319,43,733,,,,,,,59.2,
37,St. Louis Blues,Maxim Bets,RU,LW,19,1993,1994,Spokane (WHL),3,0,0,0,-3,0,,,,,,,-0.2,
38,Buffalo Sabres,Denis Tsygurov,RU,D,22,1993,1996,Lada Togliatti (KHL),51,1,5,6,-4,45,,,,,,,1.7,
39,New Jersey Devils,Brendan Morrison,CA,C,18,1993,2012,Penticton (BCHL),934,200,401,601,86,452,,,,,,,58.7,
40,New York Islanders,Bryan McCabe,CA,D,18,1993,2011,Spokane (WHL),1135,145,383,528,34,1732,,,,,,,97.9,
41,Florida Panthers,Kevin Weekes,CA,G,18,1993,2009,Owen Sound (OHL),348,0,3,3,0,18,348,105,163,39,0.903,2.87,52.6,
42,Los Angeles Kings,Shayne Toporowski,CA,RW,18,1993,1997,Prince Albert (WHL),3,0,0,0,0,7,,,,,,,-0.1,
43,Winnipeg Jets,Alexei Budayev,RU,C,,1993,,Kristall Elektrostal (Russia),,,,,,,,,,,,,,
44,Calgary Flames,Jamie Allison,CA,D,18,1993,2006,Detroit (OHL),372,7,23,30,-34,639,,,,,,,6.3,
45,San Jose Sharks,Vlastimil Kroupa,CZ,D,18,1993,1998,Chemopetrol Litvinov (Russia),105,4,19,23,-46,66,,,,,,,2.2,
46,Vancouver Canucks,Rick Girard,CA,C,,1993,,Swift Current (WHL),,,,,,,,,,,,,,
47,Montreal Canadiens,Rory Fitzpatrick,US,D,18,1993,2008,Sudbury (OHL),287,10,25,35,-48,201,,,,,,,7,
48,Detroit Red Wings,Jon Coleman,US,D,,1993,,Andover (High-MA),,,,,,,,,,,,,,
49,Quebec Nordiques,Ashley Buckberger,CA,RW,,1993,,Swift Current (WHL),,,,,,,,,,,,,,
50,Chicago Blackhawks,Eric Manlow,CA,C,18,1993,2004,Kitchener (OHL),37,2,4,6,0,8,,,,,,,0.2,
51,Boston Bruins,Matt Alvey,US,RW,,1993,,Springfield Olympics,,,,,,,,,,,,,,
52,Pittsburgh Penguins,Domenic Pittis,CA,C,18,1993,2004,Lethbridge (WHL),86,5,11,16,-8,71,,,,,,,0.3,
53,Ottawa Senators,Patrick Charbonneau,CA,G,,1993,,Victoriaville (QMJHL),,,,,,,,,,,,,,
54,Chicago Blackhawks,Bogdan Savenko,UA,RW,,1993,,Kiev (Russia),,,,,,,,,,,,,,
55,Tampa Bay Lightning,Allan Egeland,CA,C,20,1993,1998,Tacoma (WHL),17,0,0,0,-3,16,,,,,,,-0.5,
56,Anaheim Ducks,Valeri Karpov,RU,RW,22,1993,1997,Traktor Chelyabinsk (KHL),76,14,15,29,-7,32,,,,,,,1.5,
57,Florida Panthers,Chris Armstrong,CA,D,18,1993,2004,Moose Jaw (WHL),7,0,1,1,-4,0,,,,,,,0,
58,San Jose Sharks,Ville Peltonen,FI,LW,20,1993,2009,HIFK Helsinki (Finland),382,52,96,148,-11,119,,,,,,,10.1,
59,Edmonton Oilers,Kevin Paden,US,C/LW,,1993,,Detroit (OHL),,,,,,,,,,,,,,
60,Edmonton Oilers,Alexander Kerch,RU,LW,26,1993,1994,Pardaugava Riga (KHL),5,0,0,0,-8,2,,,,,,,-0.4,
61,New York Rangers,Maxim Galanov,RU,D,19,1993,2001,Lada Togliatti (KHL),122,8,12,20,-24,44,,,,,,,3.3,
62,Pittsburgh Penguins,Dave Roche,CA,LW,18,1993,2002,Peterborough (OHL),171,15,15,30,-20,334,,,,,,,-1.2,
63,St. Louis Blues,Jamie Rivers,CA,D,18,1993,2007,Sudbury (OHL),454,17,49,66,4,385,,,,,,,15.7,
64,Buffalo Sabres,Ethan Philpott,US,RW,,1993,,Andover (High-MA),,,,,,,,,,,,,,
65,New Jersey Devils,Krzysztof Oliwa,PL,LW,20,1993,2006,Welland Jr. B (GOJHL),410,17,28,45,-17,1447,,,,,,,0.7,
66,New York Islanders,Vladimir Chebaturkin,RU,D,18,1993,2002,Kristall Elektrostal (Russia),62,2,7,9,7,52,,,,,,,2.7,
67,Florida Panthers,Mikael Tjallden,SE,D,,1993,,MoDo Ornskoldsvik (Sweden),,,,,,,,,,,,,,
68,Los Angeles Kings,Jeff Mitchell,US,C/RW,18,1993,1998,Detroit (OHL),7,0,0,0,0,7,,,,,,,-0.2,
69,Washington Capitals,Patrick Boileau,CA,D,18,1993,2004,Laval (QMJHL),48,5,11,16,-13,26,,,,,,,1.8,
70,Calgary Flames,Dan Tompkins,US,LW,,1993,,Minnetonka,,,,,,,,,,,,,,
71,Philadelphia Flyers,Vinny Prospal,CZ,C,18,1993,2013,Ceske Budejovice (Czech-2),1108,255,510,765,-57,581,,,,,,,74.5,
72,Hartford Whalers,Marek Malik,CZ,D,18,1993,2009,TJ Vitkovice (Czech),691,33,135,168,133,620,,,,,,,47.2,
73,Montreal Canadiens,Sebastien Bordeleau,CA,C,18,1993,2002,Hull (QMJHL),251,37,61,98,-31,118,,,,,,,6.4,
74,Detroit Red Wings,Kevin Hilton,US,C,,1993,,Trenton,,,,,,,,,,,,,,
75,Quebec Nordiques,Bill Pierce,US,C,,1993,,Burlington (High-MA),,,,,,,,,,,,,,
76,Chicago Blackhawks,Ryan Huska,CA,LW,18,1993,1998,Kamloops (WHL),1,0,0,0,0,0,,,,,,,0,
77,Philadelphia Flyers,Milos Holan,CZ,D,22,1993,1996,TJ Vitkovice (Czech),49,5,11,16,-12,42,,,,,,,2.2,
78,Florida Panthers,Steve Washburn,CA,C,18,1993,2001,Ottawa (OHL),93,14,15,29,-4,42,,,,,,,2,
79,Winnipeg Jets,Ruslan Batyrshin,RU,D,18,1993,1996,Dynamo Moscow (Russia),2,0,0,0,0,6,,,,,,,0.1,
80,San Jose Sharks,Alexander Osadchy,RU,D,,1993,,Kharkov,,,,,,,,,,,,,,
81,Tampa Bay Lightning,Marian Kacir,CZ,RW,,1993,,Hodonin,,,,,,,,,,,,,,
82,Anaheim Ducks,Joel Gagnon,CA,G,,1993,,Hearst,,,,,,,,,,,,,,
83,Florida Panthers,Bill McCauley,US,C,,1993,,Detroit (OHL),,,,,,,,,,,,,,
84,Hartford Whalers,Trevor Roenick,US,RW,,1993,,Derby,,,,,,,,,,,,,,
85,Montreal Canadiens,Adam Wiesel,US,D,,1993,,South Hadley,,,,,,,,,,,,,,
86,New York Rangers,Sergei Olimpiyev,BY,LW,,1993,,Lipetski,,,,,,,,,,,,,,
87,Dallas Stars,Chad Lang,CA,G,,1993,,Newmarket (OHL),,,,,,,,,,,,,,
88,Boston Bruins,Charles Paquette,CA,D,,1993,,Sherbrooke (QMJHL),,,,,,,,,,,,,,
89,St. Louis Blues,Jamal Mayers,CA,RW,18,1993,2013,Western Michigan (CCHA),915,90,129,219,-87,1200,,,,,,,11,
90,Chicago Blackhawks,Eric Daze,CA,RW,18,1993,2006,Beauport (QMJHL),601,226,172,398,8,176,,,,,,,46.7,
91,Ottawa Senators,Cosmo Dupaul,CA,C,,1993,,Victoriaville (QMJHL),,,,,,,,,,,,,,
92,New York Islanders,Warren Luhning,CA,RW,18,1993,2000,Calgary (AJHL),29,0,1,1,-10,21,,,,,,,-0.8,
93,Winnipeg Jets,Ravil Gusmanov,RU,LW,21,1993,1996,Traktor Chelyabinsk (KHL),4,0,0,0,-3,0,,,,,,,-0.2,
94,Los Angeles Kings,Bob Wren,CA,C,18,1993,2002,Detroit (OHL),5,0,0,0,0,0,,,,,,,-0.1,
95,Calgary Flames,Jason Smith,CA,D,,1993,,Calgary (WHL),,,,,,,,,,,,,,
96,Calgary Flames,Marty Murray,CA,C,18,1993,2007,Brandon (WHL),261,31,42,73,5,41,,,,,,,6,
97,Detroit Red Wings,John Jakopin,CA,D,18,1993,2003,St. Michael's Jr. B (OJHL),113,1,6,7,-8,145,,,,,,,1.7,
98,Vancouver Canucks,Dieter Kochan,CA,G,19,1993,2003,Kelowna (BCHL),21,0,0,0,0,0,21,1,11,1,0.862,3.96,0.5,
99,Montreal Canadiens,Jean-Francois Houle,CA,LW,,1993,,Northwood School (High-NY),,,,,,,,,,,,,,
100,Detroit Red Wings,Benoit Larose,CA,D,,1993,,Laval (QMJHL),,,,,,,,,,,,,,
101,Quebec Nordiques,Ryan Tocher,CA,D,,1993,,Hamilton (OHL),,,,,,,,,,,,,,
102,Chicago Blackhawks,Patrik Pysz,PL,C,,1993,,Augsburg (MIAC),,,,,,,,,,,,,,
103,Boston Bruins,Shawn Bates,US,C,18,1993,2008,Medford (High-MA),465,72,126,198,-28,266,,,,,,,15,
104,Pittsburgh Penguins,Jonas Andersson-Junkka,SE,D,,1993,,Kiruna (Sweden),,,,,,,,,,,,,,
105,Los Angeles Kings,Frederick Beaubien,CA,G,,1993,,St. Hyacinthe (QMJHL),,,,,,,,,,,,,,
106,San Jose Sharks,Andrei Buschan,UA,D,,1993,,Kiev (Russia),,,,,,,,,,,,,,
107,Tampa Bay Lightning,Ryan Brown,CA,D,,1993,,Seattle (WHL),,,,,,,,,,,,,,
108,Anaheim Ducks,Mikhail Shtalenkov,RU,G,27,1993,2000,Milwaukee (IHL),190,0,6,6,0,14,190,62,82,19,0.898,2.89,24.4,
109,Florida Panthers,Todd MacDonald,CA,G,,1993,,Tacoma (WHL),,,,,,,,,,,,,,
110,New Jersey Devils,John Guirestante,CA,RW,,1993,,Toronto,,,,,,,,,,,,,,
111,Edmonton Oilers,Miroslav Satan,SK,LW,18,1993,2010,Dukla Trencin (Slovakia),1050,363,372,735,20,464,,,,,,,82.3,
112,New York Rangers,Gary Roach,CA,D,,1993,,Sault Ste. Marie (OHL),,,,,,,,,,,,,,
113,Montreal Canadiens,Jeff Lank,CA,D,18,1993,2000,Prince Albert (WHL),2,0,0,0,0,2,,,,,,,0,
114,Philadelphia Flyers,Vladimir Krechin,RU,LW,,1993,,Traktor Chelyabinsk (KHL),,,,,,,,,,,,,,
115,Hartford Whalers,Nolan Pratt,CA,D,18,1993,2008,Portland (WHL),592,9,56,65,2,537,,,,,,,18.8,
