Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
198,Nashville Predators,Adam Smith\smithad01,CA,D,19,2016,,Bowling Green (WCHA),,,,,,,,,,,,,
199,Philadelphia Flyers,David Bernhardt\bernhda02,SE,D,18,2016,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
200,New York Islanders,David Quenneville\quennda01,CA,D,18,2016,,Medicine Hat (WHL),,,,,,,,,,,,,
201,New York Rangers,Ty Ronning\ronnity01,CA,RW,18,2016,,Vancouver (WHL),,,,,,,,,,,,,
202,Los Angeles Kings,Jacob Friend\frienja01,CA,D,19,2016,,Owen Sound (OHL),,,,,,,,,,,,,
203,Chicago Blackhawks,Jake Ryczek\ryczeja01,US,D,18,2016,,Waterloo (USHL),,,,,,,,,,,,,
204,Minnesota Wild,Brayden Chizen\chizebr01,CA,D,18,2016,,Kelowna (WHL),,,,,,,,,,,,,
205,Anaheim Ducks,Tyler Soy\soyty01,CA,C,19,2016,,Victoria (WHL),,,,,,,,,,,,,
206,Tampa Bay Lightning,Otto Somppi\somppot01,FI,C,18,2016,,Halifax (QMJHL),,,,,,,,,,,,,
207,Washington Capitals,Dmitriy Zaitsev\zaitsdm01,RU,D,18,2016,,WBS Knights (NAHL),,,,,,,,,,,,,
208,Tampa Bay Lightning,Ryan Lohin\lohinry01,US,C,20,2016,,Waterloo (USHL),,,,,,,,,,,,,
209,St. Louis Blues,Nikolaj Krag Christensen\kragcni01,DK,C/LW,18,2016,,Rodovre (DENMARK),,,,,,,,,,,,,
210,San Jose Sharks,Joachim Blichfeld\blichjo01,DK,W,18,2016,2021,Malmo Jr. (Sweden),8,1,0,1,-4,14,,,,,,,-0.1
211,St. Louis Blues,Filip Helt\heltfi01,CZ,LW,18,2016,,Litvinov Jr. (Czech-Jr.),,,,,,,,,,,,,
