Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
44,Tampa Bay Lightning,Boris Katchouk\katchbo01,CA,LW,18,2016,2022,Sault Ste. Marie (OHL),59,3,4,7,-7,39,,,,,,,-0.2
45,Chicago Blackhawks,Chad Krys\krysch01,US,D,18,2016,,USA U-18 (USHL),,,,,,,,,,,,,
46,Detroit Red Wings,Givani Smith\smithgi01,CA,RW,18,2016,2022,Guelph (OHL),83,7,7,14,-13,138,,,,,,,0.5
47,Nashville Predators,Samuel Girard\girarsa01,CA,D,18,2016,2022,Shawinigan (QMJHL),340,22,122,144,9,67,,,,,,,21.7
48,Philadelphia Flyers,Carter Hart\hartca01,CA,G,18,2016,2022,Everett (WHL),146,0,1,1,0,2,146,62,61,16,0.905,2.97,22.2
49,Boston Bruins,Ryan Lindgren\lindgry01,US,D,18,2016,2022,USA U-18 (USHL),194,6,39,45,48,138,,,,,,,12
50,Chicago Blackhawks,Artur Kayumov\kayumar01,RU,W,18,2016,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,,
51,Los Angeles Kings,Kale Clague\claguka01,CA,D,18,2016,2022,Brandon (WHL),58,2,14,16,-19,26,,,,,,,1.4
52,Philadelphia Flyers,Wade Allison\alliswa01,CA,RW,18,2016,2022,Tri-City (USHL),15,4,3,7,0,4,,,,,,,0.8
53,Detroit Red Wings,Filip Hronek\hronefi01,CZ,D,18,2016,2022,HR. Kralove (Czech),245,21,97,118,-95,128,,,,,,,13.5
54,Calgary Flames,Tyler Parsons\parsoty01,US,G,18,2016,,London (OHL),,,,,,,,,,,,,
55,Pittsburgh Penguins,Filip Gustavsson\gustafi01,SE,G,18,2016,2022,Lulea Jr. (Sweden-Jr.),27,0,0,0,0,0,27,10,13,3,0.905,3.12,4.5
