Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Toronto Maple Leafs,Wendel Clark\clarkwe01,CA,LW/D,18,1985,2000,Saskatoon (WHL),793,330,234,564,-130,1690,,,,,,,51.5,
2,Pittsburgh Penguins,Craig Simpson\simpscr01,CA,LW,18,1985,1995,Michigan State (CCHA),634,247,250,497,3,657,,,,,,,39.2,
3,New Jersey Devils,Craig Wolanin\wolancr01,US,D,18,1985,1998,Kitchener (OHL),695,40,133,173,-39,894,,,,,,,30.6,
4,Vancouver Canucks,Jim Sandlak\sandlji01,CA,RW,18,1985,1996,London (OHL),549,110,119,229,-28,821,,,,,,,11.6,
5,Hartford Whalers,Dana Murzyn\murzyda01,CA,D,18,1985,1999,Calgary (WHL),838,52,152,204,136,1571,,,,,,,49.6,
6,New York Islanders,Brad Dalgarno\dalgabr01,CA,RW,18,1985,1996,Hamilton (OHL),321,49,71,120,0,332,,,,,,,5,
7,New York Rangers,Ulf Dahlen\dahleul01,SE,LW,18,1985,2003,Ostersunds IK (Sweden),966,301,354,655,-20,230,,,,,,,58.2,
8,Detroit Red Wings,Brent Fedyk\fedykbr01,CA,LW,18,1985,1999,Regina (WHL),470,97,112,209,-17,308,,,,,,,12.1,
9,Los Angeles Kings,Craig Duncanson\duncacr01,CA,LW,18,1985,1993,Sudbury (OHL),38,5,4,9,-11,61,,,,,,,-0.3,
10,Los Angeles Kings,Dan Gratton\grattda01,CA,C,18,1985,1988,Oshawa (OHL),7,1,0,1,1,5,,,,,,,0,
11,Chicago Blackhawks,Dave Manson\mansoda01,CA,D,18,1985,2002,Prince Albert (WHL),1103,102,288,390,-8,2792,,,,,,,66.5,
12,Montreal Canadiens,Jose Charbonneau\charbjo01,CA,RW,18,1985,1995,Drummondville (QMJHL),71,9,13,22,-6,67,,,,,,,0.6,
13,New York Islanders,Derek King\kingde01,CA,LW,18,1985,2000,Sault Ste. Marie (OHL),830,261,351,612,9,417,,,,,,,53.1,
14,Buffalo Sabres,Calle Johansson\johanca01,SE,D,18,1985,2004,Vastra Frolunda (Sweden),1109,119,416,535,57,519,,,,,,,95.1,
15,Quebec Nordiques,David Latta\lattada01,CA,LW,18,1985,1991,Kitchener (OHL),36,4,8,12,-12,4,,,,,,,0,
16,Montreal Canadiens,Tom Chorske\chorsto01,US,LW,18,1985,2000,Minneapolis SW (High-MN),596,115,122,237,-2,225,,,,,,,16.3,
17,Calgary Flames,Chris Biotti,US,D,,1985,,Waltham (High-MA),,,,,,,,,,,,,,
18,Winnipeg Jets,Ryan Stewart\stewary01,CA,C,18,1985,1986,Kamloops (WHL),3,1,0,1,0,0,,,,,,,0.1,
19,Washington Capitals,Yvon Corriveau\corriyv01,CA,LW,18,1985,1994,Toronto (OHL),280,48,40,88,-9,310,,,,,,,3.3,
20,Edmonton Oilers,Scott Metcalfe\metcasc01,CA,LW,18,1985,1990,Kingston (OHL),19,1,2,3,-3,18,,,,,,,-0.3,
