Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
42,Minnesota Wild,Vladislav Firstov\firstvl01,RU,LW,18,2019,,Waterloo (USHL),,,,,,,,,,,,,,
43,Chicago Blackhawks,Alex Vlasic\vlasial01,US,D,18,2019,2022,USA U-18 (U.S. NTDP),15,1,1,2,-2,2,,,,,,,0.4,
44,Carolina Hurricanes,Jamieson Rees\reesja01,CA,C,18,2019,,Sarnia Sting (OHL),,,,,,,,,,,,,,
45,Nashville Predators,Egor Afanasyev\afanaeg01,RU,LW,18,2019,,Muskegon (USHL),,,,,,,,,,,,,,
46,Montreal Canadiens,Jayden Struble\strubja01,US,D,18,2019,,St. Sebastian's School (High-MA),,,,,,,,,,,,,,
47,Colorado Avalanche,Drew Helleson\helledr01,US,D,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
48,San Jose Sharks,Artemi Kniazev\kniazar01,RU,D,18,2019,2022,Chicoutimi Sagueneens (QMJHL),1,0,0,0,-2,0,,,,,,,-0.1,
49,New York Rangers,Matthew Robertson\roberma02,CA,D,18,2019,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,
50,Los Angeles Kings,Samuel Fagemo\fagemsa01,SE,LW,19,2019,2022,Frolunda (Sweden),4,0,0,0,-2,0,,,,,,,-0.2,
51,Winnipeg Jets,Simon Lundmark\lundmsi01,SE,D,18,2019,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,
52,Florida Panthers,Vladislav Kolyachonok\kolyavl01,BY,D,18,2019,2022,Flint Firebirds (OHL),32,1,2,3,0,6,,,,,,,1,
53,Toronto Maple Leafs,Nicholas Robertson\roberni01,US,LW,18,2019,2022,Peterborough Petes (OHL),16,1,1,2,-3,4,,,,,,,-0.1,
54,Detroit Red Wings,Robert Mastrosimone\mastrro01,US,LW,18,2019,,Chicago (USHL),,,,,,,,,,,,,,
55,San Jose Sharks,Dillon Hamaliuk\hamaldi01,CA,LW,18,2019,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,
56,Washington Capitals,Brett Leason\leasobr01,CA,RW,20,2019,2022,Prince Albert Raiders (WHL),36,3,3,6,1,4,,,,,,,0.4,
57,New York Islanders,Samuel Bolduc\boldusa01,CA,D,18,2019,,Blainville-Boisbriand Armada (QMJHL),,,,,,,,,,,,,,
58,New York Rangers,Karl Henriksson\henrika01,SE,C,18,2019,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
59,Minnesota Wild,Hunter Jones\joneshu01,CA,G,18,2019,,Peterborough Petes (OHL),,,,,,,,,,,,,,
60,Detroit Red Wings,Albert Johansson\johanal01,SE,D,18,2019,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,
61,New Jersey Devils,Nikita Okhotyuk\okhotni01,RU,D,18,2019,2022,Ottawa 67's (OHL),5,1,1,2,-2,2,,,,,,,0.2,
62,St. Louis Blues,Nikita Alexandrov\alexani01,DE,C,18,2019,,Charlottetown Islanders (QMJHL),,,,,,,,,,,,,,
63,Colorado Avalanche,Matthew Stienburg\stienma01,CA,C,18,2019,,St. Andrews College (HIGH-ON),,,,,,,,,,,,,,
64,Montreal Canadiens,Mattias Norlinder\norlima01,SE,D,19,2019,2022,MODO Jr. (Sweden-Jr.),6,0,1,1,2,2,,,,,,,0.3,
65,Nashville Predators,Alexander Campbell\campbal01,CA,LW,18,2019,,Victoria (BCHL),,,,,,,,,,,,,,
66,Detroit Red Wings,Albin Grewe\greweal01,SE,RW,18,2019,,Djurgardens Jr. (Sweden-Jr.),,,,,,,,,,,,,,
67,Buffalo Sabres,Erik Portillo\portier01,SE,G,19,2019,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
68,New York Rangers,Zachary Jones\jonesza01,US,D,18,2019,2022,Tri-City (USHL),22,0,6,6,-9,2,,,,,,,0.3,
69,Florida Panthers,John Ludvig\ludvijo01,CZ,D,19,2019,,Portland Winter Hawks (WHL),,,,,,,,,,,,,,
70,New Jersey Devils,Daniil Misyul\misyuda01,BY,D,18,2019,,Yaroslaval 2 (Russia-Jr.),,,,,,,,,,,,,,
71,Tampa Bay Lightning,Hugo Alnefelt\alnefhu01,SE,G,18,2019,2022,HV 71 Jr. (Sweden-Jr.),1,0,0,0,,0,1,0,0,0,0.7,9,-0.2,
72,Philadelphia Flyers,Ronald Attard\attarro01,US,D,20,2019,2022,Tri-City (USHL),15,2,2,4,-2,8,,,,,,,0.7,
73,Carolina Hurricanes,Patrick Puistola\puistpa01,FI,RW,18,2019,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,,
74,Pittsburgh Penguins,Nathan Legare\legarna01,CA,RW,18,2019,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,
75,Minnesota Wild,Adam Beckman\beckmad01,CA,LW,18,2019,2022,Spokane Chiefs (WHL),3,0,1,1,-1,2,,,,,,,0,
76,Arizona Coyotes,John Farinacci\farinjo01,US,C,18,2019,,Dexter School (High-MA),,,,,,,,,,,,,,
77,Montreal Canadiens,Gianni Fairbrother\fairbgi01,CA,D,18,2019,,Everett Silvertips (WHL),,,,,,,,,,,,,,
78,Colorado Avalanche,Alex Beaucage\beaucal01,CA,RW,18,2019,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,
79,Vegas Golden Knights,Pavel Dorofeyev\dorofpa01,RU,LW,18,2019,2022,Magnitogorsk (Russia),2,0,0,0,-1,2,,,,,,,-0.1,
80,New Jersey Devils,Graeme Clarke\clarkgr01,US,RW,18,2019,,Ottawa 67's (OHL),,,,,,,,,,,,,,
81,Florida Panthers,Cole Schwindt\schwico01,CA,RW,18,2019,2022,Mississauga Steelheads (OHL),3,0,0,0,-4,0,,,,,,,-0.2,
82,New Jersey Devils,Michael Vukojevic\vukojmi01,CA,D,18,2019,,Kitchener Rangers (OHL),,,,,,,,,,,,,,
83,Carolina Hurricanes,Anttoni Honka\honkaan01,FI,D,18,2019,,Jukurit (Finland),,,,,,,,,,,,,,
84,Toronto Maple Leafs,Mikko Kokkonen\kokkomi01,FI,D,18,2019,,Jukurit (Finland),,,,,,,,,,,,,,
85,Edmonton Oilers,Ilya Konovalov\konovil01,RU,G,21,2019,,Yaroslaval (Russia),,,,,,,,,,,,,,
86,Vegas Golden Knights,Layton Ahac\ahacla01,CA,D,18,2019,,Prince George (BCHL),,,,,,,,,,,,,,
87,Los Angeles Kings,Lukas Parik\pariklu01,CZ,G,18,2019,,Liberec Jr. (Czech-Jr.),,,,,,,,,,,,,,
88,Calgary Flames,Ilya Nikolaev\nikolil01,RU,C,18,2019,,Yaroslaval 2 (Russia-Jr.),,,,,,,,,,,,,,
89,Tampa Bay Lightning,Maxim Cajkovic\cajkoma01,SK,RW,18,2019,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,
90,Carolina Hurricanes,Domenick Fensore\fensodo01,US,D,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
91,Washington Capitals,Aliaksei Protas\protaal01,BY,C,18,2019,2022,Prince Albert Raiders (WHL),33,3,6,9,4,0,,,,,,,0.7,
