Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
92,Minnesota North Stars,Enrico Ciccone\ciccoen01,CA,D,20,1990,2001,Trois-Rivieres (QMJHL),374,10,18,28,-11,1469,,,,,,,14.1
93,Washington Capitals,Brian Sakic,CA,C,,1990,,Tri-City (WHL),,,,,,,,,,,,,
94,Washington Capitals,Mark Ouimet,CA,C,,1990,,Michigan (CCHA),,,,,,,,,,,,,
95,New Jersey Devils,Dean Malkoc\malkode01,CA,D,20,1990,1999,Kamloops (WHL),116,1,3,4,-33,299,,,,,,,1.3
96,St. Louis Blues,Jason Ruff\ruffja01,CA,LW,20,1990,1994,Lethbridge (WHL),14,3,3,6,1,10,,,,,,,0.5
97,Buffalo Sabres,Richard Smehlik\smehlri01,CZ,D,20,1990,2003,TJ Vitkovice (Czech),644,49,146,195,62,415,,,,,,,44.5
98,Winnipeg Jets,Craig Martin\marticr01,CA,RW,19,1990,1997,Hull (QMJHL),21,0,1,1,-4,24,,,,,,,-0.6
99,New York Rangers,Lubos Rob,CZ,C,,1990,,Ceske Budejovice (Czech-2),,,,,,,,,,,,,
100,Buffalo Sabres,Todd Bojcun,CA,G,,1990,,Peterborough (OHL),,,,,,,,,,,,,
101,Edmonton Oilers,Greg Louder,US,G,,1990,,Cushing Academy (High-MA),,,,,,,,,,,,,
102,Montreal Canadiens,Paul DiPietro\dipiepa01,CA,C,20,1990,1997,Sudbury (OHL),192,31,49,80,0,96,,,,,,,4.3
103,Buffalo Sabres,Brad Pascall,CA,D,,1990,,North Dakota (WCHA),,,,,,,,,,,,,
104,New Jersey Devils,Petr Kuchyna,CZ,D,,1990,,Dukla Jihlava (Czech-2),,,,,,,,,,,,,
105,Boston Bruins,Mike Bales\balesmi01,CA,G,19,1990,1997,Ohio State (CCHA),23,0,0,0,0,2,23,2,15,1,0.869,4.13,1.6
106,Quebec Nordiques,Jeff Parrott,CA,D,,1990,,Minnesota-Duluth (WCHA),,,,,,,,,,,,,
107,Pittsburgh Penguins,Ian Moran\morania01,US,D,18,1990,2007,Belmont Hill (High-MA),489,21,50,71,-43,321,,,,,,,9.1
108,Detroit Red Wings,Claude Barthe,CA,D,,1990,,Victoriaville (QMJHL),,,,,,,,,,,,,
109,Philadelphia Flyers,Viacheslav Butsayev\butsavi01,RU,C,20,1990,2000,CSKA Moscow (Russia),132,17,26,43,-8,133,,,,,,,1
110,Pittsburgh Penguins,Denis Casey,CA,G,,1990,,Colorado College (WCHA),,,,,,,,,,,,,
111,New York Islanders,Joni Lehto,FI,D,,1990,,Ottawa (OHL),,,,,,,,,,,,,
112,Los Angeles Kings,Erik Andersson\anderer01,SE,C,19,1990,1998,Danderyd,12,2,1,3,-4,8,,,,,,,0.1
113,Minnesota North Stars,Roman Turek\turekro01,CZ,G,20,1990,2004,Ceske Budejovice Jr. (Czech-Jr.),328,0,12,12,0,30,328,159,115,43,0.907,2.31,48
114,Washington Capitals,Andrei Kovalev,RU,RW,,1990,,Dynamo Moscow (Russia),,,,,,,,,,,,,
115,Toronto Maple Leafs,Alexander Godynyuk\godynal01,RU,D,20,1990,1997,Sokol Kiev (Russia),223,10,39,49,-8,224,,,,,,,11.5
116,New Jersey Devils,Lubomir Kolnik,CZ,RW,,1990,,Dukla Trencin (Slovakia),,,,,,,,,,,,,
117,St. Louis Blues,Kurtis Miller,US,LW,,1990,,Rochester (USHL),,,,,,,,,,,,,
118,New York Rangers,Jason Weinrich,US,D,,1990,,Springfield Jr. B,,,,,,,,,,,,,
119,Winnipeg Jets,Daniel Jardemyr,SE,D,,1990,,Uppsala (Sweden-2),,,,,,,,,,,,,
120,Hartford Whalers,Cory Keenan,US,D,,1990,,Kitchener (OHL),,,,,,,,,,,,,
121,Chicago Blackhawks,Brett Stickney,US,C,,1990,,St. Paul's (High-NH),,,,,,,,,,,,,
122,Edmonton Oilers,Keijo Sailynoja,FI,LW,,1990,,Jokerit Helsinki (KHL),,,,,,,,,,,,,
123,Montreal Canadiens,Craig Conroy\conrocr01,US,C,19,1990,2011,Northwood School (High-NY),1009,182,360,542,98,603,,,,,,,51.3
124,Chicago Blackhawks,Derek Edgerly,US,C,,1990,,Stoneham (High-MA),,,,,,,,,,,,,
125,Calgary Flames,Chris Tschupp,US,C,,1990,,Trinity-Pawling (High-NY),,,,,,,,,,,,,
126,Boston Bruins,Mark Woolf,CA,RW,,1990,,Spokane (WHL),,,,,,,,,,,,,
127,Quebec Nordiques,Dwayne Norris\norridw01,CA,RW,20,1990,1996,Michigan State (CCHA),20,2,4,6,2,8,,,,,,,0.2
128,Vancouver Canucks,Daryl Filipek,CA,D,,1990,,Ferris State (CCHA),,,,,,,,,,,,,
129,Detroit Red Wings,Jason York\yorkja01,CA,D,20,1990,2007,Kitchener (OHL),757,42,187,229,2,621,,,,,,,48.8
130,Pittsburgh Penguins,Mika Valila,SE,C,,1990,,Tappara Tampere (Finland),,,,,,,,,,,,,
131,Pittsburgh Penguins,Ken Plaquin,CA,D,,1990,,Michigan Tech (WCHA),,,,,,,,,,,,,
132,New York Islanders,Michael Guilbert,US,D,,1990,,Governor Dummer (High-MA),,,,,,,,,,,,,
133,Los Angeles Kings,Robert Lang\langro01,CZ,C,19,1990,2010,CHZ Litvinov (Czech),989,261,442,703,55,422,,,,,,,70.3
134,Minnesota North Stars,Jeff Levy,US,G,,1990,,Rochester (USHL),,,,,,,,,,,,,
135,Washington Capitals,Roman Kontsek,CZ,RW,,1990,,Dukla Trencin (Slovakia),,,,,,,,,,,,,
136,Toronto Maple Leafs,Eric Lacroix\lacroer01,CA,LW,19,1990,2001,Governor Dummer (High-MA),472,67,70,137,-23,361,,,,,,,8.5
137,New Jersey Devils,Chris McAlpine\mcalpch01,US,D,18,1990,2003,Roseville (High-MN),289,6,24,30,7,245,,,,,,,10
138,St. Louis Blues,Wayne Conlan,US,C,,1990,,Trinity-Pawling (High-NY),,,,,,,,,,,,,
139,New York Rangers,Brian Lonsinger,US,D,,1990,,Choate Academy (High-CT),,,,,,,,,,,,,
140,Winnipeg Jets,John Lilley\lillejo01,US,RW,18,1990,1996,Cushing Academy (High-MA),23,3,8,11,2,13,,,,,,,0.7
141,Hartford Whalers,Jergus Baca\bacaje01,CZ,D,25,1990,1992,VSZ Kosice (Slovakia),10,0,2,2,-4,14,,,,,,,0.3
142,Buffalo Sabres,Viktor Gordiouk\gordivi01,RU,LW,20,1990,1995,Krylja Sovetov (Russia),26,3,8,11,1,0,,,,,,,0.5
143,Edmonton Oilers,Mike Power,CA,G,,1990,,Western Michigan (CCHA),,,,,,,,,,,,,
144,Montreal Canadiens,Stephen Rohr,US,RW,,1990,,Culver Military Academy (High-IN),,,,,,,,,,,,,
145,Pittsburgh Penguins,Pat Neaton\neatopa01,US,D,19,1990,1994,Michigan (CCHA),9,1,1,2,3,12,,,,,,,0.6
146,Calgary Flames,Dimitri Frolov,RU,D,,1990,,Dynamo Moscow (Russia),,,,,,,,,,,,,
147,Boston Bruins,Jim Mackey,US,D,,1990,,Hotchkiss (High-CT),,,,,,,,,,,,,
148,Quebec Nordiques,Andrei Kovalenko\kovalan01,RU,RW,20,1990,2001,CSKA Moscow (Russia),620,173,206,379,-28,389,,,,,,,33.5
149,Vancouver Canucks,Paul O'Hagan,CA,D,,1990,,Oshawa (OHL),,,,,,,,,,,,,
150,Detroit Red Wings,Wes McCauley,CA,D,,1990,,Michigan State (CCHA),,,,,,,,,,,,,
151,Philadelphia Flyers,Patrik Englund,SE,LW,,1990,,AIK Solna (Sweden),,,,,,,,,,,,,
152,Pittsburgh Penguins,Petteri Koskimaki,FI,C,,1990,,Boston University (H-East),,,,,,,,,,,,,
153,New York Islanders,Sylvain Fleury,CA,LW,,1990,,Longueuil (QMJHL),,,,,,,,,,,,,
154,Los Angeles Kings,Dean Hulett,US,RW,,1990,,Lake Superior State (CCHA),,,,,,,,,,,,,
155,Minnesota North Stars,Doug Barrault\barrado01,CA,RW,20,1990,1994,Lethbridge (WHL),4,0,0,0,-3,2,,,,,,,-0.2
156,Washington Capitals,Peter Bondra\bondrpe01,UA,RW,22,1990,2007,Kosice (Slovakia),1081,503,389,892,74,761,,,,,,,104.3
157,Toronto Maple Leafs,Dan Stiver,CA,RW,,1990,,Michigan (CCHA),,,,,,,,,,,,,
158,Quebec Nordiques,Alexander Karpovtsev\karpoal01,RU,D,20,1990,2006,Dynamo Moscow (Russia),596,34,154,188,47,430,,,,,,,38.2
159,Washington Capitals,Steve Martell,CA,RW,,1990,,London (OHL),,,,,,,,,,,,,
160,New York Rangers,Todd Hedlund,US,RW,,1990,,Roseau (High-MN),,,,,,,,,,,,,
161,Winnipeg Jets,Henrik Andersson,SE,D,,1990,,Vasteras (Sweden-2),,,,,,,,,,,,,
162,Hartford Whalers,Martin D'Orsonnens,CA,D,,1990,,Clarkson (ECAC),,,,,,,,,,,,,
163,Chicago Blackhawks,Hugo Belanger,CA,LW,,1990,,Clarkson (ECAC),,,,,,,,,,,,,
164,Edmonton Oilers,Roman Mejzlik,CZ,LW/C,,1990,,Dukla Jihlava (Czech-2),,,,,,,,,,,,,
165,Montreal Canadiens,Brent Fleetwood,CA,LW,,1990,,Portland (WHL),,,,,,,,,,,,,
166,Buffalo Sabres,Milan Nedoma,CZ,D,,1990,,Zetor Brno (Czech),,,,,,,,,,,,,
167,Calgary Flames,Shawn Murray,US,G,,1990,,Hill-Murray (High-MN),,,,,,,,,,,,,
168,Boston Bruins,John Gruden\grudejo01,US,D,20,1990,2004,Waterloo (USHL),92,1,8,9,-4,46,,,,,,,3.4
169,Quebec Nordiques,Pat Mazzoli,CA,G,,1990,,Humboldt (Sweden-Jr.),,,,,,,,,,,,,
170,Vancouver Canucks,Mark Cipriano,CA,RW,,1990,,Victoria (WHL),,,,,,,,,,,,,
171,Detroit Red Wings,Anthony Gruba,US,RW,,1990,,Hill-Murray (High-MN),,,,,,,,,,,,,
172,Philadelphia Flyers,Toni Porkka,FI,D,,1990,,Lukko Rauma (Finland),,,,,,,,,,,,,
173,Pittsburgh Penguins,Ladislav Karabin\karabla01,SK,LW,20,1990,1994,Slovan Bratislava (KHL),9,0,0,0,0,2,,,,,,,-0.3
174,New York Islanders,John Joyce,US,C,,1990,,Avon Old Farms (High-CT),,,,,,,,,,,,,
175,Los Angeles Kings,Denis Leblanc,CA,C,,1990,,St. Hyacinthe (QMJHL),,,,,,,,,,,,,
176,Minnesota North Stars,Joe Biondi,US,C,,1990,,Minnesota-Duluth (WCHA),,,,,,,,,,,,,
177,Washington Capitals,Ken Klee\kleeke01,US,D,19,1990,2009,Bowling Green (CCHA),934,55,140,195,30,880,,,,,,,33.9
178,Toronto Maple Leafs,Robert Horyna,CZ,G,,1990,,Dukla Jihlava (Czech-2),,,,,,,,,,,,,
179,New Jersey Devils,Jaroslav Modry\modryja01,CZ,D,19,1990,2008,Ceske Budejovice (Czech-2),725,49,201,250,-23,510,,,,,,,45.9
180,St. Louis Blues,Parris Duffus\duffupa01,US,G,20,1990,1997,Melfort (SJHL),1,0,0,0,0,0,1,0,0,0,0.875,2.08,0
181,New York Rangers,Andrew Silverman,US,D,,1990,,Beverly (High-MA),,,,,,,,,,,,,
182,Winnipeg Jets,Rauli Raitanen,FI,C,,1990,,Assat Pori (Finland),,,,,,,,,,,,,
183,Hartford Whalers,Corey Osmak,CA,C,,1990,,Nipawin (OJHL),,,,,,,,,,,,,
184,Chicago Blackhawks,Owen Lessard,CA,LW,,1990,,Owen Sound (OHL),,,,,,,,,,,,,
185,Edmonton Oilers,Richard Zemlicka,CZ,W,,1990,,Sparta Praha (Czech),,,,,,,,,,,,,
186,Montreal Canadiens,Derek Maguire,US,D,,1990,,Delbarton (High-NJ),,,,,,,,,,,,,
187,Buffalo Sabres,Jason Winch,CA,LW,,1990,,Niagara Falls (OHL),,,,,,,,,,,,,
188,Calgary Flames,Mike Murray,US,RW,,1990,,Cushing Academy (High-MA),,,,,,,,,,,,,
189,Boston Bruins,Darren Wetherill,CA,D,,1990,,Minot (SJHL),,,,,,,,,,,,,
190,Quebec Nordiques,Scott Davis,CA,D,,1990,,U. of Manitoba (CWUAA),,,,,,,,,,,,,
191,Vancouver Canucks,Troy Neumier,CA,D,,1990,,Prince Albert (WHL),,,,,,,,,,,,,
192,Detroit Red Wings,Travis Tucker,US,D,,1990,,Avon Old Farms (High-CT),,,,,,,,,,,,,
193,Philadelphia Flyers,Greg Hanson,US,D,,1990,,Bloomington-Kennedy (High-MN),,,,,,,,,,,,,
194,Pittsburgh Penguins,Timothy Fingerhut,US,LW,,1990,,Canterbury (High-CT),,,,,,,,,,,,,
195,New York Islanders,Richard Enga,DE,C,,1990,,Culver Military Academy (High-IN),,,,,,,,,,,,,
196,Los Angeles Kings,Patrik Ross,SE,RW,,1990,,HV 71 Jonkoping (Sweden),,,,,,,,,,,,,
197,Minnesota North Stars,Troy Binnie,CA,RW,,1990,,Ottawa (OHL),,,,,,,,,,,,,
198,Washington Capitals,Michael Boback,US,C,,1990,,Providence (H-East),,,,,,,,,,,,,
199,Toronto Maple Leafs,Rob Chebator,US,D,,1990,,Arlington Catholic (High-MA),,,,,,,,,,,,,
200,New Jersey Devils,Corey Schwab\schwaco01,CA,G,19,1990,2004,Seattle (WHL),147,0,6,6,0,53,147,42,63,13,0.896,2.89,16.5
201,St. Louis Blues,Steve Widmeyer,CA,RW,,1990,,U. of Maine (H-East),,,,,,,,,,,,,
202,New York Rangers,Jon Hillebrandt,US,G,,1990,,Monona Grove (High-NY),,,,,,,,,,,,,
203,Winnipeg Jets,Mika Alatalo\alatami01,FI,LW,19,1990,2001,KooKoo Kouvola (Finland),152,17,29,46,-2,58,,,,,,,3.2
204,Hartford Whalers,Espen Knutsen\knutses01,NO,C,18,1990,2004,Valerengen (Norway),207,30,81,111,-61,105,,,,,,,7.4
205,Chicago Blackhawks,Erik Peterson,US,C,,1990,,Brockton (High-MA),,,,,,,,,,,,,
206,Edmonton Oilers,Petr Korinek,CZ,C,,1990,,Skoda Plzen (Czech),,,,,,,,,,,,,
207,Montreal Canadiens,Mark Kettelhut,US,D,,1990,,Duluth East (High-MN),,,,,,,,,,,,,
208,Buffalo Sabres,Sylvain Naud,CA,RW,,1990,,Laval (QMJHL),,,,,,,,,,,,,
209,Calgary Flames,Rob Sumner,CA,D,,1990,,Victoria (WHL),,,,,,,,,,,,,
210,Boston Bruins,Dean Capuano,US,D,,1990,,Mount St. Charles (High-RI),,,,,,,,,,,,,
211,Quebec Nordiques,Mika Stromberg,FI,D,,1990,,Jokerit Helsinki (KHL),,,,,,,,,,,,,
212,Vancouver Canucks,Tyler Ertel,CA,C,,1990,,North Bay (OHL),,,,,,,,,,,,,
213,Detroit Red Wings,Brett Larson,US,D,,1990,,Duluth-Denfield (High-MN),,,,,,,,,,,,,
214,Philadelphia Flyers,Tommy Soderstrom\soderto01,SE,G,21,1990,1997,Djurgarden (Sweden),156,0,2,2,0,13,156,45,69,19,0.884,3.63,19
215,Pittsburgh Penguins,Michael Thompson,CA,RW,,1990,,Michigan State (CCHA),,,,,,,,,,,,,
216,New York Islanders,Martin Lacroix,CA,RW,,1990,,St. Lawrence (ECAC),,,,,,,,,,,,,
217,Los Angeles Kings,K.J.(Kevin) White,CA,C,,1990,,Windsor (OHL),,,,,,,,,,,,,
218,Minnesota North Stars,Ole-Eskild Dahlstrom,NO,C,,1990,,Furuset,,,,,,,,,,,,,
219,Washington Capitals,Alan Brown,CA,D,,1990,,Colgate (ECAC),,,,,,,,,,,,,
