Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Quebec Nordiques,Owen Nolan\nolanow01,GB,RW,18,1990,2010,Cornwall (OHL),1200,422,463,885,-40,1793,,,,,,,91.6
2,Vancouver Canucks,Petr Nedved\nedvepe01,CZ,C,18,1990,2007,Seattle (WHL),982,310,407,717,-21,708,,,,,,,65.1
3,Detroit Red Wings,Keith Primeau\primeke02,CA,C,18,1990,2006,Niagara Falls (OHL),909,266,353,619,124,1541,,,,,,,63.4
4,Philadelphia Flyers,Mike Ricci\riccimi01,CA,C,18,1990,2007,Peterborough (OHL),1099,243,362,605,-20,974,,,,,,,48.8
5,Pittsburgh Penguins,Jaromir Jagr\jagrja01,CZ,RW,18,1990,2018,Poldi Kladno (Czech),1733,766,1155,1921,322,1167,,,,,,,217.1
6,New York Islanders,Scott Scissons\scisssc01,CA,C,18,1990,1994,Saskatoon (WHL),2,0,0,0,0,0,,,,,,,0
7,Los Angeles Kings,Darryl Sydor\sydorda01,CA,D,18,1990,2010,Kamloops (WHL),1291,98,409,507,21,755,,,,,,,94
8,Minnesota North Stars,Derian Hatcher\hatchde01,US,D,18,1990,2008,North Bay (OHL),1045,80,251,331,74,1581,,,,,,,77.7
9,Washington Capitals,John Slaney\slanejo01,CA,D,18,1990,2004,Cornwall (OHL),268,22,69,91,-26,99,,,,,,,14.8
10,Toronto Maple Leafs,Drake Berehowsky\berehdr01,CA,D,18,1990,2004,Kingston (OHL),549,37,112,149,-48,848,,,,,,,29.2
11,Calgary Flames,Trevor Kidd\kiddtr01,CA,G,18,1990,2004,Brandon (WHL),387,0,13,13,0,36,387,140,162,52,0.901,2.84,56.2
12,Montreal Canadiens,Turner Stevenson\stevetu01,CA,RW,18,1990,2006,Seattle (WHL),644,75,115,190,-9,969,,,,,,,12.4
13,New York Rangers,Michael Stewart,CA,D,,1990,,Michigan State (CCHA),,,,,,,,,,,,,
14,Buffalo Sabres,Brad May\maybr01,CA,LW,18,1990,2010,Niagara Falls (OHL),1041,127,161,288,-21,2248,,,,,,,17.1
15,Hartford Whalers,Mark Greig\greigma01,CA,RW,20,1990,2003,Lethbridge (WHL),125,13,27,40,-9,90,,,,,,,1.6
16,Chicago Blackhawks,Karl Dykhuis\dykhuka01,CA,D,18,1990,2004,Hull (QMJHL),644,42,91,133,8,495,,,,,,,34.8
17,Edmonton Oilers,Scott Allison,CA,C,,1990,,Prince Albert (WHL),,,,,,,,,,,,,
18,Vancouver Canucks,Shawn Antoski\antossh01,CA,LW,20,1990,1998,North Bay (OHL),183,3,5,8,-20,599,,,,,,,-4.4
19,Winnipeg Jets,Keith Tkachuk\tkachke01,US,LW,18,1990,2010,Malden Catholic (High-MA),1201,538,527,1065,33,2219,,,,,,,125.1
20,New Jersey Devils,Martin Brodeur\brodema01,CA,G,18,1990,2015,St. Hyacinthe (QMJHL),1266,2,45,47,0,122,1266,691,397,154,0.912,2.24,207
21,Boston Bruins,Bryan Smolinski\smolibr01,US,C,18,1990,2008,Michigan State (CCHA),1056,274,377,651,46,606,,,,,,,63.6
22,Quebec Nordiques,Ryan Hughes\hughery01,CA,C,18,1990,1996,Cornell (ECAC),3,0,0,0,0,0,,,,,,,-0.1
23,Vancouver Canucks,Jiri Slegr\slegrji01,CZ,D,19,1990,2006,CHZ Litvinov (Czech),622,56,193,249,32,838,,,,,,,43.8
24,New Jersey Devils,David Harlock\harloda01,CA,D,19,1990,2002,Michigan (CCHA),212,2,14,16,-55,188,,,,,,,1.8
25,Philadelphia Flyers,Chris Simon\simonch01,CA,LW,18,1990,2008,Ottawa (OHL),782,144,161,305,28,1824,,,,,,,28.6
26,Calgary Flames,Nicolas Perreault,CA,D,,1990,,Hawkesbury (CJHL),,,,,,,,,,,,,
27,New York Islanders,Chris Taylor\tayloch01,CA,C,18,1990,2004,London (OHL),149,11,21,32,-5,48,,,,,,,1.5
28,Los Angeles Kings,Brandy Semchuk\semchbr01,CA,RW,18,1990,1993,Canadian National,1,0,0,0,0,2,,,,,,,0
29,New Jersey Devils,Chris Gotziaman,US,RW,,1990,,Roseau (High-MN),,,,,,,,,,,,,
30,Washington Capitals,Rod Pasma,CA,D,,1990,,Cornwall (OHL),,,,,,,,,,,,,
31,Toronto Maple Leafs,Felix Potvin\potvife01,CA,G,19,1990,2004,Chicoutimi (QMJHL),635,0,16,16,0,82,635,266,260,85,0.905,2.76,106.3
32,Calgary Flames,Vesa Viitakoski\viitave01,FI,LW,19,1990,1996,SaiPa (Finland),23,2,4,6,-2,8,,,,,,,0
33,St. Louis Blues,Craig Johnson\johnscr01,US,LW,18,1990,2004,Hill-Murray (High-MN),557,75,98,173,-33,260,,,,,,,11.2
34,New York Rangers,Doug Weight\weighdo01,US,C,19,1990,2011,Lake Superior State (CCHA),1238,278,755,1033,-58,970,,,,,,,89.9
35,Winnipeg Jets,Mike Muller,US,D,,1990,,Wayzata (High-MN),,,,,,,,,,,,,
36,Hartford Whalers,Geoff Sanderson\sandege01,CA,LW,18,1990,2008,Swift Current (WHL),1104,355,345,700,-100,511,,,,,,,69.8
37,Chicago Blackhawks,Ivan Droppa\droppiv01,SK,D,18,1990,1996,Kosice Jr. (Slovak-Jr.),19,0,1,1,4,14,,,,,,,1
38,Edmonton Oilers,Alexandre Legault,CA,RW,,1990,,Boston University (H-East),,,,,,,,,,,,,
39,Montreal Canadiens,Ryan Kuwabara,CA,RW,,1990,,Ottawa (OHL),,,,,,,,,,,,,
40,Philadelphia Flyers,Mikael Renberg\renbemi01,SE,RW,18,1990,2004,Pitea (Sweden),661,190,274,464,54,372,,,,,,,48.1
41,Calgary Flames,Etienne Belzile,CA,D,,1990,,Cornell (ECAC),,,,,,,,,,,,,
42,Philadelphia Flyers,Terran Sandwith\sandwte01,CA,D,18,1990,1998,Tri-City (WHL),8,0,0,0,-4,6,,,,,,,-0.1
43,Quebec Nordiques,Brad Zavisha\zavisbr01,CA,LW,18,1990,1994,Seattle (WHL),2,0,0,0,-2,0,,,,,,,-0.1
44,Philadelphia Flyers,Kimbi Daniels\danieki01,CA,C,18,1990,1992,Swift Current (WHL),27,1,2,3,-6,4,,,,,,,-0.5
45,Detroit Red Wings,Vyacheslav Kozlov\kozlovy01,RU,LW,18,1990,2010,Khimik Voskresensk (Russia-2),1182,356,497,853,96,704,,,,,,,88.4
46,Philadelphia Flyers,Bill Armstrong,CA,D,,1990,,Oshawa (OHL),,,,,,,,,,,,,
47,Philadelphia Flyers,Chris Therien\therich01,CA,D,18,1990,2006,Northwood School (High-NY),764,29,130,159,130,585,,,,,,,46.7
48,New York Islanders,Dan Plante\plantda01,US,RW,18,1990,1998,Edina (High-MN),159,9,14,23,-31,135,,,,,,,-2
49,Los Angeles Kings,Bill Berg,CA,LW,,1990,,Belleville (OHL),,,,,,,,,,,,,
50,Minnesota North Stars,Laurie Billeck,CA,D,,1990,,Prince Albert (WHL),,,,,,,,,,,,,
51,Washington Capitals,Chris Longo,CA,RW,,1990,,Peterborough (OHL),,,,,,,,,,,,,
52,Philadelphia Flyers,Al Kinisky,CA,LW,,1990,,Seattle (WHL),,,,,,,,,,,,,
53,New Jersey Devils,Mike Dunham\dunhami01,US,G,18,1990,2007,Canterbury (High-CT),394,0,5,5,0,16,394,141,178,44,0.908,2.75,65.4
54,St. Louis Blues,Patrice Tardif\tardipa01,CA,C,19,1990,1996,Lennoxville,65,7,11,18,-7,78,,,,,,,0.2
55,New York Rangers,John Vary,CA,D,,1990,,North Bay (OHL),,,,,,,,,,,,,
56,New Jersey Devils,Brad Bombardir\bombabr01,CA,D,18,1990,2004,Powell River (BCHL),356,8,46,54,-5,127,,,,,,,16.1
57,Hartford Whalers,Mike Lenarduzzi\lenarmi01,CA,G,18,1990,1994,Sault Ste. Marie (OHL),4,0,0,0,0,0,4,1,1,1,0.899,3.18,0.6
58,Montreal Canadiens,Charles Poulin,CA,C,,1990,,St. Hyacinthe (QMJHL),,,,,,,,,,,,,
59,Edmonton Oilers,Joe Crowley,US,LW,,1990,,Lawrence Academy (High-MA),,,,,,,,,,,,,
60,Montreal Canadiens,Robert Guillet,CA,RW,,1990,,Longueuil (QMJHL),,,,,,,,,,,,,
61,Pittsburgh Penguins,Joe Dziedzic\dziedjo01,US,LW,18,1990,1999,Edison (High-MN),130,14,14,28,-11,131,,,,,,,-0.7
62,Calgary Flames,Glen Mears,US,D,,1990,,Rochester (USHL),,,,,,,,,,,,,
63,Boston Bruins,Cam Stewart\stewaca01,CA,LW,18,1990,2001,Elmira Jr. B,202,16,23,39,-15,120,,,,,,,0.9
64,New Jersey Devils,Mike Bodnarchuk,CA,RW,,1990,,Kingston (OHL),,,,,,,,,,,,,
65,Vancouver Canucks,Darin Bader,CA,LW,,1990,,Saskatoon (WHL),,,,,,,,,,,,,
66,Detroit Red Wings,Stewart Malgunas\malgust01,CA,D,20,1990,2000,Seattle (WHL),129,1,5,6,-10,144,,,,,,,2.6
67,Edmonton Oilers,Joel Blain,CA,LW,,1990,,Hull (QMJHL),,,,,,,,,,,,,
68,Pittsburgh Penguins,Chris Tamer\tamerch01,US,D,19,1990,2004,Michigan (CCHA),644,21,64,85,-75,1183,,,,,,,15.3
69,New York Rangers,Jeff Nielsen\nielsje01,US,RW,18,1990,2001,Grand Rapids (High-MN),252,20,27,47,-26,70,,,,,,,1.2
70,Minnesota North Stars,Cal McGowan,US,C,,1990,,Kamloops (WHL),,,,,,,,,,,,,
71,Minnesota North Stars,Frank Kovacs,CA,LW,,1990,,Regina (WHL),,,,,,,,,,,,,
72,Washington Capitals,Randy Pearce,CA,LW,,1990,,Kitchener (OHL),,,,,,,,,,,,,
73,Toronto Maple Leafs,Darby Hendrickson\hendrda01,US,C,18,1990,2004,Richfield (High-MN),518,65,64,129,-109,370,,,,,,,3.3
74,Winnipeg Jets,Roman Meluzin,CZ,RW,,1990,,Zetor Brno (Czech),,,,,,,,,,,,,
75,Winnipeg Jets,Scott Levins\levinsc01,US,C/RW,20,1990,1998,Tri-City (WHL),124,13,20,33,-28,316,,,,,,,0.4
76,New York Rangers,Rick Willis,US,LW,,1990,,Pingree (High-MA),,,,,,,,,,,,,
77,Winnipeg Jets,Alex Zhamnov\zhamnal01,RU,C,19,1990,2006,Dynamo Moscow (Russia),807,249,470,719,10,668,,,,,,,68
78,Hartford Whalers,Chris Bright,CA,C,,1990,,Moose Jaw (WHL),,,,,,,,,,,,,
79,Chicago Blackhawks,Chris Tucker,US,C,,1990,,Jefferson (High-MN),,,,,,,,,,,,,
80,Toronto Maple Leafs,Greg Walters,CA,C,,1990,,Ottawa (OHL),,,,,,,,,,,,,
81,Montreal Canadiens,Gilbert Dionne\dionngi01,CA,LW,19,1990,1996,Kitchener (OHL),223,61,79,140,-3,108,,,,,,,10.1
82,Buffalo Sabres,Brian McCarthy,US,C,,1990,,Pingree (High-MA),,,,,,,,,,,,,
83,Calgary Flames,Paul Kruse\krusepa01,CA,LW,20,1990,2001,Kamloops (WHL),423,38,33,71,-18,1074,,,,,,,-0.9
84,Boston Bruins,Jerome Buckley,US,RW,,1990,,Northwood School (High-NY),,,,,,,,,,,,,
85,New York Rangers,Sergei Zubov\zubovse01,RU,D,20,1990,2009,CSKA Moscow (Russia),1068,152,619,771,148,337,,,,,,,136.8
86,Vancouver Canucks,Gino Odjick\odjicgi01,CA,RW,20,1990,2002,Laval (QMJHL),605,64,73,137,-21,2567,,,,,,,2.9
87,Detroit Red Wings,Tony Burns,US,D,,1990,,Duluth-Denfield (High-MN),,,,,,,,,,,,,
88,Philadelphia Flyers,Dan Kordic\kordida01,CA,LW,19,1990,1999,Medicine Hat (WHL),197,4,8,12,-4,584,,,,,,,-0.5
89,Pittsburgh Penguins,Brian Farrell,US,C,,1990,,Avon Old Farms (High-CT),,,,,,,,,,,,,
90,New York Islanders,Chris Marinucci\marinch01,US,C,18,1990,1997,Grand Rapids (High-MN),13,1,4,5,-3,2,,,,,,,0.1
91,Los Angeles Kings,David Goverde\goverda01,CA,G,20,1990,1994,Sudbury (OHL),5,0,1,1,0,0,5,1,4,0,0.808,6.25,-0.2
