Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Tampa Bay Lightning,Steven Stamkos\stamkst01,CA,C,18,2008,2022,Sarnia (OHL),922,481,491,972,72,551,,,,,,,125.2,
2,Los Angeles Kings,Drew Doughty\doughdr01,CA,D,18,2008,2022,Guelph (OHL),1014,132,435,567,33,691,,,,,,,113.3,
3,Atlanta Thrashers,Zach Bogosian\bogosza01,US,D,18,2008,2022,Peterborough (OHL),737,56,152,208,-78,673,,,,,,,35.8,
4,St. Louis Blues,Alex Pietrangelo\pietral01,CA,D,18,2008,2022,Niagara (OHL),879,129,388,517,104,299,,,,,,,99.3,
5,Toronto Maple Leafs,Luke Schenn\schenlu01,CA,D,18,2008,2022,Kelowna (WHL),863,38,131,169,-46,680,,,,,,,32.2,
6,Columbus Blue Jackets,Nikita Filatov\filatni01,RU,LW,18,2008,2012,CSKA Moscow 2 (Russia-3),53,6,8,14,7,20,,,,,,,1.4,
7,Nashville Predators,Colin Wilson\wilsoco01,US,C,18,2008,2020,Boston University (H-East),632,113,173,286,32,138,,,,,,,29.5,
8,Phoenix Coyotes,Mikkel Boedker\boedkmi01,DK,RW,18,2008,2020,Kitchener (OHL),709,118,209,327,-71,116,,,,,,,27.4,
9,New York Islanders,Josh Bailey\bailejo01,CA,C,18,2008,2022,Windsor (OHL),993,176,379,555,-51,239,,,,,,,48.2,
10,Vancouver Canucks,Cody Hodgson\hodgsco01,CA,C,18,2008,2016,Brampton (OHL),328,64,78,142,-54,68,,,,,,,13.2,
11,Chicago Blackhawks,Kyle Beach\beachky01,CA,C,18,2008,,Everett (WHL),,,,,,,,,,,,,,
12,Buffalo Sabres,Tyler Myers\myersty01,US,D,18,2008,2022,Kelowna (WHL),840,87,238,325,9,634,,,,,,,62.1,
13,Los Angeles Kings,Colten Teubert\teubeco01,CA,D,18,2008,2012,Regina (WHL),24,0,1,1,-5,25,,,,,,,0,
14,Carolina Hurricanes,Zach Boychuk\boychza01,CA,C,18,2008,2015,Lethbridge (WHL),127,12,18,30,-3,16,,,,,,,2.3,
15,Ottawa Senators,Erik Karlsson\karlser01,SE,D,18,2008,2022,Vastra Frolunda Jr. ( ),838,153,507,660,-77,386,,,,,,,101.3,
16,Boston Bruins,Joe Colborne\colbojo01,CA,C,18,2008,2017,Camrose (AJHL),295,42,72,114,-38,144,,,,,,,8.9,
17,Anaheim Ducks,Jake Gardiner\gardija01,US,D,18,2008,2021,Minnetonka (High-MN),645,49,228,277,-16,226,,,,,,,43.7,
18,Nashville Predators,Chet Pickard\pickach01,CA,G,18,2008,,Tri-City (WHL),,,,,,,,,,,,,,
19,Philadelphia Flyers,Luca Sbisa\sbisalu01,IT,D,18,2008,2021,Lethbridge (WHL),549,20,93,113,-18,385,,,,,,,22.2,
20,New York Rangers,Michael Del Zotto\delzomi01,CA,D,18,2008,2022,Oshawa (OHL),736,63,199,262,-30,284,,,,,,,48.8,
21,Washington Capitals,Anton Gustafsson\gustaan01,SE,C,18,2008,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,,,
