Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,New York Islanders,John Tavares,CA,C,18,2009,2022,London (OHL),949,391,504,895,-26,411,,,,,,,103.3,
2,Tampa Bay Lightning,Victor Hedman,SE,D,18,2009,2022,MoDo Ornskoldsvik ( ),898,134,469,603,147,624,,,,,,,103.1,
3,Colorado Avalanche,Matt Duchene,CA,C,18,2009,2022,Brampton (OHL),905,294,394,688,-96,234,,,,,,,72.1,
4,Atlanta Thrashers,Evander Kane,CA,LW,18,2009,2022,Vancouver (WCHL),812,286,259,545,-42,1048,,,,,,,61.6,
5,Los Angeles Kings,Brayden Schenn,CA,C,18,2009,2022,Brandon (WHL),776,219,305,524,3,425,,,,,,,55.9,
6,Phoenix Coyotes,Oliver Ekman-Larsson,SE,D,18,2009,2022,Leksand (Sweden-2),848,133,284,417,-104,534,,,,,,,73.1,
7,Toronto Maple Leafs,Nazem Kadri,CA,C,18,2009,2022,London (OHL),739,219,293,512,-14,589,,,,,,,54.6,
8,Dallas Stars,Scott Glennie,CA,RW,18,2009,2012,Brandon (WHL),1,0,0,0,0,2,,,,,,,0,
9,Ottawa Senators,Jared Cowen,CA,D,18,2009,2016,Spokane (WHL),249,15,31,46,-7,174,,,,,,,8.3,
10,Edmonton Oilers,Magnus Paajarvi,SE,LW,18,2009,2019,Timra ( ),467,62,62,124,-54,78,,,,,,,7.7,
11,Nashville Predators,Ryan Ellis,CA,D,18,2009,2022,Windsor (OHL),566,76,199,275,116,189,,,,,,,57.4,
12,New York Islanders,Calvin de Haan,CA,D,18,2009,2022,Oshawa (OHL),520,19,100,119,0,195,,,,,,,23.2,
13,Buffalo Sabres,Zack Kassian,CA,RW,18,2009,2022,Peterborough (OHL),610,90,111,201,-37,863,,,,,,,16.5,
14,Florida Panthers,Dmitry Kulikov,RU,D,18,2009,2022,Drummondville (QMJHL),805,42,156,198,-38,494,,,,,,,36,
15,Anaheim Ducks,Peter Holland,CA,C,18,2009,2018,Guelph (OHL),266,36,49,85,-38,112,,,,,,,6.2,
16,Minnesota Wild,Nick Leddy,US,D,18,2009,2022,Eden Prairie (High-MN),851,68,292,360,-60,167,,,,,,,54.6,
17,St. Louis Blues,David Rundblad,SE,D,18,2009,2016,Skelleftea (Sweden),113,4,21,25,-6,30,,,,,,,4,
18,Montreal Canadiens,Louis Leblanc,CA,C,18,2009,2014,Omaha (USHL),50,5,5,10,4,32,,,,,,,1,
19,New York Rangers,Chris Kreider,US,C,18,2009,2022,Andover (High-MA),654,229,194,423,86,499,,,,,,,53.5,
20,New Jersey Devils,Jacob Josefson,SE,C,18,2009,2018,Djurgarden (Sweden),315,20,44,64,-21,84,,,,,,,3.1,
21,Columbus Blue Jackets,John Moore,US,D,18,2009,2022,Chicago Steel (USHL),544,38,80,118,-35,227,,,,,,,25.1,
22,Vancouver Canucks,Jordan Schroeder,US,C,18,2009,2018,Minnesota (WCHA),165,18,24,42,5,14,,,,,,,4,
23,Calgary Flames,Tim Erixon,US,D,18,2009,2015,Skelleftea (Sweden),93,2,12,14,-3,38,,,,,,,2.9,
24,Washington Capitals,Marcus Johansson,SE,C/W,18,2009,2022,Farjestad ( ),753,144,263,407,-53,112,,,,,,,37,
25,Boston Bruins,Jordan Caron,CA,RW,18,2009,2016,Rimouski (QMJHL),157,12,16,28,-9,78,,,,,,,0.9,
26,Anaheim Ducks,Kyle Palmieri,US,RW,18,2009,2022,U.S. National U-18 (USNTDP),681,200,192,392,-3,365,,,,,,,47.2,
27,Carolina Hurricanes,Philippe Paradis,CA,C,18,2009,,Shawinigan (QMJHL),,,,,,,,,,,,,,
28,Chicago Blackhawks,Dylan Olsen,US,D,18,2009,2016,Camrose (AJHL),124,5,17,22,-16,36,,,,,,,3.1,
29,Tampa Bay Lightning,Carter Ashton,CA,RW,18,2009,2015,Lethbridge (WHL),54,0,3,3,-12,32,,,,,,,-0.9,
30,Pittsburgh Penguins,Simon Despres,CA,D,18,2009,2017,Saint John (QMJHL),193,6,37,43,31,150,,,,,,,11,
31,New York Islanders,Mikko Koskinen,FI,G,21,2009,2022,Blues Espoo (Finland),168,0,4,4,0,6,168,85,60,13,0.906,3.01,26.5,
32,Detroit Red Wings,Landon Ferraro,CA,C,18,2009,2018,Red Deer (WHL),77,7,5,12,-9,29,,,,,,,0.3,
33,Colorado Avalanche,Ryan O'Reilly,CA,C,18,2009,2022,Erie (OHL),938,240,432,672,17,136,,,,,,,67.2,
34,Atlanta Thrashers,Carl Klingberg,SE,LW,18,2009,2015,Vastra Frolunda Jr. ( ),12,1,0,1,0,4,,,,,,,0.1,
35,Los Angeles Kings,Kyle Clifford,CA,LW,18,2009,2022,Barrie (OHL),751,66,77,143,-23,903,,,,,,,9.7,
36,Phoenix Coyotes,Chris Brown,US,C,18,2009,2016,U.S. National U-18 (USNTDP),23,2,1,3,1,21,,,,,,,0.3,
37,Anaheim Ducks,Mat Clark,US,D,18,2009,2015,Brampton (OHL),9,0,1,1,0,6,,,,,,,0.2,
38,Dallas Stars,Alex Chiasson,CA,RW,18,2009,2022,Des Moines (USHL),631,114,110,224,-35,353,,,,,,,19.7,
39,Ottawa Senators,Jakob Silfverberg,SE,LW,18,2009,2022,Brynas Gavle (Sweden),658,151,177,328,21,208,,,,,,,34.7,
40,Edmonton Oilers,Anton Lander,SE,C,18,2009,2017,Timra ( ),215,10,25,35,-41,56,,,,,,,-0.8,
41,Nashville Predators,Zach Budish,US,RW,18,2009,,Edina (High-MN),,,,,,,,,,,,,,
42,Nashville Predators,Charles-Olivier Roussel,CA,D,18,2009,,Shawinigan (QMJHL),,,,,,,,,,,,,,
43,San Jose Sharks,William Wrenn,US,D,18,2009,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
44,Florida Panthers,Drew Shore,US,C,18,2009,2021,U.S. National U-18 (USNTDP),98,9,17,26,-20,30,,,,,,,1,
45,Atlanta Thrashers,Jeremy Morin,US,LW,18,2009,2015,U.S. National U-18 (USNTDP),82,10,12,22,8,69,,,,,,,2.4,
46,Ottawa Senators,Robin Lehner,SE,G,18,2009,2022,Vastra Frolunda Jr. ( ),364,0,6,6,0,36,364,152,141,49,0.917,2.71,70.4,
47,New York Rangers,Ethan Werek,CA,C,18,2009,,Kingston (OHL),,,,,,,,,,,,,,
48,St. Louis Blues,Brett Ponich,CA,D,18,2009,,Portland (WHL),,,,,,,,,,,,,,
49,Colorado Avalanche,Stefan Elliott,CA,D,18,2009,2019,Saskatoon (WHL),87,8,17,25,-5,16,,,,,,,4.7,
50,Toronto Maple Leafs,Kenny Ryan,US,RW,18,2009,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
51,Carolina Hurricanes,Brian Dumoulin,US,D,18,2009,2022,N.H. Jr. Monarchs (EJHL),464,18,96,114,97,130,,,,,,,26.4,
52,Tampa Bay Lightning,Richard Panik,SK,RW,18,2009,2022,Trinec (Czech),521,88,107,195,8,274,,,,,,,19.1,
53,Vancouver Canucks,Anton Rodin,SE,RW,18,2009,2017,Brynas Gavle Jr. (Sweden-Jr.),3,0,1,1,1,0,,,,,,,0.1,
54,New Jersey Devils,Eric Gelinas,CA,D,18,2009,2017,Lewiston (QMJHL),189,14,41,55,-16,92,,,,,,,10.5,
55,Washington Capitals,Dmitry Orlov,RU,D,18,2009,2022,Novokuznetsk (KHL),643,57,180,237,102,269,,,,,,,46.6,
56,Columbus Blue Jackets,Kevin Lynch,US,C,18,2009,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
57,San Jose Sharks,Taylor Doherty,CA,D,18,2009,,Kingston (OHL),,,,,,,,,,,,,,
58,Toronto Maple Leafs,Jesse Blacker,CA,D,18,2009,2015,Windsor (OHL),1,0,0,0,-2,0,,,,,,,-0.2,
59,Chicago Blackhawks,Brandon Pirri,CA,C,18,2009,2021,Georgetown (OJHL),276,72,49,121,5,91,,,,,,,14.9,
60,Detroit Red Wings,Tomas Tatar,SK,C,18,2009,2022,Zvolen (Slovakia),701,191,216,407,1,246,,,,,,,46.3,
61,Pittsburgh Penguins,Philip Samuelsson,SE,D,18,2009,2016,Chicago Steel (USHL),13,0,0,0,-4,2,,,,,,,-0.1,
62,New York Islanders,Anders Nilsson,SE,G,19,2009,2020,Lulea Jr. (Sweden-Jr.),161,0,3,3,0,6,161,59,74,15,0.907,3.06,25.2,
63,Pittsburgh Penguins,Ben Hanowski,US,W,18,2009,2014,Little Falls (High-MN),16,1,2,3,-2,2,,,,,,,0.1,
64,Colorado Avalanche,Tyson Barrie,CA,D,18,2009,2022,Kelowna (WHL),683,95,340,435,-58,207,,,,,,,63.4,
65,Montreal Canadiens,Joonas Nattinen,FI,C,18,2009,2014,Blues Espoo Jr. (Finland-Jr.),1,0,0,0,0,0,,,,,,,0,
66,Buffalo Sabres,Brayden McNabb,CA,D,18,2009,2022,Kootenay (WHL),576,23,93,116,81,421,,,,,,,30.9,
67,Florida Panthers,Josh Birkholz,US,RW,18,2009,,Fargo (USHL),,,,,,,,,,,,,,
68,Toronto Maple Leafs,Jamie Devane,CA,LW,18,2009,2014,Plymouth (OHL),2,0,0,0,-1,0,,,,,,,-0.1,
69,Dallas Stars,Reilly Smith,CA,RW,18,2009,2022,St. Michael's (OJHL),686,174,243,417,113,176,,,,,,,47.6,
70,Nashville Predators,Taylor Beck,CA,RW,18,2009,2017,Guelph (OHL),92,11,12,23,-9,32,,,,,,,1.5,
71,Edmonton Oilers,Troy Hesketh,US,D,18,2009,,Minnetonka (High-MN),,,,,,,,,,,,,,
72,Nashville Predators,Michael Latta,CA,C,18,2009,2016,Guelph (OHL),113,4,13,17,4,130,,,,,,,0.9,
73,New Jersey Devils,Alexander Urbom,SE,D,18,2009,2014,Djurgarden (Sweden),34,3,1,4,-1,28,,,,,,,1.2,
74,Calgary Flames,Ryan Howse,CA,LW,18,2009,,Chilliwack (WHL),,,,,,,,,,,,,,
75,Detroit Red Wings,Andrej Nestrasil,CZ,RW,18,2009,2017,Victoriaville (QMJHL),128,17,31,48,0,18,,,,,,,4.9,
76,Anaheim Ducks,Igor Bobkov,RU,G,18,2009,,Magnitogorsk 2 (Russia-3),,,,,,,,,,,,,,
77,Minnesota Wild,Matt Hackett,CA,G,19,2009,2015,Plymouth (OHL),26,0,0,0,0,0,26,4,17,2,0.906,3.11,3.6,
78,St. Louis Blues,Sergei Andronov,RU,RW,20,2009,,Lada Togliatti (KHL),,,,,,,,,,,,,,
79,Montreal Canadiens,Mac Bennett,US,D,18,2009,,Hotchkiss (High-CT),,,,,,,,,,,,,,
80,New York Rangers,Ryan Bourque,US,C,18,2009,2015,U.S. National U-18 (USNTDP),1,0,0,0,-1,0,,,,,,,-0.1,
81,Philadelphia Flyers,Adam Morrison,CA,G,18,2009,,Saskatoon (WHL),,,,,,,,,,,,,,
82,Edmonton Oilers,Cameron Abney,CA,RW,18,2009,,Everett (WHL),,,,,,,,,,,,,,
83,Vancouver Canucks,Kevin Connauton,CA,D,19,2009,2022,Western Michigan (CCHA),360,28,52,80,5,188,,,,,,,17.6,
84,Los Angeles Kings,Nicolas Deslauriers,CA,D,18,2009,2022,Rouyn-Noranda (QMJHL),506,44,41,85,-78,521,,,,,,,2.2,
85,Washington Capitals,Cody Eakin,CA,C,18,2009,2022,Swift Current (WHL),701,110,146,256,-25,278,,,,,,,20,
86,Boston Bruins,Ryan Button,CA,D,18,2009,,Prince Albert (WHL),,,,,,,,,,,,,,
87,Philadelphia Flyers,Simon Bertilsson,SE,D,18,2009,,Brynas Gavle (Sweden),,,,,,,,,,,,,,
88,Carolina Hurricanes,Mattias Lindstrom,SE,LW,18,2009,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,
89,Chicago Blackhawks,Dan Delisle,US,C/LW,18,2009,,Totino Grace (High-MN),,,,,,,,,,,,,,
90,Detroit Red Wings,Gleason Fournier,CA,D,18,2009,,Rimouski (QMJHL),,,,,,,,,,,,,,
91,Phoenix Coyotes,Mike Lee,US,G,18,2009,,Fargo (USHL),,,,,,,,,,,,,,
92,New York Islanders,Casey Cizikas,CA,C,18,2009,2022,Mississauga St. Michael's (OHL),664,91,110,201,17,310,,,,,,,17.2,
93,Tampa Bay Lightning,Alex Hutchings,CA,LW,18,2009,,Barrie (OHL),,,,,,,,,,,,,,
94,Columbus Blue Jackets,David Savard,CA,D,18,2009,2022,Moncton (QMJHL),673,44,139,183,-6,367,,,,,,,36.5,
95,Los Angeles Kings,Jean-Francois Berube,CA,G,18,2009,2022,Montreal (QMJHL),40,0,1,1,0,0,40,12,12,4,0.898,3.51,4.5,
96,Los Angeles Kings,Linden Vey,CA,RW,18,2009,2017,Medicine Hat (WHL),138,14,30,44,-19,24,,,,,,,2.6,
