 
,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
44,Anaheim Ducks,Jordan Leopold\leopojo01,US,D,19,2015,Minnesota (WCHA),695,67,147,214,-37,293,,,,,,,43.5
45,Colorado Avalanche,Martin Grenier\grenima01,CA,D,18,2007,Quebec (QMJHL),18,1,0,1,-1,14,,,,,,,0.2
46,Chicago Blackhawks,Dimitri Levinski,KZ,LW,,,Cherepovets (KHL),,,,,,,,,,,,,
47,Tampa Bay Lightning,Sheldon Keefe\keefesh01,CA,RW,18,2003,Barrie (OHL),125,12,12,24,-25,78,,,,,,,0.9
48,Ottawa Senators,Simon Lajeunesse\lajeusi01,CA,G,18,2002,Moncton (QMJHL),1,0,0,0,0,0,1,0,0,0,1.000,0.00,0.2
49,Carolina Hurricanes,Brett Lysak\lysakbr01,CA,C,18,2004,Regina (WHL),2,0,0,0,0,2,,,,,,,0.0
50,New Jersey Devils,Brett Clouthier,CA,LW,,,Kingston (OHL),,,,,,,,,,,,,
51,Pittsburgh Penguins,Matt Murley\murlema01,US,LW,19,2008,RPI (ECAC),62,2,7,9,-14,38,,,,,,,-0.7
52,Nashville Predators,Adam Hall\hallad01,US,RW,19,2014,Michigan State (CCHA),682,69,87,156,-76,282,,,,,,,5.3
53,Phoenix Coyotes,Brad Ralph\ralphbr01,CA,LW,18,2001,Oshawa (OHL),1,0,0,0,0,0,,,,,,,0.0
54,Nashville Predators,Andrew Hutchinson\hutchan01,US,D,19,2011,Michigan State (CCHA),140,12,27,39,-13,70,,,,,,,5.9
55,Buffalo Sabres,Doug Janik\janikdo01,US,D,19,2012,U. of Maine (H-East),190,3,16,19,-19,154,,,,,,,3.1
56,Boston Bruins,Matt Zultek,CA,LW,,,Ottawa (OHL),,,,,,,,,,,,,
57,Pittsburgh Penguins,Jeremy Van Hoof\vanhoje01,CA,D,18,,Ottawa (OHL),,,,,,,,,,,,,
58,Montreal Canadiens,Matt Carkner\carknma01,CA,D,18,2014,Peterborough (OHL),237,4,23,27,-12,556,,,,,,,5.9
59,New York Rangers,David Inman,US,C,,,Notre Dame (CCHA),,,,,,,,,,,,,
60,Toronto Maple Leafs,Peter Reynolds\reynope01,CA,D,18,,London (OHL),,,,,,,,,,,,,
61,Nashville Predators,Ed Hill,US,D,,,Barrie (OHL),,,,,,,,,,,,,
62,Ottawa Senators,Teemu Sainomaa,FI,LW,,,Jokerit Helsinki Jr. (Finland-Jr.),,,,,,,,,,,,,
63,Chicago Blackhawks,Stepan Mokhov,KZ,D,,,Cherepovets (KHL),,,,,,,,,,,,,
64,Buffalo Sabres,Mike Zigomanis\zigommi01,CA,C,18,2011,Kingston (OHL),197,21,19,40,-21,89,,,,,,,1.4
65,Nashville Predators,Jan Lasak\lasakja01,SK,G,20,2003,Zvolen (Slovakia),6,0,0,0,0,2,6,0,4,0,.874,4.04,0.3
66,Dallas Stars,Dan Jancevski\janceda01,CA,D,18,2009,London (OHL),9,0,0,0,0,2,,,,,,,0.1
67,Tampa Bay Lightning,Evgeny Konstantinov\konstev01,RU,G,18,2003,Ak Bars Kazan 2 (Russia-2),2,0,0,0,0,2,2,0,0,0,.833,2.94,0.0
68,Atlanta Thrashers,Zdenek Blatny\blatnzd01,CZ,LW,18,2006,Seattle (WHL),25,3,0,3,-3,8,,,,,,,0.1
69,Vancouver Canucks,Rene Vydareny,SK,D,,,Bratislava Jr.,,,,,,,,,,,,,
70,Florida Panthers,Niklas Hagman\hagmani01,FI,LW,19,2012,HIFK Helsinki (Finland),770,147,154,301,-40,220,,,,,,,27.7
71,Phoenix Coyotes,Jason Jaspers\jaspeja01,CA,C,18,2004,Sudbury (OHL),9,0,1,1,-3,6,,,,,,,-0.2
72,Nashville Predators,Brett Angel,CA,D,,,North Bay (OHL),,,,,,,,,,,,,
73,Buffalo Sabres,Tim Preston,CA,LW,,,Seattle (WHL),,,,,,,,,,,,,
74,Los Angeles Kings,Jason Crain,US,D,,,Ohio State (CCHA),,,,,,,,,,,,,
75,Tampa Bay Lightning,Brett Scheffelmaier\schefbr01,CA,D,18,,Medicine Hat (WHL),,,,,,,,,,,,,
76,Los Angeles Kings,Frantisek Kaberle\kaberfr01,CZ,D,25,2009,MoDo Ornskoldsvik (Sweden),523,29,164,193,-19,218,,,,,,,30.2
77,Calgary Flames,Craig Anderson\andercr01,US,G,18,2022,Guelph (OHL),683,0,19,19,0,54,683,308,264,71,.912,2.85,125.6
78,New York Islanders,Mattias Weinhandl\weinhma01,SE,RW,19,2007,Troja (Sweden-3),182,19,37,56,1,70,,,,,,,4.6
79,New York Rangers,Johan Asplund,SE,G,,,Brynas Gavle (Sweden),,,,,,,,,,,,,
80,Florida Panthers,Jean-Francois Laniel,CA,G,,,Shawinigan (QMJHL),,,,,,,,,,,,,
81,Edmonton Oilers,Adam Hauser\hausead01,US,G,19,2006,Minnesota (WCHA),1,0,0,0,0,0,1,0,0,0,.750,7.08,-0.2
82,San Jose Sharks,Mark Concannon,US,LW,,,Winchendon (High-MA),,,,,,,,,,,,,
83,Anaheim Ducks,Niclas Havelid\havelni01,SE,D,26,2009,Malmo (Sweden),628,34,137,171,-31,342,,,,,,,32.9
84,Carolina Hurricanes,Brad Fast\fastbr01,CA,D,19,2004,Prince George (WHL),1,1,0,1,1,0,,,,,,,0.3
85,St. Louis Blues,Peter Smrek\smrekpe01,SK,D,20,2002,Des Moines (USHL),28,2,4,6,-5,18,,,,,,,0.6
86,Pittsburgh Penguins,Sebastien Caron\caronse01,CA,G,19,2012,Rimouski (QMJHL),95,0,1,1,0,12,95,26,48,12,.892,3.44,11.8
87,New York Islanders,Brian Collins,US,C,,,St. John's (High-MA),,,,,,,,,,,,,
88,Tampa Bay Lightning,Jimmie Olvestad\olvesji01,SE,LW,19,2003,Djurgarden (Sweden),111,3,14,17,1,40,,,,,,,0.1
89,Boston Bruins,Kyle Wanvig\wanviky01,CA,RW,18,2008,Kootenay (WHL),75,6,9,15,-11,94,,,,,,,0.6
90,New York Rangers,Patrick Aufiero,US,D,,,Boston University (H-East),,,,,,,,,,,,,
91,Edmonton Oilers,Mike Comrie\comrimi01,CA,C,19,2011,Michigan (CCHA),589,168,197,365,-49,443,,,,,,,38.1
92,Los Angeles Kings,Cory Campbell,CA,G,,,Belleville (OHL),,,,,,,,,,,,,
93,Colorado Avalanche,Branko Radivojevic\radivbr01,SK,RW,18,2008,Belleville (OHL),393,52,68,120,-35,252,,,,,,,7.8
94,Ottawa Senators,Chris Kelly\kellych01,CA,C/LW,18,2018,London (OHL),845,123,168,291,40,417,,,,,,,24.1
95,New Jersey Devils,Andre Lakos,AT,D,,,Barrie (OHL),,,,,,,,,,,,,
96,Dallas Stars,Mathias Tjarnqvist\tjarnma01,SE,RW,20,2008,Rogle Angelholm (Sweden),173,13,19,32,-8,60,,,,,,,1.0
97,Montreal Canadiens,Chris Dyment,US,D,,,Boston University (H-East),,,,,,,,,,,,,
98,Atlanta Thrashers,David Kaczowka,CA,LW,,,Seattle (WHL),,,,,,,,,,,,,
99,Atlanta Thrashers,Rob Zepp\zeppro01,CA,G,18,2015,Plymouth (OHL),10,0,0,0,0,0,10,5,2,0,.888,2.89,0.6
100,New Jersey Devils,Teemu Kesa,FI,D,,,Ilves Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,
101,New York Islanders,Juraj Kolnik\kolniju01,SK,RW,18,2007,Rimouski (QMJHL),240,46,49,95,-13,84,,,,,,,8.5
102,New York Islanders,Johan Halvardsson,SE,D,,,HV 71 Jonkoping (Sweden),,,,,,,,,,,,,
103,Florida Panthers,Morgan McCormick,CA,RW,,,Kingston (OHL),,,,,,,,,,,,,
104,Los Angeles Kings,Brian McGrattan\mcgrabr01,CA,RW,18,2015,Sudbury (OHL),317,10,17,27,-11,609,,,,,,,0.8
105,Anaheim Ducks,Alexandr Chagodayev,RU,C,,,CSKA Moscow (Russia),,,,,,,,,,,,,
106,Calgary Flames,Roman Rozakov,RU,D,,,Lada Togliatti 2 (Russia-3),,,,,,,,,,,,,
107,Montreal Canadiens,Evan Lindsay,CA,G,,,Prince Albert (WHL),,,,,,,,,,,,,
108,Toronto Maple Leafs,Mirko Murovic,CA,LW,,,Moncton (QMJHL),,,,,,,,,,,,,
109,Florida Panthers,Rod Sarich,CA,D,,,Calgary (WHL),,,,,,,,,,,,,
110,Toronto Maple Leafs,Jon Zion,CA,D,,,Ottawa (OHL),,,,,,,,,,,,,
111,San Jose Sharks,Willie Levesque,US,RW,,,Northeastern (H-East),,,,,,,,,,,,,
112,Colorado Avalanche,Sanny Lindstrom,SE,D,,,Huddinge (Sweden),,,,,,,,,,,,,
113,Carolina Hurricanes,Ryan Murphy,US,LW,,,Bowling Green (CCHA),,,,,,,,,,,,,
114,St. Louis Blues,Chad Starling,CA,D,,,Kamloops (WHL),,,,,,,,,,,,,
115,Pittsburgh Penguins,Ryan Malone\malonry01,US,LW,19,2015,Omaha (USHL),647,179,191,370,-59,693,,,,,,,36.0
116,Phoenix Coyotes,Ryan Lauzon,CA,C,,,Hull (QMJHL),,,,,,,,,,,,,
117,Buffalo Sabres,Karel Mosovsky,CZ,LW,,,Regina (WHL),,,,,,,,,,,,,
118,Boston Bruins,Jaakko Harikkala,FI,D,,,Lukko Rauma (Finland),,,,,,,,,,,,,
119,Philadelphia Flyers,Jeff Feniak,CA,D,,,Calgary (WHL),,,,,,,,,,,,,
120,Detroit Red Wings,Jari Tolsa,SE,C,,,Vastra Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,
121,Nashville Predators,Yevgeny Pavlov,RU,RW,,,Lada Togliatti (KHL),,,,,,,,,,,,,
122,Colorado Avalanche,Kristian Kovac,SK,RW,,,Kosice Jr. (Slovak-Jr.),,,,,,,,,,,,,
123,Phoenix Coyotes,Preston Mizzi,CA,C,,,Peterborough (OHL),,,,,,,,,,,,,
124,Nashville Predators,Alexandre Krevsun,RU,RW,,,CSK VVS Samara (Russia-3),,,,,,,,,,,,,
125,Los Angeles Kings,Daniel Johansson,SE,C,,,MoDo Ornskoldsvik Jr. (Sweden-Jr.),,,,,,,,,,,,,
126,Dallas Stars,Jeff Bateman,CA,C,,,Brampton (OHL),,,,,,,,,,,,,
127,Tampa Bay Lightning,Kaspars Astashenko\astaska01,LV,D/W,24,2001,Cincinnati (IHL),23,1,2,3,-6,8,,,,,,,0.2
128,Atlanta Thrashers,Derek MacKenzie\mackede01,CA,C,18,2019,Sudbury (OHL),611,51,74,125,-7,337,,,,,,,7.6
129,Vancouver Canucks,Ryan Thorpe,CA,LW,,,Spokane (WHL),,,,,,,,,,,,,
130,New York Islanders,Justin Mapletoft\mapleju01,CA,C,18,2004,Red Deer (WHL),38,3,6,9,-2,8,,,,,,,0.7
131,Nashville Predators,Konstantin Panov,RU,LW,,,Kamloops (WHL),,,,,,,,,,,,,
132,Washington Capitals,Roman Tvrdon\tvrdoro01,SK,C,18,2004,Dukla Trencin Jr. (Slovak-Jr.),9,0,1,1,-3,2,,,,,,,-0.2
133,Los Angeles Kings,Jean-Francois Nogues,CA,G,,,Victoriaville (QMJHL),,,,,,,,,,,,,
134,Chicago Blackhawks,Michael Jacobsen,CA,D,,,Belleville (OHL),,,,,,,,,,,,,
135,Calgary Flames,Matt Doman,US,RW,,,Wisconsin (WCHA),,,,,,,,,,,,,
136,Montreal Canadiens,Dusty Jamieson,CA,LW,,,Sarnia (OHL),,,,,,,,,,,,,
137,New York Rangers,Garrett Bembridge\bembrga01,CA,RW,18,,Saskatoon (WHL),,,,,,,,,,,,,
138,Buffalo Sabres,Ryan Miller\millery01,US,G,19,2021,Soo Indians (NAHL),796,0,12,12,0,48,796,391,289,88,.914,2.64,151.7
139,Edmonton Oilers,Jonathan Fauteux,CA,D,,,Val d'Or (QMJHL),,,,,,,,,,,,,
140,New York Islanders,Adam Johnson,US,D,,,Greenway (High-MN),,,,,,,,,,,,,
141,Anaheim Ducks,Maxim Rybin,RU,LW,,,Spartak Moscow (KHL),,,,,,,,,,,,,
142,Colorado Avalanche,Will Magnuson,US,D,,,Lake Superior State (CCHA),,,,,,,,,,,,,
143,St. Louis Blues,Trevor Byrne,US,D,,,Deerfield Academy (High-MA),,,,,,,,,,,,,
144,Pittsburgh Penguins,Tomas Skvaridlo,SK,C,,,Zvolen Jr. (Slovak-Jr.),,,,,,,,,,,,,
145,Montreal Canadiens,Marc-Andre Thinel,CA,RW,,,Victoriaville (QMJHL),,,,,,,,,,,,,
146,Buffalo Sabres,Matt Kinch,CA,D,,,Calgary (WHL),,,,,,,,,,,,,
147,Boston Bruins,Seamus Kotyk,CA,G,,,Ottawa (OHL),,,,,,,,,,,,,
148,Tampa Bay Lightning,Michal Lanicek,CZ,G,,,Slavia Praha Jr. (Czech-Jr.),,,,,,,,,,,,,
149,Detroit Red Wings,Andrei Maximenko,RU,LW,,,Krylja Sovetov (Russia),,,,,,,,,,,,,
150,Montreal Canadiens,Matt Shasby,US,D,,,Des Moines (USHL),,,,,,,,,,,,,
151,Toronto Maple Leafs,Vaclav Zavoral,CZ,D,,,Chemopetrol Litvinov Jr. (Czech),,,,,,,,,,,,,
152,Colorado Avalanche,Jordan Krestanovich\krestjo01,CA,LW,18,2004,Calgary (WHL),22,0,2,2,1,6,,,,,,,-0.1
153,Calgary Flames,Jesse Cook,US,D,,,Denver (WCHA),,,,,,,,,,,,,
154,Ottawa Senators,Andrew Ianiero,CA,LW,,,Kingston (OHL),,,,,,,,,,,,,
155,San Jose Sharks,Niko Dimitrakos\dimitni01,US,RW,20,2007,U. of Maine (H-East),158,24,38,62,-1,95,,,,,,,5.6
156,Dallas Stars,Gregor Baumgartner,AT,LW,,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,,
157,Pittsburgh Penguins,Vladimir Malenkykh,RU,D,,,Lada Togliatti (KHL),,,,,,,,,,,,,
158,Colorado Avalanche,Anders Lovdahl,SE,C,,,HV 71 Jonkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,
159,Atlanta Thrashers,Yuri Dobryshkin,RU,RW,,,Krylja Sovetov (Russia),,,,,,,,,,,,,
160,Philadelphia Flyers,Konstantin Rudenko,KZ,LW,,,Cherepovets 2 (Russia-3),,,,,,,,,,,,,
161,Toronto Maple Leafs,Jan Sochor,CZ,LW,,,Slavia Praha (Czech-2),,,,,,,,,,,,,
162,Nashville Predators,Timo Helbling\helblti01,CH,D,18,2007,Davos (Swiss),11,0,1,1,-4,8,,,,,,,-0.1
163,New York Islanders,Bjorn Melin\melinbj01,SE,RW,18,2007,HV 71 Jonkoping Jr. (Sweden-Jr.),3,1,0,1,-1,0,,,,,,,0.1
164,Ottawa Senators,Martin Prusek\prusema01,CZ,G,23,2006,Vitkovice (Czech),57,0,1,1,0,0,57,31,12,4,.909,2.36,7.6
165,Chicago Blackhawks,Michael Leighton\leighmi01,CA,G,18,2017,Windsor (OHL),110,0,4,4,0,6,110,37,43,14,.900,2.97,14.5
166,Calgary Flames,Cory Pecker,CA,C,,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
167,Montreal Canadiens,Sean Dixon,CA,D,,,Erie (OHL),,,,,,,,,,,,,
168,Phoenix Coyotes,Erik Lewerstrom,SE,D,,,Grums (Sweden-3),,,,,,,,,,,,,
169,Florida Panthers,Brad Woods,CA,D,,,Brampton (OHL),,,,,,,,,,,,,
170,Calgary Flames,Matt Underhill\underma01,CA,G,19,2004,Cornell (ECAC),1,0,0,0,0,0,1,0,1,0,.879,3.95,0.1
171,Edmonton Oilers,Chris Legg,CA,C,,,London Jr. B,,,,,,,,,,,,,
172,Vancouver Canucks,Josh Reed,CA,D,,,Vernon (BCHL),,,,,,,,,,,,,
173,Anaheim Ducks,Jan Sandstrom,SE,D,,,AIK Solna (Sweden),,,,,,,,,,,,,
174,Carolina Hurricanes,Damian Surma\surmada01,US,C,18,2004,Plymouth (OHL),2,1,1,2,1,0,,,,,,,0.3
175,Washington Capitals,Kyle Clark,US,RW,,,Harvard (ECAC),,,,,,,,,,,,,
176,Pittsburgh Penguins,Doug Meyer,US,LW,,,Minnesota (WCHA),,,,,,,,,,,,,
177,New York Rangers,Jay Dardis,US,C,,,Proctor (High-NH),,,,,,,,,,,,,
178,Buffalo Sabres,Seneque Hyacinthe,CA,LW,,,Val d'Or (QMJHL),,,,,,,,,,,,,
179,Boston Bruins,Donald Choukalos,CA,G,,,Regina (WHL),,,,,,,,,,,,,
180,St. Louis Blues,Tore Vikingstad,NO,LW,,,Farjestad (Sweden),,,,,,,,,,,,,
181,Detroit Red Wings,Kent McDonell\mcdonke01,CA,RW,20,2004,Guelph (OHL),32,1,2,3,-8,36,,,,,,,-0.3
182,Tampa Bay Lightning,Fedor Fedorov\fedorfe01,RU,C,18,2006,Port Huron (IHL),18,0,2,2,0,14,,,,,,,-0.1
183,Colorado Avalanche,Riku Hahl\hahlri01,FI,C,18,2004,HPK Hameenlinna (Finland),92,5,8,13,-3,38,,,,,,,0.0
184,Dallas Stars,Justin Cox,CA,RW,,,Prince George (WHL),,,,,,,,,,,,,
185,New Jersey Devils,Scott Cameron,CA,C,,,Barrie (OHL),,,,,,,,,,,,,
186,Dallas Stars,Brett Draney,CA,LW,,,Kamloops (WHL),,,,,,,,,,,,,
187,Tampa Bay Lightning,Ivan Rachunek,CZ,LW,,,ZPS Zlin Jr. (Czech-Jr.),,,,,,,,,,,,,
188,Atlanta Thrashers,Stephen Baby,US,RW,,,Green Bay (USHL),,,,,,,,,,,,,
189,Vancouver Canucks,Kevin Swanson,CA,G,,,Kelowna (WHL),,,,,,,,,,,,,
190,Calgary Flames,Blair Stayzer,CA,LW,,,Windsor (OHL),,,,,,,,,,,,,
