 
,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
216,Tampa Bay Lightning,Erkki Rajamaki,FI,LW,,,HIFK Helsinki (Finland),,,,,,,,,,,,,
217,Atlanta Thrashers,Garnet Exelby\exelbga01,CA,D,18,2010,Saskatoon (WHL),408,7,43,50,-28,584,,,,,,,8.4
218,Vancouver Canucks,Markus Kankaanpera,SE,D,,,JyP HT Jyvaskyla (Finland),,,,,,,,,,,,,
219,Washington Capitals,Maxim Orlov,RU,C,,,CSKA Moscow (Russia),,,,,,,,,,,,,
220,Nashville Predators,Miroslav Durak,SK,D,,,Bratislava Jr.,,,,,,,,,,,,,
221,St. Louis Blues,Colin Hemingway\heminco01,CA,RW,19,2006,Surrey (BCHL),3,0,0,0,-2,0,,,,,,,-0.1
222,Los Angeles Kings,George Parros\parroge01,US,RW,19,2014,Chicago (USHL),474,18,18,36,-11,1092,,,,,,,0.4
223,Chicago Blackhawks,Andrew Carver,CA,D,,,Hull (QMJHL),,,,,,,,,,,,,
224,Philadelphia Flyers,David Nystrom,SE,LW,,,Vastra Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,
225,Montreal Canadiens,Mikko Hyytia,FI,C,,,JYP HT Jyvaskyla Jr. (Finland-Jr.),,,,,,,,,,,,,
226,New York Rangers,Yevgeny Gusakov,RU,RW,,,Lada Togliatti 2 (Russia-3),,,,,,,,,,,,,
227,Florida Panthers,Jonathon Charron,CA,G,,,Val d'Or (QMJHL),,,,,,,,,,,,,
228,New York Islanders,Radek Martinek\martira01,CZ,D,23,2014,Ceske Budejovice (Czech-2),486,25,85,110,-11,280,,,,,,,22.3
229,San Jose Sharks,Eric Betournay,CA,C,,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,,
230,Anaheim Ducks,Petr Tenkrat\tenkrpe01,CZ,RW,22,2007,Poldi Kladno (Czech),177,22,30,52,-37,84,,,,,,,2.9
231,Carolina Hurricanes,David Evans,US,RW,,,Clarkson (ECAC),,,,,,,,,,,,,
232,St. Louis Blues,Alexander Khavanov\khavaal01,RU,D,27,2006,Dynamo Moscow (Russia),348,27,75,102,15,233,,,,,,,22.0
233,Pittsburgh Penguins,Darcy Robinson,CA,D,,,Saskatoon (WHL),,,,,,,,,,,,,
234,Phoenix Coyotes,Goran Bezina\bezingo01,YU,D,19,2004,Fribourg,3,0,0,0,-1,2,,,,,,,-0.1
235,Buffalo Sabres,Brad Self,CA,C,,,Peterborough (OHL),,,,,,,,,,,,,
236,Boston Bruins,John Cronin,US,D,,,Boston University (H-East),,,,,,,,,,,,,
237,Carolina Hurricanes,Antti Jokela,FI,G,,,Lukko Rauma Jr. (Finland-Jr.),,,,,,,,,,,,,
238,Detroit Red Wings,Anton Borodkin,RU,LW,,,Kamloops (WHL),,,,,,,,,,,,,
239,Toronto Maple Leafs,Pierre Hedin\hedinpi01,SE,D,21,2004,MoDo Ornskoldsvik (Sweden),3,0,1,1,-1,0,,,,,,,0.1
240,Colorado Avalanche,Jeff Finger\fingeje01,US,D,19,2010,Green Bay (USHL),199,17,40,57,4,114,,,,,,,10.7
241,San Jose Sharks,Douglas Murray\murrado01,SE,D,19,2014,NY Apple Core (EJHL),518,7,57,64,19,412,,,,,,,19.2
242,New Jersey Devils,Justin Dziama,US,RW,,,Nobles (High-MA),,,,,,,,,,,,,
243,Dallas Stars,Brian Sullivan,US,D,,,Thayer Academy (High-MA),,,,,,,,,,,,,
244,Tampa Bay Lightning,Mikko Kuparinen,FI,D,,,Grand Rapids (IHL),,,,,,,,,,,,,
245,Atlanta Thrashers,Tommi Santala\santato01,FI,C,20,2007,Jokerit Helsinki (KHL),63,2,7,9,-7,46,,,,,,,0.0
246,Atlanta Thrashers,Raymond DiLauro,US,D,,,St. Lawrence (ECAC),,,,,,,,,,,,,
247,Boston Bruins,Mikko Eloranta\elorami01,FI,LW,27,2003,TPS Turku (Finland),264,32,44,76,-24,186,,,,,,,5.4
248,Nashville Predators,Darren Haydar\haydada01,CA,RW,19,2010,New Hampshire (H-East),23,1,7,8,3,2,,,,,,,0.7
249,Washington Capitals,Igor Shadilov,RU,D,,,Dynamo Moscow (Russia),,,,,,,,,,,,,
250,Los Angeles Kings,Noah Clarke\clarkno02,US,LW,20,2008,Des Moines (USHL),21,3,1,4,-5,4,,,,,,,0.2
251,New York Rangers,Petter Henning,SE,RW,,,MoDo Ornskoldsvik (Sweden),,,,,,,,,,,,,
252,Calgary Flames,Dmitri Kirilenko,US,C,,,CSKA Moscow (Russia),,,,,,,,,,,,,
253,Montreal Canadiens,Jerome Marois,CA,LW,,,Quebec (QMJHL),,,,,,,,,,,,,
254,New York Rangers,Alexei Bulatov,RU,RW,,,Yekaterinburg (Russia-2),,,,,,,,,,,,,
255,New York Islanders,Brett Henning,US,C,,,Notre Dame (CCHA),,,,,,,,,,,,,
256,Edmonton Oilers,Tamas Groschl,HU,RW,,,UTE Budapest,,,,,,,,,,,,,
257,San Jose Sharks,Hannes Hyvonen\hyvonha01,FI,RW,24,2003,Espoo (Finland),42,4,5,9,-13,22,,,,,,,0.2
258,Anaheim Ducks,Brian Gornick,US,C,,,Air Force (CHA),,,,,,,,,,,,,
259,Carolina Hurricanes,Yevgeny Kurilin,BY,C,,,Alaska-Anchorage (WCHA),,,,,,,,,,,,,
260,St. Louis Blues,Brian McMeekin,CA,D,,,Cornell (ECAC),,,,,,,,,,,,,
261,Pittsburgh Penguins,Andrew McPherson,CA,LW,,,RPI (ECAC),,,,,,,,,,,,,
262,Phoenix Coyotes,Alexei Litvinenko,KZ,D,,,Torpedo Ust-Kamenogorsk (Russia-2),,,,,,,,,,,,,
263,Buffalo Sabres,Craig Brunel,CA,RW,,,Prince Albert (WHL),,,,,,,,,,,,,
264,Boston Bruins,Georgy Pujacs,RU,D,,,Dynamo-81 Riga,,,,,,,,,,,,,
265,Dallas Stars,Jamie Chamberlain,CA,RW,,,Peterborough (OHL),,,,,,,,,,,,,
266,Detroit Red Wings,Ken Davis,CA,RW,,,Portland (WHL),,,,,,,,,,,,,
267,Toronto Maple Leafs,Peter Metcalf,US,D,,,U. of Maine (H-East),,,,,,,,,,,,,
268,New York Islanders,Tyler Scott,US,D,,,Upper Canada College,,,,,,,,,,,,,
269,Ottawa Senators,Konstantin Gorovikov,RU,LW,,,St. Petersburg (KHL),,,,,,,,,,,,,
270,St. Louis Blues,James Desmarais,CA,C,,,Rouyn Noranda (QMJHL),,,,,,,,,,,,,
271,Vancouver Canucks,Darrell Hay,CA,D,,,Tri-City (WHL),,,,,,,,,,,,,
272,Dallas Stars,Mikhail Donika,RU,D,,,Torpedo Yaroslavl (KHL),,,,,,,,,,,,,
