Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
22,Buffalo Sabres,Jiri Novotny,CZ,C,18,2001,2009,Ceske Budejovice (Czech-2),189,20,31,51,-15,66,,,,,,,1.9,
23,Ottawa Senators,Tim Gleason,US,D,18,2001,2015,Windsor (OHL),727,17,125,142,-37,701,,,,,,,26.7,
24,Florida Panthers,Lukas Krajicek,CZ,D,18,2001,2010,Peterborough (OHL),328,11,61,72,-30,245,,,,,,,12.4,
25,Montreal Canadiens,Alexander Perezhogin,KZ,LW,18,2001,2007,Avangard Omsk (KHL),128,15,19,34,16,86,,,,,,,3.2,
26,Dallas Stars,Jason Bacashihua,US,G,18,2001,2007,Chicago Freeze (NAHL),38,0,1,1,0,2,38,7,17,4,0.897,3.19,5.3,
27,Philadelphia Flyers,Jeff Woywitka,CA,D,18,2001,2012,Red Deer (WHL),278,9,46,55,3,149,,,,,,,11.8,
28,New Jersey Devils,Adrian Foster,CA,C,19,2001,,Saskatoon (WHL),,,,,,,,,,,,,,
29,Chicago Blackhawks,Adam Munro,CA,G,18,2001,2006,Erie (OHL),17,0,1,1,0,2,17,4,10,3,0.887,3.3,1.8,
30,Los Angeles Kings,David Steckel,US,C,19,2001,2014,Ohio State (CCHA),425,33,46,79,-14,129,,,,,,,1.4,
31,Phoenix Coyotes,Matthew Spiller,CA,D,18,2001,2008,Seattle (WHL),68,0,2,2,-14,74,,,,,,,-0.2,
32,Buffalo Sabres,Derek Roy,CA,C,18,2001,2015,Kitchener (OHL),738,189,335,524,29,391,,,,,,,53.3,
33,Nashville Predators,Timofei Shishkanov,RU,LW,18,2001,2006,Spartak Moscow 2 (Russia-3),24,3,2,5,-2,6,,,,,,,0.4,
34,Florida Panthers,Greg Watson,CA,C,18,2001,,Prince Albert (WHL),,,,,,,,,,,,,,
35,Anaheim Ducks,Mark Popovic,CA,D,18,2001,2010,St. Michael's (OJHL),81,2,5,7,-8,20,,,,,,,1.2,
36,Minnesota Wild,Kyle Wanvig,CA,RW,20,2001,2008,Red Deer (WHL),75,6,9,15,-11,94,,,,,,,0.6,
37,Montreal Canadiens,Duncan Milroy,CA,RW,18,2001,2007,Swift Current (WHL),5,0,1,1,-2,0,,,,,,,-0.1,
38,Columbus Blue Jackets,Tim Jackman,US,RW,19,2001,2016,Minnesota State (WCHA),483,32,43,75,-66,806,,,,,,,1.4,
39,Toronto Maple Leafs,Karel Pilar,CZ,D,23,2001,2004,Chemopetrol Litvinov (Russia),90,6,24,30,-2,42,,,,,,,5,
40,New York Rangers,Fedor Tyutin,RU,D,18,2001,2017,St. Petersburg (KHL),872,55,209,264,-53,548,,,,,,,49.2,
41,Calgary Flames,Andrei Taratukhin,RU,C,18,2001,,Avangard Omsk (KHL),,,,,,,,,,,,,,
42,Nashville Predators,Tomas Slovak,SK,D,18,2001,,Kosice (Slovakia),,,,,,,,,,,,,,
43,Edmonton Oilers,Doug Lynch,CA,D,18,2001,2004,Red Deer (WHL),2,0,0,0,0,0,,,,,,,0,
44,New Jersey Devils,Igor Pohanka,SK,C,18,2001,,Prince Albert (WHL),,,,,,,,,,,,,,
45,Phoenix Coyotes,Martin Podlesak,CZ,C,18,2001,,Lethbridge (WHL),,,,,,,,,,,,,,
46,Carolina Hurricanes,Mike Zigomanis,CA,C,20,2001,2011,Kingston (OHL),197,21,19,40,-21,89,,,,,,,1.4,
47,Tampa Bay Lightning,Alexander Polushin,RU,C,18,2001,,Tver (Russia-2),,,,,,,,,,,,,,
48,New Jersey Devils,Tuomas Pihlman,FI,LW,18,2001,2007,JyP HT Jyvaskyla (Finland),15,1,1,2,-1,12,,,,,,,0,
49,Los Angeles Kings,Mike Cammalleri,CA,C/W,19,2001,2018,Michigan (CCHA),906,294,348,642,-54,425,,,,,,,72.3,
50,Buffalo Sabres,Chris Thorburn,CA,RW,18,2001,2019,North Bay (OHL),801,53,81,134,-40,968,,,,,,,5.3,
51,Los Angeles Kings,Jaroslav Bednar,CZ,RW,24,2001,2004,HIFK Helsinki (Finland),102,10,25,35,-1,30,,,,,,,2.8,
52,Edmonton Oilers,Ed Caron,US,C,19,2001,,Exeter (High-NH),,,,,,,,,,,,,,
53,Columbus Blue Jackets,Kiel McLeod,CA,C,18,2001,,Kelowna (WHL),,,,,,,,,,,,,,
54,Pittsburgh Penguins,Noah Welch,US,D,19,2001,2011,St. Sebastian's (High-MA),75,4,5,9,-5,58,,,,,,,1.6,
55,Buffalo Sabres,Jason Pominville,CA,RW,18,2001,2019,Shawinigan (QMJHL),1060,293,434,727,44,199,,,,,,,79.5,
56,Calgary Flames,Andrei Medvedev,RU,G,18,2001,,Spartak Moscow (KHL),,,,,,,,,,,,,,
57,St. Louis Blues,Jay McClement,CA,C,18,2001,2017,Brampton (OHL),906,90,154,244,-116,325,,,,,,,10.1,
58,Washington Capitals,Nathan Paetsch,CA,D,18,2001,2010,Moose Jaw (WHL),167,7,35,42,12,114,,,,,,,7,
59,Chicago Blackhawks,Matt Keith,CA,RW,18,2001,2008,Spokane (WHL),27,2,3,5,-8,14,,,,,,,-0.1,
60,New Jersey Devils,Victor Uchevatov,RU,D,18,2001,,Lokomotiv Yaroslavl 2 (Russia-3),,,,,,,,,,,,,,
61,Tampa Bay Lightning,Andreas Holmqvist,SE,D,20,2001,,Hammarby (Sweden-2),,,,,,,,,,,,,,
62,Detroit Red Wings,Igor Grigorenko,RU,RW,18,2001,,CSK VVS Samara (Russia-3),,,,,,,,,,,,,,
63,Colorado Avalanche,Peter Budaj,SK,G,18,2001,2019,St. Michael's (OJHL),368,0,11,11,0,20,368,158,132,40,0.904,2.7,50.6,
64,Florida Panthers,Tomas Malec,SK,D,19,2001,2007,Rimouski (QMJHL),46,0,2,2,-2,47,,,,,,,0.8,
65,Toronto Maple Leafs,Brendan Bell,CA,D,18,2001,2012,Ottawa (OHL),102,7,21,28,-19,51,,,,,,,3.9,
66,Vancouver Canucks,Fedor Fedorov,RU,C,20,2001,2006,Sudbury (OHL),18,0,2,2,0,14,,,,,,,-0.1,
67,New Jersey Devils,Robin Leblanc,CH,RW,18,2001,,Baie-Comeau (QMJHL),,,,,,,,,,,,,,
68,Florida Panthers,Grant McNeill,CA,D,18,2001,2004,Prince Albert (WHL),3,0,0,0,0,5,,,,,,,0,
69,Anaheim Ducks,Joel Stepp,CA,C,18,2001,,Red Deer (WHL),,,,,,,,,,,,,,
70,Dallas Stars,Yared Hagos,SE,C,18,2001,,AIK Solna (Sweden),,,,,,,,,,,,,,
71,Montreal Canadiens,Tomas Plekanec,CZ,LW,18,2001,2019,Poldi Kladno (Czech),1001,233,375,608,55,543,,,,,,,64.3,
72,New Jersey Devils,Brandon Nolan,CA,C/LW,18,2001,2008,Oshawa (OHL),6,0,1,1,-2,0,,,,,,,-0.1,
73,Chicago Blackhawks,Craig Anderson,US,G,20,2001,2022,Guelph (OHL),683,0,19,19,0,54,683,308,264,71,0.912,2.85,125.6,
74,Minnesota Wild,Chris Heid,CA,D,18,2001,,Spokane (WHL),,,,,,,,,,,,,,
75,Nashville Predators,Denis Platonov,RU,RW,19,2001,,Saratov (Russia-2),,,,,,,,,,,,,,
76,Nashville Predators,Oliver Setzinger,AT,C,18,2001,,Ilves Tampere (Finland),,,,,,,,,,,,,,
77,Boston Bruins,Darren McLachlan,CA,LW,18,2001,,Seattle (WHL),,,,,,,,,,,,,,
78,Phoenix Coyotes,Beat Forster,CH,D,18,2001,,Davos (Swiss),,,,,,,,,,,,,,
79,New York Rangers,Garth Murray,CA,C,18,2001,2009,Regina (WHL),116,8,2,10,-19,131,,,,,,,-0.7,
80,Atlanta Thrashers,Michael Garnett,CA,G,18,2001,2006,Saskatoon (WHL),24,0,2,2,0,0,24,10,7,4,0.885,3.44,2.7,
81,Ottawa Senators,Neil Komadoski,US,D,19,2001,,Notre Dame (CCHA),,,,,,,,,,,,,,
82,Toronto Maple Leafs,Jay Harrison,CA,D,18,2001,2015,Brampton (OHL),372,23,52,75,-27,360,,,,,,,14.8,
83,Los Angeles Kings,Henrik Juntunen,SE,RW,18,2001,,Karpat Oulu (Finland),,,,,,,,,,,,,,
84,Edmonton Oilers,Kenny Smith,US,D,19,2001,,Harvard (ECAC),,,,,,,,,,,,,,
85,Columbus Blue Jackets,Aaron Johnson,CA,D,18,2001,2013,Rimouski (QMJHL),291,17,45,62,1,227,,,,,,,13.3,
86,Pittsburgh Penguins,Drew Fata,CA,D,18,2001,2008,St. Michael's (OJHL),8,1,1,2,-3,9,,,,,,,0.2,
87,Columbus Blue Jackets,Per Mars,SE,C,18,2001,,Brynas Gavle (Sweden),,,,,,,,,,,,,,
88,Toronto Maple Leafs,Nicolas Corbeil,CA,C,18,2001,,Sherbrooke (QMJHL),,,,,,,,,,,,,,
89,St. Louis Blues,Tuomas Nissinen,FI,G,18,2001,,Kalpa Kuopio Jr. (Finland-Jr.),,,,,,,,,,,,,,
90,Washington Capitals,Owen Fussey,CA,RW,18,2001,2004,Calgary (WHL),4,0,1,1,-1,0,,,,,,,0,
91,Carolina Hurricanes,Kevin Estrada,CA,RW,19,2001,,Chilliwack (BCHL),,,,,,,,,,,,,,
92,Dallas Stars,Anthony Aquino,CA,RW,19,2001,,Merrimack (H-East),,,,,,,,,,,,,,
93,Minnesota Wild,Stephane Veilleux,CA,LW,19,2001,2015,Val d'Or (QMJHL),506,50,56,106,-64,348,,,,,,,4,
94,Tampa Bay Lightning,Evgeny Artyukhin,RU,RW,18,2001,2010,Podolsk (KHL),199,19,30,49,-7,313,,,,,,,3.4,
95,Philadelphia Flyers,Patrick Sharp,CA,LW,19,2001,2018,Vermont (ECAC),939,287,333,620,39,536,,,,,,,71.1,
96,Pittsburgh Penguins,Alexandre Rouleau,CA,D,18,2001,,Val d'Or (QMJHL),,,,,,,,,,,,,,
97,Colorado Avalanche,Danny Bois,CA,RW,18,2001,2007,London (OHL),1,0,0,0,0,7,,,,,,,0,
98,Nashville Predators,Jordin Tootoo,CA,RW,18,2001,2017,Brandon (WHL),723,65,96,161,-60,1010,,,,,,,9.8,
99,Ottawa Senators,Ray Emery,CA,G,18,2001,2015,Sault Ste. Marie (OHL),287,0,4,4,0,79,287,145,86,28,0.906,2.7,42.3,
100,Atlanta Thrashers,Brian Sipotz,US,D,19,2001,,Miami (Ohio) (CCHA),,,,,,,,,,,,,,
101,New York Islanders,Cory Stillman,CA,C,18,2001,,Kingston (OHL),,,,,,,,,,,,,,
102,Anaheim Ducks,Timo Parssinen,FI,LW,24,2001,2002,HPK Hameenlinna (Finland),17,0,3,3,0,2,,,,,,,0,
103,Minnesota Wild,Tony Virta,FI,RW,29,2001,2002,TPS Turku (Finland),8,2,3,5,0,0,,,,,,,0.6,
104,Chicago Blackhawks,Brent MacLellan,CA,D,18,2001,,Rimouski (QMJHL),,,,,,,,,,,,,,
105,Anaheim Ducks,Vladimir Korsunov,RU,D,18,2001,,Spartak Moscow 2 (Russia-3),,,,,,,,,,,,,,
106,San Jose Sharks,Christian Ehrhoff,DE,D,19,2001,2016,Krefeld (Germany),789,74,265,339,48,517,,,,,,,67.7,
107,San Jose Sharks,Dimitri Patzold,KZ,G,18,2001,2008,Erding,3,0,0,0,0,0,3,0,0,0,0.8,5.51,-0.1,
108,Calgary Flames,Tomi Maki,FI,RW,18,2001,2007,Jokerit Helsinki Jr. (Finland-Jr.),1,0,0,0,0,0,,,,,,,0,
109,Montreal Canadiens,Martti Jarventie,FI,D,25,2001,2002,TPS Turku (Finland),1,0,0,0,2,0,,,,,,,0.2,
110,Carolina Hurricanes,Rob Zepp,CA,G,20,2001,2015,Plymouth (OHL),10,0,0,0,0,0,10,5,2,0,0.888,2.89,0.6,
111,Boston Bruins,Matti Kaltiainen,FI,G,19,2001,,Blues Espoo Jr. (Finland-Jr.),,,,,,,,,,,,,,
112,Atlanta Thrashers,Milan Gajic,CA,C,20,2001,,Burnaby (BCHL),,,,,,,,,,,,,,
113,New York Rangers,Bryce Lampman,US,D,19,2001,2007,Omaha (USHL),10,0,0,0,-5,2,,,,,,,-0.3,
114,Vancouver Canucks,Evgeny Gladskikh,RU,RW,19,2001,,Magnitogorsk (KHL),,,,,,,,,,,,,,
115,Chicago Blackhawks,Vladimir Gusev,RU,D,18,2001,,Khabarovsk (KHL),,,,,,,,,,,,,,
116,Los Angeles Kings,Richard Petiot,CA,D,19,2001,2011,Camrose (AJHL),15,0,3,3,4,25,,,,,,,0.8,
117,Florida Panthers,Mike Woodford,US,RW,19,2001,,Cushing Academy (High-MA),,,,,,,,,,,,,,
118,Anaheim Ducks,Brandon Rogers,US,D,19,2001,,Hotchkiss (High-CT),,,,,,,,,,,,,,
119,Chicago Blackhawks,Alexei Zotkin,RU,LW,19,2001,,Magnitogorsk (KHL),,,,,,,,,,,,,,
120,Pittsburgh Penguins,Tomas Surovy,SK,C,19,2001,2006,Poprad (Slovakia),126,27,32,59,-21,71,,,,,,,5.2,
121,Detroit Red Wings,Drew MacIntyre,CA,G,18,2001,2014,Sherbrooke (QMJHL),6,0,0,0,0,0,6,0,2,0,0.912,2.41,0.6,
122,St. Louis Blues,Igor Valeev,RU,RW,20,2001,,North Bay (OHL),,,,,,,,,,,,,,
123,Tampa Bay Lightning,Aaron Lobb,CA,RW,18,2001,,London (OHL),,,,,,,,,,,,,,
124,Calgary Flames,Yegor Shastin,UA,LW,19,2001,,Avangard Omsk (KHL),,,,,,,,,,,,,,
125,Washington Capitals,Jeff Lucky,CA,RW,18,2001,,Spokane (WHL),,,,,,,,,,,,,,
126,Dallas Stars,Daniel Volrab,CZ,C,18,2001,,Sparta Praha Jr. (Czech-Jr.),,,,,,,,,,,,,,
127,Ottawa Senators,Christoph Schubert,DE,D,19,2001,2010,Munich (Germany),315,25,47,72,27,263,,,,,,,12.9,
128,New Jersey Devils,Andrei Posnov,RU,RW,19,2001,,Krylja Sovetov (Russia),,,,,,,,,,,,,,
129,Detroit Red Wings,Miroslav Blatak,CZ,D,19,2001,,HC Vsetin Jr. (Czech-Jr.),,,,,,,,,,,,,,
130,Colorado Avalanche,Colt King,CA,LW,18,2001,,Guelph (OHL),,,,,,,,,,,,,,
131,Pittsburgh Penguins,Ben Eaves,US,C,19,2001,,Boston College (H-East),,,,,,,,,,,,,,
132,New York Islanders,Dusan Salficky,CZ,G,29,2001,,Plzen (Czech),,,,,,,,,,,,,,
133,Edmonton Oilers,Jussi Markkanen,FI,G,26,2001,2007,Tappara Tampere (Finland),128,0,2,2,0,4,128,43,47,15,0.901,2.7,16.5,
134,Toronto Maple Leafs,Kyle Wellwood,CA,C,18,2001,2013,Belleville (OHL),489,92,143,235,11,36,,,,,,,22.3,
135,Atlanta Thrashers,Colin Stuart,US,LW,19,2001,2012,Colorado College (WCHA),56,8,5,13,3,26,,,,,,,1.1,
136,Florida Panthers,Billy Thompson,CA,G,18,2001,,Prince George (WHL),,,,,,,,,,,,,,
137,Anaheim Ducks,Joel Perrault,CA,C,18,2001,2011,Baie-Comeau (QMJHL),96,12,14,26,-18,68,,,,,,,1.3,
138,Tampa Bay Lightning,Paul Lynch,US,D,19,2001,,Valley Jrs.,,,,,,,,,,,,,,
139,New York Rangers,Shawn Collymore,CA,RW,18,2001,,Quebec (QMJHL),,,,,,,,,,,,,,
140,San Jose Sharks,Tomas Plihal,CZ,C,18,2001,2009,Liberec Jr. (Czech-Jr.),89,7,9,16,0,26,,,,,,,1,
141,Columbus Blue Jackets,Cole Jarrett,CA,W,18,2001,2006,Plymouth (OHL),1,0,0,0,1,0,,,,,,,0.1,
142,Chicago Blackhawks,Tommi Jaminki,FI,LW,18,2001,,Espoo Jrs. (Finland-Jr.),,,,,,,,,,,,,,
143,Colorado Avalanche,Frantisek Skladany,SK,LW,19,2001,,Boston University (H-East),,,,,,,,,,,,,,
144,Colorado Avalanche,Cody McCormick,CA,C/RW,18,2001,2015,Belleville (OHL),405,21,44,65,-24,550,,,,,,,1.8,
145,Calgary Flames,James Hakewill,US,D,19,2001,,Westminster (High-CT),,,,,,,,,,,,,,
146,Philadelphia Flyers,Jussi Timonen,FI,D,18,2001,2007,Kalpa Kuopio Jr. (Finland-Jr.),14,0,4,4,-10,6,,,,,,,-0.2,
147,Boston Bruins,Jiri Jakes,CZ,RW,18,2001,,Brandon (WHL),,,,,,,,,,,,,,
148,Phoenix Coyotes,David Klema,US,C,19,2001,,Des Moines (USHL),,,,,,,,,,,,,,
149,Colorado Avalanche,Mikko Viitanen,FI,D,19,2001,,Vastra Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
150,Philadelphia Flyers,Bernd Bruckler,AT,G,19,2001,,Tri-City (WHL),,,,,,,,,,,,,,
151,Vancouver Canucks,Kevin Bieksa,CA,D,20,2001,2018,Bowling Green (CCHA),808,63,215,278,2,1124,,,,,,,55.3,
152,Los Angeles Kings,Terry Denike,CA,G,20,2001,,Weyburn (SJHL),,,,,,,,,,,,,,
153,Los Angeles Kings,Tuukka Mantyla,FI,D,20,2001,,Tappara Tampere (Finland),,,,,,,,,,,,,,
154,Edmonton Oilers,Jake Brenk,US,C,19,2001,,Breck (High-MN),,,,,,,,,,,,,,
155,Buffalo Sabres,Michal Vondrka,CZ,LW,18,2001,,Ceske Budejovice Jr. (Czech-Jr.),,,,,,,,,,,,,,
156,Pittsburgh Penguins,Andy Schneider,US,D,20,2001,,Lincoln (USHL),,,,,,,,,,,,,,
157,Detroit Red Wings,Andreas Jamtin,SE,RW,18,2001,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,
158,Philadelphia Flyers,Roman Malek,CZ,G,23,2001,,Slavia Praha (Czech-2),,,,,,,,,,,,,,
159,St. Louis Blues,Dmitri Semin,RU,C,18,2001,,Spartak Moscow (KHL),,,,,,,,,,,,,,
160,Washington Capitals,Artem Ternavsky,RU,D,18,2001,,Sherbrooke (QMJHL),,,,,,,,,,,,,,
161,Dallas Stars,Mike Smith,CA,G,19,2001,2022,Sudbury (OHL),670,1,20,21,0,152,670,299,263,78,0.912,2.7,116.9,
162,Ottawa Senators,Stefan Schauer,DE,D,18,2001,,Riebersee (German-2),,,,,,,,,,,,,,
163,New Jersey Devils,Andreas Salomonsson,SE,RW,27,2001,2003,Djurgarden (Sweden),71,5,9,14,-13,36,,,,,,,0.2,
164,Calgary Flames,Yuri Trubachev,RU,C,18,2001,,St. Petersburg (KHL),,,,,,,,,,,,,,
165,Colorado Avalanche,Pierre-Luc Emond,CA,C,18,2001,,Drummondville (QMJHL),,,,,,,,,,,,,,
166,New York Islanders,Andy Chiodo,CA,G,18,2001,2004,St. Michael's (OJHL),8,0,0,0,0,0,8,3,4,1,0.892,3.46,1,
167,Dallas Stars,Michal Blazek,CZ,D,19,2001,,Vsetin Jr. (Czech-Jr.),,,,,,,,,,,,,,
168,Toronto Maple Leafs,Maxim Kondratiev,RU,D,18,2001,2008,Lada Togliatti 2 (Russia-3),40,1,2,3,-4,24,,,,,,,0.7,
169,Florida Panthers,Dustin Johner,CA,C,18,2001,,Seattle (WHL),,,,,,,,,,,,,,
170,Anaheim Ducks,Jan Tabacek,SK,D,21,2001,,Martin (Slovakia),,,,,,,,,,,,,,
171,Montreal Canadiens,Eric Himelfarb,CA,C,18,2001,,Sarnia (OHL),,,,,,,,,,,,,,
172,Philadelphia Flyers,Dennis Seidenberg,DE,D,20,2001,2018,Mannheim (Germany),859,44,207,251,39,359,,,,,,,49.1,
173,Columbus Blue Jackets,Justin Aikins,CA,C,19,2001,,Langley (BCHL),,,,,,,,,,,,,,
174,Chicago Blackhawks,Alexander Golovin,RU,LW,18,2001,,Avangard Omsk Jr. (KHL),,,,,,,,,,,,,,
175,San Jose Sharks,Ryane Clowe,CA,LW,18,2001,2015,Rimouski (QMJHL),491,112,197,309,7,618,,,,,,,32.1,
176,New York Rangers,Marek Zidlicky,CZ,D,24,2001,2016,HIFK Helsinki (Finland),836,89,328,417,-64,680,,,,,,,70.7,
177,Philadelphia Flyers,Andrei Razin,RU,C,27,2001,,Magnitogorsk (KHL),,,,,,,,,,,,,,
178,Nashville Predators,Anton Lavrentiev,RU,D,18,2001,,Ak Bars Kazan Jr. (Russia-Jr.),,,,,,,,,,,,,,
179,Boston Bruins,Andrew Alberts,US,D,20,2001,2014,Waterloo (USHL),459,8,47,55,2,492,,,,,,,13.4,
180,Phoenix Coyotes,Scott Polaski,US,RW,19,2001,,Sioux City (USHL),,,,,,,,,,,,,,
181,Carolina Hurricanes,Daniel Boisclair,CA,G,18,2001,,Cape Breton (QMJHL),,,,,,,,,,,,,,
182,San Jose Sharks,Tom Cavanagh,US,LW,19,2001,2009,Exeter (High-NH),18,1,2,3,-1,4,,,,,,,0.2,
183,Toronto Maple Leafs,Jaroslav Sklenar,CZ,RW,18,2001,,Brno,,,,,,,,,,,,,,
184,Colorado Avalanche,Scott Horvath,US,RW,19,2001,,Massachusetts (H-East),,,,,,,,,,,,,,
185,Edmonton Oilers,Mikael Svensk,SE,D,18,2001,,Vastra Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
186,Chicago Blackhawks,Petr Puncochar,CZ,D,18,2001,,Karlovy Vary (Czech),,,,,,,,,,,,,,
187,Columbus Blue Jackets,Artem Vostrikov,RU,C,18,2001,,Lada Togliatti Jr. (Russia-Jr.),,,,,,,,,,,,,,
188,Tampa Bay Lightning,Art Femenella,US,D,19,2001,,Sioux City (USHL),,,,,,,,,,,,,,
189,Atlanta Thrashers,Pasi Nurminen,FI,G,25,2001,2004,Jokerit Helsinki (KHL),125,0,5,5,0,39,125,48,54,12,0.904,2.89,19.1,
190,St. Louis Blues,Brett Scheffelmaier,CA,D,20,2001,,Medicine Hat (WHL),,,,,,,,,,,,,,
191,Washington Capitals,Zbynek Novak,CZ,LW,18,2001,,Slavia Praha Jr. (Czech-Jr.),,,,,,,,,,,,,,
192,Dallas Stars,Jussi Jokinen,FI,C,18,2001,2018,Karpat Oulu Jr. (Finland-Jr.),951,191,372,563,7,377,,,,,,,57.2,
193,Ottawa Senators,Brooks Laich,CA,C,18,2001,2018,Moose Jaw (WHL),776,134,198,332,-19,307,,,,,,,27.8,
194,New Jersey Devils,James Massen,US,RW,19,2001,,Sioux Falls (USHL),,,,,,,,,,,,,,
195,Detroit Red Wings,Nick Pannoni,CA,G,18,2001,,Seattle (WHL),,,,,,,,,,,,,,
196,Colorado Avalanche,Charlie Stephens,CA,C/RW,20,2001,2004,Guelph (OHL),8,0,2,2,-1,4,,,,,,,0.1,
197,New York Islanders,Jan Holub,CZ,D,18,2001,,Liberec Jr. (Czech-Jr.),,,,,,,,,,,,,,
198,Toronto Maple Leafs,Ivan Kolozvary,SK,C,18,2001,,Dukla Trencin Jr. (Slovak-Jr.),,,,,,,,,,,,,,
199,Atlanta Thrashers,Matt Suderman,CA,D,18,2001,,Saskatoon (WHL),,,,,,,,,,,,,,
200,Florida Panthers,Toni Koivisto,FI,LW,18,2001,,Lukko Rauma (Finland),,,,,,,,,,,,,,
201,Atlanta Thrashers,Colin FitzRandolph,US,C,19,2001,,Exeter (High-NH),,,,,,,,,,,,,,
202,Minnesota Wild,Derek Boogaard,CA,LW,19,2001,2011,Prince George (WHL),277,3,13,16,-12,589,,,,,,,-0.7,
203,Montreal Canadiens,Andrew Archer,CA,D,18,2001,,Guelph (OHL),,,,,,,,,,,,,,
204,Columbus Blue Jackets,Raffaele Sannitz,CH,C,18,2001,,Lugano (Swiss),,,,,,,,,,,,,,
205,Chicago Blackhawks,Teemu Jaaskelainen,FI,D,18,2001,,Ilves Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,,
206,New York Rangers,Petr Preucil,CZ,C,18,2001,,Quebec (QMJHL),,,,,,,,,,,,,,
207,Calgary Flames,Garrett Bembridge,CA,RW,20,2001,,Saskatoon (WHL),,,,,,,,,,,,,,
208,Philadelphia Flyers,Thierry Douville,CA,D,18,2001,,Baie-Comeau (QMJHL),,,,,,,,,,,,,,
209,Boston Bruins,Jordan Sigalet,CA,G,20,2001,2006,Victoria (WHL),1,0,0,0,0,0,1,0,0,0,,0,0,
210,Phoenix Coyotes,Steve Belanger,US,G,18,2001,,Kamloops (WHL),,,,,,,,,,,,,,
211,Carolina Hurricanes,Sean Curry,US,D,19,2001,,Tri-City (WHL),,,,,,,,,,,,,,
212,Vancouver Canucks,Jason King,CA,C,20,2001,2008,Halifax (QMJHL),59,12,11,23,-3,8,,,,,,,2.4,
213,Toronto Maple Leafs,Jan Chovan,SK,G,18,2001,,Belleville (OHL),,,,,,,,,,,,,,
