Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Atlanta Thrashers,Ilya Kovalchuk,RU,LW,18,2001,2020,Spartak Moscow (KHL),926,443,433,876,-146,544,,,,,,,103.4,
2,Ottawa Senators,Jason Spezza,CA,C,18,2001,2022,Windsor (OHL),1248,363,632,995,5,604,,,,,,,109.5,
3,Tampa Bay Lightning,Alexander Svitov,RU,C,18,2001,2007,Avangard Omsk (KHL),179,13,24,37,-22,223,,,,,,,1.1,
4,Florida Panthers,Stephen Weiss,CA,C,18,2001,2015,Plymouth (OHL),732,156,267,423,-23,341,,,,,,,40,
5,Anaheim Ducks,Stanislav Chistov,RU,LW,18,2001,2007,Avangard Omsk (KHL),196,19,42,61,-20,116,,,,,,,4.4,
6,Minnesota Wild,Mikko Koivu,FI,C,18,2001,2021,TPS Turku (Finland),1035,206,505,711,68,594,,,,,,,70.3,
7,Montreal Canadiens,Mike Komisarek,US,D,19,2001,2014,Michigan (CCHA),551,14,67,81,-19,679,,,,,,,17.6,
8,Columbus Blue Jackets,Pascal Leclaire,CA,G,18,2001,2011,Halifax (QMJHL),173,0,4,4,0,8,173,61,76,15,0.904,2.89,26.4,
9,Chicago Blackhawks,Tuomo Ruutu,FI,C/LW,18,2001,2016,Jokerit Helsinki (KHL),735,148,198,346,-70,596,,,,,,,31.9,
10,New York Rangers,Dan Blackburn,CA,G,18,2001,2003,Kootenay (WHL),63,0,0,0,0,12,63,20,32,4,0.894,3.24,8,
11,Phoenix Coyotes,Fredrik Sjostrom,SE,RW,18,2001,2011,Vastra Frolunda (Sweden),489,46,58,104,-37,190,,,,,,,4.2,
12,Nashville Predators,Dan Hamhuis,CA,D,18,2001,2020,Prince George (WHL),1148,59,297,356,72,684,,,,,,,74.5,
13,Edmonton Oilers,Ales Hemsky,CZ,RW,18,2001,2018,Hull (QMJHL),845,174,398,572,-53,353,,,,,,,54.6,
14,Calgary Flames,Chuck Kobasew,CA,RW,19,2001,2014,Boston College (H-East),601,110,100,210,-33,394,,,,,,,19.7,
15,Carolina Hurricanes,Igor Knyazev,RU,D,18,2001,,Spartak Moscow (KHL),,,,,,,,,,,,,,
16,Vancouver Canucks,R.J. Umberger,US,C,19,2001,2016,Ohio State (CCHA),779,180,212,392,-64,312,,,,,,,36.4,
17,Toronto Maple Leafs,Carlo Colaiacovo,CA,D,18,2001,2016,Erie (OHL),470,34,123,157,-6,231,,,,,,,28.4,
18,Los Angeles Kings,Jens Karlsson,SE,RW,18,2001,,Vastra Frolunda (Sweden),,,,,,,,,,,,,,
19,Boston Bruins,Shaone Morrisonn,CA,D,18,2001,2011,Kamloops (WHL),480,11,64,75,34,455,,,,,,,16.3,
20,San Jose Sharks,Marcel Goc,DE,C,18,2001,2015,Schwenningen (Germany),636,75,113,188,-21,157,,,,,,,13.2,
21,Pittsburgh Penguins,Colby Armstrong,CA,RW,18,2001,2013,Red Deer (WHL),476,89,120,209,24,376,,,,,,,18.3,
