Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,New York Islanders,Rick DiPietro\dipieri01,US,G,18,2000,2013,Boston University (H-East),318,0,19,19,0,129,318,130,136,36,0.902,2.87,49.3,
2,Atlanta Thrashers,Dany Heatley\heatlda01,DE,LW,19,2000,2015,Wisconsin (WCHA),869,372,419,791,38,620,,,,,,,95.2,
3,Minnesota Wild,Marian Gaborik\gaborma01,SK,RW,18,2000,2018,Dukla Trencin (Slovakia),1035,407,408,815,95,492,,,,,,,108.1,
4,Columbus Blue Jackets,Rostislav Klesla\kleslro01,CZ,D,18,2000,2014,Brampton (OHL),659,48,111,159,-46,620,,,,,,,34.5,
5,New York Islanders,Raffi Torres\torrera01,CA,LW,18,2000,2014,Brampton (OHL),635,137,123,260,2,497,,,,,,,28.4,
6,Nashville Predators,Scott Hartnell\hartnsc01,CA,LW,18,2000,2018,Prince Albert (WHL),1249,327,380,707,66,1809,,,,,,,81.4,
7,Boston Bruins,Lars Jonsson\jonssla01,SE,D,18,2000,2007,Leksand (Sweden),8,0,2,2,-4,6,,,,,,,0,
8,Tampa Bay Lightning,Nikita Alexeev\alexeni01,RU,RW,18,2000,2007,Erie (OHL),159,20,17,37,-8,28,,,,,,,2.4,
9,Calgary Flames,Brent Krahn\krahnbr01,CA,G,18,2000,2009,Calgary (WHL),1,0,0,0,0,0,1,0,0,0,0.667,9,-0.2,
10,Chicago Blackhawks,Mikhail Yakubov\yakubmi01,RU,C,18,2000,2006,Lada Togliatti (KHL),53,2,10,12,-13,20,,,,,,,-0.1,
11,Chicago Blackhawks,Pavel Vorobiev\vorobpa01,KZ,RW,18,2000,2006,Torpedo Yaroslavl 2 (Russia-2),57,10,15,25,-1,38,,,,,,,2.1,
12,Anaheim Ducks,Alexei Smirnov\smirnal01,RU,LW,18,2000,2004,Tver (Russia-2),52,3,3,6,-1,20,,,,,,,0.3,
13,Montreal Canadiens,Ron Hainsey\hainsro01,US,D,19,2000,2020,U. Mass-Lowell (H-East),1132,59,252,311,-21,443,,,,,,,60.2,
14,Colorado Avalanche,Vaclav Nedorost\nedorva01,CZ,C,18,2000,2004,Ceske Budejovice (Czech-2),99,10,10,20,-2,34,,,,,,,1.4,
15,Buffalo Sabres,Artem Kryukov,RU,C,,2000,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,,
16,Montreal Canadiens,Marcel Hossa\hossama02,SK,LW,18,2000,2008,Portland (WHL),237,31,30,61,-6,106,,,,,,,4.3,
17,Edmonton Oilers,Alexei Mikhnov\mikhnal01,UA,LW,18,2000,2007,Torpedo Yaroslavl 2 (Russia-2),2,0,0,0,0,0,,,,,,,0,
18,Pittsburgh Penguins,Brooks Orpik\orpikbr01,US,D,19,2000,2019,Boston College (H-East),1035,18,176,194,79,972,,,,,,,43.8,
19,Phoenix Coyotes,Krys Kolanos\kolankr01,CA,C,19,2000,2012,Boston College (H-East),149,20,22,42,0,94,,,,,,,3.6,
20,Los Angeles Kings,Alex Frolov\froloal01,RU,LW,18,2000,2011,Lokomotiv Yaroslavl 2 (Russia-3),579,175,222,397,27,218,,,,,,,43.7,
21,Ottawa Senators,Anton Volchenkov\volchan01,RU,D,18,2000,2015,HK Moscow (KHL),696,19,114,133,73,438,,,,,,,34,
22,New Jersey Devils,David Hale\haleda01,US,D,19,2000,2011,Sioux City (USHL),327,4,25,29,11,242,,,,,,,9.9,
23,Vancouver Canucks,Nathan Smith\smithna02,CA,C,18,2000,2010,Swift Current (WHL),26,0,0,0,-5,14,,,,,,,-0.6,
24,Toronto Maple Leafs,Brad Boyes\boyesbr01,CA,RW,18,2000,2016,Erie (OHL),822,211,294,505,-18,251,,,,,,,53.8,
25,Dallas Stars,Steve Ott\ottst01,CA,C,18,2000,2017,Windsor (OHL),848,109,179,288,-66,1555,,,,,,,19.6,
26,Washington Capitals,Brian Sutherby\suthebr01,CA,C,18,2000,2011,Moose Jaw (WHL),460,41,49,90,-32,533,,,,,,,3.3,
27,Boston Bruins,Martin Samuelsson\samuema01,SE,RW,18,2000,2004,MoDo Ornskoldsvik (Sweden),14,0,1,1,-2,2,,,,,,,-0.2,
28,Philadelphia Flyers,Justin Williams\williju01,CA,RW,18,2000,2020,Plymouth (OHL),1264,320,477,797,110,766,,,,,,,89,
29,Detroit Red Wings,Niklas Kronwall\kronwni01,SE,D,19,2000,2019,Djurgarden (Sweden),953,83,349,432,-5,564,,,,,,,74.3,
30,St. Louis Blues,Jeff Taffe\taffeje01,US,C,19,2000,2012,Minnesota (WCHA),180,21,25,46,-20,40,,,,,,,3.1,
31,Atlanta Thrashers,Ilja Nikulin,RU,D,,2000,,Tver (Russia-2),,,,,,,,,,,,,,
32,Carolina Hurricanes,Tomas Kurka\kurkato01,CZ,LW,18,2000,2004,Plymouth (OHL),17,3,2,5,1,2,,,,,,,0.6,
33,Minnesota Wild,Nick Schultz\schulni01,CA,D,18,2000,2017,Prince Albert (WHL),1069,30,145,175,-18,483,,,,,,,48.2,
34,Tampa Bay Lightning,Ruslan Zainullin,RU,RW,,2000,,Ak Bars Kazan (Russia),,,,,,,,,,,,,,
35,Edmonton Oilers,Brad Winchester\winchbr01,US,C/LW,19,2000,2012,Wisconsin (WCHA),390,37,31,68,-42,552,,,,,,,3.7,
36,Nashville Predators,Daniel Widing,SE,RW,,2000,,Leksand (Sweden),,,,,,,,,,,,,,
37,Boston Bruins,Andy Hilbert\hilbean01,US,C/LW,19,2000,2010,Michigan (CCHA),307,42,62,104,9,132,,,,,,,8.4,
38,Detroit Red Wings,Tomas Kopecky\kopecto01,SK,C,18,2000,2015,Dukla Trencin (Slovakia),578,68,106,174,-54,307,,,,,,,11.2,
39,New Jersey Devils,Teemu Laine,FI,RW,,2000,,Jokerit Helsinki (KHL),,,,,,,,,,,,,,
40,Calgary Flames,Kurtis Foster\fosteku01,CA,D,18,2000,2013,Peterborough (OHL),405,42,118,160,-31,308,,,,,,,27.9,
41,San Jose Sharks,Tero Maatta,FI,D,,2000,,Jokerit Helsinki (KHL),,,,,,,,,,,,,,
42,Atlanta Thrashers,Libor Ustrnul,CZ,D,,2000,,Plymouth (OHL),,,,,,,,,,,,,,
43,Washington Capitals,Matt Pettinger\pettima01,CA,LW,19,2000,2010,Calgary (WHL),422,65,58,123,-55,210,,,,,,,7.3,
44,Anaheim Ducks,Ilya Bryzgalov\bryzgil01,RU,G,20,2000,2015,Lada Togliatti (KHL),465,0,12,12,0,20,465,221,162,54,0.912,2.58,81.3,
45,Ottawa Senators,Mathieu Chouinard\chouima02,CA,G,20,2000,2004,Shawinigan (QMJHL),1,0,0,0,0,0,1,0,0,0,1,0,0,
46,Calgary Flames,Jarret Stoll\stollja01,CA,C,18,2000,2016,Kootenay (WHL),872,144,244,388,2,618,,,,,,,34.1,
47,Colorado Avalanche,Jared Aulin\aulinja01,CA,C/RW,18,2000,2003,Kamloops (WHL),17,2,2,4,-3,0,,,,,,,0.3,
48,Buffalo Sabres,Gerard Dicaire\dicaige01,YU,D,18,2000,,Seattle (WHL),,,,,,,,,,,,,,
49,Chicago Blackhawks,Jonas Nordqvist\nordqjo01,SE,C,18,2000,2007,Leksand (Sweden),3,0,2,2,1,2,,,,,,,0.2,
50,Colorado Avalanche,Sergei Soin,RU,C/LW,,2000,,Krylja Sovetov (Russia),,,,,,,,,,,,,,
51,Toronto Maple Leafs,Kris Vernarsky\vernakr01,US,C,18,2000,2004,Plymouth (OHL),17,1,0,1,-3,2,,,,,,,-0.2,
52,Pittsburgh Penguins,Shane Endicott\endicsh01,CA,C,18,2000,2006,Seattle (WHL),45,1,2,3,-10,47,,,,,,,-1,
53,Phoenix Coyotes,Alexander Tatarinov,RU,RW,,2000,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,,
54,Los Angeles Kings,Andreas Lilja\liljaan01,SE,D,25,2000,2013,Malmo (Sweden),580,16,71,87,32,563,,,,,,,23.6,
55,Ottawa Senators,Antoine Vermette\vermean01,CA,C,18,2000,2018,Victoriaville (QMJHL),1046,228,287,515,-49,622,,,,,,,47.1,
56,New Jersey Devils,Alexander Suglobov\sugloal01,RU,RW,18,2000,2007,Torpedo Yaroslavl 2 (Russia-2),18,1,0,1,-9,4,,,,,,,-0.4,
57,New Jersey Devils,Matt DeMarchi,US,D,,2000,,Minnesota (WCHA),,,,,,,,,,,,,,
