Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
16,Pittsburgh Penguins,Jamie Heward\hewarja01,CA,D,18,1989,2009,Regina (WHL),394,38,86,124,-50,221,,,,,,,18.3
17,Boston Bruins,Shayne Stevenson\stevesh01,CA,RW,18,1989,1993,Kitchener (OHL),27,0,2,2,-8,35,,,,,,,-0.7
18,New Jersey Devils,Jason Miller\milleja03,CA,LW,18,1989,1993,Medicine Hat (WHL),6,0,0,0,0,0,,,,,,,-0.2
19,Washington Capitals,Olaf Kolzig\kolziol01,ZA,G,19,1989,2009,Tri-City (WHL),719,0,17,17,0,107,719,303,297,87,0.906,2.71,122.2
20,New York Rangers,Steven Rice\ricest01,CA,RW,18,1989,1998,Kitchener (OHL),329,64,61,125,-43,275,,,,,,,7.4
21,Toronto Maple Leafs,Steve Bancroft\bancrst01,CA,D,18,1989,2002,Belleville (OHL),6,0,1,1,-2,2,,,,,,,0
22,Quebec Nordiques,Adam Foote\footead01,CA,D,18,1989,2011,Sault Ste. Marie (OHL),1154,66,242,308,99,1534,,,,,,,71.5
23,New York Islanders,Travis Green\greentr01,CA,C,18,1989,2007,Spokane (WHL),970,193,262,455,-55,764,,,,,,,36.1
24,Calgary Flames,Kent Manderville\mandeke01,CA,C,18,1989,2003,Notre Dame (SJHL),646,37,67,104,-31,348,,,,,,,-0.1
25,Winnipeg Jets,Dan Ratushny\ratusda01,CA,D,18,1989,1993,Cornell (ECAC),1,0,1,1,0,2,,,,,,,0.1
26,New Jersey Devils,Jarrod Skalde\skaldja01,CA,C,18,1989,2002,Oshawa (OHL),115,13,21,34,-23,62,,,,,,,0.8
27,Chicago Blackhawks,Michael Speer,CA,D,,1989,,Guelph (OHL),,,,,,,,,,,,,
28,Minnesota North Stars,Mike Craig\craigmi01,CA,RW,18,1989,2002,Oshawa (OHL),423,71,97,168,-98,550,,,,,,,6.6
29,Vancouver Canucks,Robert Woodward,US,LW,,1989,,Deerfield Academy (High-MA),,,,,,,,,,,,,
30,Montreal Canadiens,Patrice Brisebois\brisepa01,CA,D,18,1989,2009,Laval (QMJHL),1009,98,322,420,1,623,,,,,,,76.8
31,St. Louis Blues,Rick Corriveau,CA,D,,1989,,London (OHL),,,,,,,,,,,,,
32,Detroit Red Wings,Bob Boughner\boughbo01,CA,D,18,1989,2006,Sault Ste. Marie (OHL),630,15,57,72,27,1382,,,,,,,22.7
33,Philadelphia Flyers,Greg Johnson\johnsgr02,CA,C,18,1989,2006,Thunder Bay (USHL),785,145,224,369,-72,345,,,,,,,26.7
34,Philadelphia Flyers,Patrik Juhlin\juhlipa01,SE,LW,19,1989,1996,Vasteras (Sweden-2),56,7,6,13,-9,23,,,,,,,0
35,Washington Capitals,Byron Dafoe\dafoeby01,GB,G,18,1989,2004,Portland (WHL),415,0,8,8,0,68,415,171,170,56,0.904,2.69,62.1
36,Edmonton Oilers,Richard Borgo,CA,G,,1989,,Kitchener (OHL),,,,,,,,,,,,,
37,Pittsburgh Penguins,Paul Laus\lauspa01,CA,D,18,1989,2002,Niagara Falls (OHL),530,14,58,72,31,1702,,,,,,,19
38,Boston Bruins,Mike Parson,CA,G,,1989,,Guelph (OHL),,,,,,,,,,,,,
39,Los Angeles Kings,Brent Thompson\thompbr01,CA,D,18,1989,1997,Medicine Hat (WHL),121,1,10,11,-32,352,,,,,,,1.1
40,New York Rangers,Jason Prosofsky,CA,RW,,1989,,Medicine Hat (WHL),,,,,,,,,,,,,
41,Montreal Canadiens,Steve Larouche\laroust01,CA,C,18,1989,1996,Trois-Rivieres (QMJHL),26,9,9,18,-5,10,,,,,,,1.8
42,Calgary Flames,Ted Drury\druryte01,US,C,18,1989,2001,Fairfield Prep (High-CT),414,41,52,93,-66,367,,,,,,,1.6
43,Quebec Nordiques,Stephane Morin\morinst01,CA,C,20,1989,1994,Chicoutimi (QMJHL),90,16,39,55,4,52,,,,,,,3.5
44,New York Islanders,Jason Zent\zentja01,US,LW,18,1989,1999,Nichols (High-NY),27,3,3,6,5,13,,,,,,,0.4
45,New York Rangers,Rob Zamuner\zamunro01,CA,LW,19,1989,2004,Guelph (OHL),798,139,172,311,-57,467,,,,,,,23.3
46,Winnipeg Jets,Jason Cirone\cironja01,CA,C,18,1989,1992,Cornwall (OHL),3,0,0,0,0,2,,,,,,,-0.1
47,New Jersey Devils,Scott Pellerin\pellesc01,CA,LW,19,1989,2004,U. of Maine (H-East),536,72,126,198,16,320,,,,,,,14.3
48,Chicago Blackhawks,Bob Kellogg,US,D,,1989,,Springfield Jr. B,,,,,,,,,,,,,
49,New York Rangers,Louie DeBrusk\debrulo01,CA,LW,18,1989,2003,London (OHL),401,24,17,41,-46,1161,,,,,,,-3.8
50,Calgary Flames,Veli-Pekka Kautonen,FI,D,,1989,,HIFK Helsinki (Finland),,,,,,,,,,,,,
51,Montreal Canadiens,Pierre Sevigny\sevigpi01,CA,LW,18,1989,1998,Trois-Rivieres (QMJHL),78,4,5,9,1,64,,,,,,,-0.9
52,Hartford Whalers,Blair Atcheynum\atchebl01,CA,RW,20,1989,2001,Moose Jaw (WHL),196,27,33,60,-21,36,,,,,,,3.4
53,Detroit Red Wings,Nicklas Lidstrom\lidstni01,SE,D,19,1989,2012,Vasteras (Sweden-2),1564,264,878,1142,450,514,,,,,,,211.8
54,Quebec Nordiques,John Tanner\tannejo01,CA,G,18,1989,1992,Peterborough (OHL),21,0,0,0,0,6,21,2,11,5,0.883,3.6,2.8
55,St. Louis Blues,Denny Felsner\felsnde01,US,LW,19,1989,1995,Michigan (CCHA),18,1,4,5,2,6,,,,,,,0.1
56,Buffalo Sabres,Scott Thomas\thomasc01,US,RW,19,1989,2001,Nichols (High-NY),63,6,4,10,-4,32,,,,,,,0
57,Boston Bruins,Wes Walz\walzwe01,CA,C,19,1989,2008,Lethbridge (WHL),607,109,151,260,23,343,,,,,,,22.8
58,Pittsburgh Penguins,John Brill,US,,,1989,,Grand Rapids (High-MN),,,,,,,,,,,,,
59,Washington Capitals,Jim Mathieson\mathiji01,CA,D,19,1989,1990,Regina (WHL),2,0,0,0,0,4,,,,,,,0.1
60,Minnesota North Stars,Murray Garbutt,CA,C,,1989,,Medicine Hat (WHL),,,,,,,,,,,,,
61,Washington Capitals,Jason Woolley\woollja01,CA,D,20,1989,2006,Michigan State (CCHA),718,68,246,314,65,430,,,,,,,58.9
62,Winnipeg Jets,Kris Draper\drapekr01,CA,C,18,1989,2011,Canadian National,1157,161,203,364,72,790,,,,,,,26.3
63,Calgary Flames,Corey Lyons,CA,RW,,1989,,Lethbridge (WHL),,,,,,,,,,,,,
64,Winnipeg Jets,Mark Brownschidle,US,D,,1989,,Boston University (H-East),,,,,,,,,,,,,
65,New York Islanders,Brent Grieve\grievbr01,CA,LW,20,1989,1997,Oshawa (OHL),97,20,16,36,9,87,,,,,,,2.7
66,Toronto Maple Leafs,Matt Martin\martima01,US,D,18,1989,1997,Avon Old Farms (High-CT),76,0,5,5,-11,71,,,,,,,1.9
67,New York Rangers,Jim Cummins\cummiji01,US,RW,19,1989,2004,Michigan State (CCHA),511,24,36,60,-44,1538,,,,,,,-3.1
68,Quebec Nordiques,Niklas Andersson\anderni01,SE,LW,18,1989,2001,Vastra Frolunda (Sweden),164,29,53,82,-3,85,,,,,,,6.4
69,Winnipeg Jets,Allain Roy,CA,G,,1989,,Harvard (ECAC),,,,,,,,,,,,,
70,Calgary Flames,Robert Reichel\reichro01,CZ,C,18,1989,2004,CHZ Litvinov (Czech),830,252,378,630,58,388,,,,,,,60.6
71,Vancouver Canucks,Brett Hauer\hauerbr01,US,D,18,1989,2002,Richfield (High-MN),37,4,4,8,-16,38,,,,,,,0.9
72,Philadelphia Flyers,Reid Simpson\simpsre01,CA,LW,20,1989,2004,Prince Albert (WHL),301,18,18,36,-11,838,,,,,,,0.8
73,Hartford Whalers,Jim McKenzie\mckenji02,CA,LW,19,1989,2004,Victoria (WHL),880,48,52,100,-86,1739,,,,,,,-6.8
74,Detroit Red Wings,Sergei Fedorov\fedorse01,RU,C,19,1989,2009,CSKA Moscow (Russia),1248,483,696,1179,261,839,,,,,,,125.6
75,Minnesota North Stars,Jean-Francois Quintin\quintje01,CA,LW,20,1989,1993,Shawinigan (QMJHL),22,5,5,10,-2,4,,,,,,,0.6
76,Quebec Nordiques,Eric Dubois,CA,D,,1989,,Laval (QMJHL),,,,,,,,,,,,,
77,Buffalo Sabres,Doug MacDonald\macdodo01,CA,LW,20,1989,1995,Wisconsin (WCHA),11,1,0,1,-3,2,,,,,,,-0.2
78,Edmonton Oilers,Josef Beranek\beranjo01,CZ,LW/C,19,1989,2001,CHZ Litvinov (Czech),531,118,144,262,-44,398,,,,,,,17.8
79,Pittsburgh Penguins,Todd Nelson\nelsoto01,CA,D,20,1989,1994,Prince Albert (WHL),3,1,0,1,1,2,,,,,,,0.3
80,Boston Bruins,Jackson Penney,CA,C,,1989,,Victoria (WHL),,,,,,,,,,,,,
81,Los Angeles Kings,Jim Maher,US,D,,1989,,Illinois-Chicago (CCHA),,,,,,,,,,,,,
82,Washington Capitals,Trent Klatt\klatttr01,US,RW,18,1989,2004,Osseo (High-MN),782,143,200,343,44,307,,,,,,,29.6
83,Montreal Canadiens,Andre Racicot\racican01,CA,G,20,1989,1994,Granby (QMJHL),68,0,2,2,0,6,68,26,23,8,0.88,3.5,7.7
84,Calgary Flames,Ryan O'Leary,US,C,,1989,,Hermantown (High-MN),,,,,,,,,,,,,
85,Quebec Nordiques,Kevin Kaiser,CA,LW,,1989,,Minnesota-Duluth (WCHA),,,,,,,,,,,,,
86,New York Islanders,Jace Reed,US,D,,1989,,Grand Rapids (High-MN),,,,,,,,,,,,,
87,Minnesota North Stars,Pat MacLeod\maclepa02,CA,D,20,1989,1996,Kamloops (WHL),53,5,13,18,-50,14,,,,,,,0.6
88,New York Rangers,Aaron Miller\milleaa01,US,D,18,1989,2008,Niagara (OJHL),677,25,94,119,27,422,,,,,,,31.4
89,New Jersey Devils,Mike Heinke,US,G,,1989,,Avon Old Farms (High-CT),,,,,,,,,,,,,
90,New York Islanders,Steve Young,CA,RW,,1989,,Moose Jaw (WHL),,,,,,,,,,,,,
91,Minnesota North Stars,Bryan Schoen,US,G,,1989,,Minnetonka,,,,,,,,,,,,,
92,Edmonton Oilers,Peter White\whitepe01,CA,C,20,1989,2004,Michigan State (CCHA),220,23,37,60,-19,36,,,,,,,2.7
93,St. Louis Blues,Daniel Laperriere\laperda01,CA,D,20,1989,1996,St. Lawrence (ECAC),48,2,5,7,-5,27,,,,,,,1.9
94,Hartford Whalers,James Black\blackja01,CA,LW,20,1989,2001,Portland (WHL),352,58,57,115,-8,84,,,,,,,8.6
95,Detroit Red Wings,Shawn McCosh\mccossh01,CA,C,20,1989,1995,Niagara Falls (OHL),9,1,0,1,1,6,,,,,,,0
96,Toronto Maple Leafs,Keith Carney,US,D,,1989,,Mount St. Charles (High-RI),,,,,,,,,,,,,
97,Minnesota North Stars,Rhys Hollyman,CA,D,,1989,,Miami (Ohio) (CCHA),,,,,,,,,,,,,
98,Buffalo Sabres,Ken Sutton\suttoke01,CA,D,19,1989,2002,Saskatoon (WHL),388,23,80,103,-14,338,,,,,,,19.8
99,New York Islanders,Kevin O'Sullivan,US,D,,1989,,Catholic Memorial (High-MA),,,,,,,,,,,,,
100,Pittsburgh Penguins,Tom Nevers,US,C,,1989,,Edina (High-MN),,,,,,,,,,,,,
101,Boston Bruins,Mark Montanari,CA,C,,1989,,Kitchener (OHL),,,,,,,,,,,,,
102,Los Angeles Kings,Eric Ricard,CA,D,,1989,,Granby (QMJHL),,,,,,,,,,,,,
103,Los Angeles Kings,Thomas Newman,US,G,,1989,,Blaine (High-MN),,,,,,,,,,,,,
104,Montreal Canadiens,Marc Deschamps,CA,D,,1989,,Cornell (ECAC),,,,,,,,,,,,,
105,Calgary Flames,Toby Kearney,US,LW,,1989,,Belmont Hill (High-MA),,,,,,,,,,,,,
106,Quebec Nordiques,Dan Lambert\lambeda01,CA,D,19,1989,1992,Swift Current (WHL),29,6,9,15,-5,22,,,,,,,2.1
107,Buffalo Sabres,Bill Pye,US,G,,1989,,Northern Michigan (WCHA),,,,,,,,,,,,,
108,Toronto Maple Leafs,David Burke,US,D,,1989,,Cornell (ECAC),,,,,,,,,,,,,
109,Winnipeg Jets,Dan Bylsma\bylsmda01,US,RW,18,1989,2004,Bowling Green (CCHA),429,19,43,62,-20,184,,,,,,,-0.7
110,New Jersey Devils,David Emma\emmada01,US,C,20,1989,2001,Boston College (H-East),34,5,6,11,-4,2,,,,,,,0.4
111,Chicago Blackhawks,Tommi Pullola,FI,C,,1989,,,,,,,,,,,,,,,
112,Minnesota North Stars,Scott Cashman,CA,G,,1989,,Kanata (CJHL),,,,,,,,,,,,,
113,Vancouver Canucks,Pavel Bure\burepa01,RU,RW,18,1989,2003,CSKA Moscow (Russia),702,437,342,779,42,484,,,,,,,93.1
114,St. Louis Blues,David Roberts\roberda01,US,LW,19,1989,1998,Avon Old Farms (High-CT),125,20,33,53,5,85,,,,,,,3.4
115,Hartford Whalers,Jerome Bechard,CA,LW,,1989,,Moose Jaw (WHL),,,,,,,,,,,,,
116,Detroit Red Wings,Dallas Drake\drakeda01,CA,RW,20,1989,2008,Northern Michigan (WCHA),1009,177,300,477,25,885,,,,,,,38.7
117,Philadelphia Flyers,Niklas Eriksson,SE,C,,1989,,,,,,,,,,,,,,,
118,New York Rangers,Joby Messier\messijo01,CA,D,19,1989,1995,Michigan State (CCHA),25,0,4,4,1,24,,,,,,,1.2
119,Buffalo Sabres,Mike Barkley,CA,RW,,1989,,U. of Maine (H-East),,,,,,,,,,,,,
120,Edmonton Oilers,Anatoli Semenov\semenan01,RU,C/LW,27,1989,1997,Dynamo Moscow (Russia),362,68,126,194,25,122,,,,,,,12.1
121,Pittsburgh Penguins,Mike Markovich,US,D,,1989,,Denver (WCHA),,,,,,,,,,,,,
122,Boston Bruins,Stephen Foster,US,D,,1989,,Catholic Memorial (High-MA),,,,,,,,,,,,,
123,Los Angeles Kings,Daniel Rydmark,SE,C,,1989,,Farjestad (Sweden),,,,,,,,,,,,,
124,St. Louis Blues,Derek Frenette,CA,LW,,1989,,Ferris State (CCHA),,,,,,,,,,,,,
125,Toronto Maple Leafs,Michael Doers,US,RW,,1989,,Northwood School (High-NY),,,,,,,,,,,,,
126,Pittsburgh Penguins,Mike Needham\needhmi01,CA,RW,19,1989,1994,Kamloops (WHL),86,9,5,14,-3,16,,,,,,,-0.7
127,Quebec Nordiques,Sergei Mylnikov\mylnise01,RU,G,30,1989,1990,Traktor Chelyabinsk (KHL),10,0,0,0,0,0,10,1,7,2,0.857,4.97,1.2
128,New York Islanders,Jon Larson,US,D,,1989,,Roseau (High-MN),,,,,,,,,,,,,
129,Toronto Maple Leafs,Keith Merkler,US,LW,,1989,,Portledge (High-NY),,,,,,,,,,,,,
130,Winnipeg Jets,Pekka Peltola,FI,RW,,1989,,HPK Hameenlinna (Finland),,,,,,,,,,,,,
131,Winnipeg Jets,Doug Evans,US,D,,1989,,Michigan (CCHA),,,,,,,,,,,,,
132,Chicago Blackhawks,Tracy Egeland,CA,LW,,1989,,Prince Albert (WHL),,,,,,,,,,,,,
133,New York Islanders,Brett Harkins\harkibr01,US,LW,19,1989,2002,Detroit Compuware (NAHL),78,6,30,36,-10,22,,,,,,,2
134,Vancouver Canucks,James Revenberg,CA,RW,,1989,,Windsor (OHL),,,,,,,,,,,,,
135,St. Louis Blues,Jeff Batters\batteje01,CA,D,18,1989,1995,Alaska-Anchorage (NCAA-Ind.),16,0,0,0,-4,28,,,,,,,0
136,Hartford Whalers,Scott Daniels\daniesc01,CA,LW,19,1989,1999,Regina (WHL),149,8,12,20,0,667,,,,,,,-1.3
137,Detroit Red Wings,Scott Zygulski,US,D,,1989,,Culver Military Academy (High-IN),,,,,,,,,,,,,
138,Philadelphia Flyers,John Callahan Jr.,US,C,,1989,,Belmont Hill (High-MA),,,,,,,,,,,,,
139,New York Rangers,Greg Leahy,CA,C,,1989,,Portland (WHL),,,,,,,,,,,,,
140,Edmonton Oilers,Davis Payne\payneda01,CA,LW,18,1989,1997,Michigan Tech (WCHA),22,0,1,1,-4,14,,,,,,,-0.6
141,Edmonton Oilers,Sergei Yashin,RU,LW,,1989,,Dynamo Moscow (Russia),,,,,,,,,,,,,
142,Pittsburgh Penguins,Patrick Schafhauser,US,D,,1989,,Hill-Murray (High-MN),,,,,,,,,,,,,
143,Boston Bruins,Otto Hascak,SK,RW,,1989,,Dukla Trencin (Slovakia),,,,,,,,,,,,,
144,Los Angeles Kings,Ted Kramer,US,RW,,1989,,Michigan (CCHA),,,,,,,,,,,,,
145,Washington Capitals,Dave Lorentz,CA,LW,,1989,,Peterborough (OHL),,,,,,,,,,,,,
146,Montreal Canadiens,Craig Ferguson\fergucr01,US,C,19,1989,2000,Yale (ECAC),27,1,1,2,-11,6,,,,,,,-0.8
147,Calgary Flames,Alex Nikolic,CA,LW,,1989,,Cornell (ECAC),,,,,,,,,,,,,
148,Quebec Nordiques,Paul Krake,CA,G,,1989,,Alaska-Anchorage (NCAA-Ind.),,,,,,,,,,,,,
149,New York Islanders,Phil Huber,CA,LW,,1989,,Kamloops (WHL),,,,,,,,,,,,,
150,Toronto Maple Leafs,Derek Langille,CA,D,,1989,,North Bay (OHL),,,,,,,,,,,,,
151,Winnipeg Jets,Jim Solly,CA,C,,1989,,Bowling Green (CCHA),,,,,,,,,,,,,
152,New Jersey Devils,Sergei Starikov\starise01,SU,D,30,1989,1990,CSKA Moscow (Russia),16,0,1,1,-8,8,,,,,,,0.1
153,Chicago Blackhawks,Milan Tichy\tichymi01,CZ,D,19,1989,1996,Skoda Plzen (Czech),23,0,5,5,9,40,,,,,,,1.8
154,Minnesota North Stars,Jonathon Pratt,US,C,,1989,,Pingree (High-MA),,,,,,,,,,,,,
155,Vancouver Canucks,Rob Sangster,CA,LW,,1989,,Kitchener (OHL),,,,,,,,,,,,,
156,St. Louis Blues,Kevin Plager,US,RW,,1989,,Parkway North (High-MO),,,,,,,,,,,,,
157,Hartford Whalers,Raymond Saumier,CA,RW,,1989,,Trois-Rivieres (QMJHL),,,,,,,,,,,,,
158,Detroit Red Wings,Andy Suhy,US,D,,1989,,Western Michigan (CCHA),,,,,,,,,,,,,
159,Philadelphia Flyers,Sverre Sears,US,D,,1989,,Belmont Hill (High-MA),,,,,,,,,,,,,
160,New York Rangers,Greg Spenrath,CA,LW,,1989,,Tri-City (WHL),,,,,,,,,,,,,
161,Buffalo Sabres,Derek Plante\plantde01,US,C,18,1989,2001,Cloquet (High-MN),450,96,152,248,17,138,,,,,,,21.4
162,Edmonton Oilers,Darcy Martini\martida01,CA,D,20,1989,1994,Michigan Tech (WCHA),2,0,0,0,-1,0,,,,,,,0
163,Pittsburgh Penguins,Dave Shute,US,C,,1989,,Victoria (WHL),,,,,,,,,,,,,
164,Boston Bruins,Rick Allain,CA,D,,1989,,Kitchener (OHL),,,,,,,,,,,,,
165,Los Angeles Kings,Sean Whyte\whytese01,CA,RW,19,1989,1993,Guelph (OHL),21,0,2,2,0,12,,,,,,,-0.5
166,Washington Capitals,Dean Holoien,CA,D,,1989,,Saskatoon (WHL),,,,,,,,,,,,,
167,Montreal Canadiens,Patrick Lebeau\lebeapa01,CA,LW,19,1989,1999,St. Jean (QMJHL),15,3,2,5,-2,6,,,,,,,0.3
168,Calgary Flames,Kevin Wortman\wortmke01,US,D,20,1989,1994,American International (ECAC-3),5,0,0,0,1,2,,,,,,,0.2
169,Quebec Nordiques,Vyacheslav Bykov,RU,C,,1989,,CSKA Moscow (Russia),,,,,,,,,,,,,
170,New York Islanders,Matthew Robbins,US,C,,1989,,New Hampton School (High-NH),,,,,,,,,,,,,
171,Toronto Maple Leafs,Jeffrey St. Laurent,US,RW,,1989,,Berwick,,,,,,,,,,,,,
172,Winnipeg Jets,Stephane Gauvin,CA,LW,,1989,,Cornell (ECAC),,,,,,,,,,,,,
173,New Jersey Devils,Andre Faust\faustan01,CA,C,19,1989,1994,Princeton (ECAC),47,10,7,17,4,14,,,,,,,1
174,Chicago Blackhawks,Jason Greyerbiehl,CA,LW,,1989,,Colgate (ECAC),,,,,,,,,,,,,
175,Minnesota North Stars,Kenneth Blum,US,C,,1989,,St. Joseph (High-MA),,,,,,,,,,,,,
176,Vancouver Canucks,Sandy Moger\mogersa01,CA,C,20,1989,1999,Lake Superior State (CCHA),236,41,38,79,-27,212,,,,,,,4.7
177,St. Louis Blues,John Roderick,US,D,,1989,,Rindge & Latin (High-MA),,,,,,,,,,,,,
178,Hartford Whalers,Michel Picard\picarmi01,CA,LW,19,1989,2001,Trois-Rivieres (QMJHL),166,28,42,70,-9,103,,,,,,,5.3
179,Detroit Red Wings,Bob Jones,CA,LW,,1989,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
180,Philadelphia Flyers,Glen Wisser,US,RW,,1989,,Philadelphia Jr. B,,,,,,,,,,,,,
181,New York Rangers,Mark Bavis,US,C,,1989,,Cushing Academy (High-MA),,,,,,,,,,,,,
182,Los Angeles Kings,Jim Giacin,US,LW,,1989,,Culver Military Academy (High-IN),,,,,,,,,,,,,
183,Buffalo Sabres,Donald Audette\audetdo01,CA,RW,19,1989,2004,Laval (QMJHL),735,260,249,509,-17,584,,,,,,,53.4
184,Pittsburgh Penguins,Andrew Wolf,CA,D,,1989,,Victoria (WHL),,,,,,,,,,,,,
185,Boston Bruins,James Lavish,US,RW,,1989,,Deerfield Academy (High-MA),,,,,,,,,,,,,
186,Los Angeles Kings,Martin Maskarinec,CZ,D,,1989,,Sparta Praha (Czech),,,,,,,,,,,,,
187,Washington Capitals,Victor Gervais,CA,C,,1989,,Seattle (WHL),,,,,,,,,,,,,
188,Montreal Canadiens,Roy Mitchell\mitchro01,CA,D,20,1989,1993,Portland (WHL),3,0,0,0,0,0,,,,,,,0.1
189,Calgary Flames,Sergei Gomolyako,RU,C,,1989,,Traktor Chelyabinsk (KHL),,,,,,,,,,,,,
190,Quebec Nordiques,Andrei Khomutov,RU,RW,,1989,,CSKA Moscow (Russia),,,,,,,,,,,,,
191,New York Islanders,Vladimir Malakhov\malakvl01,RU,D,21,1989,2006,CSKA Moscow (Russia),712,86,260,346,48,697,,,,,,,59.2
192,Toronto Maple Leafs,Justin Tomberlin,US,C,,1989,,Greenway (High-MN),,,,,,,,,,,,,
193,Winnipeg Jets,Joe Larson,US,C,,1989,,Minnetonka,,,,,,,,,,,,,
194,Buffalo Sabres,Mark Astley\astlema01,CA,D,20,1989,1996,Lake Superior State (CCHA),75,4,19,23,-15,92,,,,,,,3.8
195,Chicago Blackhawks,Matt Saunders,CA,LW,,1989,,Northeastern (H-East),,,,,,,,,,,,,
196,Minnesota North Stars,Arturs Irbe\irbear01,LV,G,22,1989,2004,Dynamo Riga (KHL),568,0,9,9,0,90,568,218,236,79,0.899,2.83,83.6
197,Vancouver Canucks,Gus Morschauser,CA,G,,1989,,Kitchener (OHL),,,,,,,,,,,,,
198,St. Louis Blues,John Valo,US,D,,1989,,Detroit Compuware (NAHL),,,,,,,,,,,,,
199,Hartford Whalers,Trevor Buchanan,CA,LW,,1989,,Kamloops (WHL),,,,,,,,,,,,,
200,Detroit Red Wings,Greg Bignell,CA,D,,1989,,Belleville (OHL),,,,,,,,,,,,,
201,Philadelphia Flyers,Al Kummu,CA,D,,1989,,Humboldt (Sweden-Jr.),,,,,,,,,,,,,
202,New York Rangers,Roman Oksiuta\oksiuro01,RU,RW,19,1989,1997,Khimik Voskresensk (Russia-2),153,46,41,87,-25,100,,,,,,,6.7
203,Buffalo Sabres,John Nelson,CA,C,,1989,,Toronto (OHL),,,,,,,,,,,,,
204,Detroit Red Wings,Rick Judson,US,LW,,1989,,Illinois-Chicago (CCHA),,,,,,,,,,,,,
205,Pittsburgh Penguins,Greg Hagen,US,RW,,1989,,Hill-Murray (High-MN),,,,,,,,,,,,,
206,Boston Bruins,Geoff Simpson,CA,D,,1989,,Estevan (SJHL),,,,,,,,,,,,,
207,Los Angeles Kings,Jim Hiller\hilleji01,CA,RW,20,1989,1994,Melville (SJHL),63,8,12,20,8,116,,,,,,,0.5
208,Washington Capitals,Jiri Vykoukal,CZ,D,,1989,,Olomouc (Czech-2),,,,,,,,,,,,,
209,Montreal Canadiens,Ed Henrich,US,D,,1989,,Nichols (High-NY),,,,,,,,,,,,,
210,Calgary Flames,Dan Sawyer,US,D,,1989,,Ramapo Jrs.,,,,,,,,,,,,,
211,Quebec Nordiques,Byron Witkowski,CA,LW,,1989,,Nipawin (OJHL),,,,,,,,,,,,,
212,New York Islanders,Kelly Ens,CA,C,,1989,,Lethbridge (WHL),,,,,,,,,,,,,
213,Toronto Maple Leafs,Mike Jackson,CA,RW,,1989,,Toronto (OHL),,,,,,,,,,,,,
214,Winnipeg Jets,Bradley Podiak,US,LW,,1989,,Wayzata (High-MN),,,,,,,,,,,,,
215,New Jersey Devils,Jason Simon\simonja01,CA,LW,20,1989,1997,Windsor (OHL),5,0,0,0,-1,34,,,,,,,-0.2
216,Chicago Blackhawks,Mike Kozak,CA,RW,,1989,,Clarkson (ECAC),,,,,,,,,,,,,
217,Minnesota North Stars,Tom Pederson\pederto01,US,D,19,1989,1997,Minnesota (WCHA),240,20,49,69,-36,142,,,,,,,11.4
