Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Quebec Nordiques,Mats Sundin\sundima01,SE,C,18,1989,2009,Nacka (Sweden),1346,564,785,1349,73,1093,,,,,,,144.4
2,New York Islanders,Dave Chyzowski\chyzoda01,CA,LW,18,1989,1997,Kamloops (WHL),126,15,16,31,-29,144,,,,,,,-0.4
3,Toronto Maple Leafs,Scott Thornton\thornsc01,CA,LW,18,1989,2008,Belleville (OHL),941,144,141,285,-122,1459,,,,,,,17.1
4,Winnipeg Jets,Stu Barnes\barnest01,CA,C,18,1989,2008,Tri-City (WHL),1136,261,336,597,-24,438,,,,,,,53.7
5,New Jersey Devils,Bill Guerin\gueribi01,US,RW,18,1989,2010,Springfield Jr. B,1263,429,427,856,51,1660,,,,,,,94.3
6,Chicago Blackhawks,Adam Bennett\bennead01,CA,D,18,1989,1994,Sudbury (OHL),69,3,8,11,-9,69,,,,,,,2.8
7,Minnesota North Stars,Doug Zmolek\zmoledo01,US,D,18,1989,2000,John Marshall (High-MN),467,11,53,64,-84,905,,,,,,,13.9
8,Vancouver Canucks,Jason Herter\herteja01,CA,D,18,1989,1996,North Dakota (WCHA),1,0,1,1,1,0,,,,,,,0.2
9,St. Louis Blues,Jason Marshall\marshja02,CA,D,18,1989,2006,Vernon (BCHL),526,16,51,67,-34,1004,,,,,,,16.9
10,Hartford Whalers,Bobby Holik\holikbo01,CZ,C,18,1989,2009,Dukla Jihlava (Czech-2),1314,326,421,747,115,1423,,,,,,,72.1
11,Detroit Red Wings,Mike Sillinger\sillimi01,CA,C,18,1989,2009,Regina (WHL),1049,240,308,548,-191,644,,,,,,,40.9
12,Toronto Maple Leafs,Rob Pearson\pearsro01,CA,RW,18,1989,1997,Belleville (OHL),269,56,54,110,-31,645,,,,,,,6.1
13,Montreal Canadiens,Lindsay Vallis\vallili01,CA,D,18,1989,1994,Seattle (WHL),1,0,0,0,0,0,,,,,,,0
14,Buffalo Sabres,Kevin Haller\halleke01,CA,D,18,1989,2002,Regina (WHL),642,41,97,138,22,907,,,,,,,34.6
15,Edmonton Oilers,Jason Soules,CA,D,,1989,,Niagara Falls (OHL),,,,,,,,,,,,,
