Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Buffalo Sabres,Pierre Turgeon,CA,C,18,1987,2007,Granby (QMJHL),1294,515,812,1327,139,452,,,,,,,134.3,
2,New Jersey Devils,Brendan Shanahan,CA,LW,18,1987,2009,London (OHL),1524,656,698,1354,151,2489,,,,,,,148,
3,Boston Bruins,Glen Wesley,CA,D,18,1987,2008,Portland (WHL),1457,128,409,537,66,1045,,,,,,,104.1,
4,Los Angeles Kings,Wayne McBean,CA,D,18,1987,1994,Medicine Hat (WHL),211,10,39,49,-72,168,,,,,,,5.5,
5,Pittsburgh Penguins,Chris Joseph,CA,D,18,1987,2001,Seattle (WHL),510,39,112,151,-71,567,,,,,,,21.8,
6,Minnesota North Stars,Dave Archibald,CA,C/LW,18,1987,1997,Portland (WHL),323,57,67,124,-75,139,,,,,,,4.6,
7,Toronto Maple Leafs,Luke Richardson,CA,D,18,1987,2009,Peterborough (OHL),1417,35,166,201,-119,2055,,,,,,,45.5,
8,Chicago Blackhawks,Jimmy Waite,CA,G,18,1987,1999,Chicoutimi (QMJHL),106,0,1,1,0,10,106,28,41,12,0.871,3.35,8.3,
9,Quebec Nordiques,Bryan Fogarty,CA,D,18,1987,1995,Kingston (OHL),156,22,52,74,-83,119,,,,,,,6.8,
10,New York Rangers,Jay More,CA,D,18,1987,1999,New Westminster (WCHL),406,18,54,72,-78,702,,,,,,,14,
11,Detroit Red Wings,Yves Racine,CA,D,18,1987,1998,Longueuil (QMJHL),508,37,194,231,-39,439,,,,,,,31.6,
12,St. Louis Blues,Keith Osborne,CA,RW,18,1987,1993,North Bay (OHL),16,1,3,4,-3,16,,,,,,,-0.1,
13,New York Islanders,Dean Chynoweth,CA,D,18,1987,1998,Medicine Hat (WHL),241,4,18,22,-22,667,,,,,,,7.1,
14,Boston Bruins,Stephane Quintal,CA,D,18,1987,2004,Granby (QMJHL),1037,63,180,243,-89,1320,,,,,,,50.5,
15,Quebec Nordiques,Joe Sakic,CA,C,18,1987,2009,Swift Current (WHL),1378,625,1016,1641,30,614,,,,,,,167.8,
16,Winnipeg Jets,Bryan Marchment,CA,D,18,1987,2006,Belleville (OHL),926,40,142,182,31,2307,,,,,,,47.4,
17,Montreal Canadiens,Andrew Cassels,CA,C,18,1987,2006,Ottawa (OHL),1015,204,528,732,-73,410,,,,,,,57.9,
18,Hartford Whalers,Jody Hull,CA,RW,18,1987,2004,Peterborough (OHL),831,124,137,261,-10,156,,,,,,,15.2,
19,Calgary Flames,Bryan Deasley,CA,LW,,1987,,Michigan (CCHA),,,,,,,,,,,,,,
20,Philadelphia Flyers,Darren Rumble,CA,D,18,1987,2004,Kitchener (OHL),193,10,26,36,-72,216,,,,,,,4.6,
21,Edmonton Oilers,Peter Soberlak,CA,LW,,1987,,Swift Current (WHL),,,,,,,,,,,,,,
22,Buffalo Sabres,Brad Miller,CA,D,18,1987,1994,Regina (WHL),82,1,5,6,-13,321,,,,,,,2,
23,New Jersey Devils,Ricard Persson,SE,D,18,1987,2002,Ostersund (Sweden),229,10,44,54,16,262,,,,,,,12.6,
24,Vancouver Canucks,Rob Murphy,CA,C,18,1987,1994,Laval (QMJHL),125,9,12,21,-54,152,,,,,,,-1.9,
25,Calgary Flames,Stephane Matteau,CA,LW,18,1987,2003,Hull (QMJHL),848,144,172,316,41,742,,,,,,,24.4,
26,Pittsburgh Penguins,Rick Tabaracci,CA,G,18,1987,2000,Cornwall (OHL),286,0,8,8,0,72,286,93,125,30,0.893,3,35.5,
27,Los Angeles Kings,Mark Fitzpatrick,CA,G,18,1987,2000,Medicine Hat (WHL),329,0,12,12,0,85,329,113,136,49,0.896,3.12,52.5,
28,Toronto Maple Leafs,Daniel Marois,CA,RW,18,1987,1996,Chicoutimi (QMJHL),350,117,93,210,-60,419,,,,,,,14.2,
29,Chicago Blackhawks,Ryan McGill,CA,D,18,1987,1995,Swift Current (WHL),151,4,15,19,1,391,,,,,,,5,
30,Philadelphia Flyers,Jeff Harding,CA,RW,18,1987,1990,St. Michael's Jr. B (OJHL),15,0,0,0,0,47,,,,,,,-0.4,
31,New York Rangers,Daniel Lacroix,CA,LW,18,1987,2000,Granby (QMJHL),188,11,7,18,-5,379,,,,,,,-2.5,
32,Detroit Red Wings,Gord Kruppke,CA,D,18,1987,1994,Prince Albert (WHL),23,0,0,0,-2,32,,,,,,,0.3,
33,Montreal Canadiens,John LeClair,US,LW,18,1987,2007,Bellows (High-VT),967,406,413,819,204,501,,,,,,,98.7,
34,New York Islanders,Jeff Hackett,CA,G,19,1987,2004,Oshawa (OHL),500,0,9,9,0,62,500,166,244,56,0.902,2.9,82.6,
35,Minnesota North Stars,Scott McCrady,CA,D,,1987,,Medicine Hat (WHL),,,,,,,,,,,,,,
36,Washington Capitals,Jeff Ballantyne,CA,D,,1987,,Ottawa (OHL),,,,,,,,,,,,,,
37,Winnipeg Jets,Patrik Ericksson,SE,C,,1987,,Brynas Gavle (Sweden),,,,,,,,,,,,,,
38,Montreal Canadiens,Eric Desjardins,CA,D,18,1987,2006,Granby (QMJHL),1143,136,439,575,198,757,,,,,,,114.5,
39,Hartford Whalers,Adam Burt,US,D,18,1987,2001,North Bay (OHL),737,37,115,152,-52,961,,,,,,,34,
