Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
43,Dallas Stars,Trevor Daley\daleytr01,CA,D,18,2002,2020,Sault Ste. Marie (OHL),1058,89,220,309,-8,648,,,,,,,62.3
44,Edmonton Oilers,Matt Greene\greenma01,US,D,19,2002,2017,Green Bay (USHL),615,17,63,80,-10,663,,,,,,,24.3
45,Montreal Canadiens,Tomas Linhart\linhato01,CZ,D,18,2002,,Pardubice Jr. (Czech-Jr.),,,,,,,,,,,,,
46,Phoenix Coyotes,David LeNeveu\lenevda01,CA,G,19,2002,2011,Cornell (ECAC),22,0,0,0,0,0,22,5,9,2,0.887,3.43,2.4
47,Ottawa Senators,Alexei Kaigorodov\kaigoal01,RU,C,19,2002,2007,Magnitogorsk (KHL),6,0,1,1,1,0,,,,,,,0.1
48,St. Louis Blues,Alexei Shkotov\shkotal01,RU,RW,18,2002,,Elektrostal Jr. (Russia-3),,,,,,,,,,,,,
49,Vancouver Canucks,Kirill Koltsov\koltski01,RU,D,19,2002,,Avangard Omsk (KHL),,,,,,,,,,,,,
50,Los Angeles Kings,Sergei Anshakov\anshase01,RU,LW,18,2002,,CSKA Moscow (Russia),,,,,,,,,,,,,
51,New Jersey Devils,Anton Kadeykin\kadeyan01,RU,D,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
52,San Jose Sharks,Dan Spang\spangda01,US,D,19,2002,,Winchester (High-MA),,,,,,,,,,,,,
53,New Jersey Devils,Barry Tallackson\tallaba01,US,RW,19,2002,2009,Minnesota (WCHA),20,1,1,2,-4,2,,,,,,,-0.1
54,Chicago Blackhawks,Duncan Keith\keithdu01,CA,D,19,2002,2022,Michigan State (CCHA),1256,106,540,646,159,675,,,,,,,117
55,Vancouver Canucks,Denis Grot\grotde01,BY,D,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
56,Boston Bruins,Vladislav Yevseyev\yevsevl01,RU,LW,18,2002,,CSKA Moscow (Russia),,,,,,,,,,,,,
57,Toronto Maple Leafs,Matt Stajan\stajama01,CA,C,18,2002,2018,Belleville (OHL),1003,146,267,413,-3,526,,,,,,,33.6
58,Detroit Red Wings,Jiri Hudler\hudleji01,CZ,C,18,2002,2017,Vsetin (Czech),708,164,264,428,40,243,,,,,,,47.7
59,Washington Capitals,Maxime Daigneault\daignma01,CA,G,18,2002,,Val d'Or (QMJHL),,,,,,,,,,,,,
60,Tampa Bay Lightning,Adam Henrich\henriad02,CA,LW,18,2002,,Brampton (OHL),,,,,,,,,,,,,
61,Colorado Avalanche,Johnny Boychuk\boychjo01,CA,D,18,2002,2020,Calgary (WHL),725,54,152,206,123,331,,,,,,,49
62,St. Louis Blues,Andrei Mikhnov\mikhnan01,UA,C,18,2002,,Sudbury (OHL),,,,,,,,,,,,,
63,Detroit Red Wings,Tomas Fleischmann\fleisto01,CZ,LW,18,2002,2016,Vitkovice Jr. (Czech-Jr.),657,137,198,335,-43,200,,,,,,,32.1
64,New Jersey Devils,Jason Ryznar\ryznaja01,US,LW,19,2002,2006,Michigan (CCHA),8,0,0,0,-1,2,,,,,,,-0.1
65,Columbus Blue Jackets,Ole-Kristian Tollefsen\tolleol01,NO,D,18,2002,2010,Lillehammer (Norway),163,4,8,12,-6,296,,,,,,,3.9
