Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
202,Pittsburgh Penguins,Patrik Baertschi\baertpa01,CH,C/RW,18,2002,,Kloten (Swiss),,,,,,,,,,,,,
203,Nashville Predators,Josh Morrow\morrojo01,CA,D,19,2002,,Tri-City (WHL),,,,,,,,,,,,,
204,Minnesota Wild,Niklas Eckerblom\eckerni01,SE,C,18,2002,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
205,Edmonton Oilers,J.F. Dufort\duforj.01,CA,LW,20,2002,,Cape Breton (QMJHL),,,,,,,,,,,,,
206,Calgary Flames,David Van Der Gulik\vandeda01,CA,RW,19,2002,2015,Chilliwack (BCHL),49,2,11,13,8,10,,,,,,,1.3
207,Calgary Flames,Pierre Johnsson\johnspi01,SE,D,18,2002,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,
208,Buffalo Sabres,Radoslav Hecl\heclra01,SK,D,27,2002,2003,Bratislava (KHL),14,0,0,0,0,2,,,,,,,0.2
209,Washington Capitals,Joni Lindlof\lindljo01,FI,LW,18,2002,,Tappara Tampere Jr. (Finland-Jr.),,,,,,,,,,,,,
210,Dallas Stars,Bryan Hamm\hammbr01,CA,D,18,2002,,Peterborough (OHL),,,,,,,,,,,,,
211,Edmonton Oilers,Patrick Murphy\murphpa01,US,LW,19,2002,,Newmarket (OHL),,,,,,,,,,,,,
212,Montreal Canadiens,Jonathan Ferland\ferlajo01,CA,RW,19,2002,2006,Acadie-Bathurst (QMJHL),7,1,0,1,-2,2,,,,,,,0
213,Tampa Bay Lightning,Fredrik Norrena\norrefr01,FI,G,28,2002,2009,TPS Turku (Finland),100,0,1,1,0,6,100,35,45,11,0.899,2.79,12.6
214,Vancouver Canucks,Marc-Andre Roy\royma02,CA,LW,18,2002,,Baie-Comeau (QMJHL),,,,,,,,,,,,,
215,Los Angeles Kings,Mikhail Lyubushin\lyubumi01,RU,D,19,2002,,Krylja Sovetov (Russia),,,,,,,,,,,,,
216,Phoenix Coyotes,Ladislav Kouba\koubala01,CZ,LW,19,2002,,Red Deer (WHL),,,,,,,,,,,,,
217,San Jose Sharks,Tim Conboy\conboti01,US,D,20,2002,2010,Topeka (USHL),59,0,6,6,-5,121,,,,,,,0.1
218,New Jersey Devils,Ilkka Pikkarainen\pikkail01,FI,RW,21,2002,2010,HIFK Helsinki (Finland),31,1,3,4,-3,10,,,,,,,0
219,Chicago Blackhawks,Tyson Kellerman\kellety01,CA,G,18,2002,,North Bay (OHL),,,,,,,,,,,,,
220,New York Islanders,Brad Topping\toppibr01,CA,G,18,2002,,Brampton (OHL),,,,,,,,,,,,,
221,St. Louis Blues,Jonas Johnson\johnsjo02,SE,C,32,2002,,Vastra Frolunda (Sweden),,,,,,,,,,,,,
222,Toronto Maple Leafs,Scott May\maysc01,CA,RW,20,2002,,Ohio State (CCHA),,,,,,,,,,,,,
223,Vancouver Canucks,Ilja Krikunov\krikuil01,RU,LW,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
224,Carolina Hurricanes,Adam Taylor\tayload01,CA,C,18,2002,,Kootenay (WHL),,,,,,,,,,,,,
225,Columbus Blue Jackets,Steven Goertzen\goertst01,CA,RW,18,2002,2010,Seattle (WHL),68,2,2,4,-21,83,,,,,,,-1.2
226,New York Rangers,Joey Crabb\crabbjo01,US,RW,19,2002,2014,Green Bay (USHL),179,20,33,53,-5,100,,,,,,,3.7
227,Colorado Avalanche,Ryan Steeves\steevry01,CA,C/LW,19,2002,,Yale (ECAC),,,,,,,,,,,,,
228,Boston Bruins,Dmitri Utkin\utkindm01,RU,LW,18,2002,,Lokomotiv Yaroslavl 2 (Russia-3),,,,,,,,,,,,,
229,Detroit Red Wings,Derek Meech\meechde01,CA,D,18,2002,2013,Red Deer (WHL),144,4,13,17,-27,45,,,,,,,1.6
230,Atlanta Thrashers,Colton Fretter\frettco01,CA,RW,20,2002,,Chatham (GOJHL),,,,,,,,,,,,,
231,Columbus Blue Jackets,Jaroslav Kracik\kracija01,CZ,RW,19,2002,,Plzen Jr. (Czech-Jr.),,,,,,,,,,,,,
232,Florida Panthers,Peter Hafner\hafnepe01,US,D,19,2002,,Taft School (High-CT),,,,,,,,,,,,,
233,Tampa Bay Lightning,Vasily Koshechkin\kosheva01,RU,G,19,2002,,Lada Togliatti 2 (Russia-3),,,,,,,,,,,,,
234,Pittsburgh Penguins,Maxime Talbot\talboma01,CA,C,18,2002,2016,Hull (QMJHL),704,91,113,204,-27,495,,,,,,,12.4
235,Nashville Predators,Kaleb Betts\bettska01,CA,C,19,2002,,Chilliwack (BCHL),,,,,,,,,,,,,
236,Atlanta Thrashers,Tyler Boldt\boldtty01,CA,D,18,2002,,Kamloops (WHL),,,,,,,,,,,,,
237,Minnesota Wild,Christoph Brandner\brandch01,AT,LW,27,2002,2004,Krefeld (Germany),35,4,5,9,-2,8,,,,,,,0.7
238,Calgary Flames,Jyri Marttinen\marttjy01,FI,D,20,2002,,JyP HT Jyvaskyla (Finland),,,,,,,,,,,,,
239,Pittsburgh Penguins,Ryan Lannon\lannory01,US,D,19,2002,,Harvard (ECAC),,,,,,,,,,,,,
240,New York Rangers,Petr Prucha\pruchpe01,CZ,RW,20,2002,2011,Pardubice (Czech),346,78,68,146,-4,133,,,,,,,15.2
241,Buffalo Sabres,Dennis Wideman\widemde01,CA,D,19,2002,2017,London (OHL),815,99,288,387,-72,503,,,,,,,66.3
242,Washington Capitals,Igor Ignatushkin\ignatig01,RU,C,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
243,Dallas Stars,Tuomas Mikkonen\mikkotu01,FI,LW,19,2002,,JyP HT Jyvaskyla (Finland),,,,,,,,,,,,,
244,Edmonton Oilers,Dwight Helminen\helmidw01,US,C,19,2002,2010,Michigan (CCHA),27,2,1,3,-3,0,,,,,,,0.1
245,Edmonton Oilers,Tomas Micka\mickato01,CZ,LW,19,2002,,Slavia Praha Jr. (Czech-Jr.),,,,,,,,,,,,,
246,Ottawa Senators,Josef Vavra\vavrajo01,CZ,LW,18,2002,,Vsetin Jr. (Czech-Jr.),,,,,,,,,,,,,
247,Vancouver Canucks,Matt Violin\violima01,CA,G,20,2002,,Lake Superior State (CCHA),,,,,,,,,,,,,
248,Los Angeles Kings,Tuukka Pulliainen\pullitu01,FI,RW,18,2002,,TuTo (Finland-2),,,,,,,,,,,,,
249,Phoenix Coyotes,Marcus Smith\smithma02,US,D,19,2002,,Kitchener (OHL),,,,,,,,,,,,,
250,New Jersey Devils,Dan Glover\gloveda01,CA,D,19,2002,,Camrose (AJHL),,,,,,,,,,,,,
251,Chicago Blackhawks,Jason Kostadine\kostaja01,US,RW,18,2002,,Hull (QMJHL),,,,,,,,,,,,,
252,New York Islanders,Martin Chabada\chabama01,CZ,LW,25,2002,,Sparta Praha (Czech),,,,,,,,,,,,,
253,St. Louis Blues,Tom Koivisto\koivito01,FI,D,28,2002,2003,Jokerit Helsinki (KHL),22,2,4,6,1,10,,,,,,,1.2
254,Toronto Maple Leafs,Jarkko Immonen\immonja01,FI,C,20,2002,2007,Assat Pori (Finland),20,3,5,8,-3,4,,,,,,,0.6
255,Tampa Bay Lightning,Ryan Craig\craigry01,CA,C,20,2002,2015,Brandon (WHL),198,32,31,63,-29,148,,,,,,,3.9
256,Tampa Bay Lightning,Darren Reid\reidda03,CA,RW,19,2002,2007,Medicine Hat (WHL),21,0,1,1,-9,18,,,,,,,-0.5
257,Atlanta Thrashers,Pauli Levokari\levokpa01,FI,D,24,2002,,HIFK Helsinki (Finland),,,,,,,,,,,,,
258,Colorado Avalanche,Sergei Shemetov\shemese01,RU,LW,18,2002,,Elektrostal (Russia-2),,,,,,,,,,,,,
259,Boston Bruins,Yan Stastny\stastya01,CA,C,19,2002,2010,Notre Dame (CCHA),91,6,10,16,-20,58,,,,,,,0
260,Detroit Red Wings,Pierre-Olivier Beaulieu\beaulpi01,CA,D,18,2002,,Quebec (QMJHL),,,,,,,,,,,,,
261,Anaheim Ducks,Francois Caron\caronfr01,CA,D,18,2002,,Moncton (QMJHL),,,,,,,,,,,,,
262,Detroit Red Wings,Christian Soderstrom\soderch01,SE,LW,21,2002,,Timra (Sweden-2),,,,,,,,,,,,,
263,Columbus Blue Jackets,Sergei Mozyakin\mozyase01,RU,LW,21,2002,,CSKA Moscow (Russia),,,,,,,,,,,,,
264,Nashville Predators,Matt Davis\davisma02,CA,G,18,2002,,Moncton (QMJHL),,,,,,,,,,,,,
265,Pittsburgh Penguins,Dwight Labrosse\labrodw01,US,G,18,2002,,Guelph (OHL),,,,,,,,,,,,,
266,Nashville Predators,Steven Spencer\spencst01,CA,D,20,2002,,Swift Current (WHL),,,,,,,,,,,,,
267,Anaheim Ducks,Chris Petrow\petroch01,CA,D,18,2002,,Oshawa (OHL),,,,,,,,,,,,,
268,Minnesota Wild,Mikhail Tyulyapkin\tyulymi01,RU,D,18,2002,,Nizhny Novgorod 2,,,,,,,,,,,,,
269,Minnesota Wild,Mika Hannula\hannumi01,SE,RW,23,2002,,Malmo (Sweden),,,,,,,,,,,,,
270,New York Rangers,Rob Flynn\flynnro01,US,RW,19,2002,,Harvard (ECAC),,,,,,,,,,,,,
271,Buffalo Sabres,Martin Cizek\cizekma01,CZ,D,18,2002,,Slavia Praha Jr. (Czech-Jr.),,,,,,,,,,,,,
272,Washington Capitals,Patric Blomdahl\blomdpa01,SE,RW,18,2002,,AIK Solna Jr. (Sweden-2),,,,,,,,,,,,,
273,Dallas Stars,Ned Havern\haverne01,US,LW,19,2002,,Boston College (H-East),,,,,,,,,,,,,
274,Edmonton Oilers,Fredrik Johansson\johanfr01,SE,C,18,2002,,Vastra Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,
275,Montreal Canadiens,Konstantin Korneev\korneko01,RU,D,18,2002,,Krylja Sovetov 2 (Russia-2),,,,,,,,,,,,,
276,Ottawa Senators,Vitali Atyushov\atyusvi01,RU,D,23,2002,,Perm (Russia-2),,,,,,,,,,,,,
277,Vancouver Canucks,Thomas Nussli\nusslth01,CH,RW,20,2002,,EV Zug (Swiss),,,,,,,,,,,,,
278,Vancouver Canucks,Matt Gens\gensma01,US,D,19,2002,,St. Cloud State (WCHA),,,,,,,,,,,,,
279,Los Angeles Kings,Connor James\jamesco01,CA,RW,20,2002,2009,Denver (WCHA),16,1,0,1,-3,2,,,,,,,-0.1
280,Phoenix Coyotes,Russell Spence\spencru01,CA,C,20,2002,,Opaskwayak,,,,,,,,,,,,,
281,New Jersey Devils,Bill Kinkel\kinkebi01,US,LW,18,2002,,Kitchener (OHL),,,,,,,,,,,,,
282,Chicago Blackhawks,Adam Burish\burisad01,US,RW,19,2002,2015,Green Bay (USHL),378,27,33,60,-21,554,,,,,,,0.9
283,New York Islanders,Per Braxenholm\braxepe01,SE,D,18,2002,,Morrum (Sweden-2),,,,,,,,,,,,,
284,St. Louis Blues,Ryan MacMurchy\macmury01,CA,RW,19,2002,,Notre Dame (SJHL),,,,,,,,,,,,,
285,Toronto Maple Leafs,Staffan Kronwall\kronwst01,SE,D,20,2002,2010,Huddinge (Sweden),66,1,3,4,-7,23,,,,,,,0.7
286,Tampa Bay Lightning,Alexei Glukhov\glukhal01,RU,RW,18,2002,,Voskresensk 2 (Russia-3),,,,,,,,,,,,,
287,Tampa Bay Lightning,John Toffey\toffejo01,US,C,19,2002,,Ohio State (CCHA),,,,,,,,,,,,,
288,San Jose Sharks,Michael Hutchins\hutchmi02,US,D,19,2002,,Des Moines (USHL),,,,,,,,,,,,,
289,Colorado Avalanche,Sean Collins\collise03,US,C,19,2002,,New Hampshire (H-East),,,,,,,,,,,,,
290,Boston Bruins,Pavel Frolov\frolopa01,RU,C,18,2002,,Nizhny Novgorod 2,,,,,,,,,,,,,
291,Detroit Red Wings,Jonathan Ericsson\ericsjo01,SE,D,18,2002,2020,Hasten Jr. (Sweden-Jr.),680,27,98,125,-21,535,,,,,,,27.3
