Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Tampa Bay Lightning,Roman Hamrlik,CZ,D,18,1992,2013,ZPS Zlin (Czech),1395,155,483,638,-49,1408,,,,,,,114.9,
2,Ottawa Senators,Alexei Yashin,RU,C,18,1992,2007,Dynamo Moscow (Russia),850,337,444,781,-83,401,,,,,,,84.2,
3,San Jose Sharks,Mike Rathje,CA,D,18,1992,2007,Medicine Hat (WHL),768,30,150,180,26,491,,,,,,,42.5,
4,Quebec Nordiques,Todd Warriner,CA,LW,18,1992,2003,Windsor (OHL),453,65,89,154,-37,249,,,,,,,9.6,
5,New York Islanders,Darius Kasparaitis,LT,D,19,1992,2007,Dynamo Moscow (Russia),863,27,136,163,39,1379,,,,,,,37.8,
6,Calgary Flames,Cory Stillman,CA,LW,18,1992,2011,Windsor (OHL),1025,278,449,727,-20,489,,,,,,,73.7,
7,Philadelphia Flyers,Ryan Sittler,CA,LW,,1992,,Nichols (High-NY),,,,,,,,,,,,,,
8,Toronto Maple Leafs,Brandon Convery,CA,C,18,1992,1999,Sudbury (OHL),72,9,19,28,-12,36,,,,,,,1.5,
9,Hartford Whalers,Robert Petrovicky,SK,C,18,1992,2001,Dukla Trencin (Slovakia),208,27,38,65,-15,118,,,,,,,3.7,
10,San Jose Sharks,Andrei Nazarov,RU,LW,18,1992,2006,Dynamo Moscow (Russia),571,53,71,124,-69,1409,,,,,,,5,
11,Buffalo Sabres,David Cooper,CA,D,18,1992,2001,Medicine Hat (WHL),30,3,7,10,-2,24,,,,,,,1.9,
12,Chicago Blackhawks,Sergei Krivokrasov,RU,RW,18,1992,2002,CSKA Moscow (Russia),450,86,109,195,0,288,,,,,,,17,
13,Edmonton Oilers,Joe Hulbig,US,LW,18,1992,2001,St. Sebastian's (High-MA),55,4,4,8,-12,16,,,,,,,-0.2,
14,Washington Capitals,Sergei Gonchar,RU,D,18,1992,2015,Traktor Chelyabinsk (KHL),1301,220,591,811,33,981,,,,,,,141.9,
15,Philadelphia Flyers,Jason Bowen,CA,D,18,1992,1998,Tri-City (WHL),77,2,6,8,12,109,,,,,,,3.2,
16,Boston Bruins,Dmitri Kvartalnov,RU,LW,26,1992,1994,San Diego IHL (IHL),112,42,49,91,0,26,,,,,,,7.4,
17,Winnipeg Jets,Sergei Bautin,RU,D,25,1992,1996,Dynamo Moscow (Russia),132,5,25,30,-15,176,,,,,,,5.1,
18,New Jersey Devils,Jason Smith,CA,D,18,1992,2009,Regina (WHL),1008,41,128,169,26,1099,,,,,,,48.3,
19,Pittsburgh Penguins,Martin Straka,CZ,C,20,1992,2008,Skoda Plzen (Czech),954,257,460,717,67,360,,,,,,,67.3,
20,Montreal Canadiens,David Wilkie,US,D,18,1992,2001,Kamloops (WHL),167,10,26,36,-62,165,,,,,,,3.2,
21,Vancouver Canucks,Libor Polasek,CZ,C,,1992,,TJ Vitkovice (Czech),,,,,,,,,,,,,,
22,Detroit Red Wings,Curtis Bowen,CA,LW,,1992,,Ottawa (OHL),,,,,,,,,,,,,,
23,Toronto Maple Leafs,Grant Marshall,CA,RW,19,1992,2006,Ottawa (OHL),700,92,147,239,-57,793,,,,,,,16.9,
24,New York Rangers,Peter Ferraro,US,LW,19,1992,2002,Waterloo (USHL),92,9,15,24,-1,58,,,,,,,1.6,
25,Ottawa Senators,Chad Penney,CA,LW,18,1992,1994,North Bay (OHL),3,0,0,0,-2,2,,,,,,,-0.1,
