Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,New York Rangers,Alexis Lafreniere,CA,LW,18,2020,2022,Rimouski Oceanic (QMJHL),135,31,21,52,-5,45,,,,,,,5,
2,Los Angeles Kings,Quinton Byfield,CA,C,18,2020,2022,Sudbury Wolves (OHL),46,5,6,11,-6,22,,,,,,,0.5,
3,Ottawa Senators,Tim Stützle,DE,LW,18,2020,2022,Mannheim (GERMANY),132,34,53,87,-45,51,,,,,,,7,
4,Detroit Red Wings,Lucas Raymond,SE,LW,18,2020,2022,Frolunda (Sweden),82,23,34,57,-32,16,,,,,,,4.2,
5,Ottawa Senators,Jake Sanderson,US,D,18,2020,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
6,Anaheim Ducks,Jamie Drysdale,CA,D,18,2020,2022,Erie Otters (OHL),105,7,33,40,-38,22,,,,,,,4.5,
7,New Jersey Devils,Alexander Holtz,SE,RW,18,2020,2022,Djurgarden (Sweden),9,0,2,2,-5,2,,,,,,,-0.2,
8,Buffalo Sabres,Jack Quinn,CA,RW,18,2020,2022,Ottawa 67's (OHL),2,1,1,2,0,0,,,,,,,0.2,
9,Minnesota Wild,Marco Rossi,AT,C,18,2020,2022,Ottawa 67's (OHL),2,0,0,0,-1,4,,,,,,,-0.1,
10,Winnipeg Jets,Cole Perfetti,CA,C,18,2020,2022,Saginaw Spirit (OHL),18,2,5,7,1,0,,,,,,,0.5,
11,Nashville Predators,Iaroslav Askarov,RU,G,18,2020,,Neva St. Petersburg (RUSSIA-2),,,,,,,,,,,,,,
12,Florida Panthers,Anton Lundell,FI,C,18,2020,2022,HIFK (Finland),65,18,26,44,33,18,,,,,,,5,
13,Carolina Hurricanes,Seth Jarvis,CA,C,18,2020,2022,Portland Winter Hawks (WHL),68,17,23,40,11,18,,,,,,,4.3,
14,Edmonton Oilers,Dylan Holloway,CA,C,18,2020,,Wisconsin (Big Ten),,,,,,,,,,,,,,
15,Toronto Maple Leafs,Rodion Amirov,RU,LW,18,2020,,Ufa (Russia),,,,,,,,,,,,,,
16,Montreal Canadiens,Kaiden Guhle,CA,D,18,2020,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,
17,Chicago Blackhawks,Lukas Reichel,DE,LW,18,2020,2022,Eisbaren Berlin (GERMANY),11,0,1,1,-8,0,,,,,,,-0.4,
18,New Jersey Devils,Dawson Mercer,CA,C,18,2020,2022,Chicoutimi Sagueneens (QMJHL),82,17,25,42,-25,28,,,,,,,2.6,
19,New York Rangers,Braden Schneider,CA,D,18,2020,2022,Brandon Wheat Kings (WHL),43,2,9,11,5,9,,,,,,,2.4,
20,New Jersey Devils,Shakir Mukhamadullin,RU,D,18,2020,,Ufa (Russia),,,,,,,,,,,,,,
21,Columbus Blue Jackets,Yegor Chinakhov,RU,RW,19,2020,2022,Omsk 2 (Russia-Jr.),62,7,7,14,-27,16,,,,,,,-0.3,
22,Washington Capitals,Hendrix Lapierre,CA,C,18,2020,2022,Chicoutimi Sagueneens (QMJHL),6,1,0,1,2,2,,,,,,,0.2,
23,Philadelphia Flyers,Tyson Foerster,CA,RW,18,2020,,Barrie Colts (OHL),,,,,,,,,,,,,,
24,Calgary Flames,Connor Zary,CA,C,18,2020,,Kamloops Blazers (WHL),,,,,,,,,,,,,,
25,Colorado Avalanche,Justin Barron,CA,D,18,2020,2022,Halifax Mooseheads (QMJHL),7,1,1,2,-3,0,,,,,,,0.2,
26,St. Louis Blues,Jake Neighbours,CA,LW,18,2020,2022,Edmonton Oil Kings (WHL),9,1,1,2,-2,2,,,,,,,0.1,
27,Anaheim Ducks,Jacob Perreault,CA,RW,18,2020,2022,Sarnia Sting (OHL),1,0,0,0,-1,0,,,,,,,-0.1,
28,Ottawa Senators,Ridly Greig,CA,C,18,2020,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,
29,Vegas Golden Knights,Brendan Brisson,US,C,18,2020,,Chicago (USHL),,,,,,,,,,,,,,
30,Dallas Stars,Mavrik Bourque,CA,C,18,2020,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,
31,San Jose Sharks,Ozzy Wiesblatt,CA,RW,18,2020,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,
32,Detroit Red Wings,William Wallinder,SE,D,18,2020,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,,
33,Ottawa Senators,Roby Jarventie,FI,LW,18,2020,,KOOVEE (Finland-2),,,,,,,,,,,,,,
34,Buffalo Sabres,John-Jason Peterka,DE,RW,18,2020,2022,Munchen (GERMANY),2,0,0,0,0,0,,,,,,,0,
35,Los Angeles Kings,Helge Grans,SE,D,18,2020,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,,,
36,Anaheim Ducks,Sam Colangelo,US,RW,18,2020,,Chicago (USHL),,,,,,,,,,,,,,
37,Minnesota Wild,Marat Khusnutdinov,RU,C,18,2020,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,,
38,San Jose Sharks,Thomas Bordeleau,US,C,18,2020,2022,USA U-18 (U.S. NTDP),8,0,5,5,-1,0,,,,,,,0.3,
39,Minnesota Wild,Ryan O'Rourke,CA,D,18,2020,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,,,
40,Winnipeg Jets,Daniel Torgersson,SE,LW,18,2020,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
41,Carolina Hurricanes,Noel Gunler,SE,RW,18,2020,,Lulea (Sweden),,,,,,,,,,,,,,
42,Nashville Predators,Luke Evangelista,CA,RW,18,2020,,London Knights (OHL),,,,,,,,,,,,,,
43,Florida Panthers,Emil Heineman,SE,LW,18,2020,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,,,
44,Ottawa Senators,Tyler Kleven,US,D,18,2020,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
45,Los Angeles Kings,Brock Faber,US,D,18,2020,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
46,Chicago Blackhawks,Drew Commesso,US,G,18,2020,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
47,Montreal Canadiens,Luke Tuch,US,LW,18,2020,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
48,Montreal Canadiens,Jan Mysak,CZ,C,18,2020,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,
50,Calgary Flames,Yan Kuznetsov,RU,D,18,2020,,Connecticut (H-East),,,,,,,,,,,,,,
51,Detroit Red Wings,Theodor Niederbach,SE,C,18,2020,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
52,Pittsburgh Penguins,Joel Blomqvist,FI,G,18,2020,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,
53,Carolina Hurricanes,Vasiliy Ponomarev,RU,C,18,2020,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,
54,Philadelphia Flyers,Emil Andrae,SE,D,18,2020,,HV 71 JR. (Sweden-Jr.),,,,,,,,,,,,,,
55,Detroit Red Wings,Cross Hanas,US,LW,18,2020,,Portland Winter Hawks (WHL),,,,,,,,,,,,,,
56,San Jose Sharks,Tristen Robins,GB,RW,18,2020,,Saskatoon Blades (WHL),,,,,,,,,,,,,,
57,Tampa Bay Lightning,Jack Finley,US,C,18,2020,,Spokane Chiefs (WHL),,,,,,,,,,,,,,
58,Boston Bruins,Mason Lohrei,US,D,19,2020,,Green Bay (USHL),,,,,,,,,,,,,,
59,Toronto Maple Leafs,Roni Hirvonen,FI,C,18,2020,,Assat (Finland),,,,,,,,,,,,,,
60,New York Rangers,William Cuylle,CA,LW,18,2020,,Windsor Spitfires (OHL),,,,,,,,,,,,,,
61,Ottawa Senators,Egor Sokolov,RU,LW,20,2020,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,
62,Tampa Bay Lightning,Gage Goncalves,CA,C,19,2020,,Everett Silvertips (WHL),,,,,,,,,,,,,,
63,Detroit Red Wings,Donovan Sebrango,CA,D,18,2020,,Kitchener Rangers (OHL),,,,,,,,,,,,,,
64,Toronto Maple Leafs,Topi Niemela,FI,D,18,2020,,Karpat (Finland),,,,,,,,,,,,,,
65,Minnesota Wild,Daemon Hunt,CA,D,18,2020,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,
66,Los Angeles Kings,Kasper Simontaival,FI,RW,18,2020,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,,
67,Anaheim Ducks,Ian Moore,US,D,18,2020,,St. Mark's School (High-MA),,,,,,,,,,,,,,
