Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Florida Panthers,Ed Jovanovski\jovaned01,CA,D,18,1994,2014,Windsor (OHL),1128,137,363,500,-86,1491,,,,,,,85.2,
2,Anaheim Ducks,Oleg Tverdovsky\tverdol01,UA,D,18,1994,2007,Krylja Sovetov (Russia),713,77,240,317,-21,291,,,,,,,56.4,
3,Ottawa Senators,Radek Bonk\bonkra01,CZ,C,18,1994,2009,Las Vegas (IHL),969,194,303,497,-22,581,,,,,,,45,
4,Edmonton Oilers,Jason Bonsignore\bonsija01,US,C,18,1994,1999,Niagara Falls (OHL),79,3,13,16,-22,34,,,,,,,-0.4,
5,Hartford Whalers,Jeff O'Neill\oneilje01,CA,RW,18,1994,2007,Guelph (OHL),821,237,259,496,-115,670,,,,,,,49.8,
6,Edmonton Oilers,Ryan Smyth\smythry01,CA,LW,18,1994,2014,Moose Jaw (WHL),1270,386,456,842,-54,976,,,,,,,87.9,
7,Los Angeles Kings,Jamie Storr\storrja01,CA,G,18,1994,2004,Owen Sound (OHL),219,0,3,3,0,26,219,85,86,23,0.908,2.55,33.2,
8,Tampa Bay Lightning,Jason Wiemer\wiemeja01,CA,C,18,1994,2006,Portland (WHL),726,90,112,202,-81,1420,,,,,,,10.9,
9,New York Islanders,Brett Lindros\lindrbr01,CA,RW,18,1994,1996,Kingston (OHL),51,2,5,7,-14,147,,,,,,,-0.9,
10,Washington Capitals,Nolan Baumgartner\baumgno01,CA,D,18,1994,2010,Kamloops (WHL),143,7,40,47,11,69,,,,,,,8.4,
11,San Jose Sharks,Jeff Friesen\friesje01,CA,LW,18,1994,2007,Regina (WHL),893,218,298,516,-8,488,,,,,,,51.2,
12,Quebec Nordiques,Wade Belak\belakwa01,CA,RW,18,1994,2011,Saskatoon (WHL),549,8,25,33,-38,1263,,,,,,,4,
13,Vancouver Canucks,Mattias Ohlund\ohlunma01,SE,D,18,1994,2011,Pitea (Sweden),909,93,250,343,-6,885,,,,,,,65.8,
14,Chicago Blackhawks,Ethan Moreau\moreaet01,CA,LW,18,1994,2012,Niagara Falls (OHL),928,147,140,287,-15,1110,,,,,,,21.5,
15,Washington Capitals,Alexander Kharlamov,RU,C,,1994,,CSKA Moscow (Russia),,,,,,,,,,,,,,
16,Toronto Maple Leafs,Eric Fichaud\fichaer01,CA,G,18,1994,2001,Chictoutimi (QMJHL),95,0,1,1,0,4,95,22,47,10,0.897,3.14,12.2,
17,Buffalo Sabres,Wayne Primeau\primewa01,CA,C,18,1994,2010,Owen Sound (OHL),774,69,125,194,-95,789,,,,,,,5.4,
18,Montreal Canadiens,Brad Brown\brownbr01,CA,D,18,1994,2004,North Bay (OHL),330,2,27,29,-16,747,,,,,,,6,
19,Calgary Flames,Chris Dingman\dingmch01,CA,LW,18,1994,2006,Brandon (WHL),385,15,19,34,-58,769,,,,,,,-3,
20,Dallas Stars,Jason Botterill\botteja01,CA,LW,18,1994,2004,Michigan (CCHA),88,5,9,14,-16,89,,,,,,,0,
21,Boston Bruins,Evgeni Ryabchikov,RU,G,,1994,,Molot-Perm (Russia),,,,,,,,,,,,,,
22,Quebec Nordiques,Jeffrey Kealty,US,D,,1994,,Catholic Memorial (High-MA),,,,,,,,,,,,,,
23,Detroit Red Wings,Yan Golubovsky\golubya01,RU,D,18,1994,2001,Dynamo-2 Moscow (Russia),56,1,7,8,11,32,,,,,,,2.5,
24,Pittsburgh Penguins,Chris Wells\wellsch01,CA,C,18,1994,2000,Seattle (WHL),195,9,20,29,-6,193,,,,,,,-1.6,
25,New Jersey Devils,Vadim Sharifijanov\shariva01,RU,LW,18,1994,2000,Salavat Yulayev Ufa (KHL),92,16,21,37,-2,50,,,,,,,3.3,
26,New York Rangers,Dan Cloutier\cloutda01,CA,G,18,1994,2008,Sault Ste. Marie (OHL),351,0,5,5,0,147,351,139,142,37,0.899,2.76,44.5,
27,Florida Panthers,Rhett Warrener\warrerh01,CA,D,18,1994,2008,Saskatoon (WHL),714,24,82,106,73,899,,,,,,,36.8,
28,Anaheim Ducks,Johan Davidsson\davidjo02,SE,C,18,1994,2000,HV 71 Jonkoping (Sweden),83,6,9,15,-9,16,,,,,,,0.5,
29,Ottawa Senators,Stan Neckar\neckast01,CZ,D,18,1994,2004,Ceske Budejovice (Czech-2),510,12,41,53,-71,316,,,,,,,15,
30,Winnipeg Jets,Deron Quint\quintde01,US,D,18,1994,2007,Seattle (WHL),463,46,97,143,-108,166,,,,,,,21.8,
31,Florida Panthers,Jason Podollan\podolja01,CA,RW,18,1994,2002,Spokane (WHL),41,1,5,6,-8,19,,,,,,,-0.5,
32,Edmonton Oilers,Mike Watt\wattmi01,CA,LW,18,1994,2003,Stratford Jr. B (GOJHL),157,15,26,41,-17,41,,,,,,,2.4,
33,Los Angeles Kings,Matt Johnson\johnsma03,CA,LW,18,1994,2004,Peterborough (OHL),473,23,20,43,-51,1523,,,,,,,-2,
34,Tampa Bay Lightning,Colin Cloutier,CA,C,,1994,,Brandon (WHL),,,,,,,,,,,,,,
35,Quebec Nordiques,Josef Marha\marhajo01,CZ,C,18,1994,2001,Dukla Jihlava (Czech-2),159,21,32,53,-8,32,,,,,,,3.6,
36,Florida Panthers,Ryan Johnson\johnsry01,CA,C,18,1994,2011,Thunder Bay (USHL),701,38,84,122,-87,250,,,,,,,-0.9,
37,San Jose Sharks,Angel Nikolov,CZ,D,,1994,,Chemopetrol Litvinov (Russia),,,,,,,,,,,,,,
38,New York Islanders,Jason Holland\hollaja01,CA,D,18,1994,2004,Kamloops (WHL),81,4,5,9,1,36,,,,,,,2.9,
39,Vancouver Canucks,Robb Gordon\gordoro01,CA,C,18,1994,1999,Powell River (BCHL),4,0,0,0,0,2,,,,,,,-0.1,
40,Chicago Blackhawks,Jean-Yves Leroux\lerouje01,CA,LW,18,1994,2001,Beauport (QMJHL),220,16,22,38,-27,146,,,,,,,0,
41,Washington Capitals,Scott Cherrey,CA,LW,,1994,,North Bay (OHL),,,,,,,,,,,,,,
42,Vancouver Canucks,Dave Scatchard\scatcda01,CA,C,18,1994,2011,Portland (WHL),659,128,141,269,-38,1040,,,,,,,24.3,
43,Buffalo Sabres,Curtis Brown\browncu01,CA,C/LW,18,1994,2008,Moose Jaw (WHL),736,129,171,300,70,398,,,,,,,28.9,
44,Montreal Canadiens,Jose Theodore\theodjo01,CA,G,18,1994,2013,St. Jean (QMJHL),648,1,16,17,0,40,648,286,254,69,0.909,2.68,111,
45,Calgary Flames,Dmitri Ryabykin,UZ,D,,1994,,Dynamo-2 Moscow (Russia),,,,,,,,,,,,,,
46,Dallas Stars,Lee Jinman,CA,C,,1994,,North Bay (OHL),,,,,,,,,,,,,,
47,Boston Bruins,Daniel Goneau\goneada01,CA,LW,18,1994,2000,Laval (QMJHL),53,12,3,15,-10,14,,,,,,,0.7,
48,Toronto Maple Leafs,Sean Haggerty\haggese01,US,LW,18,1994,2001,Detroit (OHL),14,1,2,3,1,4,,,,,,,0.2,
49,Detroit Red Wings,Mathieu Dandenault\dandema01,CA,D,18,1994,2009,Sherbrooke (QMJHL),868,68,135,203,42,516,,,,,,,30.1,
50,Pittsburgh Penguins,Richard Park\parkri01,KR,RW,18,1994,2012,Belleville (OHL),738,102,139,241,-30,266,,,,,,,16.6,
51,New Jersey Devils,Patrik Elias\eliaspa01,CZ,LW,18,1994,2016,Kladno (Czech-2),1240,408,617,1025,172,549,,,,,,,124.7,
52,New York Rangers,Rudolf Vercik,SK,LW,,1994,,Slovan Bratislava (KHL),,,,,,,,,,,,,,
53,Edmonton Oilers,Corey Neilson,CA,D,,1994,,North Bay (OHL),,,,,,,,,,,,,,
54,Montreal Canadiens,Chris Murray\murrach01,CA,RW,19,1994,2000,Kamloops (WHL),242,16,18,34,-8,550,,,,,,,-0.5,
55,Tampa Bay Lightning,Vadim Epanchintsev,RU,C,,1994,,Spartak Moscow (KHL),,,,,,,,,,,,,,
56,Winnipeg Jets,Dorian Anneck,CA,C,,1994,,Victoria (WHL),,,,,,,,,,,,,,
57,Pittsburgh Penguins,Sven Butenschon\butensv01,DE,D,18,1994,2006,Brandon (WHL),140,2,12,14,-10,86,,,,,,,2.4,
58,Winnipeg Jets,Tavis Hansen\hanseta01,CA,RW,19,1994,2001,Tacoma (WHL),34,2,1,3,-5,16,,,,,,,-0.1,
59,Los Angeles Kings,Vitali Yachmenev\yachmvi01,RU,LW,19,1994,2003,North Bay (OHL),487,83,133,216,-30,88,,,,,,,16.3,
60,Edmonton Oilers,Brad Symes,CA,D,,1994,,Portland (WHL),,,,,,,,,,,,,,
61,Quebec Nordiques,Sebastien Bety,CA,D,,1994,,Drummondville (QMJHL),,,,,,,,,,,,,,
62,Philadelphia Flyers,Artem Anisimov,RU,D,,1994,,Itil Kazan,,,,,,,,,,,,,,
63,New York Islanders,Jason Strudwick\strudja01,CA,D,19,1994,2011,Kamloops (WHL),674,13,42,55,-82,811,,,,,,,9.6,
64,Toronto Maple Leafs,Fredrik Modin\modinfr01,SE,LW,19,1994,2011,Yepandhin Dev Timra (Sweden-3),898,232,230,462,-11,453,,,,,,,47,
65,Vancouver Canucks,Chad Allan,CA,D,,1994,,Saskatoon (WHL),,,,,,,,,,,,,,
66,San Jose Sharks,Alexei Yegorov\yegoral01,RU,RW,19,1994,1997,SKA St. Petersburg (KHL),11,3,3,6,-4,2,,,,,,,0.4,
67,Anaheim Ducks,Craig Reichert\reichcr01,CA,RW,20,1994,1997,Red Deer (WHL),3,0,0,0,-2,0,,,,,,,-0.2,
68,St. Louis Blues,Stephane Roy,CA,C,,1994,,Val d'Or (QMJHL),,,,,,,,,,,,,,
69,Buffalo Sabres,Rumun Ndur\ndurru01,NG,D,19,1994,2000,Guelph (OHL),69,2,3,5,-18,137,,,,,,,0.4,
70,Montreal Canadiens,Marko Kiprusoff\kipruma01,FI,D,22,1994,2002,TPS Turku (Finland),51,0,10,10,-3,12,,,,,,,1.8,
71,New Jersey Devils,Sheldon Souray\sourash01,CA,D,18,1994,2013,Tri-City (WHL),758,109,191,300,-22,1145,,,,,,,58.9,
72,Quebec Nordiques,Chris Drury\drurych01,US,C,18,1994,2011,Fairfield Prep (High-CT),892,255,360,615,-6,468,,,,,,,63.9,
73,Pittsburgh Penguins,Greg Crozier\crozigr01,CA,LW,18,1994,2001,Lawrence Academy (High-MA),1,0,0,0,0,0,,,,,,,0,
74,Montreal Canadiens,Martin Belanger,CA,D,,1994,,Granby (QMJHL),,,,,,,,,,,,,,
75,Detroit Red Wings,Sean Gillam,CA,D,,1994,,Spokane (WHL),,,,,,,,,,,,,,
76,Pittsburgh Penguins,Alexei Krivchenkov,RU,D,,1994,,CSKA Moscow (Russia),,,,,,,,,,,,,,
77,Calgary Flames,Chris Clark\clarkch01,US,RW,18,1994,2011,Springfield Jr. B,607,103,111,214,-48,700,,,,,,,16.4,
78,New York Rangers,Adam Smith,CA,D,,1994,,Tacoma (WHL),,,,,,,,,,,,,,
79,Edmonton Oilers,Adam Copeland,CA,RW,,1994,,Burlington Jr. B (OJHL),,,,,,,,,,,,,,
80,Anaheim Ducks,Byron Briske,CA,D,,1994,,Red Deer (WHL),,,,,,,,,,,,,,
81,Ottawa Senators,Bryan Masotta,US,G,,1994,,New Haven (High-CT),,,,,,,,,,,,,,
82,Winnipeg Jets,Steve Cheredaryk,CA,D,,1994,,Medicine Hat (WHL),,,,,,,,,,,,,,
83,Hartford Whalers,Hnat Domenichelli\domenhn01,CA,LW,18,1994,2003,Kamloops (WHL),267,52,61,113,-56,104,,,,,,,8.6,
84,Florida Panthers,David Nemirovsky\nemirda01,CA,RW,18,1994,1999,Ottawa (OHL),91,16,22,38,-2,42,,,,,,,3,
85,Chicago Blackhawks,Steve McLaren\mclarst01,CA,D,19,1994,2004,North Bay (OHL),6,0,0,0,0,25,,,,,,,0,
86,Tampa Bay Lightning,Dmitri Klevakin,RU,RW,,1994,,Spartak Moscow (KHL),,,,,,,,,,,,,,
87,Quebec Nordiques,Milan Hejduk\hejdumi01,CZ,RW,18,1994,2013,Pardubice (Czech),1020,375,430,805,101,316,,,,,,,95,
88,Philadelphia Flyers,Adam Magarrell,CA,D,,1994,,Brandon (WHL),,,,,,,,,,,,,,
89,San Jose Sharks,Vaclav Varada\varadva01,CZ,RW,18,1994,2006,Vitkovice (Czech),493,58,125,183,19,410,,,,,,,14.2,
90,New York Islanders,Brad Lukowich\lukowbr01,CA,D,18,1994,2011,Kamloops (WHL),658,23,90,113,45,369,,,,,,,31.4,
91,Calgary Flames,Ryan Duthie,CA,C,,1994,,Red Deer (WHL),,,,,,,,,,,,,,
92,Vancouver Canucks,Mike Dubinsky,CA,RW,,1994,,Brandon (WHL),,,,,,,,,,,,,,
93,Washington Capitals,Matt Herr\herrma01,US,C,18,1994,2003,Hotchkiss (High-CT),58,4,5,9,-6,25,,,,,,,0.3,
94,St. Louis Blues,Tyler Harlton,CA,D,,1994,,Vernon (BCHL),,,,,,,,,,,,,,
95,Edmonton Oilers,Jussi Tarvainen,FI,C,,1994,,KalPa Kuopio (Finland),,,,,,,,,,,,,,
96,Montreal Canadiens,Arto Kuki,FI,C,,1994,,Kiekko-Espoo (Finland),,,,,,,,,,,,,,
97,Calgary Flames,Johan Finnstrom,SE,D,,1994,,Rogle Angelholm (Sweden),,,,,,,,,,,,,,
