Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Edmonton Oilers,Ryan Nugent-Hopkins,CA,C,18,2011,2022,Red Deer (WHL),719,196,332,528,-45,239,,,,,,,52.6,
2,Colorado Avalanche,Gabriel Landeskog,SE,LW,18,2011,2022,Kitchener (OHL),738,248,323,571,77,601,,,,,,,65.5,
3,Florida Panthers,Jonathan Huberdeau,CA,C,18,2011,2022,Saint John (QMJHL),671,198,415,613,41,341,,,,,,,65,
4,New Jersey Devils,Adam Larsson,SE,D,18,2011,2022,Skelleftea (Sweden),685,33,129,162,-5,402,,,,,,,36.9,
5,New York Islanders,Ryan Strome,CA,C,18,2011,2022,Niagara (OHL),621,130,227,357,40,376,,,,,,,34.9,
6,Ottawa Senators,Mika Zibanejad,SE,C,18,2011,2022,Djurgarden (Sweden),685,229,286,515,4,185,,,,,,,56.8,
7,Winnipeg Jets,Mark Scheifele,CA,C,18,2011,2022,Barrie (OHL),642,230,347,577,62,260,,,,,,,65,
8,Philadelphia Flyers,Sean Couturier,US,C,18,2011,2022,Drummondville (QMJHL),721,180,280,460,82,277,,,,,,,47,
9,Boston Bruins,Dougie Hamilton,CA,D,18,2011,2022,Niagara (OHL),669,115,256,371,53,424,,,,,,,68.2,
10,Minnesota Wild,Jonas Brodin,SE,D,18,2011,2022,Farjestad (Sweden),681,44,155,199,58,198,,,,,,,43.2,
11,Colorado Avalanche,Duncan Siemens,CA,D,18,2011,2018,Saskatoon (WHL),20,1,1,2,-7,25,,,,,,,0,
12,Carolina Hurricanes,Ryan Murphy,CA,D,18,2011,2019,Kitchener (OHL),175,8,35,43,-27,54,,,,,,,7.2,
13,Calgary Flames,Sven Baertschi,CH,LW,18,2011,2022,Portland (WHL),292,66,72,138,-34,78,,,,,,,14.5,
14,Dallas Stars,Jamie Oleksiak,CA,D,18,2011,2022,Northeastern (H-East),441,25,64,89,-15,344,,,,,,,17.4,
15,New York Rangers,J.T. Miller,US,C,18,2011,2022,USA U-18 (USHL),637,169,285,454,42,323,,,,,,,48,
16,Buffalo Sabres,Joel Armia,FI,RW,18,2011,2022,Assat (Finland),396,68,71,139,-6,120,,,,,,,11.4,
17,Montreal Canadiens,Nathan Beaulieu,CA,D,18,2011,2022,Saint John (QMJHL),419,12,82,94,9,301,,,,,,,19.3,
18,Chicago Blackhawks,Mark McNeill,CA,C,18,2011,2017,Prince Albert (WHL),2,0,0,0,-1,0,,,,,,,-0.1,
19,Edmonton Oilers,Oscar Klefbom,SE,D,18,2011,2020,Farjestad (Sweden),378,34,122,156,-64,74,,,,,,,23.2,
20,Phoenix Coyotes,Connor Murphy,US,D,18,2011,2022,USA U-18 (USHL),551,32,88,120,-32,328,,,,,,,23.5,
21,Ottawa Senators,Stefan Noesen,US,RW,18,2011,2022,Plymouth (OHL),207,31,23,54,-1,122,,,,,,,5.2,
22,Toronto Maple Leafs,Tyler Biggs,US,RW,18,2011,,USA U-18 (USHL),,,,,,,,,,,,,,
23,Pittsburgh Penguins,Joseph Morrow,CA,D,18,2011,2019,Portland (WHL),162,9,23,32,-12,62,,,,,,,5.4,
24,Ottawa Senators,Matt Puempel,CA,LW,18,2011,2019,Peterborough (OHL),87,11,5,16,-10,30,,,,,,,1,
25,Toronto Maple Leafs,Stuart Percy,CA,D,18,2011,2016,Mississauga St. Michael's (OHL),12,0,3,3,-6,2,,,,,,,0,
26,Chicago Blackhawks,Phillip Danault,CA,LW,18,2011,2022,Victoriaville (QMJHL),471,82,168,250,58,216,,,,,,,23.6,
27,Tampa Bay Lightning,Vladislav Namestnikov,RU,C,18,2011,2022,London (OHL),553,107,129,236,4,296,,,,,,,22.2,
28,Minnesota Wild,Zack Phillips,CA,C,18,2011,,Saint John (QMJHL),,,,,,,,,,,,,,
29,Vancouver Canucks,Nicklas Jensen,DK,LW,18,2011,2017,Oshawa (OHL),31,3,3,6,-5,10,,,,,,,0.2,
30,Anaheim Ducks,Rickard Rakell,SE,RW,18,2011,2022,Plymouth (OHL),569,158,194,352,-16,120,,,,,,,38.1,
31,Edmonton Oilers,David Musil,CA,D,18,2011,2015,Vancouver (WCHL),4,0,2,2,-2,2,,,,,,,0.1,
32,St. Louis Blues,Ty Rattie,CA,RW,18,2011,2019,Portland (WHL),99,13,17,30,-4,12,,,,,,,2.5,
33,Florida Panthers,Rocco Grimaldi,US,C,18,2011,2022,USA U-18 (USHL),203,30,37,67,-1,34,,,,,,,6,
34,New York Islanders,Scott Mayfield,US,D,18,2011,2022,Youngstown (USHL),346,19,68,87,9,312,,,,,,,18.4,
35,Detroit Red Wings,Tomas Jurco,SK,RW,18,2011,2021,Saint John (QMJHL),221,22,31,53,-10,64,,,,,,,3.7,
36,Chicago Blackhawks,Adam Clendening,US,D,18,2011,2019,Boston University (H-East),90,4,20,24,11,49,,,,,,,5.1,
