Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Edmonton Oilers,Taylor Hall,CA,LW,18,2010,2022,Windsor (OHL),761,248,409,657,-37,418,,,,,,,74.2,
2,Boston Bruins,Tyler Seguin,CA,C,18,2010,2022,Plymouth (OHL),825,305,381,686,61,253,,,,,,,84.4,
3,Florida Panthers,Erik Gudbranson,CA,D,18,2010,2022,Kingston (OHL),641,27,67,94,-87,708,,,,,,,16.6,
4,Columbus Blue Jackets,Ryan Johansen,CA,C,18,2010,2022,Portland (WHL),787,177,350,527,8,480,,,,,,,52.3,
5,New York Islanders,Nino Niederreiter,CH,RW,18,2010,2022,Portland (WHL),732,181,187,368,66,352,,,,,,,42.8,
6,Tampa Bay Lightning,Brett Connolly,CA,RW,18,2010,2022,Prince George (WHL),536,101,94,195,9,241,,,,,,,19.4,
7,Carolina Hurricanes,Jeff Skinner,CA,C,18,2010,2022,Kitchener (OHL),853,298,244,542,-143,378,,,,,,,62.6,
8,Atlanta Thrashers,Alexander Burmistrov,RU,C,18,2010,2018,Barrie (OHL),348,37,64,101,-31,139,,,,,,,4.9,
9,Minnesota Wild,Mikael Granlund,FI,C,18,2010,2022,HIFK Helsinki (Finland),671,135,308,443,12,197,,,,,,,41,
10,New York Rangers,Dylan McIlrath,CA,D,18,2010,2020,Moose Jaw (WHL),66,3,2,5,2,121,,,,,,,1.9,
11,Dallas Stars,Jack Campbell,US,G,18,2010,2022,USA U-18 (USHL),135,0,2,2,0,0,135,71,39,14,0.916,2.53,24.4,
12,Anaheim Ducks,Cam Fowler,CA,D,18,2010,2022,Windsor (OHL),811,81,285,366,-63,217,,,,,,,61.1,
13,Phoenix Coyotes,Brandon Gormley,CA,D,18,2010,2016,Moncton (QMJHL),58,2,3,5,-6,20,,,,,,,1.2,
14,St. Louis Blues,Jaden Schwartz,CA,C,18,2010,2022,Tri-City (USHL),597,162,246,408,61,167,,,,,,,46.4,
15,Los Angeles Kings,Derek Forbort,US,D,18,2010,2022,USA U-18 (USHL),407,12,67,79,10,259,,,,,,,20.5,
16,St. Louis Blues,Vladimir Tarasenko,RU,RW,18,2010,2022,Novosibirsk (Russia),606,252,272,524,75,177,,,,,,,68.2,
17,Colorado Avalanche,Joey Hishon,CA,C,18,2010,2015,Owen Sound (OHL),13,1,1,2,-1,0,,,,,,,0.1,
18,Nashville Predators,Austin Watson,US,LW,18,2010,2022,Peterborough (OHL),407,49,54,103,2,489,,,,,,,7.7,
19,Florida Panthers,Nick Bjugstad,US,C,18,2010,2022,Blaine (High-MN),540,110,127,237,-37,235,,,,,,,22.3,
20,Pittsburgh Penguins,Beau Bennett,US,RW,18,2010,2018,Penticton (BCHL),200,24,40,64,-2,52,,,,,,,5.7,
21,Detroit Red Wings,Riley Sheahan,CA,C,18,2010,2022,Notre Dame (CCHA),635,74,120,194,-52,93,,,,,,,12.4,
22,Montreal Canadiens,Jarred Tinordi,US,D,18,2010,2022,USA U-18 (USHL),109,2,11,13,-19,130,,,,,,,1.5,
23,Buffalo Sabres,Mark Pysyk,CA,D,18,2010,2022,Edmonton (WHL),521,28,76,104,-18,162,,,,,,,22,
24,Chicago Blackhawks,Kevin Hayes,US,RW,18,2010,2022,Nobles (High-MA),553,137,195,332,0,182,,,,,,,34.1,
25,Florida Panthers,Quinton Howden,CA,C,18,2010,2017,Moose Jaw (WHL),97,10,7,17,-11,30,,,,,,,0.8,
26,Washington Capitals,Evgeny Kuznetsov,RU,C,18,2010,2022,Chelyabinsk (Russia),599,153,343,496,75,308,,,,,,,52.5,
27,Phoenix Coyotes,Mark Visentin,CA,G,18,2010,2014,Niagara (OHL),1,0,0,0,,0,1,0,1,0,0.906,3.06,0.2,
28,San Jose Sharks,Charlie Coyle,US,C/RW,18,2010,2022,South Shore (EJHL),703,131,214,345,29,263,,,,,,,33,
29,Anaheim Ducks,Emerson Etem,US,RW,18,2010,2017,Medicine Hat (WHL),173,22,24,46,-7,30,,,,,,,3.5,
30,New York Islanders,Brock Nelson,US,C,18,2010,2022,Warroad (High-MN),676,205,182,387,-1,252,,,,,,,43.9,
31,Edmonton Oilers,Tyler Pitlick,US,C,18,2010,2022,Minnesota State (WCHA),325,48,41,89,1,84,,,,,,,7.8,
32,Boston Bruins,Jared Knight,US,C,18,2010,,London (OHL),,,,,,,,,,,,,,
33,Florida Panthers,John McFarland,CA,LW,18,2010,2016,Sudbury (OHL),3,0,0,0,-1,0,,,,,,,-0.1,
34,Columbus Blue Jackets,Dalton Smith,CA,LW,18,2010,2020,Ottawa (OHL),1,0,0,0,1,2,,,,,,,0,
35,Chicago Blackhawks,Ludvig Rensfeldt,SE,LW,18,2010,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,,
36,Florida Panthers,Alex Petrovic,CA,D,18,2010,2019,Red Deer (WHL),263,5,45,50,-10,360,,,,,,,9.1,
37,Carolina Hurricanes,Justin Faulk,US,D,18,2010,2022,USA U-18 (USHL),760,113,233,346,-51,375,,,,,,,63.5,
38,New Jersey Devils,Jon Merrill,US,D,18,2010,2022,USA U-18 (USHL),474,16,70,86,-3,233,,,,,,,18.9,
39,Minnesota Wild,Brett Bulmer,CA,RW,18,2010,2016,Kelowna (WHL),17,0,3,3,-2,15,,,,,,,0,
40,New York Rangers,Christian Thomas,CA,RW,18,2010,2016,Oshawa (OHL),27,1,2,3,-2,9,,,,,,,0,
41,Dallas Stars,Patrik Nemeth,SE,D,18,2010,2022,AIK (Sweden-2),429,10,55,65,10,210,,,,,,,16,
42,Anaheim Ducks,Devante Smith-Pelly,CA,RW,18,2010,2019,Mississauga (OHL),395,44,57,101,-41,137,,,,,,,5.9,
43,Toronto Maple Leafs,Brad Ross,CA,LW,18,2010,,Portland (WHL),,,,,,,,,,,,,,
44,St. Louis Blues,Sebastian Wannstrom,SE,RW,19,2010,,Brynas (Sweden),,,,,,,,,,,,,,
45,Boston Bruins,Ryan Spooner,CA,C,18,2010,2019,Peterborough (OHL),325,48,119,167,-21,63,,,,,,,15.2,
46,Edmonton Oilers,Martin Marincin,SK,D,18,2010,2020,Slovakia U20 (Slovakia),227,5,29,34,-13,110,,,,,,,6.6,
47,Los Angeles Kings,Tyler Toffoli,CA,C,18,2010,2022,Ottawa (OHL),651,193,200,393,77,188,,,,,,,49.3,
48,Edmonton Oilers,Curtis Hamilton,US,LW,18,2010,2015,Saskatoon (WHL),1,0,0,0,0,5,,,,,,,0,
49,Colorado Avalanche,Calvin Pickard,CA,G,18,2010,2022,Seattle (WHL),116,0,3,3,0,4,116,35,54,10,0.903,3.04,15.5,
50,Florida Panthers,Connor Brickley,US,C,18,2010,2019,Des Moines (USHL),81,6,15,21,-2,42,,,,,,,1.3,
51,Detroit Red Wings,Calle Jarnkrok,SE,C,18,2010,2022,Brynas (Sweden),574,106,135,241,45,119,,,,,,,23.5,
52,Phoenix Coyotes,Phil Lane,US,RW,18,2010,,Brampton (OHL),,,,,,,,,,,,,,
53,Carolina Hurricanes,Mark Alt,US,D,18,2010,2021,Cretin-Derham (High-MN),20,0,0,0,-2,4,,,,,,,0,
54,Chicago Blackhawks,Justin Holl,US,D,18,2010,2022,Minnetonka (High-MN),205,9,55,64,43,111,,,,,,,12,
55,Columbus Blue Jackets,Petr Straka,CZ,RW,18,2010,2015,Rimouski (QMJHL),3,0,2,2,1,0,,,,,,,0.2,
56,Minnesota Wild,Johan Larsson,SE,LW,18,2010,2022,Brynas Jr. (Sweden-Jr.),488,53,79,132,-58,246,,,,,,,6.7,
57,Phoenix Coyotes,Oscar Lindberg,SE,C,18,2010,2019,Skelleftea (Sweden),252,39,40,79,7,117,,,,,,,7.8,
58,Chicago Blackhawks,Kent Simpson,CA,G,18,2010,2014,Everett (WHL),1,0,0,0,,0,1,,,,0.714,6,-0.1,
59,Minnesota Wild,Jason Zucker,US,LW,18,2010,2022,USA U-18 (USHL),550,155,135,290,10,209,,,,,,,32.8,
60,Chicago Blackhawks,Stephen Johns,US,D,18,2010,2020,USA U-18 (USHL),167,15,18,33,-6,93,,,,,,,6.9,
61,Edmonton Oilers,Ryan Martindale,CA,C,18,2010,,Ottawa (OHL),,,,,,,,,,,,,,
62,Toronto Maple Leafs,Greg McKegg,CA,C,18,2010,2022,Erie (OHL),233,21,18,39,-24,65,,,,,,,1.4,
63,Tampa Bay Lightning,Brock Beukeboom,US,D,18,2010,,Sault Ste. Marie (OHL),,,,,,,,,,,,,,
64,Calgary Flames,Max Reinhart,CA,C,18,2010,2015,Kootenay (WHL),23,1,4,5,-5,6,,,,,,,0,
65,New York Islanders,Kirill Kabanov,RU,LW,18,2010,,Moncton (QMJHL),,,,,,,,,,,,,,
66,Tampa Bay Lightning,Radko Gudas,CZ,D,20,2010,2022,Everett (WHL),610,31,116,147,59,764,,,,,,,30.2,
67,Carolina Hurricanes,Danny Biega,CA,D,18,2010,2015,Harvard (ECAC),10,0,2,2,-5,0,,,,,,,0.1,
