Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Pittsburgh Penguins,Mario Lemieux,CA,C,18,1984,2006,Laval (QMJHL),915,690,1033,1723,114,834,,,,,,,167.9,
2,New Jersey Devils,Kirk Muller,CA,LW,18,1984,2003,Guelph (OHL),1349,357,602,959,-147,1228,,,,,,,67.1,
3,Chicago Blackhawks,Ed Olczyk,US,C,18,1984,2000,Team USA,1031,342,452,794,-65,874,,,,,,,60.5,
4,Toronto Maple Leafs,Al Iafrate,US,D,18,1984,1998,Belleville (OHL),799,152,311,463,-72,1301,,,,,,,64.3,
5,Montreal Canadiens,Petr Svoboda,CZ,D,18,1984,2001,CHZ Litvinov (Czech),1028,58,341,399,206,1605,,,,,,,84.1,
6,Los Angeles Kings,Craig Redmond,CA,D,18,1984,1989,Denver (WCHA),191,16,68,84,-59,134,,,,,,,8.8,
7,Detroit Red Wings,Shawn Burr,CA,LW/C,18,1984,2000,Kitchener (OHL),878,181,259,440,119,1069,,,,,,,29.9,
8,Montreal Canadiens,Shayne Corson,CA,LW,18,1984,2004,Brantford (OHL),1156,273,420,693,43,2357,,,,,,,55,
9,Pittsburgh Penguins,Doug Bodger,CA,D,18,1984,2000,Kamloops (WHL),1071,106,422,528,-35,1007,,,,,,,79.4,
10,Vancouver Canucks,J.J. Daigneault,CA,D,18,1984,2001,Longueuil (QMJHL),899,53,197,250,-3,685,,,,,,,48.9,
11,Hartford Whalers,Sylvain Cote,CA,D,18,1984,2003,Quebec (QMJHL),1171,122,313,435,39,545,,,,,,,86.6,
12,Calgary Flames,Gary Roberts,CA,LW,18,1984,2009,Ottawa (OHL),1224,438,472,910,229,2560,,,,,,,91.9,
13,Minnesota North Stars,David Quinn,US,D,,1984,,Cranston (High-CT),,,,,,,,,,,,,,
14,New York Rangers,Terry Carkner,CA,D,18,1984,1999,Peterborough (OHL),858,42,188,230,-2,1588,,,,,,,45.4,
15,Quebec Nordiques,Trevor Stienburg,CA,RW,18,1984,1989,Guelph (OHL),71,8,4,12,-18,166,,,,,,,-0.7,
16,Pittsburgh Penguins,Roger Belanger,CA,C,18,1984,1985,Kingston (OHL),44,3,5,8,-13,32,,,,,,,-0.6,
17,Washington Capitals,Kevin Hatcher,US,D,18,1984,2001,North Bay (OHL),1157,227,450,677,-26,1392,,,,,,,110.1,
18,Buffalo Sabres,Mikael Andersson,SE,LW,18,1984,2000,Vastra Frolunda (Sweden),761,95,169,264,-1,134,,,,,,,12.8,
19,Boston Bruins,Dave Pasin,CA,RW,18,1984,1989,Prince Albert (WHL),76,18,19,37,-2,50,,,,,,,1.7,
20,New York Islanders,Duncan MacPherson,CA,D,,1984,,Saskatoon (WHL),,,,,,,,,,,,,,
21,Edmonton Oilers,Selmar Odelein,CA,D,18,1984,1989,Regina (WHL),18,0,2,2,-2,35,,,,,,,0.3,
22,Philadelphia Flyers,Greg Smyth,CA,D,18,1984,1997,London (OHL),229,4,16,20,-24,783,,,,,,,7.4,
23,New Jersey Devils,Craig Billington,CA,G,18,1984,2003,Belleville (OHL),332,0,6,6,0,42,332,110,149,31,0.877,3.63,33.4,
24,Los Angeles Kings,Brian Wilks,CA,C,18,1984,1989,Kitchener (OHL),48,4,8,12,-10,27,,,,,,,-0.4,
25,Toronto Maple Leafs,Todd Gill,CA,D,18,1984,2003,Windsor (OHL),1007,82,272,354,-99,1214,,,,,,,58.5,
26,St. Louis Blues,Brian Benning,CA,D,18,1984,1995,Portland (WHL),568,63,233,296,-43,963,,,,,,,41.8,
27,Philadelphia Flyers,Scott Mellanby,CA,RW,18,1984,2007,Henry Carr Jr. B (MJHL),1431,364,476,840,-37,2479,,,,,,,71.4,
28,Detroit Red Wings,Doug Houda,CA,D,18,1984,2003,Calgary (WHL),561,19,63,82,-50,1104,,,,,,,19.5,
29,Montreal Canadiens,Stephane Richer,CA,RW,18,1984,2002,Granby (QMJHL),1054,421,398,819,76,614,,,,,,,77.6,
30,Winnipeg Jets,Peter Douris,CA,RW,18,1984,1998,New Hampshire (H-East),321,54,67,121,2,80,,,,,,,6.6,
