Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Boston Bruins,Joe Thornton\thornjo01,CA,C,18,1997,2022,Sault Ste. Marie (OHL),1714,430,1109,1539,182,1272,,,,,,,163.2
2,San Jose Sharks,Patrick Marleau\marlepa01,CA,C,18,1997,2021,Seattle (WHL),1779,566,631,1197,-27,527,,,,,,,133.8
3,Los Angeles Kings,Olli Jokinen\jokinol01,FI,C,18,1997,2015,HIFK Helsinki (Finland),1231,321,429,750,-132,1071,,,,,,,71.7
4,New York Islanders,Roberto Luongo\luongro01,CA,G,18,1997,2019,Val d'Or (QMJHL),1044,0,23,23,0,46,1044,489,392,124,0.919,2.52,217.8
5,New York Islanders,Eric Brewer\breweer01,CA,D,18,1997,2015,Prince George (WHL),1009,77,194,271,-99,792,,,,,,,48.7
6,Calgary Flames,Daniel Tkaczuk\tkaczda01,CA,C,18,1997,2001,Barrie (OHL),19,4,7,11,1,14,,,,,,,1.2
7,Tampa Bay Lightning,Paul Mara\marapa01,US,D,18,1997,2011,Sudbury (OHL),734,64,189,253,-110,776,,,,,,,41.3
8,Boston Bruins,Sergei Samsonov\samsose01,RU,LW,18,1997,2011,Detroit (OHL),888,235,336,571,11,209,,,,,,,61
9,Washington Capitals,Nick Boynton\boyntni01,CA,D,18,1997,2011,Ottawa (OHL),605,34,110,144,19,862,,,,,,,30
10,Vancouver Canucks,Brad Ference\ferenbr01,CA,D,18,1997,2007,Spokane (WHL),250,4,30,34,-44,565,,,,,,,5
11,Montreal Canadiens,Jason Ward\wardja01,CA,RW,18,1997,2009,Erie (OHL),336,36,45,81,-29,171,,,,,,,4.2
12,Ottawa Senators,Marian Hossa\hossama01,SK,RW,18,1997,2017,Dukla Trencin (Slovakia),1309,525,609,1134,245,628,,,,,,,144.2
13,Chicago Blackhawks,Dan Cleary\clearda01,CA,RW,18,1997,2015,Belleville (OHL),938,165,222,387,6,492,,,,,,,35.1
14,Edmonton Oilers,Michel Riesen\riesemi01,CH,RW,18,1997,2001,Biel-Bienne (Swiss),12,0,1,1,2,4,,,,,,,0
15,Los Angeles Kings,Matt Zultek,CA,LW,,1997,,Ottawa (OHL),,,,,,,,,,,,,
16,Chicago Blackhawks,Ty Jones\jonesty01,US,RW,18,1997,2004,Spokane (WHL),14,0,0,0,-1,19,,,,,,,-0.2
17,Pittsburgh Penguins,Robert Dome\domero01,SK,RW,18,1997,2003,Las Vegas (IHL),53,7,7,14,0,12,,,,,,,1
18,Anaheim Ducks,Michael Holmqvist\holmqmi01,SE,C,18,1997,2007,Djurgarden (Sweden),156,18,17,35,-25,72,,,,,,,0.9
19,New York Rangers,Stefan Cherneski,CA,RW,,1997,,Brandon (WHL),,,,,,,,,,,,,
20,Florida Panthers,Mike Brown\brownmi01,CA,LW,18,1997,2006,Red Deer (WHL),34,1,2,3,1,130,,,,,,,0.2
21,Buffalo Sabres,Mika Noronen\noronmi01,FI,G,18,1997,2006,Tappara Tampere (Finland),71,1,0,1,0,4,71,23,32,6,0.901,2.68,8.6
22,Carolina Hurricanes,Nikos Tselios\tselini01,US,D,18,1997,2002,Belleville (OHL),2,0,0,0,-2,6,,,,,,,-0.1
23,San Jose Sharks,Scott Hannan\hannasc01,CA,D,18,1997,2015,Kelowna (WHL),1055,38,179,217,2,625,,,,,,,50.8
24,New Jersey Devils,Jean-Francois Damphousse\damphje01,CA,G,18,1997,2002,Moncton (QMJHL),6,0,0,0,0,0,6,1,3,0,0.896,2.45,0.5
25,Dallas Stars,Brenden Morrow\morrobr01,CA,LW,18,1997,2015,Portland (WHL),991,265,310,575,107,1362,,,,,,,66.4
26,Colorado Avalanche,Kevin Grimes,CA,D,,1997,,Kingston (OHL),,,,,,,,,,,,,
27,Boston Bruins,Ben Clymer\clymebe01,US,RW,19,1997,2007,Minnesota (WCHA),438,52,77,129,-64,367,,,,,,,9.8
28,Carolina Hurricanes,Brad DeFauw\defaubr01,US,LW,19,1997,2003,North Dakota (WCHA),9,3,0,3,-2,2,,,,,,,0.4
29,Los Angeles Kings,Scott Barney\barnesc01,CA,C,18,1997,2006,Peterborough (OHL),27,5,6,11,1,4,,,,,,,1.3
30,Philadelphia Flyers,Jean-Marc Pelletier\pelleje01,US,G,19,1997,2004,Cornell (ECAC),7,0,0,0,0,0,7,1,4,0,0.857,3.9,0
31,New York Islanders,Jeff Zehr\zehrje01,CA,LW,18,1997,2000,Windsor (OHL),4,0,0,0,-1,2,,,,,,,-0.1
32,Calgary Flames,Evan Lindsay,CA,G,,1997,,Prince Albert (WHL),,,,,,,,,,,,,
33,Tampa Bay Lightning,Kyle Kos,CA,D,,1997,,Red Deer (WHL),,,,,,,,,,,,,
34,Vancouver Canucks,Ryan Bonni\bonniry01,CA,D,18,1997,2000,Saskatoon (WHL),3,0,0,0,-1,0,,,,,,,-0.1
35,Washington Capitals,Jean-Francois Fortin\fortije01,CA,D,18,1997,2004,Sherbrooke (QMJHL),71,1,4,5,-4,42,,,,,,,1.2
36,Vancouver Canucks,Harold Druken\drukeha01,CA,C,18,1997,2004,Detroit (OHL),146,27,36,63,18,36,,,,,,,7.2
37,Montreal Canadiens,Gregor Baumgartner,AT,LW,,1997,,Laval (QMJHL),,,,,,,,,,,,,
38,New Jersey Devils,Stanislav Gron\gronst01,SK,RW,18,1997,2001,Slovan Bratislava (KHL),1,0,0,0,1,0,,,,,,,0
39,Chicago Blackhawks,Jeremy Reich\reichje01,CA,LW,18,1997,2008,Seattle (WHL),99,2,4,6,-18,161,,,,,,,-1.3
40,St. Louis Blues,Tyler Rennette,CA,C,,1997,,North Bay (OHL),,,,,,,,,,,,,
41,Edmonton Oilers,Patrick Dovigi,CA,G,,1997,,Erie (OHL),,,,,,,,,,,,,
42,Calgary Flames,John Tripp\trippjo01,CA,RW,20,1997,2004,Oshawa (OHL),43,2,7,9,-3,35,,,,,,,0.5
43,Phoenix Coyotes,Juha Gustafsson,FI,D,,1997,,Kiekko-Espoo (Finland),,,,,,,,,,,,,
44,Pittsburgh Penguins,Brian Gaffaney,US,D,,1997,,North Iowa (NAHL),,,,,,,,,,,,,
45,Anaheim Ducks,Maxim Balmochnykh\balmoma01,RU,LW,18,1997,2000,Lada Togliatti (KHL),6,0,1,1,2,2,,,,,,,0.1
46,New York Rangers,Wes Jarvis,CA,D,,1997,,Kitchener (OHL),,,,,,,,,,,,,
47,Florida Panthers,Kristian Huselius\huselkr01,SE,LW,18,1997,2012,Farjestad (Sweden),662,190,261,451,-16,256,,,,,,,48.3
48,Buffalo Sabres,Henrik Tallinder\tallihe01,SE,D,18,1997,2014,AIK Solna (Sweden),678,28,114,142,8,378,,,,,,,34.4
49,Detroit Red Wings,Yuri Butsayev\butsayu01,RU,LW,18,1997,2003,Lada Togliatti (KHL),99,10,4,14,-13,28,,,,,,,0.2
50,Philadelphia Flyers,Pat Kavanagh\kavanpa01,CA,RW,18,1997,2006,Peterborough (OHL),14,2,0,2,0,4,,,,,,,0.3
51,Calgary Flames,Dmitri Kokorev,RU,D,,1997,,Dynamo-2 Moscow (Russia),,,,,,,,,,,,,
52,Dallas Stars,Roman Lyashenko\lyashro01,RU,C,18,1997,2003,Torpedo Yaroslavl (KHL),139,14,9,23,-7,55,,,,,,,1.4
53,Colorado Avalanche,Graham Belak,CA,LW,,1997,,Edmonton (WHL),,,,,,,,,,,,,
54,Boston Bruins,Mattias Karlin,SE,C,,1997,,MoDo Ornskoldsvik (Sweden),,,,,,,,,,,,,
55,Colorado Avalanche,Rick Berry\berryri01,CA,D,18,1997,2004,Seattle (WHL),197,2,13,15,-6,314,,,,,,,3.9
56,Florida Panthers,Vratislav Cech,CZ,D,,1997,,Kitchener (OHL),,,,,,,,,,,,,
57,Toronto Maple Leafs,Jeff Farkas\farkaje01,US,RW,19,1997,2003,Boston College (H-East),11,0,2,2,-1,6,,,,,,,-0.1
58,Ottawa Senators,Jani Hurme\hurmeja01,FI,G,22,1997,2003,TPS Turku (Finland),76,0,0,0,0,19,76,29,25,11,0.906,2.61,11.2
59,New York Islanders,Jarrett Smith,CA,C,,1997,,Prince George (WHL),,,,,,,,,,,,,
60,Calgary Flames,Derek Schutz,CA,C,,1997,,Spokane (WHL),,,,,,,,,,,,,
61,Tampa Bay Lightning,Matt Elich\elichma01,US,RW,17,1997,2001,Windsor (OHL),16,1,1,2,-6,0,,,,,,,-0.1
62,Philadelphia Flyers,Kris Mallette,CA,D,,1997,,Kelowna (WHL),,,,,,,,,,,,,
63,Boston Bruins,Lee Goren\gorenle01,CA,RW,19,1997,2007,North Dakota (WCHA),67,5,4,9,-16,44,,,,,,,0
64,Vancouver Canucks,Kyle Freadrich\freadky01,CA,LW,18,1997,2001,Regina (WHL),23,0,1,1,-2,75,,,,,,,-0.1
65,Montreal Canadiens,Ilkka Mikkola,FI,D,,1997,,Karpat Oulu (Finland),,,,,,,,,,,,,
66,Ottawa Senators,Josh Langfeld\langfjo01,US,RW,20,1997,2008,Lincoln (USHL),143,9,23,32,8,60,,,,,,,2.3
67,Chicago Blackhawks,Mike Souza,US,LW,,1997,,New Hampshire (H-East),,,,,,,,,,,,,
68,Edmonton Oilers,Sergei Yerkovich,RU,D,,1997,,Las Vegas (IHL),,,,,,,,,,,,,
69,Buffalo Sabres,Maxim Afinogenov\afinoma01,RU,RW,18,1997,2010,Dynamo Moscow (Russia),651,158,237,395,-43,486,,,,,,,38.9
70,Calgary Flames,Erik Andersson\anderer01,SE,C,26,1997,1998,Denver (WCHA),12,2,1,3,-4,8,,,,,,,0.1
71,Pittsburgh Penguins,Josef Melichar\melicjo01,CZ,D,18,1997,2009,Ceske Budejovice (Czech-2),349,7,42,49,-26,300,,,,,,,8.6
72,Anaheim Ducks,Jay Legault,CA,LW,,1997,,London (OHL),,,,,,,,,,,,,
73,New York Rangers,Burke Henry\henrybu01,CA,D,18,1997,2004,Brandon (WHL),39,2,6,8,-13,33,,,,,,,0.8
74,Florida Panthers,Nick Smith\smithni01,CA,C,18,1997,2002,Barrie (OHL),15,0,0,0,-1,0,,,,,,,-0.1
75,Buffalo Sabres,Jeff Martin,CA,C,,1997,,Windsor (OHL),,,,,,,,,,,,,
76,Detroit Red Wings,Petr Sykora\sykorpe02,CZ,C,18,1997,2006,Pardubice (Czech),12,2,2,4,-1,6,,,,,,,0.3
77,Dallas Stars,Steve Gainey\gainest01,CA,LW,18,1997,2006,Kamloops (WHL),33,0,2,2,-3,34,,,,,,,-0.3
78,Colorado Avalanche,Ville Nieminen\niemivi01,FI,LW,20,1997,2007,Tappara Tampere (Finland),385,48,69,117,-28,333,,,,,,,8.4
79,New York Islanders,Robert Schnabel\schnaro01,CZ,D,18,1997,2004,Slavia Praha (Czech-2),22,0,3,3,6,34,,,,,,,1.2
80,Carolina Hurricanes,Francis Lessard\lessafr01,CA,RW,18,1997,2011,Val d'Or (QMJHL),115,1,3,4,-6,346,,,,,,,-0.2
