Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
81,Boston Bruins,Karol Bartanus,SK,RW,,1997,,Drummondville (QMJHL),,,,,,,,,,,,,
82,San Jose Sharks,Adam Colagiacomo,CA,RW,,1997,,Oshawa (OHL),,,,,,,,,,,,,
83,Los Angeles Kings,Joe Corvo\corvojo01,US,D,20,1997,2014,Western Michigan (CCHA),708,92,218,310,25,241,,,,,,,55.3
84,Toronto Maple Leafs,Adam Mair\mairad01,CA,C,18,1997,2011,Owen Sound (OHL),615,38,76,114,-26,829,,,,,,,5.5
85,New York Islanders,Petr Mika\mikape01,CZ,LW,18,1997,2000,Slavia Praha (Czech-2),3,0,0,0,-1,0,,,,,,,-0.1
86,St. Louis Blues,Didier Tremblay,CA,D,,1997,,Halifax (QMJHL),,,,,,,,,,,,,
87,Colorado Avalanche,Brad Larsen\larsebr01,CA,LW,20,1997,2008,Swift Current (WHL),294,19,29,48,-23,134,,,,,,,0.6
88,Carolina Hurricanes,Shane Willis\willish01,CA,RW,20,1997,2004,Lethbridge (WHL),174,31,43,74,-16,77,,,,,,,6.8
89,Washington Capitals,Curtis Cruickshank,CA,G,,1997,,Kingston (OHL),,,,,,,,,,,,,
90,Vancouver Canucks,Chris Stanley,CA,C,,1997,,Belleville (OHL),,,,,,,,,,,,,
91,Montreal Canadiens,Daniel Tetrault,CA,D,,1997,,Brandon (WHL),,,,,,,,,,,,,
92,Calgary Flames,Chris St. Croix,US,D,,1997,,Kamloops (WHL),,,,,,,,,,,,,
93,New York Rangers,Tomi Kallarsson,FI,D,,1997,,HPK Hameenlinna (Finland),,,,,,,,,,,,,
94,Edmonton Oilers,Jonas Elofsson,SE,D,,1997,,Farjestad (Sweden),,,,,,,,,,,,,
95,Florida Panthers,Ivan Novoseltsev\novosiv01,RU,RW,18,1997,2004,Krylja Sovetov (Russia),234,31,44,75,-47,112,,,,,,,4.6
96,Phoenix Coyotes,Scott McCallum,CA,D,,1997,,Tri-City (WHL),,,,,,,,,,,,,
97,Pittsburgh Penguins,Alexandre Mathieu,CA,LW,,1997,,Halifax (QMJHL),,,,,,,,,,,,,
98,St. Louis Blues,Jan Horacek,CZ,D,,1997,,Slavia Praha (Czech-2),,,,,,,,,,,,,
99,Los Angeles Kings,Sean Blanchard,CA,D,,1997,,Ottawa (OHL),,,,,,,,,,,,,
100,Calgary Flames,Ryan Ready\readyry01,CA,LW,18,1997,2006,Belleville (OHL),7,0,1,1,0,0,,,,,,,0
101,Buffalo Sabres,Luc Theoret,CA,D,,1997,,Lethbridge (WHL),,,,,,,,,,,,,
102,Detroit Red Wings,Quintin Laing\laingqu01,CA,LW,18,1997,2010,Kelowna (WHL),79,3,8,11,8,31,,,,,,,0.1
103,Philadelphia Flyers,Mikhail Chernov,RU,D,,1997,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,
104,New Jersey Devils,Lucas Nehrling,CA,D,,1997,,Sarnia (OHL),,,,,,,,,,,,,
105,Dallas Stars,Marcus Kristoffersson,SE,LW,,1997,,Mora (Sweden-2),,,,,,,,,,,,,
106,St. Louis Blues,Jame Pollock\polloja01,CA,D,18,1997,2004,Seattle (WHL),9,0,0,0,-1,6,,,,,,,0.1
107,San Jose Sharks,Adam Nittel,CA,RW,,1997,,Erie (OHL),,,,,,,,,,,,,
108,Tampa Bay Lightning,Mark Thompson,CA,D,,1997,,Regina (WHL),,,,,,,,,,,,,
109,Tampa Bay Lightning,Jan Sulc,CZ,C,,1997,,Chemopetrol Litvinov (Russia),,,,,,,,,,,,,
110,Chicago Blackhawks,Ben Simon\simonbe01,US,LW,19,1997,2006,Notre Dame (CCHA),81,3,1,4,-13,47,,,,,,,-0.7
111,Toronto Maple Leafs,Frantisek Mrazek,CZ,LW,,1997,,Ceske Budejovice (Czech-2),,,,,,,,,,,,,
112,Tampa Bay Lightning,Karel Betik\betikka01,CZ,D,18,1997,1999,Kelowna (WHL),3,0,2,2,-3,2,,,,,,,0
113,Calgary Flames,Martin Moise,CA,LW,,1997,,Beauport (QMJHL),,,,,,,,,,,,,
114,Vancouver Canucks,David Darguzas,CA,C,,1997,,Edmonton (WHL),,,,,,,,,,,,,
115,New York Islanders,Adam Edinger,US,C,,1997,,Bowling Green (CCHA),,,,,,,,,,,,,
116,Washington Capitals,Kevin Caulfield,US,RW,,1997,,Boston College (H-East),,,,,,,,,,,,,
117,Vancouver Canucks,Matt Cockell,CA,G,,1997,,Saskatoon (WHL),,,,,,,,,,,,,
118,Montreal Canadiens,Konstantin Sidulov,RU,D,,1997,,Traktor Chelyabinsk (KHL),,,,,,,,,,,,,
119,Ottawa Senators,Magnus Arvedson\arvedma01,SE,LW,25,1997,2004,Farjestad (Sweden),434,100,125,225,109,241,,,,,,,26.4
120,Chicago Blackhawks,Peter Gardiner,CA,RW,,1997,,RPI (ECAC),,,,,,,,,,,,,
121,Edmonton Oilers,Jason Chimera\chimeja01,CA,LW,18,1997,2018,Medicine Hat (WHL),1107,186,229,415,-31,892,,,,,,,37.9
122,Montreal Canadiens,Gennady Razin,UA,D,,1997,,Kamloops (WHL),,,,,,,,,,,,,
123,Phoenix Coyotes,Curtis Suter,CA,LW,,1997,,Spokane (WHL),,,,,,,,,,,,,
124,Pittsburgh Penguins,Harlan Pratt,CA,D,,1997,,Prince Albert (WHL),,,,,,,,,,,,,
125,Anaheim Ducks,Luc Vaillancourt,CA,G,,1997,,Beauport (QMJHL),,,,,,,,,,,,,
126,New York Rangers,Jason McLean,CA,G,,1997,,Moose Jaw (WHL),,,,,,,,,,,,,
127,Florida Panthers,Pat Parthenais,US,D,,1997,,Detroit (OHL),,,,,,,,,,,,,
128,Buffalo Sabres,Torrey DiRoberto,US,C,,1997,,Seattle (WHL),,,,,,,,,,,,,
129,Detroit Red Wings,John Wikstrom,SE,D,,1997,,Lulea (Sweden),,,,,,,,,,,,,
130,Chicago Blackhawks,Kyle Calder\caldeky01,CA,LW,18,1997,2010,Regina (WHL),590,114,180,294,-71,309,,,,,,,24.6
131,New Jersey Devils,Jiri Bicek\bicekji01,SK,RW,18,1997,2004,Kosice (Slovakia),62,6,7,13,6,29,,,,,,,1.1
132,Dallas Stars,Teemu Elomo,FI,LW,,1997,,TPS Turku (Finland),,,,,,,,,,,,,
133,Colorado Avalanche,Aaron Miskovich,US,C,,1997,,Green Bay (USHL),,,,,,,,,,,,,
134,New York Rangers,Johan Lindbom\lindbjo01,SE,LW,26,1997,1998,HV 71 Jonkoping (Sweden),38,1,3,4,4,28,,,,,,,-0.2
135,Boston Bruins,Denis Timofeev,RU,D,,1997,,CSKA Moscow 2 (Russia),,,,,,,,,,,,,
136,New York Rangers,Mike York\yorkmi01,US,LW,19,1997,2009,Michigan State (CCHA),579,127,195,322,-34,135,,,,,,,27.6
137,Los Angeles Kings,Richard Seeley,CA,D,,1997,,Prince Albert (WHL),,,,,,,,,,,,,
138,Toronto Maple Leafs,Eric Gooldy,US,LW,,1997,,Detroit (OHL),,,,,,,,,,,,,
139,New York Islanders,Bobby Leavins,CA,LW,,1997,,Brandon (WHL),,,,,,,,,,,,,
140,Calgary Flames,Ilja Demidov,RU,D,,1997,,Dynamo-2 Moscow (Russia),,,,,,,,,,,,,
141,Edmonton Oilers,Peter Sarno\sarnope01,CA,C,18,1997,2006,Windsor (OHL),7,1,0,1,2,2,,,,,,,0.2
142,Carolina Hurricanes,Kyle Dafoe,CA,D,,1997,,Owen Sound (OHL),,,,,,,,,,,,,
143,Washington Capitals,Henrik Petre,SE,D,,1997,,Djurgarden (Sweden),,,,,,,,,,,,,
144,Vancouver Canucks,Matt Cooke\cookema01,CA,C,19,1997,2015,Windsor (OHL),1046,167,231,398,61,1135,,,,,,,36.9
145,Montreal Canadiens,Jonathan Desroches,CA,D,,1997,,Granby (QMJHL),,,,,,,,,,,,,
146,Ottawa Senators,Jeff Sullivan,CA,D,,1997,,Halifax (QMJHL),,,,,,,,,,,,,
147,Chicago Blackhawks,Heath Gordon,US,RW,,1997,,Green Bay (USHL),,,,,,,,,,,,,
148,Vancouver Canucks,Larry Shapley,CA,D,,1997,,Welland Jr. B (GOJHL),,,,,,,,,,,,,
149,St. Louis Blues,Nicholas Bilotto,CA,D,,1997,,Beauport (QMJHL),,,,,,,,,,,,,
150,Los Angeles Kings,Jeff Katcher,CA,D,,1997,,Brandon (WHL),,,,,,,,,,,,,
151,Phoenix Coyotes,Robert Francz,DE,LW,,1997,,Peterborough (OHL),,,,,,,,,,,,,
152,Pittsburgh Penguins,Petr Havelka,CZ,LW,,1997,,Sparta Praha (Czech),,,,,,,,,,,,,
153,Tampa Bay Lightning,Andrei Skopintsev\skopian01,RU,D,25,1997,2001,TPS Turku (Finland),40,2,4,6,-10,32,,,,,,,0.7
154,New York Rangers,Shawn Degagne,CA,G,,1997,,Kitchener (OHL),,,,,,,,,,,,,
155,Florida Panthers,Keith Delaney,CA,C,,1997,,Barrie (OHL),,,,,,,,,,,,,
156,Buffalo Sabres,Brian Campbell\campbbr02,CA,D,18,1997,2017,Ottawa (OHL),1082,87,417,504,63,277,,,,,,,89.7
157,Detroit Red Wings,B.J. Young\youngbj01,CA,RW,20,1997,2000,Red Deer (WHL),1,0,0,0,0,0,,,,,,,0
158,Philadelphia Flyers,Jordon Flodell,CA,D,,1997,,Moose Jaw (WHL),,,,,,,,,,,,,
159,New Jersey Devils,Sascha Goc\gocsa01,DE,D,18,1997,2002,Schwenningen (Germany),22,0,0,0,5,4,,,,,,,0.6
160,Dallas Stars,Alexei Timkin,RU,RW,,1997,,Torpedo Yaroslavl 2 (Russia-2),,,,,,,,,,,,,
161,Colorado Avalanche,David Aebischer\aebisda01,CH,G,19,1997,2008,Fribourg,214,0,5,5,0,30,214,106,74,17,0.912,2.52,39.1
162,Boston Bruins,Joel Trottier,CA,RW,,1997,,Ottawa (OHL),,,,,,,,,,,,,
163,San Jose Sharks,Joe Dusbabek,US,RW,,1997,,Notre Dame (CCHA),,,,,,,,,,,,,
164,Philadelphia Flyers,Todd Fedoruk\fedorto01,CA,LW,18,1997,2010,Kelowna (WHL),545,32,65,97,-27,1050,,,,,,,4.7
165,Toronto Maple Leafs,Hugo Marchand,CA,D,,1997,,Victoriaville (QMJHL),,,,,,,,,,,,,
166,New York Islanders,Kris Knoblauch,CA,LW,,1997,,Imperial,,,,,,,,,,,,,
167,Calgary Flames,Jeremy Rondeau,CA,LW,,1997,,Swift Current (WHL),,,,,,,,,,,,,
168,Tampa Bay Lightning,Justin Jack,CA,RW,,1997,,Kelowna (WHL),,,,,,,,,,,,,
169,Carolina Hurricanes,Andrew Merrick,US,C,,1997,,Michigan (CCHA),,,,,,,,,,,,,
170,Tampa Bay Lightning,Eero Somervuori,FI,RW,,1997,,Jokerit Helsinki (KHL),,,,,,,,,,,,,
171,Vancouver Canucks,Rod Leroux,CA,D,,1997,,Seattle (WHL),,,,,,,,,,,,,
172,Montreal Canadiens,Ben Guite\guitebe01,CA,RW,19,1997,2010,U. of Maine (H-East),175,19,26,45,-4,97,,,,,,,2.7
173,Ottawa Senators,Robin Bacul,CZ,RW,,1997,,Slavia Praha Jr. (Czech-Jr.),,,,,,,,,,,,,
174,Chicago Blackhawks,Jerad Smith,CA,D,,1997,,Portland (WHL),,,,,,,,,,,,,
175,New York Rangers,Johan Holmqvist\holmqjo01,SE,G,19,1997,2008,Brynas Gavle (Sweden),99,0,4,4,0,6,99,48,34,9,0.89,2.99,10.1
176,Edmonton Oilers,Kevin Bolibruck,CA,D,,1997,,Peterborough (OHL),,,,,,,,,,,,,
177,St. Louis Blues,Ladislav Nagy\nagyla01,SK,LW,18,1997,2008,Dragon Presov (Slovakia-2),435,115,196,311,35,358,,,,,,,34.1
178,Anaheim Ducks,Tony Mohagen,CA,LW,,1997,,Seattle (WHL),,,,,,,,,,,,,
179,Pittsburgh Penguins,Mark Moore,CA,D,,1997,,Harvard (ECAC),,,,,,,,,,,,,
180,Boston Bruins,Jim Baxter,CA,D,,1997,,Oshawa (OHL),,,,,,,,,,,,,
181,Anaheim Ducks,Mat Snesrud,US,D,,1997,,North Iowa (NAHL),,,,,,,,,,,,,
182,New York Rangers,Mike Mottau\mottami01,US,D,19,1997,2014,Boston College (H-East),321,7,51,58,-16,164,,,,,,,12.4
183,Florida Panthers,Tyler Palmer,US,D,,1997,,Lake Superior State (CCHA),,,,,,,,,,,,,
184,Buffalo Sabres,Jeremy Adduono,CA,RW,,1997,,Sudbury (OHL),,,,,,,,,,,,,
185,Tampa Bay Lightning,Samuel St-Pierre,CA,RW,,1997,,Victoriaville (QMJHL),,,,,,,,,,,,,
186,Detroit Red Wings,Mike Laceby,CA,C,,1997,,Kingston (OHL),,,,,,,,,,,,,
187,Edmonton Oilers,Chad Hinz,CA,C,,1997,,Moose Jaw (WHL),,,,,,,,,,,,,
188,New Jersey Devils,Mathieu Benoit,CA,RW,,1997,,Chicoutimi (QMJHL),,,,,,,,,,,,,
189,Dallas Stars,Jeff McKercher,CA,D,,1997,,Barrie (OHL),,,,,,,,,,,,,
190,Toronto Maple Leafs,Shawn Thornton\thornsh01,CA,RW,20,1997,2017,Peterborough (OHL),705,42,60,102,-33,1103,,,,,,,3
191,Boston Bruins,Antti Laaksonen\laaksan01,FI,LW,23,1997,2007,Denver (WCHA),483,81,87,168,-11,152,,,,,,,14.5
192,San Jose Sharks,Cam Severson\severca01,CA,LW,19,1997,2006,Prince Albert (WHL),37,3,0,3,-3,63,,,,,,,0.2
193,Los Angeles Kings,Jay Kopischke,US,LW,,1997,,North Iowa (NAHL),,,,,,,,,,,,,
194,Toronto Maple Leafs,Russ Bartlett,US,C,,1997,,Exeter (High-NH),,,,,,,,,,,,,
195,Carolina Hurricanes,Niklas Nordgren\nordgni01,SE,LW,18,1997,2006,MoDo Ornskoldsvik (Sweden),58,4,2,6,-8,34,,,,,,,-0.1
196,New York Islanders,Jeremy Symington,CA,G,,1997,,Petrolia Jr. B (GOJHL),,,,,,,,,,,,,
197,Montreal Canadiens,Petr Kubos,CZ,D,,1997,,Petra Vsetin (Czech),,,,,,,,,,,,,
198,Tampa Bay Lightning,Shawn Skolney,CA,D,,1997,,Seattle (WHL),,,,,,,,,,,,,
199,Carolina Hurricanes,Randy Fitzgerald,CA,LW,,1997,,Detroit (OHL),,,,,,,,,,,,,
200,Washington Capitals,Pierre-Luc Therrien,CA,G,,1997,,Drummondville (QMJHL),,,,,,,,,,,,,
201,Vancouver Canucks,Denis Martynyuk,RU,LW,,1997,,CSKA Moscow 2 (Russia),,,,,,,,,,,,,
202,Montreal Canadiens,Andrei Sidyakin,RU,RW,,1997,,Salavat Yulayev Ufa (KHL),,,,,,,,,,,,,
203,Ottawa Senators,Nick Gillis,US,RW,,1997,,Cushing Academy (High-MA),,,,,,,,,,,,,
204,Chicago Blackhawks,Sergei Shikhanov,RU,RW,,1997,,Lada Togliatti (KHL),,,,,,,,,,,,,
205,Edmonton Oilers,Chris Kerr,CA,D,,1997,,Sudbury (OHL),,,,,,,,,,,,,
206,St. Louis Blues,Bobby Haglund,US,LW,,1997,,Des Moines (USHL),,,,,,,,,,,,,
207,Phoenix Coyotes,Alexander Andreyev,LV,D,,1997,,Weyburn (SJHL),,,,,,,,,,,,,
208,Pittsburgh Penguins,Andrew Ference\ferenan01,CA,D,18,1997,2016,Portland (WHL),907,43,182,225,-33,753,,,,,,,43.5
209,Anaheim Ducks,Rene Stussi,CH,C,,1997,,Thurgau (Swiss),,,,,,,,,,,,,
210,New York Rangers,Andrew Proskurnicki,CA,LW,,1997,,Sarnia (OHL),,,,,,,,,,,,,
211,Florida Panthers,Doug Schueller,US,D,,1997,,Twin Cities Jr. (USHL),,,,,,,,,,,,,
212,Buffalo Sabres,Kamil Piros\piroska01,CZ,C,18,1997,2004,Chemopetrol Litvinov (Russia),28,4,4,8,-2,10,,,,,,,0.7
213,Detroit Red Wings,Steve Willejto,CA,C,,1997,,Prince Albert (WHL),,,,,,,,,,,,,
214,Philadelphia Flyers,Marko Kauppinen,FI,D,,1997,,JYP HT Jyvaskyla Jr. (Finland-Jr.),,,,,,,,,,,,,
215,New Jersey Devils,Scott Clemmensen\clemmsc01,US,G,20,1997,2015,Des Moines (USHL),191,0,3,3,0,4,191,73,59,24,0.905,2.79,26.4
216,Dallas Stars,Alexei Komarov,RU,D,,1997,,Dynamo-2 Moscow (Russia),,,,,,,,,,,,,
217,Colorado Avalanche,Doug Schmidt,US,D,,1997,,Waterloo (USHL),,,,,,,,,,,,,
218,Boston Bruins,Eric Van Acker,CA,D,,1997,,Chicoutimi (QMJHL),,,,,,,,,,,,,
