Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Buffalo Sabres,Owen Power,CA,D,18,2021,2022,Michigan (Big Ten),8,2,1,3,3,2,,,,,,,0.9,
2,Seattle Kraken,Matthew Beniers,US,C,18,2021,2022,Michigan (Big Ten),10,3,6,9,-1,0,,,,,,,0.9,
3,Anaheim Ducks,Mason Mctavish,CH,C,18,2021,2022,Peterborough Petes (OHL),9,2,1,3,3,2,,,,,,,0.4,
4,New Jersey Devils,Luke Hughes,US,D,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
5,Columbus Blue Jackets,Kent Johnson,CA,C,18,2021,2022,Michigan (Big Ten),9,0,3,3,2,2,,,,,,,0.2,
6,Detroit Red Wings,Simon Edvinsson,SE,D,18,2021,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
7,San Jose Sharks,William Eklund,SE,LW,18,2021,2022,Djurgarden (Sweden),9,0,4,4,-3,2,,,,,,,0.1,
8,Los Angeles Kings,Brandt Clarke,CA,D,18,2021,,Barrie Colts (OHL),,,,,,,,,,,,,,
9,Arizona Coyotes,Dylan Guenther,CA,RW,18,2021,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,
10,Ottawa Senators,Tyler Boucher,US,RW,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
12,Columbus Blue Jackets,Cole Sillinger,US,C,18,2021,2022,Sioux Falls (USHL),79,16,15,31,-22,37,,,,,,,1.9,
13,Calgary Flames,Matthew Coronato,US,RW,18,2021,,Chicago (USHL),,,,,,,,,,,,,,
14,Buffalo Sabres,Isak Rosen,SE,RW,18,2021,,Leksand (Sweden),,,,,,,,,,,,,,
15,Detroit Red Wings,Sebastian Cossa,CA,G,18,2021,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,
16,New York Rangers,Brennan Othmann,CA,LW,18,2021,,Flint Firebirds (OHL),,,,,,,,,,,,,,
17,St. Louis Blues,Zachary Bolduc,CA,C,18,2021,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,
18,Winnipeg Jets,Chaz Lucius,US,C,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
19,Nashville Predators,Fedor Svechkov,RU,C,18,2021,,Togliatti (RUSSIA-2),,,,,,,,,,,,,,
20,Minnesota Wild,Jesper Wallstedt,SE,G,18,2021,,Lulea (Sweden),,,,,,,,,,,,,,
21,Boston Bruins,Fabian Lysell,SE,RW,18,2021,,Lulea (Sweden),,,,,,,,,,,,,,
22,Edmonton Oilers,Xavier Bourgault,CA,C,18,2021,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,
23,Dallas Stars,Wyatt Johnston,CA,C,18,2021,,Windsor Spitfires (OHL),,,,,,,,,,,,,,
24,Florida Panthers,Mackie Samoskevich,US,RW,18,2021,,Chicago (USHL),,,,,,,,,,,,,,
25,Columbus Blue Jackets,Corson Ceulemans,CA,D,18,2021,,Brooks (AJHL),,,,,,,,,,,,,,
26,Minnesota Wild,Carson Lambos,CA,D,18,2021,,Winnipeg Ice (WHL),,,,,,,,,,,,,,
27,Nashville Predators,Zachary L'Heureux,CA,LW,18,2021,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,
28,Colorado Avalanche,Oskar Olausson,SE,RW,18,2021,,Hv 71 (Sweden),,,,,,,,,,,,,,
29,New Jersey Devils,Chase Stillman,US,RW,18,2021,,Sudbury Wolves (OHL),,,,,,,,,,,,,,
30,Vegas Golden Knights,Zach Dean,CA,C,18,2021,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,
31,Montreal Canadiens,Logan Mailloux,CA,D,18,2021,,London (GOJHL),,,,,,,,,,,,,,
32,Chicago Blackhawks,Nolan Allan,CA,D,18,2021,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,
33,Buffalo Sabres,Prokhor Poltapov,RU,LW,18,2021,,Cska 2 (Russia-Jr.),,,,,,,,,,,,,,
34,Anaheim Ducks,Olen Zellweger,CA,D,18,2021,,Everett Silvertips (WHL),,,,,,,,,,,,,,
35,Seattle Kraken,Ryker Evans,CA,D,19,2021,,Regina Pats (WHL),,,,,,,,,,,,,,
36,Detroit Red Wings,Shai Buium,US,D,18,2021,,Sioux City (USHL),,,,,,,,,,,,,,
37,Arizona Coyotes,Josh Doan,US,RW,19,2021,,Chicago (USHL),,,,,,,,,,,,,,
38,Vegas Golden Knights,Daniil Chayka,RU,D,18,2021,,Cska (Russia),,,,,,,,,,,,,,
39,Ottawa Senators,Zack Ostapchuk,CA,C,18,2021,,Vancouver Giants (WHL),,,,,,,,,,,,,,
40,Carolina Hurricanes,Scott Morrow,US,D,18,2021,,Shattuck-St. Mary'S (High-MN),,,,,,,,,,,,,,
41,Vancouver Canucks,Danila Klimovich,BY,RW,18,2021,,Minsk Zubry (Belarus-2),,,,,,,,,,,,,,
42,Los Angeles Kings,Francesco Pinelli,CA,C,18,2021,,Kitchener Rangers (OHL),,,,,,,,,,,,,,
43,Arizona Coyotes,Ilya Fedotov,RU,LW,18,2021,,Nizhny Novgorod 2 (Russia-Jr.),,,,,,,,,,,,,,
44,Carolina Hurricanes,Aleksi Heimosalmi,FI,D,18,2021,,Assat Jr. (Finland-Jr.),,,,,,,,,,,,,,
45,Calgary Flames,William Stromgren,SE,LW,18,2021,,Modo (Sweden-2),,,,,,,,,,,,,,
46,Philadelphia Flyers,Samu Tuomaala,FI,RW,18,2021,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,
47,Dallas Stars,Logan Stankoven,CA,C,18,2021,,Kamloops Blazers (WHL),,,,,,,,,,,,,,
48,Dallas Stars,Artem Grushnikov,RU,D,18,2021,,Cska 2 (Russia-Jr.),,,,,,,,,,,,,,
49,Ottawa Senators,Ben Roger,CA,D,18,2021,,London Knights (OHL),,,,,,,,,,,,,,
50,Winnipeg Jets,Nikita Chibrikov,RU,RW,18,2021,,St. Petersburg (Russia),,,,,,,,,,,,,,
51,Carolina Hurricanes,Ville Koivunen,FI,RW,18,2021,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,
52,New York Islanders,Aatu Raty,FI,C,18,2021,,Karpat (Finland),,,,,,,,,,,,,,
53,Buffalo Sabres,Aleksandr Kisakov,RU,LW,18,2021,,Dynamo Moscow 2 (Russia-Jr.),,,,,,,,,,,,,,
54,Minnesota Wild,Jack Peart,US,D,18,2021,,Grand Rapids (High-MN),,,,,,,,,,,,,,
55,Washington Capitals,Vincent Iorio,CA,D,18,2021,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,
56,Florida Panthers,Evan Nause,CA,D,18,2021,,Quebec Remparts (QMJHL),,,,,,,,,,,,,,
57,Toronto Maple Leafs,Matthew Knies,US,LW,18,2021,,Tri-City (USHL),,,,,,,,,,,,,,
58,Pittsburgh Penguins,Tristan Broz,US,C,18,2021,,Fargo (USHL),,,,,,,,,,,,,,
59,Los Angeles Kings,Samuel Helenius,US,C,18,2021,,JYP (Finland),,,,,,,,,,,,,,
60,Arizona Coyotes,Janis Moser,CH,D,21,2021,2022,Biel (Swiss),43,4,11,15,-10,16,,,,,,,2,
61,Colorado Avalanche,Sean Behrens,US,D,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
62,Chicago Blackhawks,Colton Dach,CA,C,18,2021,,Saskatoon Blades (WHL),,,,,,,,,,,,,,
63,Montreal Canadiens,Riley Kidney,CA,C,18,2021,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,
64,Montreal Canadiens,Oliver Kapanen,SE,C,18,2021,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,,,
65,New York Rangers,Jayden Grubbe,CA,C,18,2021,,Red Deer Rebels (WHL),,,,,,,,,,,,,,
66,Anaheim Ducks,Sasha Pastujov,US,RW,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
67,Seattle Kraken,Ryan Winterton,CA,C,18,2021,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,
68,New Jersey Devils,Samu Salminen,FI,C,18,2021,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,,
69,Columbus Blue Jackets,Stanislav Svozil,CZ,D,18,2021,,Brno (Czech),,,,,,,,,,,,,,
70,Detroit Red Wings,Carter Mazur,US,LW,19,2021,,Tri-City (USHL),,,,,,,,,,,,,,
71,St. Louis Blues,Simon Robertsson,SE,RW,18,2021,,Skelleftea (Sweden),,,,,,,,,,,,,,
72,Nashville Predators,Anton Olsson,SE,D,18,2021,,Malmo (Sweden),,,,,,,,,,,,,,
73,Dallas Stars,Ayrton Martino,CA,LW,18,2021,,Omaha (USHL),,,,,,,,,,,,,,
74,Ottawa Senators,Oliver Johansson,SE,LW,18,2021,,Timra (Sweden-2),,,,,,,,,,,,,,
75,New York Rangers,Ryder Korczak,CA,C,18,2021,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,
76,Anaheim Ducks,Tyson Hinds,CA,D,18,2021,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,
77,Calgary Flames,Cole Huckins,CA,C,18,2021,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,
78,Philadelphia Flyers,Aleksei Kolosov,BY,G,19,2021,,Minsk (Russia),,,,,,,,,,,,,,
79,Dallas Stars,Justin Ertel,CA,LW,18,2021,,Summerside (Maritime Jr.),,,,,,,,,,,,,,
80,Washington Capitals,Brent Johnson,US,D,18,2021,,Sioux Falls (USHL),,,,,,,,,,,,,,
81,San Jose Sharks,Benjamin Gaudreau,CA,G,18,2021,,Sarnia Sting (OHL),,,,,,,,,,,,,,
82,Winnipeg Jets,Dmitry Kuzmin,BY,D,18,2021,,Molodechno (Belarus),,,,,,,,,,,,,,
83,Carolina Hurricanes,Patrik Hamrla,CZ,G,18,2021,,Karlovy Vary (Czech),,,,,,,,,,,,,,
84,Los Angeles Kings,Kirill Kirsanov,RU,D,18,2021,,St. Petersburg (Russia),,,,,,,,,,,,,,
85,Boston Bruins,Brett Harrison,CA,C,18,2021,,Oshawa Generals (OHL),,,,,,,,,,,,,,
86,Minnesota Wild,Caedan Bankier,CA,C,18,2021,,Kamloops Blazers (WHL),,,,,,,,,,,,,,
87,Montreal Canadiens,Dmitri Kostenko,RU,D,18,2021,,Togliatti (RUSSIA-2),,,,,,,,,,,,,,
88,Buffalo Sabres,Stiven Sardarian,RU,RW,18,2021,,Cska 2 (Russia-Jr.),,,,,,,,,,,,,,
89,Calgary Flames,Cameron Whynot,CA,D,18,2021,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,
90,Edmonton Oilers,Luca Munzenberger,DE,D,18,2021,,Koln Jr. (Germany-Jr.),,,,,,,,,,,,,,
91,Chicago Blackhawks,Taige Harding,GB,D,19,2021,,Fort Mcmurray (AJHL),,,,,,,,,,,,,,
92,Colorado Avalanche,Andrei Buyalsky,KZ,C,21,2021,,Dubuque (USHL),,,,,,,,,,,,,,
93,New York Islanders,Tristan Lennox,CA,G,18,2021,,Saginaw Spirit (OHL),,,,,,,,,,,,,,
94,Carolina Hurricanes,Aidan Hreschuk,US,D,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
95,Buffalo Sabres,Josh Bloom,CA,LW,18,2021,,Saginaw Spirit (OHL),,,,,,,,,,,,,,
96,Tampa Bay Lightning,Roman Schmidt,US,D,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
97,Buffalo Sabres,Olivier Nadeau,CA,RW,18,2021,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,
98,Anaheim Ducks,Joshua Lopina,US,C,20,2021,,Massachusetts-Lowell (H-East),,,,,,,,,,,,,,
99,Seattle Kraken,Ville Ottavainen,FI,D,19,2021,,JYP (Finland),,,,,,,,,,,,,,
100,New Jersey Devils,Jakub Malek,CZ,G,19,2021,,Vsetin (Czech-2),,,,,,,,,,,,,,
101,Columbus Blue Jackets,Guillaume Richard,CA,D,18,2021,,Tri-City (USHL),,,,,,,,,,,,,,
102,Vegas Golden Knights,Jakub Brabenec,CZ,C,18,2021,,Brno (Czech),,,,,,,,,,,,,,
103,San Jose Sharks,Gannon Laroque,CA,D,18,2021,,Victoria Royals (WHL),,,,,,,,,,,,,,
104,New York Rangers,Brody Lamb,US,RW,18,2021,,Dodge County (High-MN),,,,,,,,,,,,,,
105,Chicago Blackhawks,Ethan Del Mastro,CA,D,18,2021,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,
106,New York Rangers,Kalle Vaisanen,FI,LW,18,2021,,Tps Jr. (Finland-Jr.),,,,,,,,,,,,,,
107,Arizona Coyotes,Emil Martinsen Lilleberg,NO,D,20,2021,,Sarpsborg (Norway),,,,,,,,,,,,,,
108,Chicago Blackhawks,Victor Stjernborg,SE,C,18,2021,,Vaxjo (Sweden),,,,,,,,,,,,,,
109,Carolina Hurricanes,Jackson Blake,US,RW,18,2021,,Eden Prarie (High-MN),,,,,,,,,,,,,,
110,Philadelphia Flyers,Brian Zanetti,CH,D,18,2021,,Lugano Jr. (SWISS-JR.),,,,,,,,,,,,,,
111,Dallas Stars,Conner Roulette,CA,LW,18,2021,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,
112,New York Rangers,Talyn Boyko,CA,G,18,2021,,Tri-City Americans (WHL),,,,,,,,,,,,,,
113,Montreal Canadiens,William Trudeau,CA,D,18,2021,,Charlottetown Islanders (QMJHL),,,,,,,,,,,,,,
114,Detroit Red Wings,Redmond Savage,US,C,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
115,Nashville Predators,Ryan Ufko,US,D,18,2021,,Chicago (USHL),,,,,,,,,,,,,,
116,Edmonton Oilers,Jake Chiasson,CA,C,18,2021,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,
117,Boston Bruins,Philip Svedeback,SE,G,19,2021,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,
118,Minnesota Wild,Kyle Masters,CA,D,18,2021,,Red Deer Rebels (WHL),,,,,,,,,,,,,,
119,Washington Capitals,Joaquim Lemay,CA,D,19,2021,,Salmon Arm (BCHL),,,,,,,,,,,,,,
120,Florida Panthers,Vladislav Lukashevich,RU,D,18,2021,,Yaroslavl 2 (Russia-Jr.),,,,,,,,,,,,,,
121,San Jose Sharks,Ethan Cardwell,CA,RW,19,2021,,Barrie Colts (OHL),,,,,,,,,,,,,,
122,Arizona Coyotes,Rasmus Korhonen,FI,G,18,2021,,Assat Jr. (Finland-Jr.),,,,,,,,,,,,,,
123,Ottawa Senators,Carson Latimer,CA,RW,18,2021,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,
124,Nashville Predators,Jack Matier,CA,D,18,2021,,Ottawa 67's (OHL),,,,,,,,,,,,,,
125,New York Islanders,Cameron Berg,US,C,19,2021,,Muskegon (USHL),,,,,,,,,,,,,,
126,Tampa Bay Lightning,Dylan Duke,US,LW,18,2021,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
