Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Colorado Avalanche,Nathan MacKinnon,CA,C,18,2013,2022,Halifax (QMJHL),638,242,406,648,83,276,,,,,,,74.2,
2,Florida Panthers,Aleksander Barkov,FI,C,18,2013,2022,Tappara (Finland),596,220,333,553,80,116,,,,,,,62.8,
3,Tampa Bay Lightning,Jonathan Drouin,CA,LW,18,2013,2022,Halifax (QMJHL),427,75,177,252,-68,167,,,,,,,20.3,
4,Nashville Predators,Seth Jones,US,D,18,2013,2022,Portland (WHL),658,70,267,337,-62,222,,,,,,,53.4,
5,Carolina Hurricanes,Elias Lindholm,SE,C,18,2013,2022,Brynas (Sweden),663,181,268,449,23,162,,,,,,,46.6,
6,Calgary Flames,Sean Monahan,CA,C,18,2013,2022,Ottawa (OHL),656,212,250,462,-46,153,,,,,,,49.5,
7,Edmonton Oilers,Darnell Nurse,CA,D,18,2013,2022,Sault Ste. Marie (OHL),477,54,138,192,38,406,,,,,,,37.4,
8,Buffalo Sabres,Rasmus Ristolainen,FI,D,18,2013,2022,TPS (Finland),608,48,213,261,-172,329,,,,,,,37.9,
9,Vancouver Canucks,Bo Horvat,CA,C,18,2013,2022,London (OHL),572,170,196,366,-68,188,,,,,,,37,
10,Dallas Stars,Valeri Nichushkin,RU,RW,18,2013,2022,Chelyabinsk (KHL),405,71,103,174,69,54,,,,,,,17.5,
11,Philadelphia Flyers,Samuel Morin,CA,D,18,2013,2021,Rimouski (QMJHL),29,1,0,1,-10,45,,,,,,,-0.3,
12,Phoenix Coyotes,Max Domi,CA,C/LW,18,2013,2022,London (OHL),501,101,213,314,-4,430,,,,,,,29.8,
13,Winnipeg Jets,Josh Morrissey,CA,D,18,2013,2022,Prince Albert (WHL),423,40,126,166,27,214,,,,,,,29,
14,Columbus Blue Jackets,Alexander Wennberg,SE,C,18,2013,2022,Djurgarden (Sweden-2),551,68,199,267,-15,121,,,,,,,19.4,
15,New York Islanders,Ryan Pulock,CA,D,18,2013,2022,Brandon (WHL),346,38,108,146,42,65,,,,,,,29.7,
16,Buffalo Sabres,Nikita Zadorov,RU,D,18,2013,2022,London (OHL),485,27,78,105,2,496,,,,,,,21.3,
17,Ottawa Senators,Curtis Lazar,CA,C/RW,18,2013,2022,Edmonton (WHL),404,35,55,90,-28,90,,,,,,,4.1,
18,San Jose Sharks,Mirco Mueller,CH,D,18,2013,2020,Everett (WHL),185,5,23,28,-25,61,,,,,,,4.9,
19,Columbus Blue Jackets,Kerby Rychel,US,LW,18,2013,2019,Windsor (OHL),43,3,11,14,5,19,,,,,,,1.4,
20,Detroit Red Wings,Anthony Mantha,CA,RW,18,2013,2022,Val-D'Or (QMJHL),353,108,117,225,-22,210,,,,,,,24.1,
21,Toronto Maple Leafs,Frederik Gauthier,CA,C,18,2013,2022,Rimouski (QMJHL),178,13,18,31,-9,47,,,,,,,1.1,
22,Calgary Flames,Emile Poirier,CA,LW,18,2013,2016,Gatineau (QMJHL),8,0,1,1,0,2,,,,,,,0,
23,Washington Capitals,Andre Burakovsky,AT,LW,18,2013,2022,Malmo (Sweden-2),519,123,172,295,61,127,,,,,,,32.6,
24,Vancouver Canucks,Hunter Shinkaruk,CA,C/LW,18,2013,2017,Medicine Hat (WHL),15,2,2,4,-7,4,,,,,,,0,
25,Montreal Canadiens,Michael McCarron,US,RW,18,2013,2022,USA U-18 (USHL),126,9,13,22,-4,196,,,,,,,0.7,
26,Anaheim Ducks,Shea Theodore,CA,D,18,2013,2022,Seattle (WHL),395,58,165,223,48,127,,,,,,,39.4,
27,Columbus Blue Jackets,Marko Daňo,AT,C,18,2013,2020,Bratislava (KHL),141,19,26,45,1,49,,,,,,,4.5,
28,Calgary Flames,Morgan Klimchuk,CA,LW,18,2013,2018,Regina (WHL),1,0,0,0,0,0,,,,,,,0,
29,Dallas Stars,Jason Dickinson,CA,C,18,2013,2022,Guelph (OHL),283,30,44,74,9,83,,,,,,,5.1,
30,Chicago Blackhawks,Ryan Hartman,US,RW,18,2013,2022,Plymouth (OHL),447,92,104,196,48,415,,,,,,,19.6,
31,Florida Panthers,Ian McCoshen,US,D,18,2013,2019,Waterloo (USHL),60,4,3,7,-12,33,,,,,,,1,
32,Colorado Avalanche,Chris Bigras,CA,D,18,2013,2018,Owen Sound (OHL),46,1,3,4,-4,18,,,,,,,0.8,
33,Tampa Bay Lightning,Adam Erne,US,LW,18,2013,2022,Quebec (QMJHL),294,32,39,71,-47,150,,,,,,,2.9,
34,Montreal Canadiens,Jacob de La Rose,SE,LW,18,2013,2021,Leksand (Sweden-2),242,13,25,38,-29,84,,,,,,,-0.4,
35,Buffalo Sabres,J.T. Compher,US,LW,18,2013,2022,USA U-18 (USHL),341,71,71,142,-12,117,,,,,,,11.4,
36,Montreal Canadiens,Zachary Fucale,CA,G,18,2013,2022,Halifax (QMJHL),4,0,0,0,,0,4,1,1,1,0.924,1.75,0.5,
37,Los Angeles Kings,Valentin Zykov,RU,LW,18,2013,2020,Baie-Comeau (QMJHL),55,7,10,17,-2,10,,,,,,,1.4,
38,Buffalo Sabres,Connor Hurley,US,C,18,2013,,Edina High (High-MN),,,,,,,,,,,,,,
39,Phoenix Coyotes,Laurent Dauphin,CA,C,18,2013,2022,Chicoutimi (QMJHL),73,7,9,16,-14,43,,,,,,,0.4,
40,Dallas Stars,Remi Elie,CA,LW,18,2013,2022,London (OHL),107,7,15,22,5,28,,,,,,,1.4,
41,Philadelphia Flyers,Robert Hagg,SE,D,18,2013,2022,Modo Jr. (Sweden-Jr.),300,14,42,56,4,178,,,,,,,11.3,
42,New Jersey Devils,Steven Santini,US,D,18,2013,2021,USA U-18 (USHL),119,5,17,22,-8,55,,,,,,,4.7,
43,Winnipeg Jets,Nic Petan,CA,C,18,2013,2022,Portland (WHL),154,6,24,30,-24,42,,,,,,,0,
44,Pittsburgh Penguins,Tristan Jarry,CA,G,18,2013,2022,Edmonton (WHL),159,0,8,8,0,18,159,93,47,13,0.915,2.57,28.6,
45,Anaheim Ducks,Nick Sorensen,DK,RW,18,2013,2017,Quebec (QMJHL),5,0,1,1,-1,2,,,,,,,0,
46,Minnesota Wild,Gustav Olofsson,SE,D,18,2013,2020,Green Bay (USHL),59,0,11,11,-5,18,,,,,,,1.3,
47,St. Louis Blues,Thomas Vannelli,US,D,18,2013,,Minnetonka (High-MN),,,,,,,,,,,,,,
48,Detroit Red Wings,Zach Nastasiuk,CA,RW,18,2013,,Owen Sound (OHL),,,,,,,,,,,,,,
49,San Jose Sharks,Gabryel Boudreau,CA,LW,18,2013,,Baie-Comeau (QMJHL),,,,,,,,,,,,,,
50,Columbus Blue Jackets,Dillon Heatherington,CA,D,18,2013,2022,Swift Current (WHL),20,0,2,2,6,33,,,,,,,1,
51,Chicago Blackhawks,Carl Dahlstrom,SE,D,18,2013,2022,Linkoping Jr. (Sweden-Jr.),67,0,12,12,5,14,,,,,,,2.2,
52,Buffalo Sabres,Justin Bailey,US,RW,18,2013,2022,Kitchener (OHL),82,5,4,9,-11,18,,,,,,,-0.1,
53,Washington Capitals,Madison Bowey,CA,D,18,2013,2022,Kelowna (WHL),158,5,35,40,-22,104,,,,,,,5.3,
54,Dallas Stars,Philippe Desrosiers,CA,G,18,2013,,Rimouski (QMJHL),,,,,,,,,,,,,,
55,Montreal Canadiens,Artturi Lehkonen,FI,LW,18,2013,2022,Kalpa (Finland),412,80,78,158,-1,112,,,,,,,14.1,
56,Edmonton Oilers,Marc-Olivier Roy,CA,C,18,2013,,Blainville-Boisbriand (QMJHL),,,,,,,,,,,,,,
57,St. Louis Blues,William Carrier,CA,LW,18,2013,2022,Cape Breton (QMJHL),318,36,38,74,-1,158,,,,,,,5.7,
58,Detroit Red Wings,Tyler Bertuzzi,CA,LW,18,2013,2022,Guelph (OHL),276,84,104,188,-31,166,,,,,,,18.5,
59,Winnipeg Jets,Eric Comrie,CA,G,18,2013,2022,Tri-City (WHL),28,0,1,1,0,0,28,13,10,1,0.905,3.06,4.1,
60,Boston Bruins,Linus Arnesson,SE,D,18,2013,,Djurgarden (Sweden-2),,,,,,,,,,,,,,
61,Washington Capitals,Zachary Sanford,US,LW,18,2013,2022,Islanders (EJHL),289,47,48,95,-5,134,,,,,,,8,
62,Phoenix Coyotes,Pavel Laplante,CA,C,18,2013,,PEI (QMJHL),,,,,,,,,,,,,,
63,Colorado Avalanche,Spencer Martin,CA,G,18,2013,2022,Mississauga (OHL),9,0,0,0,0,0,9,3,2,4,0.924,2.58,2.1,
64,Nashville Predators,Jonathan Diaby,CA,D,18,2013,,Victoriaville (QMJHL),,,,,,,,,,,,,,
65,New York Rangers,Adam Tambellini,CA,C,18,2013,,Surrey (BCHL),,,,,,,,,,,,,,
66,Carolina Hurricanes,Brett Pesce,US,D,18,2013,2022,New Hampshire (H-East),475,31,124,155,71,164,,,,,,,36,
67,Calgary Flames,Keegan Kanzig,CA,D,18,2013,,Victoria (WHL),,,,,,,,,,,,,,
68,Dallas Stars,Niklas Hansson,SE,D,18,2013,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,,
69,Buffalo Sabres,Nicholas Baptiste,CA,RW,18,2013,2018,Sudbury (OHL),47,7,3,10,-3,20,,,,,,,1.1,
70,New York Islanders,Eamon McAdam,US,G,18,2013,,Waterloo (USHL),,,,,,,,,,,,,,
