Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Chicago Blackhawks,Patrick Kane,US,RW,18,2007,2022,London (OHL),1107,430,750,1180,43,410,,,,,,,133.4,
2,Philadelphia Flyers,James van Riemsdyk,US,LW,18,2007,2022,U.S. National U-18 (USNTDP),879,288,274,562,-70,346,,,,,,,63.5,
3,Phoenix Coyotes,Kyle Turris,CA,C,18,2007,2022,Burnaby (BCHL),776,168,257,425,-7,343,,,,,,,42,
4,Los Angeles Kings,Thomas Hickey,CA,D,18,2007,2022,Seattle (WHL),456,22,95,117,37,190,,,,,,,23.8,
5,Washington Capitals,Karl Alzner,CA,D,18,2007,2020,Calgary (WHL),686,20,110,130,54,219,,,,,,,32.1,
6,Edmonton Oilers,Sam Gagner,CA,C,18,2007,2022,London (OHL),967,184,321,505,-133,427,,,,,,,43.7,
7,Columbus Blue Jackets,Jakub Voracek,CZ,RW,18,2007,2022,Halifax (QMJHL),1047,222,578,800,-29,525,,,,,,,76.2,
8,Boston Bruins,Zach Hamill,CA,C,18,2007,2012,Everett (WHL),20,0,4,4,5,4,,,,,,,0.2,
9,San Jose Sharks,Logan Couture,CA,C,18,2007,2022,Ottawa (OHL),845,296,337,633,30,232,,,,,,,75.5,
10,Florida Panthers,Keaton Ellerby,CA,D,18,2007,2015,Kamloops (WHL),212,4,23,27,-13,88,,,,,,,5.7,
11,Carolina Hurricanes,Brandon Sutter,US,C/RW,18,2007,2021,Red Deer (WHL),770,152,137,289,-21,149,,,,,,,26.6,
12,Montreal Canadiens,Ryan McDonagh,US,D,18,2007,2022,Cretin-Derham (High-MN),783,71,266,337,215,304,,,,,,,75,
13,St. Louis Blues,Lars Eller,DK,C,18,2007,2022,Vastra Frolunda Jr. ( ),870,153,195,348,-27,521,,,,,,,29.6,
14,Colorado Avalanche,Kevin Shattenkirk,US,D,18,2007,2022,U.S. National U-18 (USNTDP),816,93,340,433,-7,470,,,,,,,74.1,
15,Edmonton Oilers,Alex Plante,CA,D,18,2007,2012,Calgary (WHL),10,0,2,2,-1,15,,,,,,,0.3,
16,Minnesota Wild,Colton Gillies,CA,LW,18,2007,2013,Saskatoon (WHL),154,6,12,18,-12,72,,,,,,,-0.1,
17,New York Rangers,Alexei Cherepanov,RU,RW,18,2007,,Avangard Omsk ( ),,,,,,,,,,,,,,
18,St. Louis Blues,Ian Cole,US,D,18,2007,2022,U.S. National U-18 (USNTDP),670,29,136,165,131,622,,,,,,,39.1,
19,Anaheim Ducks,Logan MacMillan,CA,C,18,2007,,Halifax (QMJHL),,,,,,,,,,,,,,
20,Pittsburgh Penguins,Angelo Esposito,CA,C,18,2007,,Quebec (QMJHL),,,,,,,,,,,,,,
21,Edmonton Oilers,Riley Nash,CA,C,18,2007,2022,Salmon Arm (BCHL),627,63,113,176,-11,144,,,,,,,12.9,
22,Montreal Canadiens,Max Pacioretty,US,LW,18,2007,2022,Sioux City (USHL),850,323,319,642,69,466,,,,,,,83,
23,Nashville Predators,Jonathon Blum,US,D,18,2007,2015,Vancouver (WCHL),110,7,17,24,-11,22,,,,,,,4.3,
24,Calgary Flames,Mikael Backlund,SE,C,18,2007,2022,Vasteras (Sweden-2),826,166,270,436,42,395,,,,,,,41.9,
25,Vancouver Canucks,Patrick White,US,C,18,2007,,Tri-City (USHL),,,,,,,,,,,,,,
26,St. Louis Blues,David Perron,CA,LW,19,2007,2022,Lewiston (QMJHL),973,269,396,665,21,718,,,,,,,73.3,
27,Detroit Red Wings,Brendan Smith,CA,D,18,2007,2022,St. Michael's (OJHL),571,33,85,118,-6,630,,,,,,,24.2,
28,San Jose Sharks,Nicholas Petrecki,US,D,18,2007,2013,Omaha (USHL),1,0,0,0,0,0,,,,,,,0,
29,Ottawa Senators,Jim O'Brien,US,C,18,2007,2018,Minnesota (WCHA),77,8,5,13,-4,16,,,,,,,0.7,
30,Phoenix Coyotes,Nick Ross,CA,D,18,2007,,Regina (WHL),,,,,,,,,,,,,,
31,Buffalo Sabres,T.J. Brennan,US,D,18,2007,2016,St. John's (QMJHL),53,5,8,13,-22,29,,,,,,,1.1,
32,Phoenix Coyotes,Brett Maclean,CA,LW,18,2007,2012,Oshawa (OHL),18,2,3,5,1,4,,,,,,,0.5,
33,Vancouver Canucks,Taylor Ellington,CA,D,18,2007,,Everett (WHL),,,,,,,,,,,,,,
34,Washington Capitals,Josh Godfrey,CA,D,19,2007,,Sault Ste. Marie (OHL),,,,,,,,,,,,,,
35,Boston Bruins,Tommy Cross,US,D,18,2007,2016,Westminster (High-CT),3,0,1,1,-1,0,,,,,,,0,
36,Phoenix Coyotes,Joel Gistedt,SE,G,19,2007,,Vastra Frolunda (Sweden),,,,,,,,,,,,,,
37,Columbus Blue Jackets,Stefan Legein,CA,RW,18,2007,,Mississauga (OHL),,,,,,,,,,,,,,
38,Chicago Blackhawks,Bill Sweatt,US,LW,18,2007,2013,Colorado College ( ),3,0,0,0,-1,0,,,,,,,-0.1,
39,St. Louis Blues,Simon Hjalmarsson,SE,RW,18,2007,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,,,
40,Florida Panthers,Michal Repik,CZ,RW,18,2007,2012,Vancouver (WCHL),72,9,11,20,-7,36,,,,,,,1.6,
41,Philadelphia Flyers,Kevin Marshall,CA,D,18,2007,2012,Lewiston (QMJHL),10,0,0,0,-1,8,,,,,,,-0.1,
42,Anaheim Ducks,Eric Tangradi,US,C,18,2007,2019,Belleville (OHL),150,5,11,16,-22,86,,,,,,,-1.2,
43,Montreal Canadiens,P.K. Subban,CA,D,18,2007,2022,Belleville (OHL),834,115,352,467,5,905,,,,,,,83.4,
44,St. Louis Blues,Aaron Palushaj,US,RW,18,2007,2014,Des Moines (USHL),68,3,11,14,-1,18,,,,,,,0.8,
45,Colorado Avalanche,Colby Cohen,US,D,18,2007,2011,Lincoln (USHL),3,0,0,0,-1,4,,,,,,,0,
46,Washington Capitals,Theo Ruth,US,D,18,2007,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
47,Tampa Bay Lightning,Dana Tyrell,CA,C/RW,18,2007,2015,Prince George (WHL),135,7,17,24,-14,26,,,,,,,0,
48,New York Rangers,Antoine Lafleur,CA,G,18,2007,,PEI (QMJHL),,,,,,,,,,,,,,
49,Colorado Avalanche,Trevor Cann,CA,G,18,2007,,Peterborough (OHL),,,,,,,,,,,,,,
50,Dallas Stars,Nico Sacchetti,US,C,18,2007,,Virginia (High-MN),,,,,,,,,,,,,,
51,Pittsburgh Penguins,Keven Veilleux,CA,C,18,2007,,Victoriaville (QMJHL),,,,,,,,,,,,,,
52,Los Angeles Kings,Oscar Moller,SE,C,18,2007,2011,Chilliwack (WHL),87,12,14,26,-10,22,,,,,,,2.1,
53,Columbus Blue Jackets,Will Weber,US,D,18,2007,,Gaylord (High-MI),,,,,,,,,,,,,,
54,Nashville Predators,Jeremy Smith,US,G,18,2007,2017,Plymouth (OHL),10,0,0,0,0,0,10,1,6,1,0.888,3.54,0.8,
55,Colorado Avalanche,T.J. Galiardi,CA,LW,19,2007,2015,Dartmouth ( ),321,44,61,105,-32,136,,,,,,,7,
56,Chicago Blackhawks,Akim Aliu,NG,RW,18,2007,2013,Sudbury (OHL),7,2,1,3,1,26,,,,,,,0.5,
57,New Jersey Devils,Mike Hoeffel,US,LW,18,2007,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
58,Nashville Predators,Nick Spaling,CA,C,18,2007,2016,Kitchener (OHL),437,52,72,124,-26,120,,,,,,,7.5,
59,Buffalo Sabres,Drew Schiestel,CA,D,18,2007,,Mississauga (OHL),,,,,,,,,,,,,,
60,Ottawa Senators,Ruslan Bashkirov,RU,LW,18,2007,,Quebec (QMJHL),,,,,,,,,,,,,,
61,Los Angeles Kings,Wayne Simmonds,CA,RW,19,2007,2022,Owen Sound (OHL),1019,263,261,524,-93,1264,,,,,,,55.2,
62,New York Islanders,Mark Katic,CA,D,18,2007,2011,Sarnia (OHL),11,0,1,1,-9,4,,,,,,,-0.5,
63,Anaheim Ducks,Maxime Macenauer,CA,C,18,2007,2012,Rouyn-Noranda (QMJHL),29,1,3,4,-4,18,,,,,,,-0.1,
64,Dallas Stars,Sergei Korostin,RU,RW,18,2007,,Dynamo Moscow ( ),,,,,,,,,,,,,,
65,Montreal Canadiens,Olivier Fortier,CA,C,18,2007,,Rimouski (QMJHL),,,,,,,,,,,,,,
66,Philadelphia Flyers,Garrett Klotz,CA,LW,18,2007,,Saskatoon (WHL),,,,,,,,,,,,,,
67,Atlanta Thrashers,Spencer Machacek,CA,RW,18,2007,2012,Vancouver (WCHL),25,2,7,9,6,7,,,,,,,1.1,
68,Columbus Blue Jackets,Jake Hansen,US,W,18,2007,,Sioux Falls (USHL),,,,,,,,,,,,,,
69,Chicago Blackhawks,Maxime Tanguay,CA,C,18,2007,,Rimouski (QMJHL),,,,,,,,,,,,,,
70,Calgary Flames,John Negrin,CA,D,18,2007,2009,Kootenay (WHL),3,0,1,1,-2,2,,,,,,,0,
71,Florida Panthers,Evgenii Dadonov,RU,RW,18,2007,2022,Chelyabinsk ( ),413,124,141,265,-13,64,,,,,,,27.2,
72,Carolina Hurricanes,Drayson Bowman,US,C/LW,18,2007,2015,Spokane (WHL),179,15,18,33,-8,53,,,,,,,1.7,
73,Montreal Canadiens,Yannick Weber,CH,D,18,2007,2021,Kitchener (OHL),499,28,66,94,-28,195,,,,,,,17.9,
74,Toronto Maple Leafs,Dale Mitchell,CA,RW,18,2007,,Oshawa (OHL),,,,,,,,,,,,,,
75,Tampa Bay Lightning,Luca Cunti,CH,C,18,2007,,GCK Zurich Jr. (Swiss-Jr.),,,,,,,,,,,,,,
76,New York Islanders,Jason Gregoire,CA,LW,18,2007,,Lincoln (USHL),,,,,,,,,,,,,,
77,Tampa Bay Lightning,Alex Killorn,CA,C,18,2007,2022,Deerfield Academy (High-MA),723,171,231,402,78,436,,,,,,,40.9,
78,Pittsburgh Penguins,Robert Bortuzzo,CA,D,18,2007,2022,Kitchener (OHL),490,18,51,69,30,455,,,,,,,17.9,
79,New Jersey Devils,Nick Palmieri,US,RW,18,2007,2012,Erie (OHL),87,13,12,25,-1,20,,,,,,,2.7,
80,Pittsburgh Penguins,Casey Pierro-Zabotel,CA,C,18,2007,,Merritt (BCHL),,,,,,,,,,,,,,
81,Nashville Predators,Ryan Thang,US,LW,20,2007,2012,Notre Dame (CCHA),1,0,0,0,0,0,,,,,,,0,
82,Los Angeles Kings,Bryan Cameron,CA,RW,18,2007,,Belleville (OHL),,,,,,,,,,,,,,
83,San Jose Sharks,Timo Pielmeier,DE,G,18,2007,2011,Koln Jr. ( ),1,0,0,0,0,0,1,0,0,0,0.583,7.5,-0.4,
84,Washington Capitals,Phil Desimone,US,C,20,2007,,Sioux City (USHL),,,,,,,,,,,,,,
85,St. Louis Blues,Brett Sonne,CA,C/LW,18,2007,,Calgary (WHL),,,,,,,,,,,,,,
86,Chicago Blackhawks,Josh Unice,US,G,18,2007,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
87,New Jersey Devils,Corbin McPherson,US,D,19,2007,,Cowichan Valley (BCHL),,,,,,,,,,,,,,
88,Detroit Red Wings,Joakim Andersson,SE,C,18,2007,2016,Vastra Frolunda Jr. ( ),205,15,21,36,-11,48,,,,,,,1.2,
89,Buffalo Sabres,Corey Tropp,US,RW,18,2007,2017,Sioux Falls (USHL),149,6,21,27,-12,133,,,,,,,0.8,
90,Ottawa Senators,Louie Caporusso,CA,C/LW,18,2007,,St. Michaels (OJHL),,,,,,,,,,,,,,
91,San Jose Sharks,Tyson Sexsmith,CA,G,18,2007,,Vancouver (WCHL),,,,,,,,,,,,,,
92,Anaheim Ducks,Justin Vaive,US,LW,18,2007,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
93,Anaheim Ducks,Steven Kampfer,US,D,18,2007,2021,Michigan (CCHA),231,15,24,39,-1,110,,,,,,,8.8,
94,Columbus Blue Jackets,Maksim Mayorov,RU,LW,18,2007,2012,Almetjevsk (Russia-2),22,2,1,3,-4,2,,,,,,,0,
95,Los Angeles Kings,Alec Martinez,US,D,20,2007,2022,Miami (Ohio) (CCHA),686,76,170,246,60,207,,,,,,,56.3,
96,St. Louis Blues,Cade Fairchild,US,D,18,2007,2012,U.S. National U-18 (USNTDP),5,0,1,1,-1,0,,,,,,,0.1,
97,Edmonton Oilers,Linus Omark,SE,LW,20,2007,2014,Lulea (Sweden),79,8,24,32,-27,40,,,,,,,1.3,
98,Anaheim Ducks,Sebastian Stefaniszin,DE,G,20,2007,,Eisbaren Jrs. Berlin (German-3),,,,,,,,,,,,,,
99,Toronto Maple Leafs,Matt Frattin,CA,RW,19,2007,2015,Fort Saskatchewan (AJHL),135,17,18,35,-3,44,,,,,,,2.8,
100,St. Louis Blues,Travis Erstad,US,C/RW,18,2007,,Lincoln (USHL),,,,,,,,,,,,,,
101,Florida Panthers,Matt Rust,US,C,18,2007,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,,
102,Carolina Hurricanes,Justin McCrae,CA,C,18,2007,,Saskatoon (WHL),,,,,,,,,,,,,,
103,Phoenix Coyotes,Vladimir Ruzicka,CZ,C,18,2007,,Slavia Praha Jr. ( ),,,,,,,,,,,,,,
104,Toronto Maple Leafs,Ben Winnett,CA,LW,18,2007,,Salmon Arm (BCHL),,,,,,,,,,,,,,
105,Colorado Avalanche,Brad Malone,CA,C/LW,18,2007,2022,Sioux Falls (USHL),207,14,18,32,-31,200,,,,,,,1,
106,New York Islanders,Maxim Gratchev,RU,LW,18,2007,,Rimouski (QMJHL),,,,,,,,,,,,,,
107,Tampa Bay Lightning,Mitch Fadden,CA,C,19,2007,,Lethbridge (WHL),,,,,,,,,,,,,,
108,Washington Capitals,Brett Bruneteau,US,C,18,2007,,Omaha (USHL),,,,,,,,,,,,,,
109,Los Angeles Kings,Dwight King,CA,LW,18,2007,2017,Lethbridge (WHL),365,53,56,109,3,98,,,,,,,10.3,
110,Minnesota Wild,Justin Falk,CA,D,18,2007,2019,Spokane (WHL),279,3,30,33,-63,219,,,,,,,4.2,
111,Pittsburgh Penguins,Luca Caputi,CA,LW,18,2007,2011,Mississauga (OHL),35,3,6,9,-4,20,,,,,,,0.3,
112,Dallas Stars,Colton Sceviour,CA,C/RW,18,2007,2022,Portland (WHL),535,66,90,156,-14,136,,,,,,,11.4,
