Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Florida Panthers,Aaron Ekblad,CA,D,18,2014,2022,BARRIE (OHL),554,97,194,291,72,334,,,,,,,54.9,
2,Buffalo Sabres,Sam Reinhart,CA,C,18,2014,2022,KOOTENAY (WHL),532,167,210,377,-72,103,,,,,,,38.6,
3,Edmonton Oilers,Leon Draisaitl,DE,C,18,2014,2022,PRINCE ALBERT (WHL),558,254,362,616,22,206,,,,,,,71.5,
4,Calgary Flames,Samuel Bennett,CA,C,18,2014,2022,KINGSTON (OHL),483,101,103,204,-28,426,,,,,,,17.7,
5,New York Islanders,Michael Dal Colle,CA,LW,18,2014,2022,OSHAWA (OHL),112,8,13,21,-3,18,,,,,,,0.7,
6,Vancouver Canucks,Jake Virtanen,CA,RW,18,2014,2021,CALGARY (WHL),317,55,45,100,-29,219,,,,,,,8.5,
7,Carolina Hurricanes,Haydn Fleury,CA,D,18,2014,2022,RED DEER (WHL),215,9,22,31,-12,45,,,,,,,6.7,
8,Toronto Maple Leafs,William Nylander,CA,C/RW,18,2014,2022,MODO (Sweden),439,137,206,343,13,106,,,,,,,36,
9,Winnipeg Jets,Nikolaj Ehlers,DK,LW,18,2014,2022,HALIFAX (QMJHL),478,164,194,358,67,165,,,,,,,42.5,
10,Anaheim Ducks,Nicholas Ritchie,CA,LW,18,2014,2022,PETERBOROUGH (OHL),407,71,89,160,-8,430,,,,,,,14.8,
11,Nashville Predators,Kevin Fiala,CH,LW,18,2014,2022,HV 71 JR. (Sweden-Jr.),419,124,159,283,17,217,,,,,,,30,
12,Arizona Coyotes,Brendan Perlini,GB,LW,18,2014,2022,NIAGARA (OHL),262,50,31,81,-43,92,,,,,,,6.8,
13,Washington Capitals,Jakub Vrana,CZ,L/RW,18,2014,2022,LINKOPING (Sweden),321,97,90,187,29,85,,,,,,,22,
14,Dallas Stars,Julius Honka,FI,D,18,2014,2019,SWIFT CURRENT (WHL),87,2,11,13,-7,28,,,,,,,2.3,
15,Detroit Red Wings,Dylan Larkin,US,C,18,2014,2022,USA U-18 (USHL),504,147,211,358,-85,327,,,,,,,33.8,
16,Columbus Blue Jackets,Sonny Milano,US,LW,18,2014,2022,USA U-18 (USHL),197,36,45,81,-26,46,,,,,,,6.8,
17,Philadelphia Flyers,Travis Sanheim,CA,D,18,2014,2022,CALGARY (WHL),335,29,87,116,-19,131,,,,,,,18.5,
18,Minnesota Wild,Alex Tuch,US,RW,18,2014,2022,USA U-18 (USHL),305,73,104,177,16,85,,,,,,,17.8,
19,Tampa Bay Lightning,Anthony Deangelo,US,D,18,2014,2022,SARNIA (OHL),270,34,123,157,11,232,,,,,,,24,
20,Chicago Blackhawks,Nick Schmaltz,US,C,18,2014,2022,GREEN BAY (USHL),364,78,163,241,2,82,,,,,,,22.9,
21,St. Louis Blues,Robert Fabbri,CA,C,18,2014,2022,GUELPH (OHL),302,73,79,152,-75,129,,,,,,,13.7,
22,Pittsburgh Penguins,Kasperi Kapanen,FI,RW,18,2014,2022,KALPA (Finland),321,63,89,152,23,78,,,,,,,13.6,
23,Colorado Avalanche,Conner Bleackley,CA,C,18,2014,,Red Deer (WHL),,,,,,,,,,,,,,
24,Vancouver Canucks,Jared McCann,CA,C,18,2014,2022,SAULT STE. MARIE (OHL),427,93,112,205,0,155,,,,,,,20.4,
25,Boston Bruins,David Pastrnak,CZ,RW,18,2014,2022,SODERTALJE (Sweden-2),510,240,264,504,86,215,,,,,,,66.2,
26,Montreal Canadiens,Nikita Scherbak,RU,RW,18,2014,2019,SASKATOON (WHL),37,6,2,8,-8,10,,,,,,,0.5,
27,San Jose Sharks,Nikolay Goldobin,RU,RW,18,2014,2020,SARNIA (OHL),125,19,27,46,-23,24,,,,,,,3.3,
28,New York Islanders,Joshua Ho-Sang,CA,C/RW,18,2014,2019,WINDSOR (OHL),53,7,17,24,-4,20,,,,,,,1.7,
29,Los Angeles Kings,Adrian Kempe,SE,LW,18,2014,2022,MODO (Sweden),390,90,96,186,-32,208,,,,,,,17.9,
30,New Jersey Devils,John Quenneville,CA,C,18,2014,2020,BRANDON (WHL),42,2,3,5,-4,6,,,,,,,-0.1,
31,Buffalo Sabres,Brendan Lemieux,US,LW,18,2014,2022,BARRIE (OHL),230,31,29,60,-7,410,,,,,,,4.8,
32,Florida Panthers,Jayce Hawryluk,CA,C,18,2014,2021,BRANDON (WHL),98,12,15,27,-14,41,,,,,,,1.8,
33,St. Louis Blues,Ivan Barbashev,RU,C/LW,18,2014,2022,MONCTON (QMJHL),351,68,81,149,12,92,,,,,,,14.2,
34,Calgary Flames,Mason McDonald,CA,G,18,2014,,CHARLOTTETOWN (QMJHL),,,,,,,,,,,,,,
35,Tampa Bay Lightning,Dominik Masin,CZ,D,18,2014,,SLAVIA JR. (Czech),,,,,,,,,,,,,,
36,Vancouver Canucks,Thatcher Demko,US,G,18,2014,2022,BOSTON COLLEGE (H-East),136,0,3,3,0,2,136,67,53,11,0.912,2.84,26,
37,Carolina Hurricanes,Alex Nedeljkovic,US,G,18,2014,2022,PLYMOUTH (OHL),88,0,3,3,0,6,88,37,31,13,0.909,2.86,15,
38,Anaheim Ducks,Marcus Pettersson,SE,D,18,2014,2022,SKELLEFTEA JR. (Sweden-Jr.),294,9,70,79,47,167,,,,,,,16,
39,Washington Capitals,Vitek Vanecek,CZ,G,18,2014,2022,LIBEREC JR. (Czech),79,0,0,0,0,0,79,41,22,10,0.908,2.68,12.3,
40,Ottawa Senators,Andreas Englund,SE,D,18,2014,2020,DJURGARDEN (Sweden-2),33,0,3,3,-12,24,,,,,,,-0.3,
