Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Buffalo Sabres,Rasmus Dahlin,SE,D,18,2018,2022,Frolunda (Sweden),277,31,129,160,-78,166,,,,,,,20.8,
2,Carolina Hurricanes,Andrei Svechnikov,RU,RW,18,2018,2022,Barrie Colts (OHL),283,89,120,209,29,239,,,,,,,23.1,
3,Montreal Canadiens,Jesperi Kotkaniemi,FI,C,18,2018,2022,Assat (Finland),237,34,57,91,-8,98,,,,,,,6.8,
4,Ottawa Senators,Brady Tkachuk,US,LW,18,2018,2022,Boston University (H-East),277,90,102,192,-48,367,,,,,,,18.6,
5,Arizona Coyotes,Barrett Hayton,CA,C,18,2018,2022,Sault Ste. Marie Greyhounds (OHL),94,13,18,31,-7,34,,,,,,,1.9,
6,Detroit Red Wings,Filip Zadina,CZ,RW,18,2018,2022,Halifax Mooseheads (QMJHL),160,25,36,61,-46,12,,,,,,,3.2,
7,Vancouver Canucks,Quinn Hughes,US,D,18,2018,2022,Michigan (Big Ten),205,19,146,165,-24,74,,,,,,,21.2,
8,Chicago Blackhawks,Adam Boqvist,SE,D,18,2018,2022,Brynas Jr. (Sweden-Jr.),128,17,34,51,-21,32,,,,,,,6.8,
9,New York Rangers,Vitali Kravtsov,RU,RW,18,2018,2021,Chelyabinsk (Russia),20,2,2,4,-6,4,,,,,,,0,
10,Edmonton Oilers,Evan Bouchard,CA,D,18,2018,2022,London Knights (OHL),102,15,34,49,3,32,,,,,,,7.6,
11,New York Islanders,Oliver Wahlstrom,US,RW,18,2018,2022,USA U-18 (U.S. NTDP),126,25,20,45,-6,99,,,,,,,4.7,
12,New York Islanders,Noah Dobson,CA,D,18,2018,2022,Acadie-Bathurst Titan (QMJHL),160,17,55,72,-3,34,,,,,,,12.5,
13,Dallas Stars,Ty Dellandrea,CA,C,18,2018,2022,Flint Firebirds (OHL),27,3,2,5,-1,23,,,,,,,0.3,
14,Philadelphia Flyers,Joel Farabee,US,LW,18,2018,2022,USA U-18 (U.S. NTDP),170,45,48,93,-5,117,,,,,,,9.1,
15,Florida Panthers,Grigori Denisenko,RU,LW,18,2018,2022,Yaroslavl 2 (Russia-Jr.),8,0,4,4,1,4,,,,,,,0.3,
16,Colorado Avalanche,Martin Kaut,CZ,RW,18,2018,2022,Pardubice (Czech),20,2,1,3,0,6,,,,,,,0.2,
17,New Jersey Devils,Ty Smith,CA,D,18,2018,2022,Spokane Chiefs (WHL),114,7,36,43,-35,44,,,,,,,4.3,
18,Columbus Blue Jackets,Liam Foudy,CA,C,18,2018,2022,London Knights (OHL),27,0,5,5,0,6,,,,,,,0,
19,Philadelphia Flyers,Jay O'Brien,US,C,18,2018,,Thayer Academy (High-MA),,,,,,,,,,,,,,
20,Los Angeles Kings,Rasmus Kupari,FI,C,18,2018,2022,Karpat (Finland),64,6,8,14,-10,20,,,,,,,0.5,
21,San Jose Sharks,Ryan Merkley,CA,D,18,2018,2022,Guelph Storm (OHL),39,1,5,6,-10,8,,,,,,,0.9,
22,New York Rangers,K'Andre Miller,US,D,18,2018,2022,USA U-18 (U.S. NTDP),135,12,20,32,32,44,,,,,,,9.6,
23,Anaheim Ducks,Isac Lundestrom,SE,C,18,2018,2022,Lulea (Sweden),151,22,22,44,-15,24,,,,,,,2.6,
24,Minnesota Wild,Filip Johansson,SE,D,18,2018,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,,,
25,St. Louis Blues,Dominik Bokk,DE,RW,18,2018,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,
26,Ottawa Senators,Jacob Bernard-Docker,CA,D,18,2018,2022,Okotoks (AJHL),13,0,1,1,3,4,,,,,,,0.5,
27,Chicago Blackhawks,Nicolas Beaudin,CA,D,18,2018,2022,Drummondville Voltigeurs (QMJHL),22,2,4,6,1,2,,,,,,,1.2,
28,New York Rangers,Nils Lundkvist,SE,D,18,2018,2022,Lulea (Sweden),25,1,3,4,4,0,,,,,,,1.2,
29,Toronto Maple Leafs,Rasmus Sandin,SE,D,18,2018,2022,Sault Ste. Marie Greyhounds (OHL),88,6,22,28,8,14,,,,,,,4.4,
30,Detroit Red Wings,Joseph Veleno,CA,C,18,2018,2022,Drummondville Voltigeurs (QMJHL),71,9,7,16,-14,26,,,,,,,0.4,
31,Washington Capitals,Alexander Alexeyev,RU,D,18,2018,2022,Red Deer Rebels (WHL),1,0,0,0,0,2,,,,,,,0,
32,Buffalo Sabres,Mattias Samuelsson,US,D,18,2018,2022,USA U-18 (U.S. NTDP),54,0,12,12,-18,20,,,,,,,1.1,
33,Detroit Red Wings,Jonatan Berggren,SE,RW,18,2018,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,
34,Florida Panthers,Serron Noel,CA,RW,18,2018,,Oshawa Generals (OHL),,,,,,,,,,,,,,
35,Montreal Canadiens,Jesse Ylonen,US,RW,18,2018,2022,Espoo (Finland-2),15,2,3,5,2,2,,,,,,,0.5,
36,Detroit Red Wings,Jared McIsaac,CA,D,18,2018,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,
37,Vancouver Canucks,Jett Woo,CA,D,18,2018,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,
38,Montreal Canadiens,Alexander Romanov,RU,D,18,2018,2022,CSKA 2 (Russia-Jr.),133,4,15,19,-8,74,,,,,,,3.7,
39,New York Rangers,Olof Lindbom,SE,G,18,2018,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,,
