Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
1,Pittsburgh Penguins,Marc-Andre Fleury,CA,G,18,2003,2022,Cape Breton (QMJHL),939,0,20,20,0,78,939,520,299,87,0.913,2.57,165.4,
2,Carolina Hurricanes,Eric Staal,CA,C,18,2003,2021,Peterborough (OHL),1293,441,593,1034,-78,828,,,,,,,113.2,
3,Florida Panthers,Nathan Horton,CA,RW,18,2003,2014,Oshawa (OHL),627,203,218,421,54,567,,,,,,,49.5,
4,Columbus Blue Jackets,Nikolai Zherdev,UA,W,18,2003,2011,CSKA Moscow (Russia),421,115,146,261,-41,225,,,,,,,27.1,
5,Buffalo Sabres,Thomas Vanek,AT,LW,19,2003,2019,Minnesota (WCHA),1029,373,416,789,5,547,,,,,,,95.9,
6,San Jose Sharks,Milan Michalek,CZ,RW,18,2003,2017,Ceske Budejovice (Czech-2),747,208,238,446,13,394,,,,,,,48.8,
7,Nashville Predators,Ryan Suter,US,D,18,2003,2022,USA U-18 (USNTDP),1280,100,539,639,106,707,,,,,,,120.4,
8,Atlanta Thrashers,Braydon Coburn,CA,D,18,2003,2021,Portland (WHL),983,49,185,234,46,720,,,,,,,47.7,
9,Calgary Flames,Dion Phaneuf,CA,D,18,2003,2019,Red Deer (WHL),1048,137,357,494,-57,1345,,,,,,,86.6,
10,Montreal Canadiens,Andrei Kostitsyn,BY,LW,18,2003,2012,CSKA 2 (KHL),398,103,119,222,15,181,,,,,,,25.8,
11,Philadelphia Flyers,Jeff Carter,CA,C,18,2003,2022,Sault Ste. Marie (OHL),1170,418,389,807,32,593,,,,,,,98.8,
12,New York Rangers,Hugh Jessiman,US,RW,19,2003,2011,Dartmouth (ECAC),2,0,0,0,-1,5,,,,,,,-0.1,
13,Los Angeles Kings,Dustin Brown,US,RW,18,2003,2022,Guelph (OHL),1296,325,387,712,-36,738,,,,,,,72.8,
14,Chicago Blackhawks,Brent Seabrook,CA,D,18,2003,2020,Lethbridge (WHL),1114,103,361,464,111,661,,,,,,,88.5,
15,New York Islanders,Robert Nilsson,CA,C,18,2003,2010,Leksand (Sweden),252,37,81,118,-15,90,,,,,,,9.5,
16,San Jose Sharks,Steve Bernier,CA,RW,18,2003,2018,Moncton (QMJHL),637,105,125,230,-15,300,,,,,,,21.6,
17,New Jersey Devils,Zach Parise,US,LW,19,2003,2022,North Dakota (WCHA),1142,408,437,845,76,412,,,,,,,104.1,
18,Washington Capitals,Eric Fehr,CA,RW,18,2003,2019,Brandon (WHL),652,113,108,221,49,217,,,,,,,23.9,
19,Anaheim Ducks,Ryan Getzlaf,CA,C,18,2003,2022,Calgary (WHL),1157,282,737,1019,102,960,,,,,,,106.5,
20,Minnesota Wild,Brent Burns,CA,RW,18,2003,2022,Brampton (OHL),1251,227,550,777,-34,763,,,,,,,129.9,
21,Boston Bruins,Mark Stuart,US,D,19,2003,2017,Colorado College (WCHA),673,26,67,93,43,722,,,,,,,25,
22,Edmonton Oilers,Marc Pouliot,CA,C,18,2003,2012,Rimouski (QMJHL),192,21,36,57,-9,76,,,,,,,4,
23,Vancouver Canucks,Ryan Kesler,US,C,19,2003,2019,Ohio State (CCHA),1001,258,315,573,10,920,,,,,,,59.1,
24,Philadelphia Flyers,Mike Richards,CA,C,18,2003,2016,Kitchener (OHL),749,181,306,487,16,585,,,,,,,50.2,
25,Florida Panthers,Anthony Stewart,CA,RW,18,2003,2012,Kingston (OHL),262,27,44,71,-16,123,,,,,,,5.7,
26,Los Angeles Kings,Brian Boyle,US,C,18,2003,2022,St. Sebastian's (High-MA),871,141,111,252,-42,615,,,,,,,22.3,
27,Los Angeles Kings,Jeff Tambellini,CA,LW,19,2003,2011,Michigan (CCHA),242,27,36,63,-20,88,,,,,,,3.9,
28,Anaheim Ducks,Corey Perry,CA,RW,18,2003,2022,London (OHL),1176,405,453,858,79,1285,,,,,,,104.9,
29,Ottawa Senators,Patrick Eaves,CA,RW,19,2003,2019,Boston College (H-East),633,132,110,242,4,210,,,,,,,25.5,
30,St. Louis Blues,Shawn Belle,CA,D,18,2003,2011,Tri-City (WHL),20,0,1,1,1,2,,,,,,,0.5,
31,Carolina Hurricanes,Danny Richmond,US,D,19,2003,2008,Michigan (CCHA),49,0,3,3,-12,75,,,,,,,-0.1,
32,Pittsburgh Penguins,Ryan Stone,CA,C,18,2003,2010,Brandon (WHL),35,0,7,7,2,55,,,,,,,0.2,
33,Dallas Stars,Loui Eriksson,SE,LW,18,2003,2022,Vastra Frolunda Jr. (Sweden-Jr.),1050,253,360,613,16,200,,,,,,,64.1,
34,Tampa Bay Lightning,Mike Egener,DE,D,18,2003,,Calgary (WHL),,,,,,,,,,,,,,
35,Nashville Predators,Konstantin Glazachev,RU,LW,18,2003,,Lokomotiv Yaroslavl (KHL),,,,,,,,,,,,,,
36,Dallas Stars,Vojtech Polak,CZ,LW,18,2003,2007,Karlovy Vary (Czech),5,0,0,0,-2,0,,,,,,,-0.1,
37,Nashville Predators,Kevin Klein,CA,D,18,2003,2017,St. Michael's (OJHL),627,38,116,154,22,185,,,,,,,33.4,
38,Florida Panthers,Kamil Kreps,CZ,C,18,2003,2010,Brampton (OHL),232,18,42,60,4,71,,,,,,,3.1,
39,Calgary Flames,Tim Ramholt,CA,D,18,2003,2008,Zurich (Swiss),1,0,0,0,-1,0,,,,,,,-0.1,
40,Montreal Canadiens,Cory Urquhart,CA,C,18,2003,,Montreal (QMJHL),,,,,,,,,,,,,,
41,Tampa Bay Lightning,Matt Smaby,US,D,18,2003,2011,Shattuck-St. Mary's (High-MN),122,0,6,6,-19,106,,,,,,,0.5,
42,New Jersey Devils,Petr Vrana,CZ,C,18,2003,2009,Halifax (QMJHL),16,1,0,1,-4,2,,,,,,,-0.2,
43,San Jose Sharks,Josh Hennessy,US,C,18,2003,2012,Quebec (QMJHL),23,1,0,1,-1,6,,,,,,,-0.1,
44,Los Angeles Kings,Konstantin Pushkarev,KZ,RW,18,2003,2007,Ust-Kamenogorsk (Russia-3),17,2,3,5,-2,8,,,,,,,0.3,
45,Boston Bruins,Patrice Bergeron,CA,C,18,2003,2022,Acadie-Bathurst (QMJHL),1216,400,582,982,254,472,,,,,,,118.5,
46,Columbus Blue Jackets,Dan Fritsche,US,C,18,2003,2009,Sarnia (OHL),256,34,42,76,-19,103,,,,,,,6.1,
47,San Jose Sharks,Matt Carle,US,D,18,2003,2017,River City (USHL),730,45,238,283,82,251,,,,,,,54.2,
48,New York Islanders,Dmitri Chernykh,RU,RW,18,2003,,Voskresensk (Russia-2),,,,,,,,,,,,,,
49,Nashville Predators,Shea Weber,CA,D,18,2003,2021,Kelowna (WHL),1038,224,365,589,79,714,,,,,,,118.9,
50,New York Rangers,Ivan Baranka,SK,D,18,2003,2008,Dubnica Jr. (Slovak-Jr.),1,0,1,1,1,0,,,,,,,0.2,
51,Edmonton Oilers,Colin McDonald,US,RW,18,2003,2017,New England (EJHL),148,20,26,46,-24,73,,,,,,,3.4,
52,Chicago Blackhawks,Corey Crawford,CA,G,18,2003,2020,Moncton (QMJHL),488,0,9,9,0,18,488,260,162,53,0.918,2.45,90,
53,New York Islanders,Evgeny Tunik,RU,C,18,2003,,Elektrostal (Russia-2),,,,,,,,,,,,,,
54,Dallas Stars,B.J. Crombeen,US,RW,18,2003,2015,Barrie (OHL),445,34,46,80,-37,850,,,,,,,2.4,
55,Florida Panthers,Stefan Meyer,CA,LW,18,2003,2011,Medicine Hat (WHL),20,0,2,2,-1,17,,,,,,,-0.1,
56,Minnesota Wild,Patrick O'Sullivan,CA,C,18,2003,2012,Mississauga (OHL),334,58,103,161,-61,116,,,,,,,11.5,
57,Toronto Maple Leafs,John Doherty,US,D,19,2003,,Andover (High-MA),,,,,,,,,,,,,,
58,New York Islanders,Jeremy Colliton,CA,C,18,2003,2011,Prince Albert (WHL),57,3,3,6,-12,26,,,,,,,-0.4,
59,Chicago Blackhawks,Michal Barinka,CZ,D,19,2003,2006,Ceske Budejovice (Czech-2),34,0,2,2,-12,26,,,,,,,-0.2,
60,Vancouver Canucks,Marc-Andre Bernier,CA,RW,18,2003,,Halifax (QMJHL),,,,,,,,,,,,,,
61,Montreal Canadiens,Maxim Lapierre,CA,C,18,2003,2015,Montreal (QMJHL),614,65,74,139,-49,586,,,,,,,7.4,
62,St. Louis Blues,David Backes,US,C,19,2003,2021,Lincoln (USHL),965,248,313,561,64,1148,,,,,,,64.4,
63,Colorado Avalanche,David Liffiton,CA,D,18,2003,2011,Plymouth (OHL),7,1,0,1,4,26,,,,,,,0.6,
64,Detroit Red Wings,Jimmy Howard,US,G,19,2003,2020,U. of Maine (H-East),543,0,9,9,0,36,543,246,196,70,0.912,2.62,90.4,
65,Buffalo Sabres,Branislav Fabry,SK,LW,18,2003,,Bratislava Jr.,,,,,,,,,,,,,,
66,Boston Bruins,Masi Marjamaki,FI,RW,18,2003,2006,Red Deer (WHL),1,0,0,0,0,0,,,,,,,0,
67,Ottawa Senators,Igor Mirnov,RU,LW,18,2003,,Dynamo Moscow (Russia),,,,,,,,,,,,,,
68,Edmonton Oilers,Jean-Francois Jacques,CA,LW,18,2003,2012,Baie-Comeau (QMJHL),166,9,8,17,-36,197,,,,,,,-1,
69,Philadelphia Flyers,Colin Fraser,CA,C,18,2003,2015,Red Deer (WHL),359,20,38,58,-7,290,,,,,,,1.9,
70,Pittsburgh Penguins,Jonathan Filewich,CA,RW,18,2003,2008,Prince George (WHL),5,0,0,0,-2,0,,,,,,,-0.2,
71,Columbus Blue Jackets,Dmitry Kosmachev,RU,D,18,2003,,CSKA Moscow (Russia),,,,,,,,,,,,,,
72,Edmonton Oilers,Mikhail Zhukov,RU,LW,18,2003,,Arboga (Sweden-3),,,,,,,,,,,,,,
73,Pittsburgh Penguins,Daniel Carcillo,CA,LW,18,2003,2015,Sarnia (OHL),429,48,52,100,-17,1233,,,,,,,7.6,
74,Buffalo Sabres,Clarke MacArthur,CA,LW,18,2003,2017,Medicine Hat (WHL),552,133,171,304,-6,343,,,,,,,32.3,
75,New York Rangers,Ken Roche,US,C,19,2003,,St. Sebastian's (High-MA),,,,,,,,,,,,,,
76,Nashville Predators,Richard Stehlik,SK,D,19,2003,,Sherbrooke (QMJHL),,,,,,,,,,,,,,
77,Phoenix Coyotes,Tyler Redenbach,CA,C,18,2003,,Swift Current (WHL),,,,,,,,,,,,,,
78,Minnesota Wild,Danny Irmen,US,C,19,2003,2010,Lincoln (USHL),2,0,0,0,-1,0,,,,,,,-0.1,
79,Montreal Canadiens,Ryan O'Byrne,CA,D,19,2003,2013,Nanaimo (BCHL),308,5,34,39,-19,369,,,,,,,8.4,
80,Phoenix Coyotes,Dmitri Pestunov,KZ,C,18,2003,,Magnitogorsk (KHL),,,,,,,,,,,,,,
81,Philadelphia Flyers,Stefan Ruzicka,SK,RW,18,2003,2008,Nitra (Slovakia),55,4,13,17,-1,47,,,,,,,1.1,
82,Los Angeles Kings,Ryan Munce,CA,G,18,2003,,Sarnia (OHL),,,,,,,,,,,,,,
83,Washington Capitals,Steve Werner,US,RW,19,2003,,Massachusetts (H-East),,,,,,,,,,,,,,
84,St. Louis Blues,Konstantin Barulin,RU,G,19,2003,,Tjumen (Russia-2),,,,,,,,,,,,,,
85,Philadelphia Flyers,Alexandre Picard,CA,D,18,2003,2012,Halifax (QMJHL),253,19,50,69,-31,86,,,,,,,12,
86,Anaheim Ducks,Shane Hynes,CA,RW,19,2003,,Cornell (ECAC),,,,,,,,,,,,,,
87,Philadelphia Flyers,Ryan Potulny,US,C,19,2003,2011,Lincoln (USHL),126,22,27,49,-18,54,,,,,,,4,
88,St. Louis Blues,Zack Fitzgerald,US,D,18,2003,2008,Seattle (WHL),1,0,0,0,0,0,,,,,,,0,
89,Nashville Predators,Paul Brown,CA,RW,19,2003,,Kamloops (WHL),,,,,,,,,,,,,,
90,Anaheim Ducks,Juha Alen,FI,D,21,2003,,Northern Michigan (CCHA),,,,,,,,,,,,,,
91,Toronto Maple Leafs,Martin Sagat,SK,LW,18,2003,,Dukla Trencin (Slovakia),,,,,,,,,,,,,,
92,Nashville Predators,Alexander Sulzer,DE,D,19,2003,2014,Hamburg (Germany),131,7,15,22,4,44,,,,,,,6.2,
93,New Jersey Devils,Ivan Khomutov,RU,C,18,2003,,Elektrostal (Russia-2),,,,,,,,,,,,,,
94,Edmonton Oilers,Zack Stortini,CA,RW,18,2003,2012,Sudbury (OHL),257,14,27,41,-6,725,,,,,,,2,
95,Philadelphia Flyers,Rick Kozak,CA,RW,18,2003,,Brandon (WHL),,,,,,,,,,,,,,
96,Tampa Bay Lightning,Jonathan Boutin,CA,G,18,2003,,Halifax (QMJHL),,,,,,,,,,,,,,
97,Calgary Flames,Ryan Donally,CA,LW,18,2003,,Windsor (OHL),,,,,,,,,,,,,,
